estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,level_7_queries,level_8_queries,true_counts,absolute_error,normalized_error,relative_error
82995,5.580278,-1,1,1,8257,289,289,289,240,28,18,3,0,0,0,0,0,80043,2952,0.004920541259538549,0.03688017690491361
39047,0.310219,-1,7,7,17,17,119,70,21,21,7,21,0,0,0,0,0,38619,428,0.0007134118086322829,0.0110826277221057
97451,4.609351,-1,1,1,8257,233,233,233,209,7,12,5,0,0,0,0,0,94973,2478,0.004130454349978498,0.02609162604108536
9968,53.44955,-1,1,1,108065,2749,2749,874,53,196,561,64,0,0,0,0,0,5464,4504,0.007507492490840659,0.8243045387994143
21836,0.151642,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,21726,110,0.00018335350221857738,0.005063058087084599
32375,15.193555,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,0,0,0,0,15435,16940,0.028236439341660917,1.0975056689342404
57756,53.717114,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,0,0,0,0,38063,19693,0.03282527744718586,0.5173790820481833
14615,1.588138,-1,7,7,2065,37,259,182,0,98,77,7,0,0,0,0,0,13582,1033,0.0017218560708344584,0.07605654542777206
141373,4.591634,-1,1,1,5401,774,774,774,580,142,43,9,0,0,0,0,0,133670,7703,0.012839745705360924,0.057626991845589885
150110,0.10543,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150009,101,0.0001683518520370574,0.0006732929357571879
152194,0.185378,-1,1,1,41,41,41,41,15,4,15,6,1,0,0,0,0,151920,274,0.00045671690552627454,0.001803580832016851
3927,0.135369,-1,27,9,1,1,9,9,0,0,0,0,0,0,0,0,9,3927,0,0.0,0.0
48637,3.047406,-1,1,1,937,932,932,932,668,254,6,4,0,0,0,0,0,39466,9171,0.015286681534968847,0.23237723610196118
150741,0.109119,-1,1,1,17,17,17,17,1,5,8,3,0,0,0,0,0,150659,82,0.0001366817016538486,0.0005442754830444912
125127,1.156838,-1,1,1,2065,41,41,41,0,21,15,5,0,0,0,0,0,124912,215,0.00035837275433631035,0.0017212117330600743
21514,57.396695,-1,7,7,114678,2341,16387,1453,86,181,710,476,0,0,0,0,0,15848,5666,0.009444372214276903,0.3575214538112065
92224,2.945943,-1,1,1,5401,140,140,140,90,35,12,3,0,0,0,0,0,90899,1325,0.002208576276723773,0.01457661800459851
88225,30.414554,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,0,0,0,0,54601,33624,0.0560461650781586,0.615812897199685
11264,0.129502,-1,3,1,4,4,4,4,1,2,0,1,0,0,0,0,0,11231,33,5.500605066557321e-05,0.002938295788442703
21820,0.205162,-1,1,1,32,32,32,28,11,4,5,7,1,0,0,0,0,21667,153,0.00025502805308583946,0.007061429824156551
15354,66.226144,3,1,1,450,108,108,108,0,0,0,108,0,0,0,0,0,17412,2058,0.003430377341507566,0.11819434872501723
124502,4.851146,-1,1,1,4945,511,511,511,385,41,79,6,0,0,0,0,0,119638,4864,0.008107558498101458,0.04065597886958993
112140,15.527329,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,0,0,0,0,89002,23138,0.03856757576666767,0.2599716860295274
14054,4.277228,-1,1,1,5401,756,756,281,159,99,17,6,0,0,0,0,0,11432,2622,0.004370480752882817,0.22935619314205738
79421,1.73341,-1,1,1,1969,172,172,172,0,156,10,6,0,0,0,0,0,78142,1279,0.0021319011757960043,0.01636763840188375
56624,54.15393,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,0,0,0,0,38678,17946,0.029913290461950813,0.46398469414137233
43397,0.053267,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,43397,0,0.0,0.0
43399,12.429892,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,0,0,0,0,38578,4821,0.008035883947234196,0.1249675981129141
21491,0.094089,-1,1,1,9,9,9,9,1,0,4,4,0,0,0,0,0,21459,32,5.333920064540433e-05,0.001491215806887553
36359,67.805603,3,1,1,425,221,221,221,0,0,0,221,0,0,0,0,0,34073,2286,0.0038104191461060715,0.06709124526751387
151359,0.153946,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,151288,71,0.00011834635143199086,0.0004693035799270266
151393,0.076533,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,151325,68,0.00011334580137148419,0.0004493639517594581
17656,65.006277,3,1,1,360,108,108,108,0,0,0,108,0,0,0,0,0,19105,1449,0.002415265679224715,0.07584401989008113
68618,2.620461,-1,1,1,2521,330,330,330,128,159,40,3,0,0,0,0,0,65807,2811,0.004685515406694736,0.042715820505417355
42112,0.295909,-1,7,7,13,13,91,63,7,14,21,21,0,0,0,0,0,41816,296,0.0004933876059699901,0.007078630189401186
77094,36.264648,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,0,0,0,0,25308,51786,0.0863194951444659,2.046230440967283
17492,64.38022,3,1,1,450,108,108,108,0,0,0,108,0,0,0,0,0,14637,2855,0.0047588568075821675,0.195053631208581
156240,0.068543,-1,1,1,4,4,4,4,1,2,0,1,0,0,0,0,0,156211,29,4.833865058489767e-05,0.00018564633732579653
100795,4.186551,-1,1,1,4849,507,507,507,498,0,0,9,0,0,0,0,0,95160,5635,0.009392699863651668,0.05921605716687684
89155,2.539538,-1,1,1,2521,349,349,349,125,198,20,6,0,0,0,0,0,86194,2961,0.0049355429097200695,0.0343527391697798
49079,3.427442,-1,1,1,937,937,937,937,673,254,6,4,0,0,0,0,0,39576,9503,0.015840075741664916,0.24012027491408935
14627,66.620852,3,1,1,425,102,102,102,0,0,0,102,0,0,0,0,0,12997,1630,0.002716965532875283,0.12541355697468648
38763,0.15234,-1,7,7,4,4,28,28,7,14,0,7,0,0,0,0,0,38586,177,0.00029503245356989267,0.0045871559633027525
48362,3.479893,-1,1,1,937,932,932,932,668,254,6,4,0,0,0,0,0,39056,9306,0.015511706287691647,0.23827324866857846
21620,0.109407,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,21558,62,0.00010334470125047089,0.002875962519714259
60200,57.162779,-1,1,1,107198,3454,3454,3454,392,1412,1602,48,0,0,0,0,0,38358,21842,0.036407338140528794,0.5694248918087491
150451,0.129802,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150317,134,0.00022335790270263062,0.0008914494035937386
127146,2.476161,-1,1,1,4849,101,101,101,60,21,15,5,0,0,0,0,0,126254,892,0.0014868302179906457,0.007065122689182125
103450,4.580753,-1,1,1,4849,799,799,799,623,121,49,6,0,0,0,0,0,95333,8117,0.013529821613710842,0.08514365434844177
22429,66.539424,3,1,1,340,153,153,153,0,0,0,153,0,0,0,0,0,25915,3486,0.005810639170308734,0.1345166891761528
22204,4.752965,-1,462,308,13,13,4004,1408,24,404,377,603,0,0,0,0,0,16997,5207,0.008679288055019385,0.3063481790904277
101739,7.682407,-1,1,1,8353,1077,1077,1077,875,156,40,6,0,0,0,0,0,90678,11061,0.01843702807308804,0.12198107589492489
48907,3.517322,-1,1,1,973,972,972,972,672,254,46,0,0,0,0,0,0,39443,9464,0.01577506859087833,0.2399411809446543
42472,15.468496,-1,1,1,26570,1049,1049,1049,87,94,800,68,0,0,0,0,0,37405,5067,0.008445929052195742,0.13546317337254377
150194,0.181727,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150079,115,0.0001916877523194218,0.0007662631014332452
113123,4.650019,-1,1,1,8257,247,247,247,209,28,3,7,0,0,0,0,0,110574,2549,0.004248800701410488,0.023052435473076855
44853,5.308987,-1,1,1,5497,818,818,818,506,276,35,1,0,0,0,0,0,37040,7813,0.0130230992075795,0.2109341252699784
17548,68.861221,3,1,1,288,108,108,108,0,0,0,108,0,0,0,0,0,22977,5429,0.009049328759496877,0.23627975801888845
77349,0.243357,-1,7,7,13,13,91,42,0,7,14,21,0,0,0,0,0,77234,115,0.0001916877523194218,0.0014889815366289458
2467,0.648589,-1,54,36,17,17,612,163,15,45,27,76,0,0,0,0,0,1851,616,0.0010267796124240334,0.33279308481901676
56321,24.850089,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,0,0,0,0,38540,17781,0.02963826020862295,0.46136481577581734
15709,3.971469,-1,1,1,5401,657,657,193,152,32,0,9,0,0,0,0,0,13753,1956,0.0032603586394503396,0.142223514869483
22396,0.066837,-1,1,1,3,3,3,3,1,0,1,1,0,0,0,0,0,22383,13,2.1669050262195507e-05,0.0005807979269981683
53761,19.309741,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,0,0,0,0,38353,15408,0.025682825110762184,0.40174171512006884
21728,0.271563,-1,7,7,17,17,119,70,21,28,7,14,0,0,0,0,0,21220,508,0.0008467598102457937,0.023939679547596605
150607,0.076627,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,150544,63,0.00010501155127063977,0.00041848230417685197
15959,2.917979,-1,378,252,9,9,2268,1005,22,0,376,607,0,0,0,0,0,13842,2117,0.00352872149269753,0.15294032654240716
22245,0.047884,-1,1,1,4,4,4,4,1,2,0,1,0,0,0,0,0,22217,28,4.667180056472879e-05,0.001260296169599856
85856,0.015457,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,85856,0,0.0,0.0
48152,3.049434,-1,1,1,919,916,916,916,610,260,46,0,0,0,0,0,0,39242,8910,0.014851633679704768,0.22705264767341113
46630,2.204917,-1,1,1,676,674,674,674,611,30,29,4,0,0,0,0,0,39601,7029,0.011716288791767095,0.1774955177899548
152213,0.208327,-1,1,1,41,41,41,41,15,14,4,7,1,0,0,0,0,151936,277,0.0004617174555867812,0.0018231360572872788
5286,0.077227,-1,3,1,17,17,17,8,4,1,1,2,0,0,0,0,0,5233,53,8.834305106895091e-05,0.01012803363271546
3180,0.057368,-1,1,1,13,13,13,6,0,3,1,2,0,0,0,0,0,3155,25,4.167125050422213e-05,0.00792393026941363
152146,0.173453,-1,1,1,42,42,42,42,6,5,15,16,0,0,0,0,0,151966,180,0.0003000330036303993,0.0011844754747772528
17063,9.699481,-1,7,7,16585,223,1561,1367,0,64,1226,77,0,0,0,0,0,11395,5668,0.009447705914317242,0.49741114523914
137280,2.500765,-1,1,1,2617,397,397,397,129,198,62,8,0,0,0,0,0,134038,3242,0.005403927765387526,0.024187170802309792
150130,0.090522,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150030,100,0.00016668500201688852,0.0006665333599946677
85608,0.018134,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,85608,0,0.0,0.0
151387,0.043291,-1,1,1,9,9,9,9,1,0,4,4,0,0,0,0,0,151351,36,6.000660072607987e-05,0.00023785769502679202
79610,3.746775,-1,1,1,5497,450,450,450,259,120,68,3,0,0,0,0,0,75449,4161,0.0069357629339227315,0.055149836313271215
36319,68.34521,3,1,1,425,221,221,221,0,0,0,221,0,0,0,0,0,32612,3707,0.006179013024766058,0.11366981479210107
43492,0.059521,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,43492,0,0.0,0.0
300396,0.068183,-1,21,7,1,1,7,7,0,0,0,0,0,0,0,0,7,300396,0,0.0,0.0
14796,0.093291,-1,1,1,17,17,17,7,2,0,2,3,0,0,0,0,0,14756,40,6.667400080675541e-05,0.0027107617240444567
151354,0.09487,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,151244,110,0.00018335350221857738,0.0007273015789056095
8892,0.086959,-1,1,1,17,17,17,10,1,3,4,2,0,0,0,0,0,8837,55,9.167675110928869e-05,0.006223831617064615
16414,4.519965,-1,1,1,5497,641,641,316,92,174,44,6,0,0,0,0,0,13924,2490,0.004150456550220524,0.17882792301062914
113048,18.066712,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,0,0,0,0,84775,28273,0.04712685062023489,0.33350634031259213
47034,2.47566,-1,1,1,730,728,728,728,671,24,29,4,0,0,0,0,0,39409,7625,0.01270973140378775,0.19348372199243827
17132,6.104511,-1,1,1,8257,1198,1198,430,261,137,26,6,0,0,0,0,0,13139,3993,0.006655732130534359,0.3039044067280615
32458,66.26594,3,1,1,360,198,198,198,0,0,0,198,0,0,0,0,0,36051,3593,0.005988992122466804,0.09966436437269424
105649,27.226861,-1,7,7,19248,2061,14427,8022,374,7403,133,112,0,0,0,0,0,44726,60923,0.101549503778749,1.362138353530385
2099,0.120083,-1,1,1,17,17,17,7,4,0,2,1,0,0,0,0,0,2039,60,0.00010001100121013311,0.029426189308484552
4479,0.054374,-1,1,1,13,13,13,4,0,1,0,3,0,0,0,0,0,4472,7,1.1667950141182197e-05,0.0015652951699463328
150160,0.115945,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150056,104,0.00017335240209756406,0.0006930745854880845
4159,1.507741,-1,154,77,17,17,1309,513,0,175,301,37,0,0,0,0,0,1641,2518,0.004197128350785253,1.534430225472273
91134,7.569767,-1,7,7,8257,697,4879,907,664,0,187,56,0,0,0,0,0,82922,8212,0.013688172365626885,0.09903282602928053
21411,0.104819,-1,1,1,17,17,17,17,1,5,8,3,0,0,0,0,0,21328,83,0.00013834855167401747,0.003891597899474869
94082,10.030652,-1,1,1,16478,938,938,938,732,21,169,16,0,0,0,0,0,85054,9028,0.015048321982084696,0.1061443318362452
