estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
1660023,67.726528,-1,1,1,8257,289,289,289,240,28,18,3,0,1590122,69901,0.005826056284732884,0.043959520087137965
773483,1.9169,-1,7,7,17,17,119,70,21,21,7,21,0,763137,10346,0.0008623106725489824,0.013557198772959508
1942316,23.293331,-1,1,1,8257,234,234,234,210,7,12,5,0,1884390,57926,0.004827972938147337,0.030739921141589587
1063531,223.950567,-1,1,1,117803,16478,16478,5270,1051,3353,802,64,0,104287,959244,0.07995035170873536,9.198116735547096
430379,0.848128,-1,1,1,17,17,17,17,6,4,3,4,0,427601,2778,0.0002315386669573819,0.006496710718637234
1164408,45.436132,-1,1,1,20942,4200,4200,4066,1664,2356,30,16,0,310283,854125,0.07118897189163924,2.752728960336209
4082891,217.228889,-1,1,1,117709,16073,16073,16073,7279,7268,1475,51,0,728180,3354711,0.2796059441926802,4.60698041692988
294656,4.882885,-1,7,7,2065,37,259,182,0,98,77,7,0,269107,25549,0.002129438949637923,0.0949399309568313
2931804,12.320328,-1,1,1,5401,1092,1092,1092,885,154,44,9,0,2667479,264325,0.022030762470665936,0.09909168919417922
2998018,0.470133,-1,1,1,17,17,17,17,6,4,3,4,0,2995324,2694,0.00022453749776212627,0.0008994018677111391
2931127,0.740501,-1,1,1,42,42,42,42,16,4,15,6,1,2924489,6638,0.000553259060929842,0.002269798245095126
78345,0.326484,-1,27,9,1,1,9,9,0,0,0,0,9,78345,0,0.0,0.0
1003698,5.340407,-1,1,1,937,937,937,937,673,254,6,4,0,781263,222435,0.018539346070793824,0.28471206239128183
2997099,0.432408,-1,1,1,17,17,17,17,1,5,8,3,0,2995150,1949,0.000162443794780395,0.0006507186618366358
2494123,4.715872,-1,1,1,2065,41,41,41,0,21,15,5,0,2488795,5328,0.00044407416038478426,0.0021407950433844493
1655586,447.428497,-1,7,7,122719,15394,107758,8778,1552,3221,3529,476,0,303673,1351913,0.11267823393173326,4.451870926951029
1841750,11.726557,-1,1,1,5401,140,140,140,90,35,12,3,0,1810551,31199,0.002600350925271187,0.017231770880798167
2587504,47.431426,-1,1,1,21124,5815,5815,5815,4289,1499,10,17,0,1191141,1396363,0.11638301929755603,1.17229026622373
223556,0.643442,-1,3,1,4,4,4,4,1,2,0,1,0,222850,706,5.884316014107689e-05,0.0031680502580210906
423924,0.380579,-1,1,1,33,33,33,33,16,4,5,7,1,418637,5287,0.00044065692303948094,0.012629079608348043
292959,75.311226,3,1,1,450,108,108,108,0,0,0,108,0,330052,37093,0.003091599630471622,0.11238532110091744
2539580,9.794389,-1,1,1,4945,714,714,714,586,42,80,6,0,2369061,170519,0.01421229011911656,0.07197746280066238
2902783,38.838597,-1,1,1,17857,4234,4234,4234,3984,62,171,17,0,1826472,1076311,0.08970756449660426,0.5892841499897069
462466,11.062764,-1,1,1,5401,1033,1033,939,805,110,18,6,0,228992,233474,0.019459416389203663,1.0195727361654556
1586849,4.025307,-1,1,1,1969,186,186,186,0,170,10,6,0,1555695,31154,0.0025966002989165856,0.02002577626077091
3931229,206.959735,-1,1,1,116112,15153,15153,15153,6991,7273,825,64,0,729259,3201970,0.2668754015253881,4.39071715261656
868016,0.202946,-1,1,1,1,1,1,1,0,0,0,0,1,868016,0,0.0,0.0
1303299,44.793797,-1,1,1,22500,2911,2911,2911,1464,579,800,68,0,729025,574274,0.04786415998138356,0.7877288158842289
430052,0.372855,-1,1,1,9,9,9,9,1,0,4,4,0,429282,770,6.417738428984308e-05,0.001793692724130059
696648,88.455884,3,1,1,425,221,221,221,0,0,0,221,0,650179,46469,0.003873063468265867,0.0714710871929115
3000742,0.370839,-1,1,1,13,13,13,13,1,5,3,4,0,2999267,1475,0.0001229371971785955,0.0004917868265812946
3000242,0.239609,-1,1,1,13,13,13,13,1,5,3,4,0,2998671,1571,0.00013093853340174477,0.0005238987538146065
332216,92.154836,3,1,1,360,108,108,108,0,0,0,108,0,359475,27259,0.002271962751112769,0.07583002990472217
1397217,5.71474,-1,1,1,2521,409,409,409,196,170,40,3,0,1311025,86192,0.0071838663723508495,0.06574397894776987
838621,0.624679,-1,7,7,13,13,91,63,7,14,21,21,0,831639,6982,0.0005819305157294601,0.00839546966893087
11817181,245.02207,-1,21,21,17835,4471,93891,45580,41210,268,3835,267,0,552932,11264249,0.938844203648676,20.371852234994538
334546,77.027745,3,1,1,450,108,108,108,0,0,0,108,0,278226,56320,0.004694117250914236,0.2024253664287306
3119619,0.204001,-1,1,1,4,4,4,4,1,2,0,1,0,3118958,661,5.5092533786475674e-05,0.0002119297534625346
2075110,10.760526,-1,1,1,4849,726,726,726,717,0,0,9,0,1886081,189029,0.015755047759642527,0.10022316114737384
1798495,5.909366,-1,1,1,2521,431,431,431,194,211,20,6,0,1708314,90181,0.007516338561873166,0.05278947547113704
1000382,5.340051,-1,1,1,937,937,937,937,673,254,6,4,0,779513,220869,0.0184088242736537,0.2833422919181592
275493,68.397143,3,1,1,425,102,102,102,0,0,0,102,0,244003,31490,0.002624604975697608,0.12905579029766026
773572,0.630185,-1,7,7,4,4,28,28,7,14,0,7,0,769334,4238,0.00035322565535111033,0.005508660737728997
1000769,4.968544,-1,1,1,937,937,937,937,673,254,6,4,0,779143,221626,0.018471918143663325,0.28444842602705794
429761,0.213574,-1,1,1,13,13,13,13,1,5,3,4,0,428366,1395,0.00011626941699263777,0.0032565609782288975
4259535,213.979253,-1,1,1,118335,17224,17224,17224,7196,8378,1602,48,0,729166,3530369,0.2942465558414922,4.841653340940198
2998021,0.480435,-1,1,1,17,17,17,17,6,4,3,4,0,2995287,2734,0.00022787138785510514,0.0009127672907470971
2526221,6.328637,-1,1,1,4849,101,101,101,60,21,15,5,0,2504483,21738,0.001811802571029362,0.00867963567730346
2175123,10.568367,-1,1,1,4849,1160,1160,1160,977,127,50,6,0,1889992,285131,0.023764885402528888,0.15086360153905412
426187,66.341658,3,1,1,340,153,153,153,0,0,0,153,0,490905,64718,0.005394067475935148,0.1318340615801428
532880,11.417536,-1,462,308,13,13,4004,1768,151,616,385,616,0,332558,200322,0.016696288280142784,0.6023671058882962
2191882,16.608757,-1,1,1,8353,1576,1576,1576,1361,169,40,6,0,1799612,392270,0.032694626669320444,0.21797476344901012
1008083,5.410688,-1,1,1,973,973,973,973,673,254,46,0,0,781552,226531,0.018880736416314856,0.28984763649763545
1369095,46.506641,-1,1,1,28452,3145,3145,3145,1815,462,800,68,0,725190,643905,0.05366771250798883,0.8879121333719439
2998527,0.326014,-1,1,1,17,17,17,17,6,4,3,4,0,2995643,2884,0.00024037347570377587,0.0009627315404405665
2263228,11.072964,-1,1,1,8257,248,248,248,210,28,3,7,0,2202534,60694,0.005058678132581474,0.027556441807481746
996566,11.472505,-1,1,1,5497,1113,1113,1113,782,295,35,1,0,735556,261010,0.021754466329210312,0.35484721761497423
334073,66.094788,3,1,1,288,108,108,108,0,0,0,108,0,438600,104527,0.008712038243720034,0.23831965344277245
1533524,0.580371,-1,7,7,13,13,91,42,0,7,14,21,0,1530391,3133,0.0002611269415325693,0.0020471892477151262
73421,1.70028,-1,54,36,17,17,612,259,70,72,27,90,0,38667,34754,0.002896650407284683,0.8988025965293402
3046322,93.177728,-1,1,1,38299,12600,12600,12600,1823,9911,802,64,0,731299,2315023,0.19295080611795504,3.165631294450013
495761,10.402319,-1,1,1,5401,944,944,866,820,37,0,9,0,274666,221095,0.018427660752679032,0.8049594780569855
445727,0.429204,-1,1,1,3,3,3,3,1,0,1,1,0,445302,425,3.54225822379004e-05,0.0009544084688593359
2765274,81.496664,-1,1,1,31028,11128,11128,11128,1479,8956,625,68,0,728820,2036454,0.16973284538517933,2.7941796328311517
436043,0.558855,-1,7,7,17,17,119,70,21,28,7,14,0,424412,11631,0.0009694118917859283,0.027404974411656596
3002844,0.170697,-1,1,1,13,13,13,13,1,5,3,4,0,3001126,1718,0.00014319057949344207,0.0005724518064219896
357186,6.192726,-1,378,252,9,9,2268,1190,119,0,378,693,0,273327,83859,0.006989417232677857,0.30680832848566003
445578,0.153473,-1,1,1,4,4,4,4,1,2,0,1,0,444928,650,5.4175714010906486e-05,0.0014609105293440737
1714622,0.039922,-1,1,1,1,1,1,1,0,0,0,0,1,1714622,0,0.0,0.0
989533,4.615169,-1,1,1,919,919,919,919,613,260,46,0,0,778518,211015,0.017587520449248356,0.27104704065930396
947391,3.468166,-1,1,1,676,676,676,676,613,30,29,4,0,779393,167998,0.014002171696006566,0.2155497932365315
2931888,0.33128,-1,1,1,42,42,42,42,16,14,4,7,1,2924868,7020,0.0005850977113177901,0.00240010831258026
105817,0.188366,-1,3,1,17,17,17,8,4,1,1,2,0,104631,1186,9.884984125682322e-05,0.011335072779577755
64579,0.140964,-1,1,1,13,13,13,6,0,3,1,2,0,63993,586,4.884148986214031e-05,0.00915725157439095
2928531,0.307598,-1,1,1,42,42,42,42,6,5,15,16,0,2924214,4317,0.00035981008828474357,0.0014762941426311482
440533,25.767368,-1,7,7,17863,246,1722,1656,23,275,1260,98,0,252091,188442,0.015706122922528064,0.7475157780325359
2755797,5.218905,-1,1,1,2617,483,483,483,197,214,64,8,0,2660326,95471,0.007957245526669621,0.035886955207745215
2997504,0.180003,-1,1,1,17,17,17,17,6,4,3,4,0,2994836,2668,0.00022237046920169,0.0008908668120725142
1715532,0.049379,-1,1,1,1,1,1,1,0,0,0,0,1,1715532,0,0.0,0.0
3001959,0.085708,-1,1,1,9,9,9,9,1,0,4,4,0,3001187,772,6.434407879449201e-05,0.00025723155538125413
1630261,8.955764,-1,1,1,5497,589,589,589,389,127,70,3,0,1498606,131655,0.010973082504778298,0.0878516434606561
695803,68.29531,3,1,1,425,221,221,221,0,0,0,221,0,624770,71033,0.005920405374364186,0.11369463962738288
868208,0.107647,-1,1,1,1,1,1,1,0,0,0,0,1,868208,0,0.0,0.0
5999286,0.082839,-1,21,7,1,1,7,7,0,0,0,0,7,5999286,0,0.0,0.0
295744,0.144571,-1,1,1,17,17,17,7,2,0,2,3,0,294821,923,7.692951389548721e-05,0.0031307132124238097
3004136,0.141754,-1,1,1,17,17,17,17,6,4,3,4,0,3001401,2735,0.00022795473510742962,0.0009112411170649973
175468,0.206713,-1,1,1,17,17,17,10,1,3,4,2,0,174124,1344,0.00011201870712408972,0.0077186372929636355
445107,10.245522,-1,1,1,5497,851,851,748,489,203,50,6,0,275375,169732,0.0141466958315372,0.6163667725828416
2483938,43.931585,-1,1,1,21178,4327,4327,4327,1869,2422,20,16,0,1561930,922008,0.07684683342118134,0.5903004616083948
964715,3.771362,-1,1,1,730,730,730,730,673,24,29,4,0,780568,184147,0.015348146473794457,0.23591410357585757
637831,16.272241,-1,1,1,8257,1758,1758,1511,1312,163,30,6,0,263141,374690,0.031229381973456233,1.4239134152412585
615552,68.336641,3,1,1,360,198,198,198,0,0,0,198,0,683595,68043,0.005671197089914016,0.0995370065609023
4530009,91.027424,-1,7,7,21069,2827,19789,18771,3609,14917,133,112,0,931557,3598452,0.2999210868214992,3.862836090545184
41821,0.281229,-1,1,1,17,17,17,7,4,0,2,1,0,40507,1314,0.00010951828955435558,0.03243883773175007
90470,0.129327,-1,1,1,13,13,13,4,0,1,0,3,0,90261,209,1.7419575735814546e-05,0.0023155072511937603
2997855,0.149534,-1,1,1,17,17,17,17,6,4,3,4,0,2995248,2607,0.00021728628680989725,0.0008703786798288489
119552,3.539476,-1,154,77,17,17,1309,693,0,308,308,77,0,32785,86767,0.00723179104243742,2.6465456763763915
2554191,26.589197,-1,7,7,8257,979,6853,3637,3392,0,189,56,0,1644441,909750,0.07582516280218797,0.5532275101387036
430133,0.258496,-1,1,1,17,17,17,17,1,5,8,3,0,428180,1953,0.00016277718378969287,0.004561165864823205
2240879,29.195999,-1,1,1,17819,1931,1931,1931,1698,25,192,16,0,1768490,472389,0.03937232517830478,0.26711431786439277
280523,0.374174,-1,1,1,13,13,13,6,1,1,1,3,0,279807,716,5.967663266432161e-05,0.002558906674958096
429572,0.149134,-1,1,1,13,13,13,13,1,5,3,4,0,427954,1618,0.00013485585426099492,0.0037807801773087762
430173,0.156261,-1,1,1,17,17,17,17,6,4,3,4,0,427475,2698,0.00022487088677142417,0.006311480203520674
737645,10.918914,-1,1,1,5401,912,912,912,713,180,18,1,0,514803,222842,0.018573268402489882,0.4328684953273388
2343906,17.267468,-1,1,1,8353,1682,1682,1682,1552,84,40,6,0,1916628,427278,0.035612447278695544,0.22293214958771343
857100,0.168207,-1,1,1,1,1,1,1,0,0,0,0,1,857100,0,0.0,0.0
1755448,14.829334,-1,1,1,8257,1088,1088,1088,783,252,50,3,0,1499821,255627,0.021305808069947682,0.1704383389751177
3421654,49.205221,-1,1,1,20966,5696,5696,5696,3267,2404,8,17,0,2135755,1285899,0.1071761484167856,0.6020816994458634
2928546,0.653404,-1,1,1,24,24,24,24,6,5,5,7,1,2925542,3004,0.00025037514598271246,0.001026818278459171
598584,5.415418,-1,462,308,5,5,1540,1531,300,615,616,0,0,346721,251863,0.02099208901219837,0.7264140331851835
2948647,41.391525,-1,1,1,21127,5178,5178,5178,2543,2608,10,17,0,1821621,1127026,0.09393452039823984,0.6186940093466204
317627,4.29821,-1,1,1,883,883,883,883,613,260,6,4,0,111294,206333,0.017197288613865182,1.8539454058619513
108814,0.14607,-1,1,1,17,17,17,9,3,4,0,2,0,107290,1524,0.0001270212125424946,0.014204492496970826
2030114,6.896501,-1,1,1,5401,179,179,179,120,42,12,5,0,1989720,40394,0.0033667289103947026,0.020301348933518284
993187,3.645868,-1,1,1,919,919,919,919,613,260,46,0,0,781426,211761,0.017649697499482413,0.27099303069004615
276486,3.027684,-1,1,1,649,649,649,649,613,0,32,4,0,111464,165022,0.013754130273088938,1.480495944879064
3119619,0.064602,-1,1,1,4,4,4,4,1,2,0,1,0,3118958,661,5.5092533786475674e-05,0.0002119297534625346
3002128,0.06951,-1,1,1,9,9,9,9,1,0,4,4,0,3001315,813,6.776131613979535e-05,0.00027088126371273925
3004183,0.111546,-1,1,1,17,17,17,17,6,4,3,4,0,3001410,2773,0.0002311219306957595,0.000923899100755978
868208,0.057609,-1,1,1,1,1,1,1,0,0,0,0,1,868208,0,0.0,0.0
423197,0.019953,-1,1,1,1,1,1,1,0,0,0,0,1,423197,0,0.0,0.0
1715532,0.034356,-1,1,1,1,1,1,1,0,0,0,0,1,1715532,0,0.0,0.0
68889,0.771388,-1,54,36,5,5,180,178,34,72,72,0,0,40073,28816,0.0024017344229819715,0.7190876650113542
1289261,19.008128,-1,7,7,5497,917,6419,1935,989,562,342,42,0,891826,397435,0.033125115227576336,0.4456418628745966
430844,0.159122,-1,1,1,17,17,17,17,6,4,3,4,0,428242,2602,0.0002168695505482749,0.006076003754886256
2788073,4.090091,-1,1,1,2521,300,300,300,78,189,23,10,0,2731262,56811,0.004735040751805551,0.020800274744788308
2910253,79.392748,-1,1,1,31792,12093,12093,12093,1237,9990,802,64,0,730608,2179645,0.18166742179277273,2.983330322142654
362689,0.242863,-1,1,1,13,13,13,9,1,4,0,4,0,361696,993,8.276382155820022e-05,0.0027453994514730603
3952946,191.863118,-1,1,1,116870,15100,15100,15100,7163,7244,625,68,0,724710,3228236,0.2690646004549426,4.454521118792345
