estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
103950,14.328843,-1,1,1,8257,289,289,289,240,28,18,3,0,100130,3820,0.005093333333333333,0.03815040447418356
48749,0.777899,-1,7,7,17,17,119,70,21,21,7,21,0,48189,560,0.0007466666666666666,0.011620909336155553
121868,7.590844,-1,1,1,8257,234,234,234,210,7,12,5,0,118647,3221,0.004294666666666666,0.027147757633989904
13694,72.716616,-1,1,1,108959,3158,3158,995,67,242,622,64,0,6796,6898,0.009197333333333333,1.015008828722778
27068,0.333417,-1,1,1,17,17,17,17,6,4,3,4,0,26935,133,0.00017733333333333333,0.004937813254130314
43485,21.186296,-1,1,1,19027,2994,2994,2268,518,1704,30,16,0,19329,24156,0.032208,1.2497283873971752
76726,68.949567,-1,1,1,110220,3484,3484,3484,473,1485,1475,51,0,47438,29288,0.039050666666666664,0.617395337071546
18253,2.006198,-1,7,7,2065,37,259,182,0,98,77,7,0,16924,1329,0.001772,0.07852753486173482
177594,5.769905,-1,1,1,5401,830,830,830,636,142,43,9,0,166797,10797,0.014396,0.06473138006079246
187425,0.203637,-1,1,1,17,17,17,17,6,4,3,4,0,187288,137,0.00018266666666666667,0.000731493742257913
190370,0.274509,-1,1,1,41,41,41,41,15,4,15,6,1,190017,353,0.00047066666666666665,0.001857728519027245
4902,0.144295,-1,27,9,1,1,9,9,0,0,0,0,9,4902,0,0.0,0.0
61172,3.392712,-1,1,1,937,937,937,937,673,254,6,4,0,49259,11913,0.015884,0.24184413000669927
188420,0.18798,-1,1,1,17,17,17,17,1,5,8,3,0,188301,119,0.00015866666666666666,0.0006319669040525541
156253,1.459033,-1,1,1,2065,41,41,41,0,21,15,5,0,155978,275,0.00036666666666666667,0.0017630691507776737
28687,86.685134,-1,7,7,115554,2708,18956,1669,105,238,850,476,0,19749,8938,0.011917333333333334,0.45257987746215
115448,3.871321,-1,1,1,5401,140,140,140,90,35,12,3,0,113717,1731,0.002308,0.01522199846988577
112633,21.360058,-1,1,1,19885,3515,3515,3515,2191,1300,10,14,0,68419,44214,0.058952,0.6462240021046786
14078,0.177861,-1,3,1,4,4,4,4,1,2,0,1,0,14035,43,5.7333333333333336e-05,0.0030637691485571783
27331,0.231452,-1,1,1,32,32,32,30,13,4,5,7,1,27103,228,0.000304,0.00841235287606538
19186,91.921468,3,1,1,450,108,108,108,0,0,0,108,0,21787,2601,0.003468,0.1193831183733419
156091,4.896369,-1,1,1,4945,545,545,545,419,41,79,6,0,149256,6835,0.009113333333333333,0.0457938039341802
142174,15.152388,-1,1,1,16658,2282,2282,2282,2069,48,148,17,0,111498,30676,0.04090133333333333,0.27512601122890096
18339,4.957743,-1,1,1,5401,819,819,323,197,102,18,6,0,14335,4004,0.005338666666666667,0.2793163585629578
99312,1.657777,-1,1,1,1969,175,175,175,0,159,10,6,0,97644,1668,0.002224,0.01708246282413666
75016,56.56698,-1,1,1,105318,2973,2973,2973,494,1590,825,64,0,48110,26906,0.035874666666666666,0.5592600290999792
54480,0.105086,-1,1,1,1,1,1,1,0,0,0,0,1,54480,0,0.0,0.0
54899,12.545691,-1,1,1,21003,1075,1075,1075,88,119,800,68,0,48056,6843,0.009124,0.14239637090061594
26848,0.122786,-1,1,1,9,9,9,9,1,0,4,4,0,26810,38,5.066666666666667e-05,0.0014173815740395376
45305,67.216157,3,1,1,425,221,221,221,0,0,0,221,0,42395,2910,0.00388,0.06864016983134803
