estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
13743.0,40.5833,3,1,1,85,85,85,85,0,0,0,85,0,20452,6709.0,0.011182896785313052,0.32803637786035594
137431.0,5.0555,-1,1,1,5401,879,879,879,605,237,28,9,0,125597,11834.0,0.019725503138678588,0.09422199574830609
12970.0,42.7902,3,1,1,360,198,198,198,0,0,0,198,0,21561,8591.0,0.014319908523270893,0.39845090672974354
14974.0,45.8127,3,1,1,90,90,90,90,0,0,0,90,0,24607,9633.0,0.016056766244286872,0.391473970821311
107676.0,4.5124,-1,1,1,4849,729,729,729,606,72,45,6,0,97781,9895.0,0.01649348094957112,0.10119552878371053
3751.0,47.0107,3,1,1,170,167,167,164,0,0,0,164,0,2862,889.0,0.001481829667930139,0.3106219426974144
30093.0,47.4528,3,1,1,425,119,119,119,0,0,0,119,0,30765,672.0,0.0011201232135534909,0.021843003412969283
1915.0,0.0907,-1,18,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
4740.0,46.3726,3,7,7,450,162,1134,451,0,0,0,451,0,4739,1.0,1.6668500201688853e-06,0.00021101498206372652
8594.0,47.1358,3,1,1,100,10,10,10,0,0,0,10,0,8485,109.0,0.0001816866521984085,0.012846199175014733
65765.0,53.4571,-1,1,1,108571,2443,2443,2443,413,1360,602,68,0,38410,27355.0,0.04559668230171986,0.7121843269981776
14440.0,49.8991,3,1,1,2250,126,126,126,0,0,0,126,0,12251,2189.0,0.00364873469414969,0.17867929148640926
79198.0,0.2099,-1,21,21,5,5,105,105,21,42,42,0,0,78045,1153.0,0.0019218780732547247,0.014773528092766993
7292.0,43.926,3,7,7,425,153,1071,233,0,0,0,233,0,4795,2497.0,0.004162124500361707,0.5207507820646506
94150.0,42.1329,3,1,1,100,14,14,14,0,0,0,14,0,89802,4348.0,0.007247463887694313,0.04841762989688426
47687.0,13.2506,-1,1,1,24776,1059,1059,1059,110,81,800,68,0,38524,9163.0,0.015273346734807496,0.23785172879244107
141433.0,1.4077,-1,1,1,2521,101,101,101,60,28,6,7,0,140118,1315.0,0.002191907776522084,0.00938494697326539
6799.0,40.7087,3,1,1,340,17,17,17,0,0,0,17,0,9887,3088.0,0.005147232862281518,0.31232932133104074
33120.0,40.0099,3,1,1,450,216,216,216,0,0,0,216,0,31390,1730.0,0.0028836505348921715,0.05511309334182861
58840.0,39.5931,3,1,1,80,9,9,9,0,0,0,9,0,56329,2511.0,0.004185460400644071,0.04457739352731275
27915.0,34.1044,3,1,1,71,71,71,71,0,0,0,70,1,22382,5533.0,0.009222681161594443,0.2472075775176481
8780.0,49.3831,3,1,1,200,8,8,8,0,0,0,8,0,9093,313.0,0.000521724056312861,0.03442208292092819
4893.0,47.0039,3,1,1,180,180,180,179,0,0,0,179,0,3773,1120.0,0.0018668720225891516,0.29684601113172543
5896.0,3.0561,-1,1,1,973,970,970,273,141,112,20,0,0,2398,3498.0,0.00583064137055076,1.4587155963302751
49293.0,2.5808,-1,1,1,739,735,735,735,669,24,39,3,0,39156,10137.0,0.01689685865445199,0.2588875268158137
50270.0,17.3488,-1,1,1,27926,1415,1415,1414,94,280,976,64,0,37594,12676.0,0.02112899085566079,0.3371814651274139
49230.0,2.8071,-1,1,1,730,727,727,727,670,24,29,4,0,39215,10015.0,0.016693502951991387,0.25538696927196225
7003.0,61.6045,3,7,7,72,72,504,475,0,0,0,475,0,9441,2438.0,0.004063780349171742,0.2582353564241076
11772.0,2.8821,-1,1,1,739,736,736,446,380,24,39,3,0,5772,6000.0,0.010001100121013311,1.0395010395010396
26196.0,194.9518,-1,1,1,445451,7441,7441,1853,347,1260,246,0,0,4045,22151.0,0.036922394796760974,5.476143386897404
14394.0,11.3093,-1,1,1,16576,1958,1958,649,423,27,182,17,0,6517,7877.0,0.013129777608870309,1.2086849777504987
17309.0,48.0911,3,1,1,450,216,216,216,0,0,0,216,0,19375,2066.0,0.003443712141668917,0.10663225806451612
100514.0,496.5756,-1,1,1,442609,6063,6063,6060,2072,3912,70,6,0,23531,76983.0,0.12831911510266128,3.27155666992478
558.0,0.0991,-1,1,1,13,13,13,7,0,3,3,1,0,504,54.0,9.000990108911981e-05,0.10714285714285714
