estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
1942.0,0.4085,-1,18,18,17,17,306,69,6,9,9,45,0,1601,341.0,0.0005683958568775899,0.21299188007495315
21678.0,0.074,-1,1,1,17,17,17,17,6,4,3,4,0,21504,174.0,0.000290031903509386,0.008091517857142858
52120.0,5.671,-1,1,1,8257,1047,1047,1047,864,147,35,1,0,37878,14242.0,0.023739277987245264,0.3759966207297112
13250.0,3.3486,-1,1,1,5401,722,722,341,105,197,36,3,0,9107,4143.0,0.006905759633559692,0.4549247831338531
32533.0,36.0712,3,1,1,360,198,198,198,0,0,0,198,0,34217,1684.0,0.002806975433964403,0.04921530233509659
21262.0,0.023,-1,1,1,1,1,1,1,0,0,0,0,1,21262,0.0,0.0,0.0
7175.0,0.0423,-1,1,1,9,9,9,5,0,0,1,4,0,7159,16.0,2.6669600322702165e-05,0.0022349490152255903
66276.0,17.7717,-1,1,1,31086,2623,2623,2623,86,1671,802,64,0,38379,27897.0,0.04650011501265139,0.7268818885327913
51928.0,2.4268,-1,1,1,973,970,970,970,670,254,46,0,0,39130,12798.0,0.021332346558121395,0.32706363404037825
32728.0,32.2852,3,1,1,360,198,198,198,0,0,0,198,0,32209,519.0,0.0008650951604676514,0.016113508646651557
51118.0,2.58,-1,1,1,919,916,916,916,610,260,46,0,0,39020,12098.0,0.020165551544003173,0.31004613018964633
22493.0,35.557,3,1,1,425,153,153,153,0,0,0,153,0,24902,2409.0,0.004015441698586844,0.09673921773351538
20129.0,0.0974,-1,1,1,17,17,17,10,3,0,3,4,0,20069,60.0,0.00010001100121013311,0.002989685584732672
31854.0,35.0137,3,1,1,450,216,216,216,0,0,0,216,0,30897,957.0,0.0015951754693016233,0.030973880959316438
8796.0,2.9296,-1,3,3,5401,157,471,132,84,28,12,8,0,7114,1682.0,0.002803641733924065,0.23643519820073094
1847.0,2.6584,-1,1,1,5497,171,171,47,13,28,5,1,0,1244,603.0,0.0010051105621618377,0.4847266881028939
21601.0,0.0829,-1,1,1,17,17,17,17,6,4,3,4,0,21438,163.0,0.0002716965532875283,0.007603321205336319
144417.0,1.9295,-1,1,1,2617,334,334,334,86,179,61,8,0,140545,3872.0,0.006454043278093923,0.027549895051407022
21139.0,0.0112,-1,1,1,1,1,1,1,0,0,0,0,1,21139,0.0,0.0,0.0
0.0,0.0538,-1,1,0,21,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0
134295.0,3.5534,-1,1,1,8353,217,217,217,180,14,18,5,0,131375,2920.0,0.004867202058893145,0.022226450999048526
49604.0,1.9164,-1,1,1,730,728,728,728,671,24,29,4,0,39480,10124.0,0.016875189604189794,0.2564336372847011
11303.0,0.0358,-1,3,3,3,3,9,9,3,0,3,3,0,11225,78.0,0.00013001430157317306,0.0069487750556792875
11730.0,2.9105,-1,1,1,5497,520,520,244,108,98,35,3,0,8667,3063.0,0.005105561611777295,0.35340948425060575
151146.0,0.0506,-1,1,1,13,13,13,13,1,5,3,4,0,151044,102.0,0.0001700187020572263,0.0006752999126082466
22127.0,0.1606,-1,1,1,50,50,50,41,6,14,4,17,0,21833,294.0,0.0004900539059296522,0.01346585444052581
2378.0,0.0419,-1,22,11,1,1,11,11,0,0,0,0,11,2378,0.0,0.0,0.0
65969.0,51.2739,-1,1,1,110479,2524,2524,2524,393,1461,602,68,0,37810,28159.0,0.04693682971793564,0.7447500661200741
5303.0,45.3854,-1,1,1,102470,2279,2279,393,17,97,211,68,0,2105,3198.0,0.005330586364500095,1.5192399049881236
156496.0,0.0582,-1,1,1,4,4,4,4,1,2,0,1,0,156457,39.0,6.500715078658653e-05,0.0002492697674121324
151491.0,0.0804,-1,1,1,21,21,21,21,6,4,8,3,0,151296,195.0,0.0003250357539329326,0.0012888642131979695
101868.0,3.7991,-1,1,1,8257,263,263,263,210,35,15,3,0,98338,3530.0,0.005883980571196165,0.03589660151721613
71956.0,19.6801,-1,1,1,28660,3327,3327,3327,66,1589,1624,48,0,38626,33330.0,0.055556111172228945,0.8628902811577693
5552.0,0.1792,-1,1,1,40,40,40,27,1,4,15,6,1,5361,191.0,0.0003183683538522571,0.03562768140272337
139080.0,1.2684,-1,1,1,2521,64,64,64,30,21,6,7,0,138301,779.0,0.0012984761657115617,0.0056326418464074735
11061.0,0.1509,-1,1,1,40,40,40,33,8,13,4,7,1,10729,332.0,0.0005533942066960699,0.030944170006524375
5395.0,0.0823,-1,1,1,23,23,23,18,0,5,5,7,1,5279,116.0,0.0001933546023395907,0.021973858685357076
0.0,11.06,-1,7,0,19292,3365,0,0,0,0,0,0,0,0,0.0,0.0,0.0
22371.0,33.76,3,1,1,425,153,153,153,0,0,0,153,0,20713,1658.0,0.002763637333440012,0.08004634770434027
5641.0,0.1795,-1,1,1,41,41,41,37,2,14,14,6,1,5343,298.0,0.0004967213060103279,0.05577390978850833
21544.0,0.0548,-1,1,1,13,13,13,13,1,5,3,4,0,21440,104.0,0.00017335240209756406,0.004850746268656716
8887.0,2.9687,-1,3,3,676,672,2016,372,274,48,40,10,0,4124,4763.0,0.0079392066460644,1.1549466537342385
85204.0,1.3769,-1,21,7,1969,69,483,112,0,0,84,28,0,84509,695.0,0.0011584607640173752,0.008223976144552652
31419.0,35.4317,3,1,1,450,216,216,216,0,0,0,216,0,27935,3484.0,0.005807305470268396,0.12471809557902273
33063.0,35.0616,3,1,1,450,216,216,216,0,0,0,216,0,31308,1755.0,0.0029253217853963936,0.056055960137983904
17545.0,35.8881,3,1,1,450,108,108,108,0,0,0,108,0,19815,2270.0,0.0037837495457833693,0.11455967701236437
20109.0,3.3312,-1,1,1,5401,451,451,234,59,141,25,9,0,17398,2711.0,0.004518830404677848,0.1558225083342913
18217.0,17.0844,-1,21,21,5497,818,17178,1097,148,816,133,0,0,5128,13089.0,0.021817399913990537,2.552457098283931
11234.0,0.1139,-1,1,1,24,24,24,23,5,5,5,7,1,11071,163.0,0.0002716965532875283,0.01472315057357059
150274.0,0.0659,-1,1,1,17,17,17,17,6,4,3,4,0,150099,175.0,0.0002916987535295549,0.0011658971745314758
22465.0,0.0179,-1,1,1,3,3,3,3,1,0,1,1,0,22442,23.0,3.833755046388436e-05,0.0010248640941092593
151381.0,0.0613,-1,1,1,17,17,17,17,6,4,3,4,0,151215,166.0,0.00027669710334803495,0.0010977746916641868
28180.0,10.6298,-1,1,1,16231,2364,2364,1165,944,11,194,16,0,13017,15163.0,0.025274446855820806,1.1648613351770762
13556.0,15.2198,-1,1,1,27680,2635,2635,926,4,278,580,64,0,5437,8119.0,0.01353315531375118,1.4932867390104838
127177.0,3.6267,-1,1,1,5401,917,917,917,622,276,10,9,0,114915,12262.0,0.02043891494731087,0.10670495583692294
11184.0,0.0268,-1,1,1,3,3,3,3,1,0,1,1,0,11159,25.0,4.167125050422213e-05,0.0022403441168563493
27594.0,8.5884,-1,1,1,15547,1681,1681,938,746,11,164,17,0,15528,12066.0,0.02011221234335777,0.777047913446677
8451.0,0.1023,-1,1,1,17,17,17,6,2,2,0,2,0,8398,53.0,8.834305106895091e-05,0.006311026434865444
156266.0,0.0251,-1,1,1,4,4,4,4,1,2,0,1,0,156211,55.0,9.167675110928869e-05,0.00035208788113513134
150734.0,0.0504,-1,1,1,17,17,17,17,6,4,3,4,0,150575,159.0,0.00026502915320685276,0.0010559521832973601
5032.0,0.0362,-1,1,1,13,13,13,5,0,2,0,3,0,5006,26.0,4.3338100524391014e-05,0.0051937674790251695
21596.0,34.8106,3,1,1,340,153,153,153,0,0,0,153,0,26467,4871.0,0.00811922644824264,0.1840405032682208
110305.0,4.1164,-1,1,1,8257,272,272,272,210,42,15,5,0,106678,3627.0,0.006045665023152547,0.03399951255179137
11235.0,0.1049,-1,1,1,23,23,23,18,0,5,5,7,1,11124,111.0,0.00018502035223874627,0.009978425026968716
21720.0,0.0522,-1,1,1,13,13,13,13,1,5,3,4,0,21597,123.0,0.00020502255248077287,0.005695235449367968
1915.0,0.0344,-1,9,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
21956.0,0.0621,-1,1,1,17,17,17,17,6,4,3,4,0,21806,150.0,0.0002500275030253328,0.006878840686049711
137530.0,4.9732,-1,1,1,8257,800,800,800,626,117,48,9,0,126784,10746.0,0.017911970316734842,0.08475832912670368
2820.0,192.5794,-1,54,36,104242,3342,120312,470,3,16,196,255,0,506,2314.0,0.0038570909466708004,4.573122529644269
79565.0,0.1137,-1,7,7,5,5,35,35,7,14,14,0,0,79190,375.0,0.0006250687575633319,0.0047354463947468116
6787.0,0.0727,-1,3,3,9,9,27,12,2,0,4,6,0,6727,60.0,0.00010001100121013311,0.008919280511372083
5463.0,0.0231,-1,1,1,4,4,4,4,1,2,0,1,0,5416,47.0,7.834195094793761e-05,0.008677991137370753
106767.0,5.1644,-1,1,1,8257,783,783,783,615,159,0,9,0,95990,10777.0,0.017963642667360075,0.11227211167829983
2061.0,4.7627,-1,1,1,8257,932,932,97,36,49,11,1,0,861,1200.0,0.0020002200242026625,1.3937282229965158
68329.0,45.0768,-1,1,1,107383,2719,2719,2718,439,1413,802,64,0,38436,29893.0,0.049827147652908486,0.777734415651993
152379.0,0.1849,-1,1,1,50,50,50,50,5,15,14,16,0,151993,386.0,0.0006434041077851897,0.0025395906390425875
65109.0,5.894,-1,1,1,16580,258,258,257,10,49,184,14,0,62811,2298.0,0.0038304213463480983,0.03658594832115394
43473.0,0.0185,-1,1,1,1,1,1,1,0,0,0,0,1,43473,0.0,0.0,0.0
38672.0,0.0571,-1,7,7,4,4,28,28,7,14,0,7,0,38407,265.0,0.0004417152553447546,0.006899783893561069
150831.0,0.0314,-1,1,1,9,9,9,9,1,0,4,4,0,150782,49.0,8.167565098827538e-05,0.0003249724768208407
21633.0,0.0516,-1,1,1,17,17,17,17,6,4,3,4,0,21469,164.0,0.0002733634033076972,0.007638921235269458
1205.0,0.3735,-1,18,18,21,21,378,68,8,6,36,18,0,709,496.0,0.0008267576100037671,0.6995768688293371
1499.0,2.5274,-1,1,1,4849,527,527,33,15,0,16,2,0,1155,344.0,0.0005733964069380965,0.29783549783549784
5606.0,0.1348,-1,1,1,41,41,41,36,2,3,15,16,0,5375,231.0,0.0003850423546590125,0.04297674418604651
0.0,0.0106,-1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
136696.0,2.1185,-1,1,1,5401,161,161,161,120,28,6,7,0,134558,2138.0,0.0035637253431210765,0.015889058993147936
51982.0,2.2222,-1,1,1,973,970,970,970,670,254,46,0,0,39001,12981.0,0.0216373801118123,0.3328376195482167
4946.0,12.8837,-1,54,36,2617,399,14364,490,5,110,353,22,0,699,4247.0,0.007079112035657256,6.075822603719599
0.0,0.072,-1,1,0,17,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0
52575.0,2.6168,-1,1,1,973,971,971,971,671,254,46,0,0,39537,13038.0,0.021732390562961924,0.3297670536459519
