estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
17696.0,2.3714,4,1,1,20,5,5,5,0,0,0,0,5,20452,2756.0,0.004593838655585447,0.13475454723254449
134250.0,15.1793,-1,1,1,5401,879,879,879,605,237,28,9,0,125597,8653.0,0.014423253224521364,0.06889495768211024
12869.0,126.9948,3,1,1,7560,342,342,342,0,0,0,342,0,21561,8692.0,0.01448826037530795,0.4031352905709383
34093.0,0.8886,4,1,1,40,10,10,10,0,0,0,0,10,24607,9486.0,0.015811739291322045,0.3855000609582639
105164.0,13.4301,-1,1,1,4849,729,729,729,606,72,45,6,0,97781,7383.0,0.01230635369890688,0.0755054662971334
6355.0,1.1289,4,1,1,100,20,20,20,0,0,0,0,20,2862,3493.0,0.005822307120449916,1.2204751921733055
21916.0,89.0908,4,1,1,16,6,6,6,0,0,0,0,6,30765,8849.0,0.014749955828474465,0.28763204940679343
1915.0,0.2012,-1,18,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
460.0,73.534,4,7,7,40,8,56,55,0,0,0,0,55,4739,4279.0,0.00713245123630266,0.9029331082506858
9610.0,83.8712,3,1,1,70000,2535,2535,1743,0,0,0,1743,0,8485,1125.0,0.001875206272689996,0.13258691809074838
56099.0,110.8437,-1,1,1,108571,2443,2443,2443,413,1360,602,68,0,38410,17689.0,0.029484910006767413,0.46053111168966415
14497.0,169.3055,3,1,1,15750,455,455,455,0,0,0,455,0,12251,2246.0,0.003743745145299316,0.18333197290017142
78787.0,0.7209,-1,21,21,5,5,105,105,21,42,42,0,0,78045,742.0,0.0012368027149653128,0.009507335511563842
0.0,62.1054,4,7,7,32,15,105,0,0,0,0,0,0,4795,4795.0,0.007992545846709805,1.0
96380.0,78.4567,3,1,1,70000,3609,3609,3609,0,0,0,3609,0,89802,6578.0,0.010964539432670927,0.07325003897463309
599934.0,7.555,5,1,1,4000,397,397,397,0,0,0,0,397,38524,561410.0,0.9357862698230138,14.572993458623197
141043.0,3.5352,-1,1,1,2521,101,101,101,60,28,6,7,0,140118,925.0,0.0015418362686562188,0.006601578669407214
0.0,128.7493,4,1,1,16,0,0,0,0,0,0,0,0,9887,9887.0,0.016480146149409767,1.0
42869.0,108.958,4,1,1,40,10,10,10,0,0,0,0,10,31390,11479.0,0.019133771381518633,0.36568971009875756
60215.0,69.9739,3,1,1,56000,2300,2300,2300,0,0,0,2300,0,56329,3886.0,0.006477379178376288,0.06898755525572974
27536.0,0.6752,4,1,1,50,10,10,10,0,0,0,0,10,22382,5154.0,0.008590945003950435,0.23027432758466626
8967.0,169.6695,3,1,1,20000,341,341,341,0,0,0,341,0,9093,126.0,0.00021002310254127955,0.013856812933025405
5032.0,76.6749,3,1,1,75600,890,890,749,0,0,0,749,0,3773,1259.0,0.0020985641753926264,0.3336867214418235
43492.0,9.1302,5,1,1,4000,397,397,219,0,0,0,0,219,2398,41094.0,0.06849753472882017,17.136780650542118
46824.0,6.4701,-1,1,1,739,735,735,735,669,24,39,3,0,39156,7668.0,0.012781405954655012,0.19583205638982532
44853.0,93.5533,4,1,1,8,6,6,6,0,0,0,0,6,37594,7259.0,0.012099664296405938,0.1930893227642709
46934.0,6.2707,-1,1,1,730,727,727,727,670,24,29,4,0,39215,7719.0,0.012866415305683625,0.19683794466403162
16632.0,1.0322,4,7,7,50,10,70,70,0,0,0,0,70,9441,7191.0,0.011986318495034454,0.7616777883698761
10366.0,4.2394,-1,1,1,739,736,736,446,380,24,39,3,0,5772,4594.0,0.007657508992655859,0.795911295911296
6624.0,104.1745,3,1,1,105000,1455,1455,1142,0,0,0,1142,0,4045,2579.0,0.004298806202015555,0.6375772558714462
12032.0,24.4116,-1,1,1,16576,1958,1958,649,423,27,182,17,0,6517,5515.0,0.009192677861231402,0.8462482737455884
17181.0,158.164,3,1,1,9450,378,378,378,0,0,0,378,0,19375,2194.0,0.0036570689442505344,0.11323870967741935
14886.0,52.578,3,1,1,52500,546,546,546,0,0,0,546,0,23531,8645.0,0.014409918424360013,0.3673877013301602
541.0,0.1726,-1,1,1,13,13,13,7,0,3,3,1,0,504,37.0,6.167345074624876e-05,0.07341269841269842
371501.0,5.0195,5,1,1,2000,157,157,157,0,0,0,0,157,39597,331904.0,0.5532341890941337,8.382049145137257
3860.0,196.1468,3,1,1,66150,864,864,658,0,0,0,658,0,3475,385.0,0.0006417372577650208,0.11079136690647481
12107.0,150.1,3,1,1,9450,378,378,378,0,0,0,378,0,15614,3507.0,0.005845643020732281,0.2246061227103881
32270.0,90.2851,3,1,1,84000,1108,1108,1108,0,0,0,1108,0,29268,3002.0,0.005003883760546993,0.1025693590269236
5203.0,4.9475,-1,1,1,937,933,933,290,159,128,0,3,0,2495,2708.0,0.004513829854617341,1.0853707414829659
87630.0,89.8787,4,1,1,160,35,35,35,0,0,0,0,35,36393,51237.0,0.08540439448339317,1.4078806363861183
24944.0,524.2793,3,1,1,10080,921,921,921,0,0,0,921,0,27281,2337.0,0.003895428497134685,0.0856640152487079
14094.0,0.3537,-1,3,3,21,21,63,25,6,4,8,7,0,13973,121.0,0.0002016888524404351,0.008659557718457025
3289.0,81.3905,4,1,1,8,6,6,6,0,0,0,0,6,2174,1115.0,0.001858537772488307,0.5128794848206072
22772.0,269.8621,3,1,1,15750,652,652,652,0,0,0,652,0,25384,2612.0,0.004353812252681128,0.10289946422943587
96235.0,90.4105,3,1,1,70000,4082,4082,4082,0,0,0,4082,0,110019,13784.0,0.022975860678007914,0.1252874503494851
14598.0,127.8935,3,1,1,6800,306,306,306,0,0,0,306,0,21580,6982.0,0.011637946840819157,0.32354031510658016
85856.0,0.1474,-1,1,1,1,1,1,1,0,0,0,0,1,85856,0.0,0.0,0.0
79453.0,0.2799,-1,7,7,5,5,35,35,7,14,14,0,0,79190,263.0,0.0004383815553044168,0.003321126404849097
1522.0,129.5768,3,1,1,50400,446,446,316,0,0,0,316,0,1380,142.0,0.00023669270286398171,0.10289855072463767
56399.0,111.6816,-1,1,1,110487,2575,2575,2575,384,1302,825,64,0,38666,17733.0,0.02955825140765484,0.4586199762064863
