estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
1813.0,10.2872,-1,18,18,17,17,306,69,6,9,9,45,0,1601,212.0,0.00035337220427580365,0.13241723922548407
21628.0,0.7519,-1,1,1,17,17,17,17,6,4,3,4,0,21504,124.0,0.00020668940250094178,0.005766369047619048
48678.0,27.1663,-1,1,1,8257,1047,1047,1047,864,147,35,1,0,37878,10800.0,0.01800198021782396,0.28512593061935687
11850.0,15.6311,-1,1,1,5401,722,722,341,105,197,36,3,0,9107,2743.0,0.0045721696053232525,0.30119688151971014
32299.0,66.8485,3,1,1,360,198,198,198,0,0,0,198,0,34217,1918.0,0.003197018338683922,0.05605400824151737
21262.0,0.2811,-1,1,1,1,1,1,1,0,0,0,0,1,21262,0.0,0.0,0.0
7170.0,0.3536,-1,1,1,9,9,9,5,0,0,1,4,0,7159,11.0,1.8335350221857736e-05,0.0015365274479675933
55219.0,26.621,-1,1,1,31086,2623,2623,2623,86,1671,802,64,0,38379,16840.0,0.028069754339644027,0.43878162536803983
48807.0,5.5287,-1,1,1,973,970,970,970,670,254,46,0,0,39130,9677.0,0.016130107645174304,0.2473038589317659
32519.0,44.9948,3,1,1,360,198,198,198,0,0,0,198,0,32209,310.0,0.0005167235062523545,0.009624639076034648
47858.0,5.4153,-1,1,1,919,916,916,916,610,260,46,0,0,39020,8838.0,0.014731620478252608,0.2264992311635059
22326.0,47.2502,3,1,1,425,153,153,153,0,0,0,153,0,24902,2576.0,0.0042938056519550485,0.10344550638502932
20131.0,0.498,-1,1,1,17,17,17,10,3,0,3,4,0,20069,62.0,0.00010334470125047089,0.003089341770890428
31652.0,43.3233,3,1,1,450,216,216,216,0,0,0,216,0,30897,755.0,0.0012584717652275083,0.02443602938796647
8323.0,3.4209,-1,3,3,5401,157,471,132,84,28,12,8,0,7114,1209.0,0.0020152216743841824,0.16994658420016867
1624.0,3.4597,-1,1,1,5497,171,171,47,13,28,5,1,0,1244,380.0,0.0006334030076641764,0.3054662379421222
21541.0,0.1985,-1,1,1,17,17,17,17,6,4,3,4,0,21438,103.0,0.00017168555207739517,0.004804552663494729
143094.0,2.4634,-1,1,1,2617,334,334,334,86,179,61,8,0,140545,2549.0,0.004248800701410488,0.01813653989825323
21139.0,0.1323,-1,1,1,1,1,1,1,0,0,0,0,1,21139,0.0,0.0,0.0
0.0,0.1868,-1,1,0,21,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0
133558.0,4.7528,-1,1,1,8353,217,217,217,180,14,18,5,0,131375,2183.0,0.0036387335940286764,0.016616555661274977
47186.0,3.2664,-1,1,1,730,728,728,728,671,24,29,4,0,39480,7706.0,0.01284474625542143,0.1951874366767984
11264.0,0.2699,-1,3,3,3,3,9,9,3,0,3,3,0,11225,39.0,6.500715078658653e-05,0.0034743875278396437
10764.0,4.4302,-1,1,1,5497,520,520,244,108,98,35,3,0,8667,2097.0,0.0034953844922941523,0.24195223260643822
151120.0,0.1486,-1,1,1,13,13,13,13,1,5,3,4,0,151044,76.0,0.0001266806015328353,0.0005031646407669288
22036.0,0.3507,-1,1,1,50,50,50,41,6,14,4,17,0,21833,203.0,0.0003383705540942837,0.009297851875601153
2378.0,0.1763,-1,22,11,1,1,11,11,0,0,0,0,11,2378,0.0,0.0,0.0
55799.0,60.7787,-1,1,1,110479,2524,2524,2524,393,1461,602,68,0,37810,17989.0,0.029984965012818075,0.47577360486643744
3952.0,53.8268,-1,1,1,102470,2279,2279,393,17,97,211,68,0,2105,1847.0,0.003078671987251931,0.8774346793349168
156479.0,0.2541,-1,1,1,4,4,4,4,1,2,0,1,0,156457,22.0,3.667070044371547e-05,0.00014061371495043367
151430.0,0.219,-1,1,1,21,21,21,21,6,4,8,3,0,151296,134.0,0.00022335790270263062,0.0008856810490693739
101042.0,5.6728,-1,1,1,8257,263,263,263,210,35,15,3,0,98338,2704.0,0.004507162454536666,0.027497000142366126
58110.0,26.1588,-1,1,1,28660,3327,3327,3327,66,1589,1624,48,0,38626,19484.0,0.03247690579297056,0.5044270698493243
5462.0,0.3574,-1,1,1,40,40,40,27,1,4,15,6,1,5361,101.0,0.0001683518520370574,0.018839768699869426
138807.0,2.1685,-1,1,1,2521,64,64,64,30,21,6,7,0,138301,506.0,0.000843426110205456,0.003658686488167114
10919.0,0.3456,-1,1,1,40,40,40,33,8,13,4,7,1,10729,190.0,0.0003167015038320882,0.017709012955541056
5342.0,0.1681,-1,1,1,23,23,23,18,0,5,5,7,1,5279,63.0,0.00010501155127063977,0.01193407842394393
0.0,13.2465,-1,7,0,19292,3365,0,0,0,0,0,0,0,0,0.0,0.0,0.0
22215.0,94.9473,3,1,1,425,153,153,153,0,0,0,153,0,20713,1502.0,0.0025036087302936654,0.07251484574904649
5524.0,0.6183,-1,1,1,41,41,41,37,2,14,14,6,1,5343,181.0,0.00030169985365056826,0.03387609956953023
21508.0,0.0911,-1,1,1,13,13,13,13,1,5,3,4,0,21440,68.0,0.00011334580137148419,0.003171641791044776
7649.0,2.6815,-1,3,3,676,672,2016,371,273,48,40,10,0,4124,3525.0,0.0058756463210953205,0.854752667313288
84880.0,1.5411,-1,21,7,1969,69,483,112,0,0,84,28,0,84509,371.0,0.0006184013574826564,0.004390064963495012
31189.0,36.1469,3,1,1,450,216,216,216,0,0,0,216,0,27935,3254.0,0.005423929965629553,0.11648469661714694
32842.0,36.9865,3,1,1,450,216,216,216,0,0,0,216,0,31308,1534.0,0.00255694793093907,0.04899706145394148
17417.0,34.0749,3,1,1,450,108,108,108,0,0,0,108,0,19815,2398.0,0.003997106348364986,0.12101942972495584
19229.0,3.5002,-1,1,1,5401,451,451,234,59,141,25,9,0,17398,1831.0,0.003052002386929229,0.10524198183699275
13565.0,11.3766,-1,21,21,5497,818,17178,1096,147,816,133,0,0,5128,8437.0,0.014063213620164884,1.6452808112324493
11188.0,0.1957,-1,1,1,24,24,24,23,5,5,5,7,1,11071,117.0,0.00019502145235975957,0.010568151025200976
150201.0,0.1658,-1,1,1,17,17,17,17,6,4,3,4,0,150099,102.0,0.0001700187020572263,0.0006795514960126317
22458.0,0.0465,-1,1,1,3,3,3,3,1,0,1,1,0,22442,16.0,2.6669600322702165e-05,0.0007129489350325283
151314.0,0.1175,-1,1,1,17,17,17,17,6,4,3,4,0,151215,99.0,0.00016501815199671964,0.0006546969546671957
24409.0,10.3972,-1,1,1,16231,2364,2364,1165,944,11,194,16,0,13017,11392.0,0.01898875542976394,0.8751632480602289
