estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
17696.0,0.1429,4,1,1,20,5,5,5,0,0,0,0,5,20452,2756.0,0.004593838655585447,0.13475454723254449
134673.0,4.1169,-1,1,1,5401,879,879,879,605,237,28,9,0,125597,9076.0,0.015128330783052802,0.07226287252084046
12872.0,38.1216,3,1,1,7560,342,342,342,0,0,0,342,0,21561,8689.0,0.014483259825247443,0.4029961504568434
34093.0,0.1453,4,1,1,40,10,10,10,0,0,0,0,10,24607,9486.0,0.015811739291322045,0.3855000609582639
105681.0,3.5066,-1,1,1,4849,729,729,729,606,72,45,6,0,97781,7900.0,0.013168115159334193,0.08079279205571635
6355.0,0.2303,4,1,1,100,20,20,20,0,0,0,0,20,2862,3493.0,0.005822307120449916,1.2204751921733055
21916.0,26.8778,4,1,1,16,6,6,6,0,0,0,0,6,30765,8849.0,0.014749955828474465,0.28763204940679343
1915.0,0.052,-1,18,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
460.0,24.0607,4,7,7,40,8,56,55,0,0,0,0,55,4739,4279.0,0.00713245123630266,0.9029331082506858
9692.0,35.1998,3,1,1,70000,2535,2535,1743,0,0,0,1743,0,8485,1207.0,0.0020118879743438443,0.14225103123158514
56682.0,48.5454,-1,1,1,108571,2443,2443,2443,413,1360,602,68,0,38410,18272.0,0.03045668356852587,0.4757094506638896
14496.0,64.6653,3,1,1,15750,455,455,455,0,0,0,455,0,12251,2245.0,0.0037420782952791473,0.1832503469104563
78812.0,0.2691,-1,21,21,5,5,105,105,21,42,42,0,0,78045,767.0,0.001278473965469535,0.00982766352745211
0.0,19.1859,4,7,7,32,15,105,0,0,0,0,0,0,4795,4795.0,0.007992545846709805,1.0
96333.0,33.2337,3,1,1,70000,3609,3609,3609,0,0,0,3609,0,89802,6531.0,0.01088619748172299,0.07272666533039353
43917.0,10.6728,-1,1,1,24776,1059,1059,1059,110,81,800,68,0,38524,5393.0,0.008989322158770798,0.13999065517599418
141047.0,1.2081,-1,1,1,2521,101,101,101,60,28,6,7,0,140118,929.0,0.0015485036687368943,0.006630126036626272
0.0,40.2878,4,1,1,16,0,0,0,0,0,0,0,0,9887,9887.0,0.016480146149409767,1.0
42869.0,34.6336,4,1,1,40,10,10,10,0,0,0,0,10,31390,11479.0,0.019133771381518633,0.36568971009875756
60270.0,27.8376,3,1,1,56000,2300,2300,2300,0,0,0,2300,0,56329,3941.0,0.006569055929485577,0.06996396172486641
27536.0,0.1643,4,1,1,50,10,10,10,0,0,0,0,10,22382,5154.0,0.008590945003950435,0.23027432758466626
8988.0,52.4195,3,1,1,20000,341,341,341,0,0,0,341,0,9093,105.0,0.00017501925211773294,0.011547344110854504
5081.0,32.1898,3,1,1,75600,890,890,749,0,0,0,749,0,3773,1308.0,0.0021802398263809017,0.3466737344288365
5009.0,3.4344,-1,1,1,973,970,970,273,141,112,20,0,0,2398,2611.0,0.004352145402660959,1.0888240200166805
47436.0,2.5793,-1,1,1,739,735,735,735,669,24,39,3,0,39156,8280.0,0.01380151816699837,0.2114618449279804
45149.0,15.745,-1,1,1,27926,1414,1414,1414,94,280,976,64,0,37594,7555.0,0.012593051902375928,0.20096291961483215
47322.0,2.0972,-1,1,1,730,727,727,727,670,24,29,4,0,39215,8107.0,0.013513153113509153,0.20673211781206172
16632.0,0.2418,4,7,7,50,10,70,70,0,0,0,0,70,9441,7191.0,0.011986318495034454,0.7616777883698761
10620.0,2.0948,-1,1,1,739,736,736,446,380,24,39,3,0,5772,4848.0,0.008080888897778755,0.83991683991684
6654.0,46.8479,3,1,1,105000,1455,1455,1142,0,0,0,1142,0,4045,2609.0,0.004348811702620622,0.6449938195302843
12504.0,8.3452,-1,1,1,16576,1958,1958,649,423,27,182,17,0,6517,5987.0,0.009979431070751115,0.918674236611938
17207.0,45.6707,3,1,1,9450,378,378,378,0,0,0,378,0,19375,2168.0,0.003613730843726143,0.11189677419354839
14860.0,18.417,3,1,1,52500,546,546,546,0,0,0,546,0,23531,8671.0,0.014453256524884404,0.3684926267476945
536.0,0.0811,-1,1,1,13,13,13,7,0,3,3,1,0,504,32.0,5.333920064540433e-05,0.06349206349206349
47818.0,1.818,-1,1,1,730,726,726,726,669,24,29,4,0,39597,8221.0,0.013703174015808405,0.2076167386418163
3839.0,56.485,3,1,1,66150,864,864,658,0,0,0,658,0,3475,364.0,0.0006067334073414743,0.10474820143884891
12103.0,41.7035,3,1,1,9450,378,378,378,0,0,0,378,0,15614,3511.0,0.005852310420812956,0.22486230306135518
32253.0,30.6327,3,1,1,84000,1108,1108,1108,0,0,0,1108,0,29268,2985.0,0.004975547310204122,0.10198851988519886
5385.0,2.0998,-1,1,1,937,933,933,290,159,128,0,3,0,2495,2890.0,0.004817196558288078,1.1583166332665331
87630.0,27.922,4,1,1,160,35,35,35,0,0,0,0,35,36393,51237.0,0.08540439448339317,1.4078806363861183
24970.0,49.0804,3,1,1,10080,921,921,921,0,0,0,921,0,27281,2311.0,0.003852090396610294,0.08471097100546168
14118.0,0.1322,-1,3,3,21,21,63,25,6,4,8,7,0,13973,145.0,0.00024169325292448836,0.010377155943605524
3589.0,8.4186,-1,1,1,21032,1045,1045,375,8,5,295,67,0,2174,1415.0,0.0023585927785389725,0.6508739650413984
22788.0,45.7585,3,1,1,15750,652,652,652,0,0,0,652,0,25384,2596.0,0.004327142652358426,0.10226914591868894
96190.0,32.1831,3,1,1,70000,4082,4082,4082,0,0,0,4082,0,110019,13829.0,0.023050868928915513,0.12569647060962197
14592.0,43.0086,3,1,1,6800,306,306,306,0,0,0,306,0,21580,6988.0,0.01164794794094017,0.3238183503243744
85856.0,0.0282,-1,1,1,1,1,1,1,0,0,0,0,1,85856,0.0,0.0,0.0
79428.0,0.0784,-1,7,7,5,5,35,35,7,14,14,0,0,79190,238.0,0.0003967103048001947,0.003005429978532643
1512.0,149.9535,3,1,1,50400,446,446,316,0,0,0,316,0,1380,132.0,0.00022002420266229285,0.09565217391304348
57387.0,41.6789,-1,1,1,110487,2575,2575,2575,384,1302,825,64,0,38666,18721.0,0.0312050992275817,0.48417214089898103
89998.0,5.7141,-1,1,1,8353,1114,1114,1114,886,157,68,3,0,78052,11946.0,0.019912190340937504,0.15305181161277098
120754.0,4.7772,-1,1,1,8257,649,649,649,490,121,29,9,0,113918,6836.0,0.0113945867378745,0.06000807598448007
3835.0,0.101,-1,1,1,21,21,21,10,3,3,4,0,0,3766,69.0,0.00011501265139165308,0.018321826872012746
156357.0,0.0212,-1,1,1,5,5,5,5,1,2,2,0,0,156316,41.0,6.83408508269243e-05,0.0002622892090381023
19273.0,47.7614,3,1,1,20000,762,762,762,0,0,0,762,0,18860,413.0,0.0006884090583297496,0.021898197242841994
19607.0,50.6365,3,1,1,18900,524,524,524,0,0,0,524,0,14051,5556.0,0.009261018712058327,0.3954166963205466
122053.0,3.4811,-1,1,1,5401,600,600,600,492,72,27,9,0,115540,6513.0,0.01085619418135995,0.05637008828111476
125146.0,15.327,-1,1,1,19920,3934,3934,3934,1949,1941,28,16,0,86312,38834.0,0.06473045368323849,0.44992585040318844
74895.0,1.3654,-1,1,1,2521,203,203,203,0,197,0,6,0,73318,1577.0,0.002628622481806332,0.02150904279985815
3128.0,14.2164,3,1,1,37800,450,450,410,0,0,0,410,0,3814,686.0,0.0011434591138358553,0.17986366019926586
6339.0,0.1937,4,1,1,80,20,20,20,0,0,0,0,20,3162,3177.0,0.005295582514076549,1.0047438330170777
301.0,1.7707,-1,1,1,865,859,859,23,8,12,2,1,0,91,210.0,0.0003500385042354659,2.3076923076923075
9656.0,49.6869,3,1,1,10000,311,311,311,0,0,0,311,0,17805,8149.0,0.013583160814356246,0.4576804268463915
150184.0,0.106,-1,1,1,17,17,17,17,6,4,3,4,0,150065,119.0,0.00019835515240009734,0.0007929897044614
14479.0,23.5065,3,1,1,60480,560,560,560,0,0,0,560,0,12083,2396.0,0.003993772648324649,0.19829512538276917
