estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
1799.0,2.944,-1,18,18,17,17,306,69,6,9,9,45,0,1601,198.0,0.0003300363039934393,0.12367270455965022
21633.0,0.1883,-1,1,1,17,17,17,17,6,4,3,4,0,21504,129.0,0.0002150236526017862,0.005998883928571429
49517.0,8.0129,-1,1,1,8257,1047,1047,1047,864,147,35,1,0,37878,11639.0,0.019400467384745657,0.3072759913406199
12115.0,4.2865,-1,1,1,5401,722,722,341,105,197,36,3,0,9107,3008.0,0.005013884860668007,0.33029537718238716
32957.0,56.8945,3,1,1,52920,1248,1248,1248,0,0,0,1248,0,34217,1260.0,0.0021002310254127953,0.03682380103457346
21262.0,0.1116,-1,1,1,1,1,1,1,0,0,0,0,1,21262,0.0,0.0,0.0
7164.0,0.0888,-1,1,1,9,9,9,5,0,0,1,4,0,7159,5.0,8.334250100844426e-06,0.0006984215672579969
56461.0,15.8807,-1,1,1,31086,2623,2623,2623,86,1671,802,64,0,38379,18082.0,0.030139982064693784,0.4711430730347325
49472.0,2.992,-1,1,1,973,970,970,970,670,254,46,0,0,39130,10342.0,0.01723856290858661,0.26429849220546897
42602.0,26.8842,4,1,1,40,9,9,9,0,0,0,0,9,32209,10393.0,0.017323572259615224,0.32267378682976805
48554.0,3.2717,-1,1,1,919,916,916,916,610,260,46,0,0,39020,9534.0,0.015891748092290152,0.2443362378267555
22748.0,83.399,3,1,1,62475,863,863,863,0,0,0,863,0,24902,2154.0,0.0035903949434437786,0.08649907637940728
20113.0,0.1805,-1,1,1,17,17,17,10,3,0,3,4,0,20069,44.0,7.334140088743095e-05,0.0021924360954706265
21238.0,32.0414,4,1,1,20,4,4,4,0,0,0,0,4,30897,9659.0,0.016100104344811263,0.312619348156779
8385.0,5.7592,-1,3,3,5401,157,471,132,84,28,12,8,0,7114,1271.0,0.0021185663756346533,0.17866179364633117
1610.0,4.8673,-1,1,1,5497,171,171,47,13,28,5,1,0,1244,366.0,0.000610067107381812,0.2942122186495177
21572.0,0.1626,-1,1,1,17,17,17,17,6,4,3,4,0,21438,134.0,0.00022335790270263062,0.00625058307677955
143302.0,3.0571,-1,1,1,2617,334,334,334,86,179,61,8,0,140545,2757.0,0.004595505505605617,0.019616492938204846
21139.0,0.0719,-1,1,1,1,1,1,1,0,0,0,0,1,21139,0.0,0.0,0.0
0.0,0.0969,-1,1,0,21,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0
133716.0,6.8407,-1,1,1,8353,217,217,217,180,14,18,5,0,131375,2341.0,0.0039020958972153606,0.017819219790675547
47871.0,2.3873,-1,1,1,730,728,728,728,671,24,29,4,0,39480,8391.0,0.013986538519237117,0.21253799392097264
11278.0,0.1341,-1,3,3,3,3,9,9,3,0,3,3,0,11225,53.0,8.834305106895091e-05,0.004721603563474387
10933.0,5.1566,-1,1,1,5497,520,520,244,108,98,35,3,0,8667,2266.0,0.003777082145702694,0.2614514826352833
151117.0,0.111,-1,1,1,13,13,13,13,1,5,3,4,0,151044,73.0,0.00012168005147232862,0.00048330287863139216
22055.0,0.2395,-1,1,1,50,50,50,41,6,14,4,17,0,21833,222.0,0.00037004070447749254,0.010168094169376632
2378.0,0.0975,-1,22,11,1,1,11,11,0,0,0,0,11,2378,0.0,0.0,0.0
56968.0,77.2264,-1,1,1,110479,2524,2524,2524,393,1461,602,68,0,37810,19158.0,0.0319335126863955,0.5066913514943137
4104.0,72.8461,-1,1,1,102470,2279,2279,393,17,97,211,68,0,2105,1999.0,0.0033320331903176014,0.9496437054631829
156482.0,0.3964,-1,1,1,4,4,4,4,1,2,0,1,0,156457,25.0,4.167125050422213e-05,0.00015978831244367462
151448.0,0.0938,-1,1,1,21,21,21,21,6,4,8,3,0,151296,152.0,0.0002533612030656706,0.001004653130287648
101225.0,3.6704,-1,1,1,8257,263,263,263,210,35,15,3,0,98338,2887.0,0.004812196008227572,0.029357928776261467
59007.0,18.1975,-1,1,1,28660,3327,3327,3327,66,1589,1624,48,0,38626,20381.0,0.03397207026106205,0.5276497695852534
5465.0,0.3014,-1,1,1,40,40,40,27,1,4,15,6,1,5361,104.0,0.00017335240209756406,0.019399365789964557
138836.0,1.2223,-1,1,1,2521,64,64,64,30,21,6,7,0,138301,535.0,0.0008917647607903536,0.003868374053694478
10961.0,0.1777,-1,1,1,40,40,40,33,8,13,4,7,1,10729,232.0,0.0003867092046791814,0.02162363687202908
5352.0,0.095,-1,1,1,23,23,23,18,0,5,5,7,1,5279,73.0,0.00012168005147232862,0.01382837658647471
0.0,9.6559,-1,7,0,19292,3365,0,0,0,0,0,0,0,0,0.0,0.0,0.0
642.0,36.8808,4,1,1,40,5,5,5,0,0,0,0,5,20713,20071.0,0.0334553467548097,0.9690049727224448
5555.0,0.2006,-1,1,1,41,41,41,37,2,14,14,6,1,5343,212.0,0.00035337220427580365,0.03967808347370391
