estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
17696.0,0.8024,4,1,1,20,5,5,5,0,0,0,0,5,20452,2756.0,0.004593838655585447,0.13475454723254449
599985.0,10.6928,5,1,1,4000,398,398,397,0,0,0,0,397,125597,474388.0,0.7907336473678771,3.7770647388074554
15227.0,140.9006,3,1,1,7560,343,343,342,0,0,0,342,0,21561,6334.0,0.01055782802774972,0.29377116089235195
34099.0,0.5024,4,1,1,40,10,10,10,0,0,0,0,10,24607,9492.0,0.01582174039144306,0.38574389401389847
599985.0,7.0457,5,1,1,4000,398,398,397,0,0,0,0,397,97781,502204.0,0.8370987475288948,5.136008017917591
6372.0,0.8508,4,1,1,100,20,20,20,0,0,0,0,20,2862,3510.0,0.005850643570792787,1.2264150943396226
21916.0,113.7725,4,1,1,16,6,6,6,0,0,0,0,6,30765,8849.0,0.014749955828474465,0.28763204940679343
1915.0,0.1235,-1,18,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
463.0,87.2337,4,7,7,40,8,56,55,0,0,0,0,55,4739,4276.0,0.007127450686242153,0.9023000633044946
21468.0,75.6319,3,1,1,70000,2550,2550,1743,0,0,0,1743,0,8485,12983.0,0.021640713811852636,1.5301119622863877
599985.0,5.5109,5,1,1,4000,398,398,397,0,0,0,0,397,38410,561575.0,0.9360613000763417,14.620541525644363
17628.0,166.3019,3,1,1,15750,458,458,455,0,0,0,455,0,12251,5377.0,0.008962652558448097,0.4389029466982287
185676.0,12.1514,5,21,21,2000,158,3318,1414,0,0,0,0,1414,78045,107631.0,0.17940473452079728,1.3790889871228138
0.0,70.6283,4,7,7,32,15,105,0,0,0,0,0,0,4795,4795.0,0.007992545846709805,1.0
120961.0,81.5881,3,1,1,70000,3630,3630,3609,0,0,0,3609,0,89802,31159.0,0.051937379778442296,0.3469744549119173
599985.0,5.9203,5,1,1,4000,398,398,397,0,0,0,0,397,38524,561461.0,0.9358712791740424,14.574317308690686
599985.0,8.4075,5,1,1,4000,398,398,397,0,0,0,0,397,140118,459867.0,0.7665293182250047,3.281998030231662
0.0,147.0173,4,1,1,16,0,0,0,0,0,0,0,0,9887,9887.0,0.016480146149409767,1.0
42870.0,126.5206,4,1,1,40,10,10,10,0,0,0,0,10,31390,11480.0,0.019135438231538803,0.36572156737814593
75979.0,63.8774,3,1,1,56000,2316,2316,2300,0,0,0,2300,0,56329,19650.0,0.032753602896318595,0.3488434021551954
27537.0,0.5384,4,1,1,50,10,10,10,0,0,0,0,10,22382,5155.0,0.008592611853970604,0.23031900634438388
11336.0,170.7577,3,1,1,20000,346,346,341,0,0,0,341,0,9093,2243.0,0.0037387445952388096,0.24667326514901572
10058.0,66.6909,3,1,1,75600,915,915,749,0,0,0,749,0,3773,6285.0,0.010476152376761444,1.6657831963954413
43531.0,4.463,5,1,1,4000,398,398,219,0,0,0,0,219,2398,41133.0,0.06856254187960675,17.15304420350292
371528.0,4.5877,5,1,1,2000,158,158,157,0,0,0,0,157,39156,332372.0,0.5540142749035727,8.488405352947186
599985.0,4.7964,5,1,1,4000,398,398,397,0,0,0,0,397,37594,562391.0,0.9374214496927995,14.959594616162153
371528.0,4.746,5,1,1,2000,158,158,157,0,0,0,0,157,39215,332313.0,0.5539159307523828,8.474129797271452
16644.0,0.8218,4,7,7,50,10,70,70,0,0,0,0,70,9441,7203.0,0.01200632069527648,0.7629488401652368
85941.0,7.5553,5,1,1,4000,398,398,371,0,0,0,0,371,5772,80169.0,0.13362969926691937,13.88929313929314
14244.0,89.1176,3,1,1,105000,1469,1469,1142,0,0,0,1142,0,4045,10199.0,0.01700020335570246,2.5213844252163162
43402.0,4.8719,5,1,1,4000,398,398,215,0,0,0,0,215,6517,36885.0,0.06148176299392933,5.659812797299371
19788.0,360.3609,3,1,1,9450,378,378,378,0,0,0,378,0,19375,413.0,0.0006884090583297496,0.021316129032258064
18593.0,45.4478,3,1,1,52500,559,559,546,0,0,0,546,0,23531,4938.0,0.008230905399593955,0.20985083506863286
521.0,6.2483,5,1,1,4000,398,398,67,0,0,0,0,67,504,17.0,2.8336450342871048e-05,0.03373015873015873
371528.0,4.3784,5,1,1,2000,158,158,157,0,0,0,0,157,39597,331931.0,0.5532791940446783,8.382731014975882
8013.0,182.0117,3,1,1,66150,879,879,658,0,0,0,658,0,3475,4538.0,0.007564165391526401,1.3058992805755396
14651.0,131.7546,3,1,1,9450,380,380,378,0,0,0,378,0,15614,963.0,0.0016051765694226365,0.06167541949532471
39815.0,80.9497,3,1,1,84000,1116,1116,1108,0,0,0,1108,0,29268,10547.0,0.017580267162721232,0.3603594369277026
43438.0,7.372,5,1,1,4000,398,398,216,0,0,0,0,216,2495,40943.0,0.06824584037577466,16.41002004008016
87634.0,106.446,4,1,1,160,35,35,35,0,0,0,0,35,36393,51241.0,0.08541106188347385,1.4079905476327865
31229.0,175.5952,3,1,1,10080,925,925,921,0,0,0,921,0,27281,3948.0,0.006580723879626759,0.14471610278215608
42823.0,8.4206,5,3,3,4000,398,1194,457,0,0,0,0,457,13973,28850.0,0.04808862308187234,2.064696199813927
21213.0,4.6182,5,1,1,4000,398,398,195,0,0,0,0,195,2174,19039.0,0.0317351575339954,8.757589696412143
27145.0,153.3506,3,1,1,15750,654,654,652,0,0,0,652,0,25384,1761.0,0.002935322885517407,0.06937440907658367
124193.0,160.0851,3,1,1,70000,4099,4099,4082,0,0,0,4082,0,110019,14174.0,0.02362593218587378,0.12883229260400475
16643.0,243.8928,3,1,1,6800,307,307,306,0,0,0,306,0,21580,4937.0,0.008229238549573786,0.22877664504170528
85856.0,0.0676,-1,1,1,1,1,1,1,0,0,0,0,1,85856,0.0,0.0,0.0
304346.0,12.9844,5,7,7,4000,398,2786,1528,0,0,0,0,1528,79190,225156.0,0.3753012831411455,2.8432377825483015
3595.0,166.5594,3,1,1,50400,457,457,316,0,0,0,316,0,1380,2215.0,0.0036920727946740807,1.605072463768116
599985.0,5.5154,5,1,1,4000,398,398,397,0,0,0,0,397,38666,561319.0,0.9356345864711785,14.517120984844567
599985.0,6.9925,5,1,1,4000,398,398,397,0,0,0,0,397,78052,521933.0,0.8699840315768068,6.686990724132629
599985.0,7.634,5,1,1,4000,398,398,397,0,0,0,0,397,113918,486067.0,0.8102007887534295,4.266814726382134
42890.0,6.7278,5,1,1,4000,398,398,184,0,0,0,0,184,3766,39124.0,0.06521384018908746,10.38874137015401
371528.0,4.9737,5,1,1,2000,158,158,157,0,0,0,0,157,156316,215212.0,0.3587261265405861,1.3767752501343433
24442.0,143.7374,3,1,1,20000,768,768,762,0,0,0,762,0,18860,5582.0,0.009304356812582718,0.29597030752916226
23167.0,160.6757,3,1,1,18900,526,526,524,0,0,0,524,0,14051,9116.0,0.015195004783859559,0.6487794463027543
599985.0,7.9858,5,1,1,4000,398,398,397,0,0,0,0,397,115540,484445.0,0.8074971580207156,4.192876925740004
599985.0,5.1623,5,1,1,4000,398,398,397,0,0,0,0,397,86312,513673.0,0.8562158504102118,5.951350912966911
599985.0,7.573,5,1,1,4000,398,398,397,0,0,0,0,397,73318,526667.0,0.8778748995722863,7.183324695163535
5786.0,41.4988,3,1,1,37800,460,460,410,0,0,0,410,0,3814,1972.0,0.0032870282397730417,0.5170424750917672
6340.0,0.7305,4,1,1,80,20,20,20,0,0,0,0,20,3162,3178.0,0.005297249364096718,1.0050600885515497
13093.0,5.1579,5,1,1,2000,158,158,85,0,0,0,0,85,91,13002.0,0.021672383962235846,142.87912087912088
11817.0,154.6105,3,1,1,10000,315,315,311,0,0,0,311,0,17805,5988.0,0.009981097920771285,0.3363100252737995
599985.0,8.0896,5,1,1,4000,398,398,397,0,0,0,0,397,150065,449920.0,0.7499491610743848,2.998167460767001
18242.0,130.3333,3,1,1,60480,575,575,560,0,0,0,560,0,12083,6159.0,0.010266129274220165,0.5097244061905156
