estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
4018.0,12.9615,5,18,18,4000,398,7164,573,0,0,0,0,573,1601,2417.0,0.004028776498748196,1.509681449094316
85641.0,4.484,5,1,1,4000,398,398,364,0,0,0,0,364,21504,64137.0,0.10690675974357179,2.9825613839285716
599985.0,3.0251,5,1,1,4000,398,398,397,0,0,0,0,397,37878,562107.0,0.9369480642870716,14.839933470616188
85888.0,2.8089,5,1,1,4000,398,398,367,0,0,0,0,367,9107,76781.0,0.12798241139858718,8.43098715273965
41211.0,51.6388,3,1,1,52920,1260,1260,1248,0,0,0,1248,0,34217,6994.0,0.011657949041061183,0.20440132098079902
21262.0,0.0559,-1,1,1,1,1,1,1,0,0,0,0,1,21262,0.0,0.0,0.0
21212.0,3.2708,5,1,1,4000,398,398,195,0,0,0,0,195,7159,14053.0,0.023424243333433344,1.962983656935326
599985.0,2.2946,5,1,1,4000,398,398,397,0,0,0,0,397,38379,561606.0,0.936112972426967,14.633158758696162
371528.0,1.3136,5,1,1,2000,158,158,157,0,0,0,0,157,39130,332398.0,0.5540576130040972,8.494709941221569
42607.0,22.542,4,1,1,40,9,9,9,0,0,0,0,9,32209,10398.0,0.01733190650971607,0.32282902294389765
599985.0,3.0564,5,1,1,4000,398,398,397,0,0,0,0,397,39020,560965.0,0.9350445215640387,14.376345463864684
28543.0,55.7234,3,1,1,62475,877,877,863,0,0,0,863,0,24902,3641.0,0.006069000923434911,0.14621315556983375
42978.0,2.853,5,1,1,4000,398,398,188,0,0,0,0,188,20069,22909.0,0.03818586711204899,1.1415117843440132
21238.0,27.68,4,1,1,20,4,4,4,0,0,0,0,4,30897,9659.0,0.016100104344811263,0.312619348156779
42813.0,3.4496,5,3,3,4000,398,1194,464,0,0,0,0,464,7114,35699.0,0.059504878870009034,5.01813325836379
21293.0,3.1384,5,1,1,4000,398,398,196,0,0,0,0,196,1244,20049.0,0.03341867605436598,16.116559485530548
85641.0,3.0182,5,1,1,4000,398,398,364,0,0,0,0,364,21438,64203.0,0.10701677184490294,2.994822278197593
599985.0,2.453,5,1,1,4000,398,398,397,0,0,0,0,397,140545,459440.0,0.7658175732663927,3.2689885801700522
21141.0,0.0332,-1,1,1,1,1,1,1,0,0,0,0,1,21139,2.0,3.3337000403377706e-06,9.461185486541464e-05
0.0,2.1638,5,1,0,4000,398,0,0,0,0,0,0,0,0,0.0,0.0,0.0
599985.0,3.0112,5,1,1,4000,398,398,397,0,0,0,0,397,131375,468610.0,0.7811025879513414,3.566964795432921
371528.0,3.0021,5,1,1,2000,158,158,157,0,0,0,0,157,39480,332048.0,0.553474215497038,8.410536980749747
26705.0,2.1822,5,3,3,2000,158,474,198,0,0,0,0,198,11225,15480.0,0.025802838312214343,1.379064587973274
85666.0,3.2101,5,1,1,4000,398,398,370,0,0,0,0,370,8667,76999.0,0.128345784702984,8.884158301603785
599985.0,3.3544,5,1,1,4000,398,398,397,0,0,0,0,397,151044,448941.0,0.7483173149046395,2.9722531182966554
85888.0,2.7696,5,1,1,4000,398,398,367,0,0,0,0,367,21833,64055.0,0.10677007804191795,2.9338615856730637
2379.0,0.0989,-1,22,11,1,1,11,11,0,0,0,0,11,2378,1.0,1.6668500201688853e-06,0.00042052144659377626
599985.0,2.4033,5,1,1,4000,398,398,397,0,0,0,0,397,37810,562175.0,0.937061410088443,14.868421052631579
21176.0,3.8019,5,1,1,4000,398,398,193,0,0,0,0,193,2105,19071.0,0.03178849673464081,9.059857482185274
599985.0,3.4933,5,1,1,4000,398,398,397,0,0,0,0,397,156457,443528.0,0.7392946557454654,2.8348236256607247
599985.0,3.0631,5,1,1,4000,398,398,397,0,0,0,0,397,151296,448689.0,0.747897268699557,2.965636897208122
599985.0,2.7779,5,1,1,4000,398,398,397,0,0,0,0,397,98338,501647.0,0.8361703120676608,5.101252821899978
599985.0,2.2499,5,1,1,4000,398,398,397,0,0,0,0,397,38626,561359.0,0.9357012604719852,14.53319007922125
21183.0,1.8859,5,1,1,4000,398,398,196,0,0,0,0,196,5361,15822.0,0.0263729010191121,2.9513150531617236
599985.0,3.4209,5,1,1,4000,398,398,397,0,0,0,0,397,138301,461684.0,0.7695579847116516,3.3382549656184697
42978.0,2.2497,5,1,1,4000,398,398,188,0,0,0,0,188,10729,32249.0,0.05375424630042638,3.005778730543387
21279.0,1.8358,5,1,1,4000,398,398,192,0,0,0,0,192,5279,16000.0,0.026669600322702165,3.0308770600492516
0.0,1.164,5,7,0,4000,398,0,0,0,0,0,0,0,0,0.0,0.0,0.0
643.0,33.1242,4,1,1,40,5,5,5,0,0,0,0,5,20713,20070.0,0.03345367990478953,0.968956693863757
21124.0,2.0766,5,1,1,4000,398,398,194,0,0,0,0,194,5343,15781.0,0.02630456016828518,2.9535841287666105
