estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
17696.0,0.5022,4,1,1,20,5,5,5,0,0,0,0,5,20452,2756.0,0.004593838655585447,0.13475454723254449
599934.0,8.632,5,1,1,4000,397,397,397,0,0,0,0,397,125597,474337.0,0.7906486380168485,3.7766586781531406
12803.0,133.7158,3,1,1,7560,342,342,342,0,0,0,342,0,21561,8758.0,0.014598272476639097,0.4061963730810259
34093.0,0.3953,4,1,1,40,10,10,10,0,0,0,0,10,24607,9486.0,0.015811739291322045,0.3855000609582639
599934.0,6.8595,5,1,1,4000,397,397,397,0,0,0,0,397,97781,502153.0,0.8370137381778663,5.135486444196725
6355.0,0.6836,4,1,1,100,20,20,20,0,0,0,0,20,2862,3493.0,0.005822307120449916,1.2204751921733055
21916.0,88.227,4,1,1,16,6,6,6,0,0,0,0,6,30765,8849.0,0.014749955828474465,0.28763204940679343
1915.0,0.1325,-1,18,9,1,1,9,9,0,0,0,0,9,1915,0.0,0.0,0.0
460.0,77.9663,4,7,7,40,8,56,55,0,0,0,0,55,4739,4279.0,0.00713245123630266,0.9029331082506858
9358.0,75.8137,3,1,1,70000,2535,2535,1743,0,0,0,1743,0,8485,873.0,0.0014551600676074368,0.10288744843842074
599934.0,5.2246,5,1,1,4000,397,397,397,0,0,0,0,397,38410,561524.0,0.9359762907253131,14.619213746420202
14449.0,162.1006,3,1,1,15750,455,455,455,0,0,0,455,0,12251,2198.0,0.0036637363443312097,0.1794139253938454
78472.0,0.6115,-1,21,21,5,5,105,105,21,42,42,0,0,78045,427.0,0.000711744958612114,0.005471202511371644
0.0,65.8524,4,7,7,32,15,105,0,0,0,0,0,0,4795,4795.0,0.007992545846709805,1.0
95745.0,76.7495,3,1,1,70000,3609,3609,3609,0,0,0,3609,0,89802,5943.0,0.009906089669863685,0.06617892697267322
599934.0,5.7524,5,1,1,4000,397,397,397,0,0,0,0,397,38524,561410.0,0.9357862698230138,14.572993458623197
599934.0,6.844,5,1,1,4000,397,397,397,0,0,0,0,397,140118,459816.0,0.7664443088739762,3.2816340512996187
0.0,121.692,4,1,1,16,0,0,0,0,0,0,0,0,9887,9887.0,0.016480146149409767,1.0
42869.0,85.6528,4,1,1,40,10,10,10,0,0,0,0,10,31390,11479.0,0.019133771381518633,0.36568971009875756
59893.0,55.7449,3,1,1,56000,2300,2300,2300,0,0,0,2300,0,56329,3564.0,0.005940653471881907,0.06327113920005681
27536.0,0.4948,4,1,1,50,10,10,10,0,0,0,0,10,22382,5154.0,0.008590945003950435,0.23027432758466626
8954.0,138.5492,3,1,1,20000,341,341,341,0,0,0,341,0,9093,139.0,0.00023169215280347504,0.01528648410865501
4941.0,73.6408,3,1,1,75600,890,890,749,0,0,0,749,0,3773,1168.0,0.001946880823557258,0.3095679830373708
43492.0,7.3048,5,1,1,4000,397,397,219,0,0,0,0,219,2398,41094.0,0.06849753472882017,17.136780650542118
371501.0,4.3863,5,1,1,2000,157,157,157,0,0,0,0,157,39156,332345.0,0.5539692699530282,8.487715803452856
599934.0,4.6344,5,1,1,4000,397,397,397,0,0,0,0,397,37594,562340.0,0.9373364403417709,14.958238016704794
371501.0,4.9187,5,1,1,2000,157,157,157,0,0,0,0,157,39215,332286.0,0.5538709258018382,8.473441285222492
16632.0,0.8883,4,7,7,50,10,70,70,0,0,0,0,70,9441,7191.0,0.011986318495034454,0.7616777883698761
85879.0,7.9618,5,1,1,4000,397,397,371,0,0,0,0,371,5772,80107.0,0.1335263545656689,13.878551628551628
6472.0,103.9564,3,1,1,105000,1455,1455,1142,0,0,0,1142,0,4045,2427.0,0.004045444998949884,0.6
43367.0,6.129,5,1,1,4000,397,397,215,0,0,0,0,215,6517,36850.0,0.06142342324322342,5.654442228019027
17116.0,184.2118,3,1,1,9450,378,378,378,0,0,0,378,0,19375,2259.0,0.0037654141955615118,0.11659354838709678
14788.0,59.5073,3,1,1,52500,546,546,546,0,0,0,546,0,23531,8743.0,0.014573269726336564,0.3715524202116357
523.0,0.2374,-1,1,1,13,13,13,7,0,3,3,1,0,504,19.0,3.167015038320882e-05,0.037698412698412696
