estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
1704.0,0.2645,-1,18,18,17,17,306,69,6,9,9,45,0,1601,103.0,0.00017168555207739517,0.06433479075577764
21571.0,0.0805,-1,1,1,17,17,17,17,6,4,3,4,0,21504,67.0,0.00011167895135131531,0.003115699404761905
599934.0,2.6001,5,1,1,4000,397,397,397,0,0,0,0,397,37878,562056.0,0.9368630549360429,14.838587042610486
85856.0,2.4008,5,1,1,4000,397,397,367,0,0,0,0,367,9107,76749.0,0.12792907219794178,8.427473372131328
32760.0,51.9076,3,1,1,52920,1248,1248,1248,0,0,0,1248,0,34217,1457.0,0.002428600479386066,0.0425811731010901
21262.0,0.0515,-1,1,1,1,1,1,1,0,0,0,0,1,21262,0.0,0.0,0.0
7163.0,0.0437,-1,1,1,9,9,9,5,0,0,1,4,0,7159,4.0,6.667400080675541e-06,0.0005587372538063976
599934.0,2.141,5,1,1,4000,397,397,397,0,0,0,0,397,38379,561555.0,0.9360279630759384,14.63182990698038
371501.0,1.4549,5,1,1,2000,157,157,157,0,0,0,0,157,39130,332371.0,0.5540126080535526,8.494019933554817
42602.0,22.0876,4,1,1,40,9,9,9,0,0,0,0,9,32209,10393.0,0.017323572259615224,0.32267378682976805
599934.0,3.0251,5,1,1,4000,397,397,397,0,0,0,0,397,39020,560914.0,0.9349595122130101,14.375038441824705
22641.0,53.2498,3,1,1,62475,863,863,863,0,0,0,863,0,24902,2261.0,0.0037687478956018494,0.09079592000642518
20092.0,0.0885,-1,1,1,17,17,17,10,3,0,3,4,0,20069,23.0,3.833755046388436e-05,0.001146046140814191
21238.0,27.6944,4,1,1,20,4,4,4,0,0,0,0,4,30897,9659.0,0.016100104344811263,0.312619348156779
42766.0,4.3035,5,3,3,4000,397,1191,463,0,0,0,0,463,7114,35652.0,0.0594265369190611,5.011526567332021
21262.0,3.2106,5,1,1,4000,397,397,195,0,0,0,0,195,1244,20018.0,0.033367003703740745,16.091639871382636
21495.0,0.1067,-1,1,1,17,17,17,17,6,4,3,4,0,21438,57.0,9.501045114962646e-05,0.0026588301147495103
599934.0,3.153,5,1,1,4000,397,397,397,0,0,0,0,397,140545,459389.0,0.765732563915364,3.26862570706891
21139.0,0.0282,-1,1,1,1,1,1,1,0,0,0,0,1,21139,0.0,0.0,0.0
0.0,0.0594,-1,1,0,21,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0
599934.0,3.1969,5,1,1,4000,397,397,397,0,0,0,0,397,131375,468559.0,0.7810175786003127,3.5665765937202663
371501.0,1.6856,5,1,1,2000,157,157,157,0,0,0,0,157,39480,332021.0,0.5534292105464934,8.40985309017224
11251.0,0.0587,-1,3,3,3,3,9,9,3,0,3,3,0,11225,26.0,4.3338100524391014e-05,0.0023162583518930957
85615.0,2.5526,5,1,1,4000,397,397,370,0,0,0,0,370,8667,76948.0,0.12826077535195538,8.878273912541825
151080.0,0.0632,-1,1,1,13,13,13,13,1,5,3,4,0,151044,36.0,6.000660072607987e-05,0.00023834114562643998
21952.0,0.1915,-1,1,1,50,50,50,41,6,14,4,17,0,21833,119.0,0.00019835515240009734,0.0054504648925937805
2378.0,0.0585,-1,22,11,1,1,11,11,0,0,0,0,11,2378,0.0,0.0,0.0
599934.0,1.8802,5,1,1,4000,397,397,397,0,0,0,0,397,37810,562124.0,0.9369764007374144,14.867072203120868
21139.0,1.5336,5,1,1,4000,397,397,193,0,0,0,0,193,2105,19034.0,0.03172682328389456,9.042280285035629
156476.0,0.0289,-1,1,1,4,4,4,4,1,2,0,1,0,156457,19.0,3.167015038320882e-05,0.00012143911745719271
151363.0,0.0896,-1,1,1,21,21,21,21,6,4,8,3,0,151296,67.0,0.00011167895135131531,0.00044284052453468696
599934.0,2.3802,5,1,1,4000,397,397,397,0,0,0,0,397,98338,501596.0,0.8360853027166322,5.10073420244463
599934.0,1.493,5,1,1,4000,397,397,397,0,0,0,0,397,38626,561308.0,0.9356162511209566,14.531869725055662
5421.0,0.129,-1,1,1,40,40,40,27,1,4,15,6,1,5361,60.0,0.00010001100121013311,0.01119194180190263
599934.0,1.7733,5,1,1,4000,397,397,397,0,0,0,0,397,138301,461633.0,0.769472975360623,3.33788620472737
