estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
0.0,0.0488,-1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
27291.0,258.594,3,1,1,180,180,180,180,0,0,0,180,0,20347,6944.0,0.01157460654005274,0.3412788126013663
62514.0,53.1477,-1,1,1,32912,2263,2263,2263,93,1477,625,68,0,38260,24254.0,0.040427780389176146,0.6339257710402509
12527.0,124.8787,-1,1,1,116454,2416,2416,793,62,227,436,68,0,5300,7227.0,0.012046325095760533,1.3635849056603773
20841.0,133.9036,3,1,1,180,150,150,150,0,0,0,150,0,15962,4879.0,0.008132561248403992,0.3056634506954016
37712.0,358.6113,-1,1,1,380281,1880,1880,1878,1096,604,177,1,0,13437,24275.0,0.04046278423959969,1.8065788494455608
13703.0,106.2985,-1,1,1,103875,2678,2678,927,46,238,579,64,0,5404,8299.0,0.013833188317381579,1.5357142857142858
11634.0,121.2803,3,1,1,144,106,106,106,0,0,0,106,0,13093,1459.0,0.0024319341794264036,0.11143359046818911
13607.0,5.866,-1,1,1,901,901,901,607,319,240,48,0,0,5666,7941.0,0.013236456010161117,1.4015178256265444
152637.0,0.5017,-1,1,1,33,33,33,33,6,15,4,7,1,152308,329.0,0.0005483936566355633,0.0021600966462694015
39680.0,156.3456,3,1,1,450,162,162,162,0,0,0,162,0,36371,3309.0,0.005515606716738841,0.09097907673696076
11325.0,116.4849,3,1,1,85,85,85,85,0,0,0,85,0,21358,10033.0,0.016723506252354425,0.46975372225863843
16101.0,8.6569,-1,1,1,5401,565,565,289,88,168,27,6,0,12627,3474.0,0.0057906369700667076,0.2751247327156094
13310.0,6.7567,-1,1,1,946,940,940,584,311,254,16,3,0,5702,7608.0,0.012681394953444879,1.3342686776569626
22526.0,205.6445,3,1,1,144,140,140,140,0,0,0,140,0,22606,80.0,0.00013334800161351082,0.0035388834822613464
5565.0,0.4375,-1,1,1,42,42,42,29,3,4,15,6,1,5353,212.0,0.00035337220427580365,0.039603960396039604
47280.0,365.5289,-1,1,1,409387,2915,2915,2912,949,1942,18,3,0,10268,37012.0,0.06169345294649078,3.604596805609661
21880.0,0.2799,-1,1,1,17,17,17,17,6,4,3,4,0,21717,163.0,0.0002716965532875283,0.007505640742275637
68238.0,407.8158,-1,1,1,418746,2977,2977,2975,2329,461,176,9,0,28095,40143.0,0.06691236035963956,1.4288307528029898
103551.0,4.9369,-1,1,1,2521,318,318,318,122,145,45,6,0,99652,3899.0,0.0064990482286384835,0.03912615903343636
13987.0,6.9387,-1,1,1,973,971,971,649,351,252,46,0,0,5613,8374.0,0.013958202068894246,1.4918938179226795
64026.0,114.4953,-1,1,1,109284,2449,2449,2447,336,1222,825,64,0,37535,26491.0,0.04415652388429394,0.7057679499134142
76293.0,15.6436,-1,1,1,8257,1131,1131,1131,847,254,27,3,0,61093,15200.0,0.025336120306567057,0.2488010082988231
5293.0,114.6122,3,1,1,85,60,60,60,0,0,0,60,0,8999,3706.0,0.006177346174745889,0.41182353594843873
21634.0,0.2671,-1,1,1,21,21,21,21,6,4,8,3,0,21420,214.0,0.00035670590431614147,0.009990662931839402
