estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
83893.0,10.4689,-1,1,1,8257,289,289,289,240,28,18,3,0,80043,3850.0,0.006417372577650208,0.048099146708644104
39281.0,0.6235,-1,7,7,17,17,119,70,21,21,7,21,0,38619,662.0,0.0011034547133518021,0.017141821383256945
98175.0,9.4223,-1,1,1,8257,233,233,233,209,7,12,5,0,94973,3202.0,0.00533725376458077,0.03371484527181409
13287.0,108.1453,-1,1,1,108065,2749,2749,875,54,196,561,64,0,5464,7823.0,0.013039767707781189,1.4317349926793559
21914.0,0.1815,-1,1,1,17,17,17,17,6,4,3,4,0,21726,188.0,0.00031336780379175044,0.008653226548835496
41184.0,33.9266,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,15435,25749.0,0.04291972116932863,1.6682215743440234
69774.0,121.9489,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,38063,31711.0,0.05285748098957552,0.8331187767648373
15355.0,3.9429,-1,7,7,2065,37,259,182,0,98,77,7,0,13582,1773.0,0.0029553250857594334,0.13054042114563394
144069.0,10.6879,-1,1,1,5401,774,774,774,580,142,43,9,0,133670,10399.0,0.01733357335973624,0.07779606493603651
150177.0,0.2934,-1,1,1,17,17,17,17,6,4,3,4,0,150009,168.0,0.0002800308033883727,0.0011199328040317582
152340.0,0.3958,-1,1,1,41,41,41,41,15,4,15,6,1,151920,420.0,0.0007000770084709318,0.002764612954186414
3927.0,0.1202,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0.0,0.0,0.0
52168.0,6.9627,-1,1,1,937,932,932,932,668,254,6,4,0,39466,12702.0,0.02117232895618518,0.32184665281508135
150815.0,0.6877,-1,1,1,17,17,17,17,1,5,8,3,0,150659,156.0,0.0002600286031463461,0.0010354509189626905
125295.0,3.1657,-1,1,1,2065,41,41,41,0,21,15,5,0,124912,383.0,0.000638403557724683,0.0030661585756372486
25811.0,154.1776,-1,7,7,114678,2342,16394,1455,86,182,711,476,0,15848,9963.0,0.016606826750942605,0.6286597677940434
92695.0,6.79,-1,1,1,5401,140,140,140,90,35,12,3,0,90899,1796.0,0.0029936626362233178,0.019758193159440697
101003.0,37.6101,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,54601,46402.0,0.07734517463587662,0.8498379150565007
11275.0,0.1543,-1,3,1,4,4,4,4,1,2,0,1,0,11231,44.0,7.334140088743095e-05,0.0039177277179236044
21942.0,0.3511,-1,1,1,32,32,32,28,11,4,5,7,1,21667,275.0,0.0004583837555464434,0.012692112429039554
15462.0,116.0085,3,1,1,450,108,108,108,0,0,0,108,0,17412,1950.0,0.003250357539329326,0.11199172984148863
126174.0,7.574,-1,1,1,4945,511,511,511,385,41,79,6,0,119638,6536.0,0.010894531731823833,0.05463147160601147
119278.0,28.9113,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,89002,30276.0,0.05046555121063317,0.34017213096334914
15132.0,9.1153,-1,1,1,5401,756,756,281,159,99,17,6,0,11432,3700.0,0.006167345074624875,0.32365290412876135
80129.0,4.9278,-1,1,1,1969,172,172,172,0,156,10,6,0,78142,1987.0,0.003312030990075575,0.025428066852652864
67217.0,100.1707,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,38678,28539.0,0.04757023272559981,0.7378613165106779
43397.0,0.0702,-1,1,1,1,1,1,1,0,0,0,0,1,43397,0.0,0.0,0.0
47348.0,26.8103,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,38578,8770.0,0.014618274676881123,0.22733163979470164
21519.0,0.1927,-1,1,1,9,9,9,9,1,0,4,4,0,21459,60.0,0.00010001100121013311,0.002796029637914162
36621.0,116.207,3,1,1,425,221,221,221,0,0,0,221,0,34073,2548.0,0.0042471338513903195,0.07478061808470049
151395.0,0.2096,-1,1,1,13,13,13,13,1,5,3,4,0,151288,107.0,0.00017835295215807073,0.0007072603246787584
151421.0,0.1385,-1,1,1,13,13,13,13,1,5,3,4,0,151325,96.0,0.000160017601936213,0.0006343961671898233
17765.0,110.5626,3,1,1,360,108,108,108,0,0,0,108,0,19105,1340.0,0.0022335790270263064,0.07013870714472652
69838.0,4.8662,-1,1,1,2521,330,330,330,128,159,40,3,0,65807,4031.0,0.006719072431300777,0.06125488169951525
42288.0,0.5099,-1,7,7,13,13,91,63,7,14,21,21,0,41816,472.0,0.0007867532095197138,0.011287545437153242
99867.0,134.2877,-1,21,21,16597,2278,47838,6563,3612,72,2695,184,0,25308,74559.0,0.12427867065377192,2.94606448553817
17598.0,107.1282,3,1,1,450,108,108,108,0,0,0,108,0,14637,2961.0,0.0049355429097200695,0.20229555236728838
