estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
0.0,0.0545,-1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
27521.0,31.2596,3,1,1,75600,893,893,893,0,0,0,893,0,20347,7174.0,0.011957982044691583,0.35258269032289774
599934.0,2.6723,5,1,1,4000,397,397,397,0,0,0,0,397,38260,561674.0,0.9362263182283385,14.68044955567172
85317.0,2.4769,5,1,1,4000,397,397,375,0,0,0,0,375,5300,80017.0,0.13337633806385368,15.097547169811321
27600.0,0.2929,4,1,1,50,10,10,10,0,0,0,0,10,15962,11638.0,0.019398800534725487,0.729106628242075
19355.0,37.2663,3,1,1,105000,768,768,768,0,0,0,768,0,13437,5918.0,0.009864418419359464,0.4404256902582422
10139.0,40.4942,-1,1,1,103875,2677,2677,926,46,238,578,64,0,5404,4735.0,0.007892534845499672,0.8762028127313102
11694.0,23.164,3,1,1,63504,482,482,482,0,0,0,482,0,13093,1399.0,0.0023319231782162704,0.10685098907813335
11264.0,2.6275,-1,1,1,901,901,901,607,319,240,48,0,0,5666,5598.0,0.00933102641290542,0.9879985880691846
152508.0,0.1866,-1,1,1,33,33,33,33,6,15,4,7,1,152308,200.0,0.00033337000403377704,0.0013131286603461406
44004.0,41.3658,4,1,1,32,15,15,15,0,0,0,0,15,36371,7633.0,0.0127230662039491,0.20986500233702676
11389.0,14.2497,3,1,1,37485,398,398,398,0,0,0,398,0,21358,9969.0,0.016616827851063616,0.46675718700252833
14943.0,3.1746,-1,1,1,5401,565,565,289,88,168,27,6,0,12627,2316.0,0.003860424646711138,0.18341648847707293
53158.0,2.3354,5,1,1,2000,157,157,148,0,0,0,0,148,5702,47456.0,0.07910203455713462,8.322693791652052
27636.0,0.2508,4,1,1,40,10,10,10,0,0,0,0,10,22606,5030.0,0.008384255601449493,0.22250729894718216
5475.0,0.2568,-1,1,1,42,42,42,29,3,4,15,6,1,5353,122.0,0.000203355702460604,0.02279095834111713
4426.0,18.0626,3,1,1,42000,124,124,124,0,0,0,124,0,10268,5842.0,0.009737737817826627,0.5689520841449163
21856.0,0.3978,-1,1,1,17,17,17,17,6,4,3,4,0,21717,139.0,0.00023169215280347504,0.006400515725008058
29753.0,32.0978,3,1,1,84000,1192,1192,1192,0,0,0,1192,0,28095,1658.0,0.002763637333440012,0.0590140594411817
102356.0,1.9288,-1,1,1,2521,318,318,318,122,145,45,6,0,99652,2704.0,0.004507162454536666,0.027134427808774536
11553.0,2.867,-1,1,1,973,971,971,649,351,252,46,0,0,5613,5940.0,0.009901089119803178,1.0582576162479957
44853.0,26.1781,4,1,1,8,6,6,6,0,0,0,0,6,37535,7318.0,0.012198008447595903,0.1949646996136939
72584.0,9.8394,-1,1,1,8257,1131,1131,1131,847,254,27,3,0,61093,11491.0,0.01915377358176066,0.18809028857643265
27636.0,0.949,4,1,1,40,10,10,10,0,0,0,0,10,8999,18637.0,0.031065083825887515,2.0710078897655295
21541.0,0.273,-1,1,1,21,21,21,21,6,4,8,3,0,21420,121.0,0.0002016888524404351,0.005648926237161531
