estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
0.0,0.0194,-1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
27490.0,26.3887,3,1,1,75600,893,893,893,0,0,0,893,0,20347,7143.0,0.011906309694066348,0.35105912419521307
54158.0,14.4728,-1,1,1,32912,2263,2263,2263,93,1477,625,68,0,38260,15898.0,0.026499581620644936,0.4155253528489284
9825.0,42.4546,-1,1,1,116454,2415,2415,792,61,227,436,68,0,5300,4525.0,0.007542496341264205,0.8537735849056604
27600.0,0.2575,4,1,1,50,10,10,10,0,0,0,0,10,15962,11638.0,0.019398800534725487,0.729106628242075
19324.0,37.806,3,1,1,105000,768,768,768,0,0,0,768,0,13437,5887.0,0.009812746068734227,0.4381186276698668
10450.0,37.314,-1,1,1,103875,2676,2676,926,46,238,578,64,0,5404,5046.0,0.008410925201772194,0.9337527757216877
11693.0,22.7886,3,1,1,63504,482,482,482,0,0,0,482,0,13093,1400.0,0.002333590028236439,0.10692736576796762
11691.0,2.1808,-1,1,1,901,901,901,607,319,240,48,0,0,5666,6025.0,0.010042771371517534,1.0633603953406283
152514.0,0.1921,-1,1,1,33,33,33,33,6,15,4,7,1,152308,206.0,0.00034337110415479035,0.001352522520156525
44004.0,41.2205,4,1,1,32,15,15,15,0,0,0,0,15,36371,7633.0,0.0127230662039491,0.20986500233702676
11391.0,17.0714,3,1,1,37485,398,398,398,0,0,0,398,0,21358,9967.0,0.01661349415102328,0.46666354527577486
15117.0,3.5737,-1,1,1,5401,565,565,289,88,168,27,6,0,12627,2490.0,0.004150456550220524,0.19719648372535045
11581.0,2.3661,-1,1,1,946,940,940,584,311,254,16,3,0,5702,5879.0,0.009799411268572877,1.0310417397404419
27636.0,0.1485,4,1,1,40,10,10,10,0,0,0,0,10,22606,5030.0,0.008384255601449493,0.22250729894718216
5484.0,0.1212,-1,1,1,42,42,42,29,3,4,15,6,1,5353,131.0,0.00021835735264212397,0.02447225854660938
4446.0,14.2937,3,1,1,42000,124,124,124,0,0,0,124,0,10268,5822.0,0.009704400817423249,0.5670042851577717
21832.0,0.0817,-1,1,1,17,17,17,17,6,4,3,4,0,21717,115.0,0.0001916877523194218,0.00529539070774048
29728.0,30.1964,3,1,1,84000,1192,1192,1192,0,0,0,1192,0,28095,1633.0,0.0027219660829357895,0.05812422139170671
102521.0,1.5567,-1,1,1,2521,318,318,318,122,145,45,6,0,99652,2869.0,0.004782192707864532,0.028790189860715288
12042.0,2.115,-1,1,1,973,971,971,649,351,252,46,0,0,5613,6429.0,0.010716178779665764,1.1453768038482095
55038.0,40.208,-1,1,1,109284,2447,2447,2447,336,1222,825,64,0,37535,17503.0,0.029174875903015998,0.46631144265352337
73325.0,5.1241,-1,1,1,8257,1131,1131,1131,847,254,27,3,0,61093,12232.0,0.020388909446705804,0.20021933773100029
27636.0,0.1694,4,1,1,40,10,10,10,0,0,0,0,10,8999,18637.0,0.031065083825887515,2.0710078897655295
21567.0,0.0774,-1,1,1,21,21,21,21,6,4,8,3,0,21420,147.0,0.0002450269529648261,0.006862745098039216
21238.0,36.6637,4,1,1,20,4,4,4,0,0,0,0,4,34269,13031.0,0.021720722612820743,0.38025620823484785
21864.0,0.1298,-1,1,1,21,21,21,21,6,4,8,3,0,21736,128.0,0.00021335680258161732,0.005888847994111152
5095.0,18.7561,3,1,1,52500,183,183,183,0,0,0,183,0,5400,305.0,0.00050838925615151,0.05648148148148148
156796.0,0.0591,-1,1,1,3,3,3,3,1,0,1,1,0,156781,15.0,2.5002750302533278e-05,9.567485856066743e-05
37184.0,13.5475,-1,1,1,19712,4280,4280,2664,689,1625,350,0,0,14259,22925.0,0.038212536712371695,1.6077565046637212
30491.0,50.6037,3,1,1,59500,934,934,934,0,0,0,934,0,23540,6951.0,0.01158627449019392,0.29528462192013594
11336.0,0.1741,-1,1,1,42,42,42,41,5,5,15,16,0,11170,166.0,0.00027669710334803495,0.01486123545210385
47403.0,1.9313,-1,1,1,730,727,727,727,670,24,29,4,0,39153,8250.0,0.013751512666393304,0.21071182284882384
34093.0,0.1514,4,1,1,40,10,10,10,0,0,0,0,10,23876,10217.0,0.0170302066560655,0.4279192494555202
48057.0,39.1367,3,1,1,105000,1522,1522,1522,0,0,0,1522,0,35989,12068.0,0.020115546043398106,0.3353246825418878
14099.0,2.8636,-1,1,1,5401,589,589,297,108,175,8,6,0,11372,2727.0,0.00454550000500055,0.23979950756243404
24227.0,18.311,3,1,1,52500,672,672,672,0,0,0,672,0,35167,10940.0,0.018235339220647604,0.31108709870048623
1861.0,36.9874,4,1,1,40,10,10,10,0,0,0,0,10,17316,15455.0,0.02576116706171012,0.8925271425271425
