estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
83223.0,7.4345,-1,1,1,8257,289,289,289,240,28,18,3,0,80043,3180.0,0.005300583064137055,0.03972864585285409
39081.0,0.3369,-1,7,7,17,17,119,70,21,21,7,21,0,38619,462.0,0.000770084709318025,0.011963023382272975
97593.0,4.7451,-1,1,1,8257,233,233,233,209,7,12,5,0,94973,2620.0,0.00436714705284248,0.027586787823907846
10126.0,73.0947,-1,1,1,108065,2749,2749,874,53,196,561,64,0,5464,4662.0,0.007770854794027343,0.8532210834553441
21859.0,0.1766,-1,1,1,17,17,17,17,6,4,3,4,0,21726,133.0,0.00022169105268246173,0.006121697505293197
33617.0,19.2471,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,15435,18182.0,0.03030666706671067,1.1779721412374473
58726.0,74.9322,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,38063,20663.0,0.03444212196674967,0.5428631479389433
14714.0,2.3312,-1,7,7,2065,37,259,182,0,98,77,7,0,13582,1132.0,0.0018868742228311782,0.08334560447651303
141952.0,6.5129,-1,1,1,5401,774,774,774,580,142,43,9,0,133670,8282.0,0.013804851867038708,0.061958554649509986
150129.0,0.1481,-1,1,1,17,17,17,17,6,4,3,4,0,150009,120.0,0.00020002200242026622,0.0007999520028798272
152194.0,0.2607,-1,1,1,41,41,41,41,15,4,15,6,1,151920,274.0,0.00045671690552627454,0.001803580832016851
3927.0,0.0743,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0.0,0.0,0.0
49287.0,3.7107,-1,1,1,937,932,932,932,668,254,6,4,0,39466,9821.0,0.016370134048078622,0.24884710890386663
150750.0,0.1661,-1,1,1,17,17,17,17,1,5,8,3,0,150659,91.0,0.00015168335183536857,0.0006040130360615695
125161.0,1.9456,-1,1,1,2065,41,41,41,0,21,15,5,0,124912,249.0,0.00041504565502205245,0.001993403355962598
21514.0,100.9092,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,15848,5666.0,0.009444372214276903,0.3575214538112065
92235.0,4.7507,-1,1,1,5401,140,140,140,90,35,12,3,0,90899,1336.0,0.0022269116269456306,0.014697631437089517
90325.0,23.7639,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,54601,35724.0,0.059546550120513256,0.6542737312503434
11252.0,0.1167,-1,3,1,4,4,4,4,1,2,0,1,0,11231,21.0,3.500385042354659e-05,0.0018698245926453566
21861.0,0.1844,-1,1,1,32,32,32,28,11,4,5,7,1,21667,194.0,0.00032336890391276374,0.008953708404486085
15577.0,91.9932,3,1,1,66150,470,470,470,0,0,0,470,0,17412,1835.0,0.0030586697870099043,0.10538708936365725
124875.0,4.595,-1,1,1,4945,511,511,511,385,41,79,6,0,119638,5237.0,0.008729293555624452,0.04377371738076531
113673.0,11.335,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,89002,24671.0,0.04112285684758657,0.2771960180670097
14322.0,3.6057,-1,1,1,5401,756,756,281,159,99,17,6,0,11432,2890.0,0.004817196558288078,0.25279916025192445
