estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
0.0,0.0358,-1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
33402.0,30.0619,3,1,1,75600,909,909,893,0,0,0,893,0,20347,13055.0,0.021760727013304795,0.6416179289330123
599985.0,2.4418,5,1,1,4000,398,398,397,0,0,0,0,397,38260,561725.0,0.9363113275793671,14.681782540512284
85355.0,2.0935,5,1,1,4000,398,398,375,0,0,0,0,375,5300,80055.0,0.13343967836462012,15.104716981132075
27600.0,0.2196,4,1,1,50,10,10,10,0,0,0,0,10,15962,11638.0,0.019398800534725487,0.729106628242075
24487.0,39.8362,3,1,1,105000,793,793,768,0,0,0,768,0,13437,11050.0,0.01841869272286618,0.8223561806950956
85888.0,2.4468,5,1,1,4000,398,398,367,0,0,0,0,367,5404,80484.0,0.13415475702327256,14.893412287194671
15048.0,23.6029,3,1,1,63504,501,501,482,0,0,0,482,0,13093,1955.0,0.0032586917894301707,0.14931642862598335
53146.0,1.9004,5,1,1,2000,158,158,150,0,0,0,0,150,5666,47480.0,0.07914203895761868,8.379809389339922
599985.0,2.1711,5,1,1,4000,398,398,397,0,0,0,0,397,152308,447677.0,0.746210416479146,2.939287496388896
44006.0,39.5686,4,1,1,32,15,15,15,0,0,0,0,15,36371,7635.0,0.012726399903989438,0.20991999120178165
14109.0,14.2262,3,1,1,37485,405,405,398,0,0,0,398,0,21358,7249.0,0.01208299579620425,0.33940443861784814
85355.0,2.9772,5,1,1,4000,398,398,375,0,0,0,0,375,12627,72728.0,0.12122666826684268,5.759721232280035
53168.0,1.7198,5,1,1,2000,158,158,148,0,0,0,0,148,5702,47466.0,0.0791187030573363,8.324447562258857
27636.0,0.1313,4,1,1,40,10,10,10,0,0,0,0,10,22606,5030.0,0.008384255601449493,0.22250729894718216
21125.0,1.889,5,1,1,4000,398,398,193,0,0,0,0,193,5353,15772.0,0.026289558518103658,2.9463852045581915
5319.0,15.3087,3,1,1,42000,129,129,124,0,0,0,124,0,10268,4949.0,0.008249240749815813,0.4819828593689131
85941.0,3.0171,5,1,1,4000,398,398,371,0,0,0,0,371,21717,64224.0,0.10705177569532649,2.95731454620804
37750.0,36.4796,3,1,1,84000,1209,1209,1192,0,0,0,1192,0,28095,9655.0,0.016093436944730588,0.3436554547072433
599985.0,3.4107,5,1,1,4000,398,398,397,0,0,0,0,397,99652,500333.0,0.8339800711411589,5.020802392325292
53256.0,1.7142,5,1,1,2000,158,158,149,0,0,0,0,149,5613,47643.0,0.0794137355109062,8.48797434526991
599985.0,1.9578,5,1,1,4000,398,398,397,0,0,0,0,397,37535,562450.0,0.9375197938439895,14.984680964433196
599985.0,2.3147,5,1,1,4000,398,398,397,0,0,0,0,397,61093,538892.0,0.8982521410688509,8.82084690553746
27636.0,0.1654,4,1,1,40,10,10,10,0,0,0,0,10,8999,18637.0,0.031065083825887515,2.0710078897655295
85888.0,2.4091,5,1,1,4000,398,398,367,0,0,0,0,367,21420,64468.0,0.10745848710024769,3.0097105508870214
21238.0,35.4549,4,1,1,20,4,4,4,0,0,0,0,4,34269,13031.0,0.021720722612820743,0.38025620823484785
85889.0,3.0596,5,1,1,4000,398,398,370,0,0,0,0,370,21736,64153.0,0.10693342934389449,2.951463010673537
6303.0,19.1905,3,1,1,52500,192,192,183,0,0,0,183,0,5400,903.0,0.0015051655682125035,0.16722222222222222
599985.0,2.9428,5,1,1,4000,398,398,397,0,0,0,0,397,156781,443204.0,0.7387545963389306,2.8268986675681362
52777.0,0.9742,5,1,1,2000,158,158,151,0,0,0,0,151,14259,38518.0,0.06420372907686513,2.701311452416018
36792.0,51.3799,3,1,1,59500,950,950,934,0,0,0,934,0,23540,13252.0,0.022089096467278066,0.5629566694987256
43695.0,2.1381,5,1,1,4000,398,398,223,0,0,0,0,223,11170,32525.0,0.05421429690599299,2.911817367949866
371528.0,1.6857,5,1,1,2000,158,158,157,0,0,0,0,157,39153,332375.0,0.5540192754536333,8.489132378106403
34099.0,0.1521,4,1,1,40,10,10,10,0,0,0,0,10,23876,10223.0,0.017040207756186514,0.4281705478304574
58510.0,38.738,3,1,1,105000,1539,1539,1522,0,0,0,1522,0,35989,22521.0,0.03753912930422346,0.6257745422212343
85666.0,23.8176,5,1,1,4000,398,398,370,0,0,0,0,370,11372,74294.0,0.12383695539842716,6.533063665142455
28776.0,23.0928,3,1,1,52500,683,683,672,0,0,0,672,0,35167,6391.0,0.010652838478899345,0.1817328745699093
1861.0,52.1506,4,1,1,40,10,10,10,0,0,0,0,10,17316,15455.0,0.02576116706171012,0.8925271425271425
85941.0,3.7935,5,1,1,4000,398,398,371,0,0,0,0,371,21764,64177.0,0.10697343374437855,2.948768608711634
599985.0,7.2289,5,1,1,4000,398,398,397,0,0,0,0,397,39477,560508.0,0.9342827711048215,14.19834333915951
371528.0,2.2619,5,1,1,2000,158,158,157,0,0,0,0,157,39402,332126.0,0.5536042297986112,8.429166032181108
50003.0,37.3134,3,1,1,84000,1552,1552,1529,0,0,0,1529,0,36847,13156.0,0.021929078865341855,0.3570439927266806
