estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_counts,absolute_error,normalized_error,relative_error
599985.0,3.2415,5,1,1,4000,398,398,397,0,0,0,0,397,80043,519942.0,0.8666653331866505,6.495783516359957
147783.0,4.9932,5,7,7,4000,398,2786,1361,0,0,0,0,1361,38619,109164.0,0.18196001560171618,2.8266915248970714
599985.0,3.0221,5,1,1,4000,398,398,397,0,0,0,0,397,94973,505012.0,0.841779262385529,5.317427058216546
85641.0,2.3053,5,1,1,4000,398,398,364,0,0,0,0,364,5464,80177.0,0.13364303406708072,14.673682284040996
85889.0,2.8135,5,1,1,4000,398,398,370,0,0,0,0,370,21726,64163.0,0.10695009784409619,2.9532817821964468
52777.0,1.2062,5,1,1,2000,158,158,151,0,0,0,0,151,15435,37342.0,0.062243513453146514,2.4193067703271787
599985.0,2.3562,5,1,1,4000,398,398,397,0,0,0,0,397,38063,561922.0,0.9366396970333404,14.762945642750177
147783.0,5.2009,5,7,7,4000,398,2786,1361,0,0,0,0,1361,13582,134201.0,0.22369293955668457,9.880798115152407
599985.0,3.2012,5,1,1,4000,398,398,397,0,0,0,0,397,133670,466315.0,0.7772771671550537,3.4885539013989675
599985.0,3.2825,5,1,1,4000,398,398,397,0,0,0,0,397,150009,449976.0,0.7500425046755143,2.999660020398776
599985.0,2.5125,5,1,1,4000,398,398,397,0,0,0,0,397,151920,448065.0,0.7468571542869715,2.9493483412322274
3927.0,0.1293,-1,27,9,1,1,9,9,0,0,0,0,9,3927,0.0,0.0,0.0
599985.0,3.1354,5,1,1,4000,398,398,397,0,0,0,0,397,39466,560519.0,0.9343011064550434,14.202579435463436
599985.0,2.8985,5,1,1,4000,398,398,397,0,0,0,0,397,150659,449326.0,0.7489590521624045,2.982403971883525
599985.0,2.6033,5,1,1,4000,398,398,397,0,0,0,0,397,124912,475073.0,0.7918754396316928,3.8032614960932496
147783.0,3.8039,5,7,7,4000,398,2786,1361,0,0,0,0,1361,15848,131935.0,0.21991585741098188,8.32502523977789
599985.0,2.727,5,1,1,4000,398,398,397,0,0,0,0,397,90899,509086.0,0.8485700093676971,5.600567663010594
371528.0,0.9883,5,1,1,2000,158,158,157,0,0,0,0,157,54601,316927.0,0.5282697763420643,5.804417501510962
26437.0,1.4608,5,3,1,2000,158,158,75,0,0,0,0,75,11231,15206.0,0.025346121406688068,1.353931083607871
85355.0,1.9648,5,1,1,4000,398,398,375,0,0,0,0,375,21667,63688.0,0.10615834408451597,2.939400932293349
18785.0,62.1849,3,1,1,66150,487,487,470,0,0,0,470,0,17412,1373.0,0.0022885850776918795,0.07885366413967379
599985.0,3.0077,5,1,1,4000,398,398,397,0,0,0,0,397,119638,480347.0,0.8006664066380635,4.015003594175764
371528.0,1.083,5,1,1,2000,158,158,157,0,0,0,0,157,89002,282526.0,0.47092846879823447,3.1743781038628347
85666.0,2.619,5,1,1,4000,398,398,370,0,0,0,0,370,11432,74234.0,0.12373694439721702,6.493526941917425
