estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
68782,84.8855,2,0.035832405090332,85608,16826,0.02804641843936166,0.19654705167741332
303737,73.1871,2,0.0346136093139648,304152,415,0.0006917427583700874,0.0013644493542702334
69012,71.5794,2,0.0379769802093505,85799,16787,0.027981411288575078,0.19565496101353164
69012,70.4429,2,0.038529634475708,85799,16787,0.027981411288575078,0.19565496101353164
34104,44.6139,2,0.034492015838623,85317,51213,0.08536439008290912,0.6002672386511481
148590,41.8415,2,0.0338590145111084,147646,944,0.0015735064190394276,0.006393671349037563
300010,74.544,2,0.0344858169555664,300396,386,0.0006434041077851897,0.0012849705055992756
148590,44.508,2,0.0319547653198242,147646,944,0.0015735064190394276,0.006393671349037563
69076,59.948,2,0.0327715873718261,85860,16784,0.02797641073851457,0.19548101560680178
34104,44.5031,2,0.0308752059936523,85317,51213,0.08536439008290912,0.6002672386511481
68782,81.0938,2,0.0312466621398925,85608,16826,0.02804641843936166,0.19654705167741332
303737,72.3436,2,0.0306081771850585,304152,415,0.0006917427583700874,0.0013644493542702334
68782,82.2578,2,0.0307059288024902,85608,16826,0.02804641843936166,0.19654705167741332
69076,57.6062,2,0.0313210487365722,85860,16784,0.02797641073851457,0.19548101560680178
69076,58.2226,2,0.0311408042907714,85860,16784,0.02797641073851457,0.19548101560680178
69012,73.5857,2,0.0318474769592285,85799,16787,0.027981411288575078,0.19565496101353164
34104,42.2455,2,0.0314671993255615,85317,51213,0.08536439008290912,0.6002672386511481
68758,69.7343,2,0.0312438011169433,85615,16857,0.028098090789986898,0.1968930678035391
68782,79.7419,2,0.0308821201324462,85608,16826,0.02804641843936166,0.19654705167741332
68782,82.2692,2,0.029228925704956,85608,16826,0.02804641843936166,0.19654705167741332
69012,73.1996,2,0.0311145782470703,85799,16787,0.027981411288575078,0.19565496101353164
148590,42.0464,2,0.0316488742828369,147646,944,0.0015735064190394276,0.006393671349037563
68758,69.4912,2,0.0333492755889892,85615,16857,0.028098090789986898,0.1968930678035391
69076,82.3263,2,0.0305964946746826,85879,16803,0.02800808088889778,0.19565900860513047
69073,60.2732,2,0.0322208404541015,85856,16783,0.0279747438884944,0.19547847558702944
68782,80.7498,2,0.0298526287078857,85608,16826,0.02804641843936166,0.19654705167741332
68782,78.186,2,0.0301136970520019,85608,16826,0.02804641843936166,0.19654705167741332
303737,69.4949,2,0.0296187400817871,304152,415,0.0006917427583700874,0.0013644493542702334
69076,59.0677,2,0.0301005840301513,85860,16784,0.02797641073851457,0.19548101560680178
34104,41.7826,2,0.0302960872650146,85317,51213,0.08536439008290912,0.6002672386511481
34104,45.6192,2,0.0302026271820068,85317,51213,0.08536439008290912,0.6002672386511481
303737,71.9657,2,0.0300943851470947,304152,415,0.0006917427583700874,0.0013644493542702334
303737,71.4209,2,0.0296289920806884,304152,415,0.0006917427583700874,0.0013644493542702334
300010,71.7141,2,0.0332944393157959,300396,386,0.0006434041077851897,0.0012849705055992756
1112,29.6671,1,0.0545730590820312,54368,53256,0.08876976467411415,0.9795467922307239
69073,61.0605,2,0.035710334777832,85856,16783,0.0279747438884944,0.19547847558702944
69073,63.7913,2,0.0366604328155517,85856,16783,0.0279747438884944,0.19547847558702944
300010,74.2088,2,0.0354628562927246,300396,386,0.0006434041077851897,0.0012849705055992756
68758,70.3158,2,0.0355677604675293,85615,16857,0.028098090789986898,0.1968930678035391
34104,41.8201,2,0.0325672626495361,85317,51213,0.08536439008290912,0.6002672386511481
147609,41.6554,2,0.0365078449249267,148136,527,0.0008784299606290026,0.0035575417184209104
303737,74.7839,2,0.0341846942901611,304152,415,0.0006917427583700874,0.0013644493542702334
69012,68.8715,2,0.036198616027832,85799,16787,0.027981411288575078,0.19565496101353164
68782,83.9828,2,0.031165599822998,85608,16826,0.02804641843936166,0.19654705167741332
147609,40.3459,2,0.0327167510986328,148136,527,0.0008784299606290026,0.0035575417184209104
300010,72.469,2,0.0341269969940185,300396,386,0.0006434041077851897,0.0012849705055992756
68782,84.6029,2,0.0312371253967285,85608,16826,0.02804641843936166,0.19654705167741332
69012,69.073,2,0.0328559875488281,85799,16787,0.027981411288575078,0.19565496101353164
68758,68.6158,2,0.0327925682067871,85615,16857,0.028098090789986898,0.1968930678035391
147609,39.6869,2,0.0313427448272705,148136,527,0.0008784299606290026,0.0035575417184209104
69073,59.0726,2,0.0318572521209716,85856,16783,0.0279747438884944,0.19547847558702944
148590,41.3443,2,0.030198335647583,147646,944,0.0015735064190394276,0.006393671349037563
69076,59.3813,2,0.0339090824127197,85860,16784,0.02797641073851457,0.19548101560680178
69076,86.6056,2,0.0329730510711669,85879,16803,0.02800808088889778,0.19565900860513047
69076,57.6355,2,0.0310649871826171,85860,16784,0.02797641073851457,0.19548101560680178
299925,72.6579,2,0.0340397357940673,299538,387,0.0006450709578053585,0.0012919896640826874
69073,59.2257,2,0.0336909294128418,85856,16783,0.0279747438884944,0.19547847558702944
69073,60.1637,2,0.0364580154418945,85856,16783,0.0279747438884944,0.19547847558702944
299925,72.6622,2,0.0338325500488281,299538,387,0.0006450709578053585,0.0012919896640826874
68782,79.2513,2,0.0319921970367431,85608,16826,0.02804641843936166,0.19654705167741332
69076,59.7636,2,0.0328195095062255,85860,16784,0.02797641073851457,0.19548101560680178
68782,84.93,2,0.0347280502319335,85608,16826,0.02804641843936166,0.19654705167741332
69076,61.7397,2,0.0336074829101562,85860,16784,0.02797641073851457,0.19548101560680178
34104,43.0754,2,0.0325617790222168,85317,51213,0.08536439008290912,0.6002672386511481
69012,71.1885,2,0.034503698348999,85799,16787,0.027981411288575078,0.19565496101353164
299925,75.1879,2,0.034515380859375,299538,387,0.0006450709578053585,0.0012919896640826874
69076,59.344,2,0.0336871147155761,85860,16784,0.02797641073851457,0.19548101560680178
69076,83.1235,2,0.0334703922271728,85879,16803,0.02800808088889778,0.19565900860513047
69076,60.1906,2,0.0330073833465576,85860,16784,0.02797641073851457,0.19548101560680178
1112,31.688,1,0.0508558750152587,55038,53926,0.08988655418762731,0.9797957774628439
69076,85.09,2,0.0323238372802734,85879,16803,0.02800808088889778,0.19565900860513047
69073,60.7197,2,0.0391769409179687,85856,16783,0.0279747438884944,0.19547847558702944
68782,82.6974,2,0.032120943069458,85608,16826,0.02804641843936166,0.19654705167741332
303737,72.3206,2,0.0303304195404052,304152,415,0.0006917427583700874,0.0013644493542702334
148590,44.098,2,0.0312514305114746,147646,944,0.0015735064190394276,0.006393671349037563
1112,29.1914,1,0.0496234893798828,54109,52997,0.08833805051889042,0.9794488902031085
34104,42.9889,2,0.0308578014373779,85317,51213,0.08536439008290912,0.6002672386511481
68782,84.8728,2,0.0317893028259277,85608,16826,0.02804641843936166,0.19654705167741332
69076,60.6869,2,0.0316207408905029,85860,16784,0.02797641073851457,0.19548101560680178
303737,74.665,2,0.0302226543426513,304152,415,0.0006917427583700874,0.0013644493542702334
69076,58.9956,2,0.0311853885650634,85860,16784,0.02797641073851457,0.19548101560680178
300010,76.12,2,0.0316197872161865,300396,386,0.0006434041077851897,0.0012849705055992756
69073,58.9283,2,0.0313754081726074,85856,16783,0.0279747438884944,0.19547847558702944
69012,72.6597,2,0.031710147857666,85799,16787,0.027981411288575078,0.19565496101353164
69073,67.856,2,0.0317897796630859,85856,16783,0.0279747438884944,0.19547847558702944
147609,42.7102,2,0.0343155860900878,148136,527,0.0008784299606290026,0.0035575417184209104
68758,74.0943,2,0.0342612266540527,85615,16857,0.028098090789986898,0.1968930678035391
303737,74.0427,2,0.031987190246582,304152,415,0.0006917427583700874,0.0013644493542702334
69012,69.3714,2,0.0343613624572753,85799,16787,0.027981411288575078,0.19565496101353164
68782,80.8126,2,0.0319242477416992,85608,16826,0.02804641843936166,0.19654705167741332
34104,41.6127,2,0.0330781936645507,85317,51213,0.08536439008290912,0.6002672386511481
69076,80.8646,2,0.0338900089263916,85879,16803,0.02800808088889778,0.19565900860513047
68758,70.81,2,0.0376088619232177,85615,16857,0.028098090789986898,0.1968930678035391
68758,71.2867,2,0.0355534553527832,85615,16857,0.028098090789986898,0.1968930678035391
