estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
1048,4419.2008,1,0.0520765781402587,0,1048,0.0017468588211369917,0.0
1189,3746.183201,1,0.0674855709075927,0,1189,0.0019818846739808045,0.0
1281,2905.998901,1,0.0532906055450439,0,1281,0.002135234875836342,0.0
1202,4464.8218,1,0.06941819190979,0,1202,0.002003553724243,0.0
1102,4284.0316,1,0.0490353107452392,0,1102,0.0018368687222261116,0.0
1099,3385.471,1,0.0699477195739746,0,1099,0.0018318681721656049,0.0
1198,3829.1525,1,0.0677473545074462,64,1134,0.0018902079228715158,17.71875
1159,4714.511499,1,0.0495164394378662,0,1159,0.001931879173375738,0.0
1067,3730.1238,1,0.068336009979248,0,1067,0.0017785289715202006,0.0
1064,3144.119,1,0.0678708553314209,0,1064,0.0017735284214596939,0.0
1139,3787.605,1,0.0690381526947021,6,1133,0.001888541072851347,188.83333333333334
1053,4406.919701,1,0.0505592823028564,0,1053,0.001755193071237836,0.0
1114,2756.361,1,0.051283836364746,0,1114,0.0018568709224681382,0.0
1043,3473.248601,1,0.0500898361206054,0,1043,0.0017385245710361474,0.0
1160,4077.6772,1,0.0513291358947753,0,1160,0.001933546023395907,0.0
1408,3591.418001,1,0.0507590770721435,0,1408,0.0023469248283977903,0.0
1048,4355.7692,1,0.0501914024353027,0,1048,0.0017468588211369917,0.0
1173,2456.6871,1,0.0502166748046875,2,1171,0.0019518813736177647,585.5
1039,4324.461501,1,0.0693433284759521,0,1039,0.0017318571709554718,0.0
1220,3498.508501,1,0.057896614074707,0,1220,0.00203355702460604,0.0
1123,4386.4813,1,0.0532951354980468,9,1114,0.0018568709224681382,123.77777777777777
1090,3870.489,1,0.0529427528381347,0,1090,0.001816866521984085,0.0
1227,3309.1315,1,0.0726089477539062,0,1227,0.002045224974747222,0.0
1036,4086.229,1,0.0771243572235107,8,1028,0.001713521820733614,128.5
1001,3817.3898,1,0.0538685321807861,164,837,0.001395153466881357,5.103658536585366
1031,3539.204201,1,0.0679743289947509,44,987,0.0016451809699066897,22.431818181818183
1005,3277.4994,1,0.0515711307525634,0,1005,0.0016751842702697297,0.0
1040,3766.776301,1,0.0530555248260498,0,1040,0.0017335240209756407,0.0
