estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
48199,7181.7273,2,0.0327236652374267,20389,27810,0.0463550990608967,1.36397076855167
33307,6855.913201,2,0.0319354534149169,4690,28617,0.04770024702717299,6.101705756929637
68754,7020.972299,2,0.0305979251861572,14084,54670,0.09112669060263295,3.881709741550696
75791,8415.4187,2,0.0308520793914794,8735,67056,0.11177229495244477,7.676702919290212
55984,6573.771899,2,0.0331828594207763,5826,50158,0.08360586331163095,8.609337452797803
96336,7355.2108,2,0.0303483009338378,18890,77446,0.12909086666199948,4.0998411858126
39732,7142.431901,2,0.0286524295806884,15426,24306,0.04051445659022492,1.5756514974718008
104018,7522.1469,2,0.0289709568023681,15301,88717,0.147877933239323,5.7981177700803865
48400,6314.8644,2,0.0287041664123535,15688,32712,0.05452599785976457,2.0851606323304437
70779,7431.252401,2,0.0277817249298095,13283,57496,0.09583720875963023,4.3285402394037495
89257,7744.934801,2,0.0273175239562988,15054,74203,0.12368527204659178,4.929121828085559
42188,7075.9995,2,0.0269315242767334,17313,24875,0.04146289425170102,1.4367816091954022
55342,8812.763,2,0.0278167724609375,2028,53314,0.08886644197528394,26.28895463510848
89026,10781.2852,2,0.0275564193725585,13742,75284,0.12548713691839436,5.478387425411149
38225,6975.1264,2,0.0265810489654541,7974,30251,0.050423879960128946,3.7937045397542013
48241,6541.0996,2,0.0272779464721679,15671,32570,0.05428930515690059,2.0783613043200817
56958,6561.954701,2,0.0266473293304443,4285,52673,0.08779799111235569,12.292415402567094
52116,8294.8372,2,0.0285432338714599,17924,34192,0.05699293588961452,1.9076099085025664
76347,8529.527301,2,0.0267579555511474,6165,70182,0.1169828681154927,11.383941605839416
64022,8311.103101,2,0.0282323360443115,2340,61682,0.10281464294405718,26.35982905982906
39580,7104.3593,2,0.0315396785736084,10532,29048,0.04841865938586578,2.7580706418533993
55841,7379.8421,2,0.0287041664123535,17785,38056,0.0634336443675471,2.1397807140849032
68192,7507.2713,2,0.0273163318634033,7680,60512,0.10086442842045959,7.879166666666666
29357,6004.2452,2,0.0276210308074951,491,28866,0.04811529268219504,58.79022403258656
14540,5312.006801,2,0.0283563137054443,3247,11293,0.018823737277767223,3.4779796735448105
53658,7063.6871,2,0.0272328853607177,11428,42230,0.07039107635173203,3.6953097654882745
23182,6386.5617,2,0.0276041030883789,6477,16705,0.02784472958692123,2.579126138644434
90446,7129.567801,2,0.0285816192626953,17614,72832,0.12140002066894025,4.13489269898944
75764,6625.9622,2,0.0269303321838378,12328,63436,0.10573829787943341,5.145684620376379
70101,7796.3911,2,0.0271215438842773,7861,62240,0.10374474525531142,7.917567739473349
27366,6334.7172,2,0.0296924114227294,6782,20584,0.034310440815156336,3.0350928929519316
39057,6884.073999,2,0.0285909175872802,4181,34876,0.05813306130341004,8.341545084907917
68429,8424.116599,2,0.0344650745391845,6319,62110,0.10352805475268946,9.829086880835575
57706,8346.0002,2,0.0298097133636474,6483,51223,0.0853810585831108,7.90112602190344
23907,5464.5517,2,0.0303757190704345,5937,17970,0.02995329486243487,3.0267812026275895
62024,6952.692899,2,0.028942584991455,9434,52590,0.08765964256068168,5.574517701929192
58611,6995.6252,2,0.0296034812927246,5273,53338,0.088906446375768,10.115304380807888
66327,6280.9202,2,0.0282776355743408,22328,43999,0.07333973403741079,1.9705750627015406
60730,7350.024699,2,0.0302362442016601,3353,57377,0.09563885360723012,17.112138383537133
43734,6011.0396,2,0.0303068161010742,9845,33889,0.056487880333503354,3.4422549517521586
51009,8124.0773,2,0.028005838394165,3493,47516,0.07920204555834476,13.603206412825651
69214,8191.622999,2,0.0299961566925048,11462,57752,0.09626392236479346,5.03856220554877
71971,8579.372399,2,0.0291903018951416,5272,66699,0.11117722949524447,12.651555386949925
72769,8840.3653,2,0.028928518295288,8041,64728,0.1078918681054916,8.049745056585001
67140,7777.5426,2,0.0280506610870361,6933,60207,0.10035603916430808,8.684119428818693
54247,7106.800301,2,0.0279183387756347,12055,42192,0.07032773605096561,3.49995852343426
40330,6292.437899,2,0.0267658233642578,11003,29327,0.048883710541492896,2.665363991638644
109872,9337.453899,2,0.0291721820831298,16494,93378,0.15564712118333016,5.661331393233903
54760,6148.6654,2,0.0291740894317626,18303,36457,0.06076835118529705,1.9918592580451293
83585,7475.320801,2,0.0272650718688964,17630,65955,0.10993709308023883,3.7410663641520134
67727,6674.0904,2,0.0293662548065185,10581,57146,0.09525381125257111,5.400812777620263
55238,7352.041999,2,0.0284178256988525,8299,46939,0.07824027309670731,5.655982648511869
37001,7860.8108,2,0.0266401767730712,12436,24565,0.040946170745448665,1.9753136056609841
44236,8300.463801,2,0.0266535282135009,7057,37179,0.061971816899858985,5.268385999716593
35526,6575.637,2,0.0278713703155517,3595,31931,0.05322418799401268,8.882058414464534
66836,7590.757401,2,0.027287483215332,8480,58356,0.09727069977697547,6.881603773584906
35338,6625.7636,2,0.0280404090881347,17530,17808,0.02968326515916751,1.0158585282373074
81698,8195.660999,2,0.0274262428283691,9863,71835,0.11973817119883187,7.283280949001318
40668,6325.8416,2,0.0265495777130126,11720,28948,0.04825197438384889,2.4699658703071674
53088,7021.4028,2,0.029909610748291,2768,50320,0.08387589301489831,18.179190751445088
111489,7989.217901,2,0.0283718109130859,11992,99497,0.16584657645674358,8.296947965310206
21900,5776.430299,2,0.0264754295349121,8941,12959,0.021600709411368584,1.449390448495694
75088,8008.7726,2,0.0264840126037597,7393,67695,0.11283741211533269,9.156634654402813
71634,7768.2221,2,0.0260365009307861,11237,60397,0.10067274066814016,5.374833140517932
24489,5928.3018,2,0.0262441635131835,8521,15968,0.02661626112205676,1.873958455580331
32903,7237.5337,2,0.0254302024841308,6365,26538,0.044234865835241874,4.169363707776905
45947,6280.969,2,0.0284152030944824,11720,34227,0.057051275640320434,2.920392491467577
37924,6448.2962,2,0.0303692817687988,6920,31004,0.05167901802531612,4.480346820809249
57114,6513.0407,2,0.0298130512237548,4807,52307,0.08718792400497388,10.881422924901186
36736,6728.8057,2,0.0279097557067871,7637,29099,0.04850366873689439,3.8102658111824015
32240,6793.3734,2,0.0264630317687988,4316,27924,0.04654511996319595,6.469879518072289
36830,6824.2925,2,0.0267496109008789,3111,33719,0.056204515830074644,10.838637094181935
77013,6874.896501,2,0.02573823928833,13593,63420,0.10571162827911071,4.665636724784815
38133,7009.989999,2,0.026611328125,7811,30322,0.05054222631156094,3.8819613365766226
44964,6417.5639,2,0.0268902778625488,3724,41240,0.06874089483176483,11.074113856068744
41148,6041.5188,2,0.0309889316558837,5911,35237,0.05873479416069101,5.961258670275757
93153,8162.7932,2,0.0393474102020263,16852,76301,0.12718232338890612,4.5277118442914785
59006,8196.2127,2,0.0395655632019043,4420,54586,0.09098667520093877,12.34977375565611
76153,7678.132,2,0.0423572063446044,4760,71393,0.11900142348991723,14.998529411764705
46932,5738.233901,2,0.0366528034210205,14788,32144,0.05357922704830865,2.1736543143088993
48138,6882.2623,2,0.0323317050933837,2124,46014,0.07669843682805108,21.663841807909606
123213,9166.624,2,0.0301518440246582,13368,109845,0.1830951404654512,8.217010771992818
62342,7982.1966,2,0.0335190296173095,11109,51233,0.0853977270833125,4.61184625078765
28774,6007.5073,2,0.0405366420745849,2907,25867,0.043116409471708556,8.898176814585483
58149,7193.364001,2,0.0549368858337402,14589,43560,0.07260798687855664,2.985811227637261
34082,6444.353801,2,0.038663625717163,3422,30660,0.05110562161837802,8.959672706019871
54940,6162.2121,2,0.0591762065887451,4259,50681,0.08447762587217927,11.899741723409251
61977,7787.8685,2,0.0371732711791992,12711,49266,0.0821190330936403,3.875855558177956
31640,6851.2612,2,0.040529727935791,6610,25030,0.0417212560048272,3.7866868381240546
50182,7110.5069,2,0.0406396389007568,19520,30662,0.05110895531841836,1.570799180327869
75074,7730.936,2,0.0462369918823242,14732,60342,0.10058106391703088,4.09598153679066
77886,7465.457,2,0.0374400615692138,12599,65287,0.10882363726676601,5.181919199936503
45337,6537.935699,2,0.0427348613739013,590,44747,0.07458653785249711,75.84237288135593
55525,7441.1672,2,0.0373368263244628,2665,52860,0.08810969206612727,19.834896810506567
36657,5460.2483,2,0.0424644947052001,9933,26724,0.04454489993899329,2.690425853216551
81513,9086.0609,2,0.0329062938690185,7345,74168,0.12362693229588588,10.097753573859768
123403,8232.8711,2,0.0311436653137207,18972,104431,0.17407081445625686,5.504480286738351
32203,6889.1737,2,0.0327820777893066,1322,30881,0.05147399547283534,23.359304084720122
30136,6550.1701,2,0.0316460132598876,13528,16608,0.027683045134964845,1.2276759314015375
41592,6588.2763,2,0.0308120250701904,3902,37690,0.06282357726016528,9.659149154279856
75589,7594.2049,2,0.0302386283874511,7225,68364,0.11395253477882566,9.462145328719723
76679,7326.2264,2,0.0342025756835937,6971,69708,0.11619278120593265,9.999713097116626
55981,6375.1131,2,0.0326406955718994,20591,35390,0.05898982221377685,1.7187120586664077
41160,7248.873499,2,0.0299675464630126,3126,38034,0.06339697366710338,12.166986564299425
69735,7629.5631,2,0.0272951126098632,14615,55120,0.09187677311170896,3.7714676702018473
71387,7371.2254,2,0.0278196334838867,13162,58225,0.09705234242433335,4.42371979942258
54526,10238.220801,2,0.0315430164337158,8442,46084,0.0768151163294629,5.458895996209429
58476,7679.8722,2,0.0313866138458251,5305,53171,0.08862808242239979,10.022808671065032
68487,6693.9425,2,0.0348362922668457,15131,53356,0.08893644967613104,3.5262705703522568
53295,7399.2434,2,0.0327799320220947,13937,39358,0.06560388309380699,2.823993685872139
40660,6907.919,2,0.0306637287139892,16056,24604,0.041011177896235256,1.5323866467364224
50868,6333.3248,2,0.0298268795013427,7164,43704,0.07284801328146095,6.100502512562814
112585,8186.221,2,0.0294232368469238,11150,101435,0.1690769317958309,9.097309417040359
30606,6466.106801,2,0.0292272567749023,13877,16729,0.02788473398740528,1.2055199250558477
53147,7404.404699,2,0.0291714668273925,13625,39522,0.06587724649711468,2.900697247706422
52407,6677.7517,2,0.0278654098510742,7827,44580,0.0743081738991289,5.695668838635492
30021,6904.4022,2,0.0295836925506591,5241,24780,0.041304543499784976,4.728105323411563
52066,6970.347901,2,0.0331764221191406,12148,39918,0.06653731910510156,3.2859729996707276
47259,6868.467901,2,0.0305891036987304,12969,34290,0.057156287191591076,2.6439972241498957
67133,6434.5204,2,0.0282914638519287,8719,58414,0.09736737707814526,6.699621516228925
87335,7998.6019,2,0.0279507637023925,13402,73933,0.12323522254114619,5.516564691837039
68978,6928.874199,2,0.0279736518859863,13492,55486,0.09248684021909076,4.112511117699378
34483,6397.3514,2,0.0324795246124267,22261,12222,0.020372240946504114,0.5490319392659808
103829,8154.5121,2,0.0316085815429687,15693,88136,0.14690949337760487,5.616262027655643
