estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
308137,2148.1661,2,0.0240936279296875,384096,75959,0.12661226068200834,0.19776045571940348
318183,1835.2239,2,0.0326442718505859,384361,66178,0.11030880063473648,0.17217667765460076
342633,1564.2046,2,0.0263028144836425,384242,41609,0.06935596248920714,0.10828852650152768
280413,1959.2473,2,0.024890661239624,384128,103715,0.17287734984181594,0.27000114545151616
352611,1604.7367,2,0.0241246223449707,384223,31612,0.0526924628375788,0.08227513709486418
208952,2138.8288,2,0.0249850749969482,383976,175024,0.29173875793003895,0.4558201554263808
319010,2165.5055,2,0.0250971317291259,384200,65190,0.10866195281480963,0.16967725143154608
326788,1713.4741,2,0.0244247913360595,384320,57532,0.09589721536035631,0.14969816819317236
242554,1694.5032,2,0.02476167678833,384174,141620,0.23605929985631752,0.3686350455783057
336074,1879.6216,2,0.0248510837554931,384341,48267,0.08045384992349158,0.12558379147683957
277809,2030.7317,2,0.0244944095611572,384030,106221,0.17705447599235916,0.276595578470432
381579,1625.5997,2,0.0266420841217041,384121,2542,0.0042371327512693065,0.006617706399806311
296120,1975.5822,2,0.026369571685791,384160,88040,0.14674947577566866,0.22917534360683048
426387,3548.5045,2,0.0270338058471679,384100,42287,0.07048608680288165,0.11009372559229368
288890,1675.0001,2,0.0250215530395507,384244,95354,0.1589408168231839,0.24816002331851636
373687,2084.0006,2,0.0247552394866943,384244,10557,0.017596935662922922,0.0274747295989007
343509,2195.2795,2,0.0253815650939941,384073,40564,0.06761410421813066,0.10561533875070625
301012,2126.9171,2,0.0243692398071289,384244,83232,0.13873526087869667,0.21661236089568087
298331,1994.9947,2,0.0246596336364746,384413,86082,0.143485783436178,0.2239310325093064
282711,1978.2863,2,0.0242311954498291,384026,101315,0.1688769097934106,0.2638232827985605
665580,4070.1695,2,0.0251739025115966,384062,281518,0.46924828397790425,0.7330014424754336
281403,1921.5205,2,0.0240454673767089,384237,102834,0.17140885497404715,0.26763169606258636
384873,1918.755,2,0.0230975151062011,384296,577,0.0009617724616374468,0.0015014468014239023
276101,1881.7252,2,0.0228004455566406,384010,107909,0.17986811882640424,0.281005702976485
338889,2029.7822,2,0.0229911804199218,384289,45400,0.07567499091566739,0.11814025381939114
374292,1713.2876,2,0.0230696201324462,384352,10060,0.016768511202898986,0.026173923903088835
316139,1832.4835,2,0.0226609706878662,384186,68047,0.11342414332243213,0.1771199366973289
458571,3395.5017,2,0.0245351791381835,384047,74524,0.124220330903066,0.19404916585730392
348414,2180.6338,2,0.0228803157806396,384225,35811,0.05969156607226795,0.09320320124926801
410318,3877.2241,2,0.0245606899261474,384041,26277,0.0437998179799778,0.06842238198525678
347550,1700.4269,2,0.0226953029632568,384134,36584,0.0609800411378585,0.09523759937938324
211268,2357.1088,2,0.0230028629302978,383965,172697,0.28785999793310596,0.44977276574687797
289177,1335.0709,2,0.0242352485656738,384130,94953,0.15827240996509617,0.24718975346887773
362360,2215.2503,2,0.0237796306610107,384288,21928,0.03655068724226332,0.05706137063868765
272537,1899.6331,2,0.0233757495880126,384045,111508,0.18586711204899206,0.2903513911130206
253292,1867.0561,2,0.0229163169860839,384175,130883,0.21816233118976422,0.3406858853387128
326379,1999.6841,2,0.0228726863861084,384345,57966,0.0966206282691096,0.15081762479022753
382211,1589.5284,2,0.0233030319213867,384110,1899,0.0031653481883007132,0.004943896279711541
308788,2225.7105,2,0.0232665538787841,384356,75568,0.12596052232412233,0.19660939337489203
259772,1770.2672,2,0.0233399868011474,384225,124453,0.20744448556007827,0.3239065651636411
272118,1642.7539,2,0.0227835178375244,384239,112121,0.1868888911113556,0.29180015563230177
372989,1750.5259,2,0.0217323303222656,384172,11183,0.018640383775548643,0.029109357267057465
309781,1806.5424,2,0.0227560997009277,384165,74384,0.12398697190024235,0.19362513503312379
301117,2085.3566,2,0.0222353935241699,384073,82956,0.13827521027313006,0.21599018936504258
329755,1960.2769,2,0.0228302478790283,384362,54607,0.09102167905136231,0.1420717968997976
354373,2017.8644,2,0.0233218669891357,384211,29838,0.049735470901799195,0.0776604521994425
113459,1495.986,2,0.0246176719665527,383961,270502,0.4508862641557238,0.7045038428382049
301339,1248.2406,2,0.0234689712524414,384296,82957,0.1382768771231502,0.2158674563357412
356629,2381.4065,2,0.0230846405029296,384174,27545,0.04591338380555195,0.07169928209613352
357416,2385.2089,2,0.0226695537567138,384204,26788,0.0446515783402841,0.06972337612310127
352135,2357.8097,2,0.0239300727844238,384262,32127,0.05355089059796578,0.08360701812825624
326155,2201.1696,2,0.0238904953002929,384285,58130,0.0968939916724173,0.1512679391597382
355535,2210.4725,2,0.0241332054138183,384255,28720,0.04787193257925038,0.07474203328518822
297038,1639.5799,2,0.0237166881561279,384157,87119,0.1452143069070931,0.2267796760178781
284569,1969.4875,2,0.022984504699707,384175,99606,0.16602826310894198,0.25927246697468603
266271,1968.5712,2,0.0232489109039306,384282,118011,0.19670663773015032,0.30709478976376725
312989,1839.1097,2,0.0235171318054199,384124,71135,0.11857137618471365,0.18518759567223084
257423,1738.2064,2,0.0242435932159423,384218,126795,0.2113482483073138,0.33000796422864104
323189,2134.7951,2,0.0239861011505126,384018,60829,0.10139281987685313,0.1584014290996776
280366,1905.7912,2,0.024651288986206,384234,103868,0.17313237789490177,0.2703248541253507
304950,2104.4081,2,0.0248506069183349,384367,79417,0.13237622805175236,0.20661763366782268
315461,1553.4616,2,0.0241827964782714,384157,68696,0.11450592898552174,0.178822720918791
342875,686.7014,2,0.0250132083892822,384210,41335,0.06889924558368087,0.10758439395122459
326672,2165.5005,2,0.0248582363128662,384311,57639,0.09607556831251438,0.14998009424658676
362173,1764.7717,2,0.0242450237274169,384252,22079,0.03680238159530882,0.057459687913140337
330898,2168.4543,2,0.0249121189117431,384191,53293,0.0888314381248604,0.13871485797428884
266055,1452.8322,2,0.0241539478302001,384065,118010,0.19670497088013014,0.3072656972127114
