estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
113769,4731.2579,2,0.0788774490356445,80043,33726,0.056216183780215825,0.42134852516772237
14435,1084.2052,2,0.0427777767181396,38619,24184,0.04031110088776432,0.6262202542789819
152028,3329.9397,2,0.0229365825653076,94973,57055,0.09510212790073574,0.6007496867530772
8308,3732.4084,2,0.0323741436004638,5464,2844,0.0047405214573603095,0.5204978038067349
28362,1350.9143,2,0.0292341709136962,21726,6636,0.011061216733840723,0.3054404860535764
27604,2645.1799,2,0.0329244136810302,15435,12169,0.020283897895435166,0.7884029802397149
124674,3842.5953,2,0.0226013660430908,38063,86611,0.14436754709684732,2.2754643617161023
6605,3000.8127,2,0.0308823585510253,13582,6977,0.011629612590718312,0.5136945957885437
141223,3015.2842,2,0.0214002132415771,133670,7553,0.01258971820233559,0.05650482531607691
209448,2069.6494,2,0.0212693214416503,150009,59439,0.09907589834881837,0.3962362258264504
138231,2044.2409,2,0.0214827060699462,151920,13689,0.02281750992609187,0.09010663507109004
6759,50.2388,1,0.0746107101440429,3927,2832,0.004720519257118283,0.721161191749427
170018,2270.0049,2,0.0232684612274169,39466,130552,0.2176106038330883,3.3079612831297824
195734,1523.0471,2,0.0225496292114257,150659,45075,0.0751332646591125,0.29918557802720047
113410,2929.8872,2,0.022364854812622,124912,11502,0.01917210893198252,0.09208082490073011
8747,3659.8664,2,0.0338678359985351,15848,7101,0.011836301993219254,0.44806915699141847
112689,3110.4483,2,0.0228347778320312,90899,21790,0.03632066193948001,0.23971660854354834
136202,2416.8645,2,0.0242993831634521,54601,81601,0.1360166284958012,1.4944964377941796
3442,545.0118,2,0.0393416881561279,11231,7789,0.012983094807095447,0.6935268453387944
16190,1569.6682,2,0.0317661762237548,21667,5477,0.009129337560464985,0.2527807264503623
76419,4505.1491,2,0.0241851806640625,17412,59007,0.09835581914010541,3.3888697450034457
111688,2801.4576,2,0.0225396156311035,119638,7950,0.013251457660342638,0.06645045888430097
244901,2521.8162,2,0.0223786830902099,89002,155899,0.25986025129430906,1.751634794723714
20234,2914.0448,2,0.0320498943328857,11432,8802,0.014671613877526527,0.7699440167949615
122921,3321.4761,2,0.0225110054016113,78142,44779,0.07463987705314251,0.5730465050804945
69785,3339.1561,2,0.022313117980957,38678,31107,0.05185070357739351,0.8042556492062671
43270,57.3574,2,0.0398685932159423,43397,127,0.00021168995256144843,0.0029264695716293755
80136,3043.8012,2,0.0228991508483886,38578,41558,0.06927095313817853,1.0772460988127948
24972,1537.8752,2,0.0303027629852294,21459,3513,0.005855644120853294,0.16370753529987417
89028,5335.9723,2,0.0242114067077636,34073,54955,0.09160174285838109,1.6128606227805007
189406,1805.5212,2,0.0215756893157959,151288,38118,0.06353698906879757,0.25195653323462536
190262,1799.6333,2,0.0212657451629638,151325,38937,0.06490213923531589,0.25730712043614734
18243,3290.3098,2,0.025597333908081,19105,862,0.001436824717385579,0.04511907877518974
117943,2886.6924,2,0.0228784084320068,65807,52136,0.086902892651525,0.7922561429635145
15283,1746.9532,2,0.0311286449432373,41816,26533,0.04422653158514103,0.6345178878898029
51304,2702.6067,2,0.033947467803955,25308,25996,0.04333143312431034,1.0271850798166589
78802,5037.6477,2,0.0249264240264892,14637,64165,0.10695343154413652,4.383753501400561
99056,590.5445,2,0.0224828720092773,156211,57155,0.09526881290275263,0.36588332447778965
143140,3865.1911,2,0.0234255790710449,95160,47980,0.07997546396770311,0.5042034468263976
76922,2438.259,2,0.023045539855957,86194,9272,0.015455033387005905,0.10757129266538275
199415,2650.7385,2,0.0232696533203125,39576,159839,0.2664276403737744,4.038786133009905
51469,5396.2467,2,0.0241341590881347,12997,38472,0.06412705397593735,2.9600677079325997
15624,553.8505,2,0.0298829078674316,38586,22962,0.038274210163117946,0.595086300730835
154721,2324.3794,2,0.0224301815032959,39056,115665,0.1927962075828341,2.9615167963949203
31987,1782.4549,2,0.039006233215332,21558,10429,0.017383578860341305,0.4837647277112905
67232,3382.5776,2,0.0224659442901611,38358,28874,0.04812862748235639,0.7527504040878044
