estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
141547,11342.5566,2,0.0788774490356445,80043,61504,0.10251794364046712,0.7683869919918044
24804,3185.0515,2,0.0427777767181396,38619,13815,0.02302753302863315,0.35772547191796783
136323,16223.092,2,0.0229365825653076,94973,41350,0.0689242483339834,0.43538689943457615
9885,9329.8528,1,0.0323741436004638,5464,4421,0.007369143939166642,0.8091142020497804
20155,2876.7089,1,0.0292341709136962,21726,1571,0.0026186213816853186,0.07230967504372642
10761,8050.2286,1,0.0329244136810302,15435,4674,0.00779085699426937,0.30281827016520896
272003,10667.3769,2,0.0226013660430908,38063,233940,0.38994289371830904,6.146126159262276
17149,6612.5945,1,0.0308823585510253,13582,3567,0.005945654021942414,0.2626270063319099
153024,6008.6777,2,0.0214002132415771,133670,19354,0.03226021529034861,0.1447894067479614
368998,5258.5303,2,0.0212693214416503,150009,218989,0.365021819066764,1.4598390763220874
304007,7876.9985,2,0.0214827060699462,151920,152087,0.25350621901742526,1.001099262769879
47132,134.3871,1,0.0746107101440429,3927,43205,0.07201625512139669,11.002037178507766
86708,6824.0062,2,0.0232684612274169,39466,47242,0.07874532865281848,1.1970303552424872
186704,2908.9491,2,0.0225496292114257,150659,36045,0.06008160897698747,0.23924889983339861
158843,6889.664,2,0.022364854812622,124912,33931,0.05655788803435045,0.27163923402075063
15021,8782.4465,2,0.0338678359985351,15848,827,0.001378484966679668,0.05218324078748107
154241,10361.0355,2,0.0228347778320312,90899,63342,0.10558161397753753,0.6968393491677576
62721,7546.4971,2,0.0242993831634521,54601,8120,0.013534822163771347,0.1487152249958792
47132,1209.1006,1,0.0393416881561279,11231,35901,0.059841582574083146,3.196598700026712
16795,4033.2123,2,0.0317661762237548,21667,4872,0.008120893298262809,0.2248580791064753
88597,11181.6267,2,0.0241851806640625,17412,71185,0.1186547186857221,4.088272455777624
157190,7551.681,2,0.0225396156311035,119638,37552,0.06259355195738198,0.31388020528594596
75448,8997.8605,2,0.0223786830902099,89002,13554,0.02259248517336907,0.1522887126131997
26570,8007.3527,1,0.0320498943328857,11432,15138,0.025232775605316584,1.3241777466759972
305731,8303.3877,2,0.0225110054016113,78142,227589,0.3793567292402164,2.9125054388165137
220079,9835.4533,2,0.022313117980957,38678,181401,0.30236826050865595,4.690030508299292
34525,119.4655,1,0.0398685932159423,43397,8872,0.01478829337893835,0.20443809479917965
140897,9903.1465,2,0.0228991508483886,38578,102319,0.17055042721366018,2.6522629477940796
22148,3565.4009,1,0.0303027629852294,21459,689,0.0011484596638963618,0.03210774034204763
108737,12721.1604,2,0.0242114067077636,34073,74664,0.12445368990588965,2.191295160390925
410938,4363.011,2,0.0215756893157959,151288,259650,0.43279760773685105,1.7162630215218655
409844,5299.748,2,0.0212657451629638,151325,258519,0.43091240036404005,1.70836940360152
23891,9755.1551,2,0.025597333908081,19105,4786,0.007977544196528285,0.25051033760795605
121515,6497.6427,2,0.0228784084320068,65807,55708,0.09285688092356825,0.8465360827875454
68166,4296.1365,2,0.0311286449432373,41816,26350,0.043921498031450124,0.630141572603788
9909,7379.7324,1,0.033947467803955,25308,15399,0.025667823460580663,0.6084637268847796
83497,15128.3576,2,0.0249264240264892,14637,68860,0.11477929238882943,4.704515952722552
125328,1477.3199,2,0.0224828720092773,156211,30883,0.05147732917287568,0.19770054605629564
282751,9426.5543,2,0.0234255790710449,95160,187591,0.31268606213350136,1.971321984026902
125165,5055.2076,2,0.023045539855957,86194,38971,0.06495881213600163,0.45213123883332945
128056,7761.5704,2,0.0232696533203125,39576,88480,0.14748288978454296,2.2356984030725693
87528,14640.098,2,0.0241341590881347,12997,74531,0.12423199885320718,5.734477187043164
11762,1290.1807,1,0.0298829078674316,38586,26824,0.04471158494101018,0.695174415591147
89590,5826.2582,2,0.0224301815032959,39056,50534,0.08423259891921445,1.2938857025809094
35138,4103.9683,2,0.039006233215332,21558,13580,0.022635823273893463,0.6299285648019297
80580,10495.801,2,0.0224659442901611,38358,42222,0.07037774155157067,1.100735179102143
268890,4277.0949,2,0.0214738845825195,150317,118573,0.19764340744148523,0.7888196278531371
229194,6394.348,2,0.0229964256286621,126254,102940,0.17158554107618504,0.8153405040632375
197053,7101.2178,2,0.0232963562011718,95333,101720,0.169551984051579,1.0669967377508314
146405,12643.5811,2,0.0237512588500976,25915,120490,0.200838758930149,4.649430831564731
16249,5664.7817,1,0.0498790740966796,16997,748,0.0012468038150863262,0.04400776607636642
152116,7738.9732,2,0.0235135555267334,90678,61438,0.10240793153913597,0.6775403074615673
86433,4091.3425,2,0.0218236446380615,39443,46990,0.07832528244773591,1.1913394011611693
94761,8287.1762,2,0.0228402614593505,37405,57356,0.09560384975680658,1.5333778906563293
337846,3515.541,2,0.0203595161437988,150079,187767,0.31297942773705106,1.251121076233184
191045,8555.6016,2,0.0212454795837402,110574,80471,0.13413308797301035,0.7277569772279198
186669,9067.0361,2,0.0227007865905761,37040,149629,0.24940910166785013,4.039659827213823
134141,12241.8609,2,0.022979736328125,22977,111164,0.18529371564205396,4.838055446751099
43024,2733.1107,2,0.0283687114715576,77234,34210,0.05702293918997756,0.44293963798327163
13798,3655.6087,1,0.0560736656188964,1851,11947,0.019913857190957673,6.454349000540248
179115,9649.6057,2,0.0219538211822509,38540,140575,0.23431744158524104,3.6475090814737934
18444,6938.0508,1,0.0418434143066406,13753,4691,0.007819193444612241,0.3410892168981313
12367,986.0063,1,0.03108811378479,22383,10016,0.016695169802011554,0.447482464370281
198857,7888.4686,2,0.0224072933197021,38353,160504,0.2675360956371868,4.184913826819284
54497,4149.4546,2,0.0301830768585205,21220,33277,0.05546776812115999,1.5681903864278983
280546,3736.0441,2,0.0219979286193847,150544,130002,0.21669383632199543,0.8635481985333192
25526,2955.5103,1,0.0495133399963378,13842,11684,0.019475475635653255,0.8440976737465684
10814,1581.8617,1,0.0333280563354492,22217,11403,0.0190070907799858,0.5132556150695413
85498,137.1755,2,0.0311319828033447,85856,358,0.0005967323072204609,0.004169772642564294
