estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
1315,5420.174,1,0.1044700145721435,0,1315,0.002191907776522084,0.0
1259,4878.3137,1,0.1064434051513671,0,1259,0.0020985641753926264,0.0
1029,5174.9484,1,0.1031486988067627,0,1029,0.001715188670753783,0.0
1486,5365.7358,1,0.1056635379791259,0,1486,0.0024769391299709633,0.0
1108,6151.9112,1,0.1051466464996337,0,1108,0.0018468698223471248,0.0
1113,7053.5651,1,0.107271671295166,0,1113,0.0018552040724479693,0.0
1442,13062.5582,1,0.1079878807067871,0,1442,0.0024035977290835326,0.0
1503,4266.0251,1,0.105135440826416,0,1503,0.0025052755803138347,0.0
1139,5691.6827,1,0.1039531230926513,0,1139,0.0018985421729723602,0.0
1009,5153.0706,1,0.1071605682373046,0,1009,0.0016818516703504052,0.0
1387,6010.9993,1,0.1092922687530517,0,1387,0.002311920977974244,0.0
1330,6288.0898,1,0.1149492263793945,0,1330,0.0022169105268246172,0.0
1328,5054.223,1,0.1113002300262451,0,1328,0.0022135768267842796,0.0
1429,4381.1884,1,0.1063764095306396,0,1429,0.002381928678821337,0.0
1113,4959.8553,1,0.110459566116333,0,1113,0.0018552040724479693,0.0
1159,5163.5362,1,0.1093013286590576,0,1159,0.001931879173375738,0.0
1138,4869.1356,1,0.1088619232177734,0,1138,0.0018968753229521914,0.0
1347,5613.761799,1,0.1077256202697753,0,1347,0.0022452469771674886,0.0
1014,5999.0036,1,0.1029260158538818,0,1014,0.0016901859204512496,0.0
1173,5465.3883,1,0.1073205471038818,0,1173,0.0019552150736581024,0.0
985,6011.440399,1,0.1000499725341796,0,985,0.001641847269866352,0.0
1076,6103.178301,1,0.102830171585083,0,1076,0.0017935306217017205,0.0
1137,5401.0909,1,0.1083836555480957,0,1137,0.0018952084729320225,0.0
1162,5450.9577,1,0.1073300838470459,0,1162,0.0019368797234362446,0.0
979,5074.6553,1,0.1098642349243164,0,979,0.0016318461697453386,0.0
1123,6296.3902,1,0.115267276763916,0,1123,0.001871872572649658,0.0
1179,5328.060699,1,0.1108725070953369,0,1179,0.0019652161737791158,0.0
1199,5708.9643,1,0.1137189865112304,0,1199,0.001998553174182493,0.0
1445,5572.4125,1,0.10872483253479,0,1445,0.002408598279144039,0.0
1218,5472.4099,1,0.1075387001037597,0,1218,0.0020302233245657023,0.0
1179,4742.092399,1,0.1101069450378418,2,1177,0.001961882473738778,588.5
1372,5072.401401,1,0.1095921993255615,0,1372,0.0022869182276717107,0.0
1105,5480.163999,1,0.1045000553131103,0,1105,0.0018418692722866183,0.0
1438,4956.233699,1,0.109588623046875,0,1438,0.002396930329002857,0.0
1199,4825.995201,1,0.1053149700164794,0,1199,0.001998553174182493,0.0
1221,6255.2815,1,0.1066064834594726,0,1221,0.0020352238746262088,0.0
1151,5461.957,1,0.1046063899993896,0,1151,0.001918544373214387,0.0
1052,5665.9217,1,0.0973196029663086,0,1052,0.0017535262212176673,0.0
1188,4400.148101,1,0.1008872985839843,0,1188,0.0019802178239606357,0.0
1210,6711.712299,1,0.1053071022033691,0,1210,0.002016888524404351,0.0
1175,5380.193301,1,0.1047673225402832,0,1175,0.00195854877369844,0.0
1315,5129.675199,1,0.1050560474395752,0,1315,0.002191907776522084,0.0
1223,6045.4984,1,0.102783203125,0,1223,0.002038557574666547,0.0
1278,5832.138,1,0.1096112728118896,0,1278,0.0021302343257758355,0.0
1362,5303.962499,1,0.106468915939331,0,1362,0.0022702497274700215,0.0
1252,6051.867801,1,0.1077678203582763,0,1252,0.002086896225251444,0.0
1423,11293.5882,1,0.0980658531188964,0,1423,0.0023719275787003236,0.0
1367,6125.547201,1,0.1013827323913574,0,1367,0.002278583977570866,0.0
1124,7717.681699,1,0.1023039817810058,0,1124,0.0018735394226698271,0.0
1042,11194.3463,1,0.1069381237030029,0,1042,0.0017368577210159783,0.0
1516,8324.171501,1,0.1088066101074218,0,1516,0.00252694463057603,0.0
1241,10549.5672,1,0.1049840450286865,0,1241,0.0020685608750295867,0.0
1404,7076.8262,1,0.1052095890045166,0,1404,0.002340257428317115,0.0
1492,8248.976601,1,0.1068563461303711,0,1492,0.0024869402300919767,0.0
1222,9944.7753,1,0.101987600326538,1,1221,0.0020352238746262088,1221.0
1373,11457.6953,1,0.1085529327392578,0,1373,0.0022885850776918795,0.0
1119,8868.9525,1,0.1013202667236328,0,1119,0.0018652051725689825,0.0
1223,11227.278199,1,0.105309247970581,0,1223,0.002038557574666547,0.0
1118,7971.281,1,0.1016972064971923,0,1118,0.0018635383225488137,0.0
1337,8783.7832,1,0.1065320968627929,0,1337,0.0022285784769657995,0.0
1051,8693.2146,1,0.1011981964111328,0,1051,0.0017518593711974984,0.0
1366,9714.2865,1,0.1051690578460693,0,1366,0.0022769171275506973,0.0
1324,10932.696,1,0.1058032512664794,0,1324,0.0022069094267036043,0.0
1174,16439.9293,1,0.1076812744140625,0,1174,0.001956881923678271,0.0
1361,27234.9512,1,0.1053099632263183,0,1361,0.0022685828774498527,0.0
1114,18757.205499,1,0.1049363613128662,0,1114,0.0018568709224681382,0.0
1245,20931.4071,1,0.1087749004364013,0,1245,0.002075228275110262,0.0
1303,20308.2203,1,0.1111786365509033,0,1303,0.0021719055762800575,0.0
1079,15654.5605,1,0.1135904788970947,0,1079,0.0017985311717622272,0.0
1107,23317.9237,1,0.1191833019256591,0,1107,0.001845202972326956,0.0
1115,20945.0091,1,0.1132254600524902,0,1115,0.001858537772488307,0.0
1186,19960.0044,1,0.1084406375885009,0,1186,0.001976884123920298,0.0
1215,20030.796401,1,0.1089084148406982,0,1215,0.002025222774505196,0.0
1051,17834.0684,1,0.1098997592926025,0,1051,0.0017518593711974984,0.0
1136,22781.9608,1,0.1027464866638183,0,1136,0.0018935416229118537,0.0
1151,26544.9928,1,0.1023755073547363,0,1151,0.001918544373214387,0.0
1320,18868.136799,1,0.1047301292419433,0,1320,0.0022002420266229285,0.0
1112,22982.008501,1,0.1053915023803711,0,1112,0.0018535372224278003,0.0
1267,22332.1534,1,0.1062753200531005,0,1267,0.0021118989755539775,0.0
1314,17476.007301,1,0.1001727581024169,0,1314,0.002190240926501915,0.0
1184,20125.4692,1,0.0991473197937011,0,1184,0.0019735504238799603,0.0
1121,20783.6747,1,0.1024823188781738,0,1121,0.0018685388726093204,0.0
1172,19910.0586,1,0.103886604309082,0,1172,0.0019535482236379335,0.0
999,14054.6387,1,0.1011834144592285,0,999,0.0016651831701487163,0.0
1100,19380.997301,1,0.1021115779876709,0,1100,0.0018335350221857737,0.0
1252,21123.0134,1,0.1045572757720947,0,1252,0.002086896225251444,0.0
1206,16409.012901,1,0.1042239665985107,0,1206,0.0020102211243236755,0.0
1302,15463.932199,1,0.1056463718414306,0,1302,0.0021702387262598887,0.0
1371,18861.542499,1,0.1078698635101318,0,1371,0.002285251377651542,0.0
1124,22323.6976,1,0.1127002239227294,0,1124,0.0018735394226698271,0.0
1338,18518.304701,1,0.1145224571228027,0,1338,0.0022302453269859683,0.0
1654,13559.099401,1,0.1087338924407959,0,1654,0.002756969933359336,0.0
1102,18107.980699,1,0.1073851585388183,0,1102,0.0018368687222261116,0.0
1516,16981.916699,1,0.1056776046752929,0,1516,0.00252694463057603,0.0
1070,20785.155299,1,0.1049721240997314,0,1070,0.0017835295215807073,0.0
1075,21176.1346,1,0.100778579711914,0,1075,0.0017918637716815517,0.0
1194,16862.860299,1,0.1041967868804931,0,1194,0.001990218924081649,0.0
1229,18585.2356,1,0.1060609817504882,0,1229,0.00204855867478756,0.0
1388,19872.3406,1,0.1086163520812988,0,1388,0.002313587827994413,0.0
1252,19112.383501,1,0.1052455902099609,0,1252,0.002086896225251444,0.0
1329,18563.7067,1,0.1121668815612793,0,1329,0.0022152436768044484,0.0
1139,19777.259,1,0.1030414104461669,0,1139,0.0018985421729723602,0.0
1120,15828.3975,1,0.1042437553405761,0,1120,0.0018668720225891516,0.0
1258,19208.3666,1,0.10671067237854,0,1258,0.0020968973253724576,0.0
1075,20801.9482,1,0.1041433811187744,0,1075,0.0017918637716815517,0.0
1487,19161.2382,1,0.0978245735168457,0,1487,0.0024786059799911326,0.0
1277,21022.426799,1,0.1059966087341308,0,1277,0.0021285674757556662,0.0
1128,21643.2609,1,0.1131026744842529,0,1128,0.0018802068227505026,0.0
1155,21048.3237,1,0.1123006343841552,0,1155,0.0019252117732950626,0.0
1104,17074.748501,1,0.1084816455841064,0,1104,0.0018402024222664492,0.0
1166,19011.437201,1,0.1115162372589111,0,1166,0.0019435471235169201,0.0
1149,17932.1233,1,0.1106829643249511,2,1147,0.0019118769731337113,573.5
1246,19619.9927,1,0.1080291271209716,0,1246,0.002076895125130431,0.0
1044,20581.7038,1,0.1080322265625,0,1044,0.0017401914210563162,0.0
1382,17752.7589,1,0.101109504699707,0,1382,0.0023035867278733994,0.0
1287,17476.3917,1,0.1088631153106689,0,1287,0.0021452359759573554,0.0
1361,17658.700701,1,0.1088263988494873,0,1361,0.0022685828774498527,0.0
1050,19522.823099,1,0.1074259281158447,0,1050,0.0017501925211773294,0.0
1154,18643.393501,1,0.1059904098510742,1,1153,0.0019218780732547247,1153.0
1235,22198.4469,1,0.1034591197967529,0,1235,0.0020585597749085732,0.0
1024,20313.4436,1,0.1084966659545898,0,1024,0.0017068544206529385,0.0
1374,19098.2359,1,0.1018729209899902,0,1374,0.0022902519277120483,0.0
1164,19077.0569,1,0.1073212623596191,0,1164,0.0019402134234765825,0.0
1653,14026.6344,1,0.1059558391571044,0,1653,0.0027553030833391673,0.0
1067,19128.561401,1,0.1063294410705566,0,1067,0.0017785289715202006,0.0
1090,17676.386199,1,0.1028242111206054,0,1090,0.001816866521984085,0.0
1084,16878.4153,1,0.1157786846160888,0,1084,0.0018068654218630715,0.0
1123,19603.3699,1,0.1175999641418457,0,1123,0.001871872572649658,0.0
1340,21656.634301,1,0.1192145347595214,0,1340,0.0022335790270263064,0.0
1179,16960.9487,1,0.1130030155181884,0,1179,0.0019652161737791158,0.0
1322,17096.6587,1,0.106377363204956,0,1322,0.002203575726663266,0.0
1144,18541.712001,1,0.1118941307067871,0,1144,0.0019068764230732048,0.0
1096,18859.3649,1,0.1103384494781494,0,1096,0.0018268676221050982,0.0
1117,20325.233799,1,0.1076223850250244,0,1117,0.0018618714725286449,0.0
1054,21274.3826,1,0.1133263111114502,0,1054,0.0017568599212580051,0.0
1316,16089.686401,1,0.1171941757202148,0,1316,0.002193574626542253,0.0
1380,17019.866201,1,0.1106321811676025,0,1380,0.0023002530278330617,0.0
1044,24204.2132,1,0.1087450981140136,5,1039,0.0017318571709554718,207.8
1339,19543.5298,1,0.1135149002075195,0,1339,0.002231912177006137,0.0
1069,21512.6098,1,0.1145529747009277,0,1069,0.0017818626715605382,0.0
1334,20302.978801,1,0.1132335662841796,0,1334,0.002223577926905293,0.0
1167,20335.426601,1,0.1082575321197509,0,1167,0.0019452139735370892,0.0
1401,17614.299,1,0.1040906906127929,0,1401,0.002335256878256608,0.0
1371,18614.4804,1,0.1051945686340332,0,1371,0.002285251377651542,0.0
1123,20907.0488,1,0.1117901802062988,0,1123,0.001871872572649658,0.0
1436,20549.5016,1,0.1106917858123779,0,1436,0.0023935966289625192,0.0
1278,18686.478901,1,0.1165556907653808,0,1278,0.0021302343257758355,0.0
1268,21579.763499,1,0.1146478652954101,0,1268,0.0021135658255741463,0.0
1495,18259.4858,1,0.1091432571411132,0,1495,0.0024919407801524836,0.0
991,17828.875,1,0.1123857498168945,0,991,0.0016518483699873652,0.0
1060,19184.5325,1,0.1045405864715576,0,1060,0.0017668610213790183,0.0
1202,17859.3513,1,0.1028640270233154,0,1202,0.002003553724243,0.0
1273,20831.661601,1,0.1074728965759277,0,1273,0.002121900075674991,0.0
1161,19916.0565,1,0.1086764335632324,0,1161,0.0019352128734160757,0.0
1220,20560.0079,1,0.1072592735290527,2,1218,0.0020302233245657023,609.0
1246,23991.4755,1,0.1139330863952636,0,1246,0.002076895125130431,0.0
1157,22304.631199,1,0.1119828224182128,0,1157,0.0019285454733354002,0.0
1073,16105.8841,1,0.1102392673492431,0,1073,0.0017885300716412138,0.0
1387,18467.06,1,0.1114838123321533,0,1387,0.002311920977974244,0.0
1396,20462.8153,1,0.1141161918640136,0,1396,0.002326922628155764,0.0
1143,19429.5123,1,0.1067438125610351,0,1143,0.0019052095730530357,0.0
1241,20779.856099,1,0.1080908775329589,0,1241,0.0020685608750295867,0.0
1136,19783.7543,1,0.1064894199371337,0,1136,0.0018935416229118537,0.0
1245,18674.430801,1,0.1156949996948242,0,1245,0.002075228275110262,0.0
996,16865.4919,1,0.1174218654632568,0,996,0.0016601826200882098,0.0
1138,17918.937601,1,0.1156919002532959,0,1138,0.0018968753229521914,0.0
1068,18654.1604,1,0.1152784824371337,0,1068,0.0017801958215403694,0.0
1102,16886.3808,1,0.1151361465454101,1,1101,0.0018352018722059427,1101.0
1320,20728.965,1,0.1129684448242187,0,1320,0.0022002420266229285,0.0
1185,17350.9207,1,0.1071679592132568,0,1185,0.001975217273900129,0.0
1451,18741.7757,1,0.1065497398376464,0,1451,0.0024185993792650525,0.0
1288,20262.4183,1,0.1085460186004638,0,1288,0.0021469028259775242,0.0
1115,17911.465,1,0.1092967987060546,0,1115,0.001858537772488307,0.0
1444,18683.300601,1,0.1101746559143066,0,1444,0.0024069314291238703,0.0
1065,14875.688,1,0.1064362525939941,0,1065,0.0017751952714798627,0.0
1223,21858.652699,1,0.1076912879943847,0,1223,0.002038557574666547,0.0
1136,25211.492101,1,0.1200683116912841,0,1136,0.0018935416229118537,0.0
1076,22082.377799,1,0.1074433326721191,0,1076,0.0017935306217017205,0.0
1115,21917.508701,1,0.1154727935791015,0,1115,0.001858537772488307,0.0
1271,20553.245,1,0.1137325763702392,0,1271,0.0021185663756346533,0.0
1278,20601.4837,1,0.1105484962463378,0,1278,0.0021302343257758355,0.0
1494,15540.161699,1,0.1129720211029052,0,1494,0.0024902739301323144,0.0
1460,13695.5798,1,0.118281602859497,0,1460,0.0024336010294465724,0.0
1134,22635.2004,1,0.1170315742492675,0,1134,0.0018902079228715158,0.0
998,21194.598501,1,0.1136698722839355,3,995,0.0016585157700680407,331.6666666666667
1367,22196.697799,1,0.1123852729797363,0,1367,0.002278583977570866,0.0
1267,20268.5453,1,0.1067044734954834,0,1267,0.0021118989755539775,0.0
