estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
19304,4950.7827,2,0.0279967784881591,31518,12214,0.020358906146342764,0.3875245891236754
17688,4947.072,2,0.0267434120178222,21660,3972,0.006620728280110812,0.18337950138504155
27709,6995.8224,2,0.0279967784881591,4392,23317,0.0388659419202779,5.308970856102004
24829,5537.527599,2,0.0281503200531005,11821,13008,0.021682385062356858,1.1004145165383639
24144,5422.772001,2,0.0275549888610839,20573,3571,0.005952321422023089,0.17357701842220385
27160,5762.1113,2,0.0283071994781494,26973,187,0.00031170095377158156,0.006932858784710637
18293,4287.412799,2,0.0276246070861816,23654,5361,0.008935982958125394,0.2266424283419295
30653,6175.8202,2,0.0258190631866455,2433,28220,0.047038507569165944,11.598849157418824
52042,5962.761099,2,0.0262174606323242,34679,17363,0.028941516900192355,0.500677643530667
8179,4226.2375,2,0.0254666805267334,9454,1275,0.0021252337757153286,0.13486354982018192
13337,5581.5682,2,0.0276274681091308,12419,918,0.0015301683185150365,0.07391899508817135
38420,6344.501901,2,0.0275962352752685,12356,26064,0.043444778925681826,2.1094205244415667
15665,5381.3844,2,0.0269362926483154,22133,6468,0.01078118593045235,0.2922333167668188
36941,5784.2696,2,0.0319385528564453,26202,10739,0.017900302366593658,0.40985420960232044
22205,5967.0605,2,0.0335140228271484,19087,3118,0.005197238362886584,0.16335725886729188
63169,7338.7023,2,0.0324883460998535,9520,53649,0.08942483673204052,5.635399159663866
19902,144746.6375,2,0.0333194732666015,35892,15990,0.026652931822500475,0.4455031761952524
33540,6275.3259,2,0.0325851440429687,14207,19333,0.03222521143992506,1.3608080523685506
41255,14874.222,2,0.0349223613739013,17216,24039,0.040069407634839835,1.3963173791821561
15834,4213.417999,2,0.0363972187042236,17196,1362,0.0022702497274700215,0.07920446615491974
44368,6763.174701,2,0.0378918647766113,24314,20054,0.03342701030446683,0.8247923007320885
16423,5535.7581,2,0.0407953262329101,17641,1218,0.0020302233245657023,0.06904370500538519
22673,5204.0601,2,0.036393404006958,10816,11857,0.019763840689142474,1.096246301775148
21444,12664.2093,2,0.0389990806579589,8935,12509,0.020850626902292585,1.4
21688,5342.5847,2,0.0372531414031982,35810,14122,0.023539255984824998,0.394359117564926
15559,5210.238899,2,0.0363795757293701,18326,2767,0.004612174005807305,0.1509876677943905
30832,6526.1819,2,0.0313122272491455,5785,25047,0.04174959245517007,4.329645635263613
22053,6324.0967,2,0.030991792678833,9752,12301,0.020503922098097458,1.2613822805578343
22852,5295.832201,2,0.0310516357421875,8296,14556,0.024262668893578292,1.7545805207328833
16982,5141.3891,2,0.0312395095825195,6986,9996,0.016661832801608177,1.4308617234468939
13386,5310.9185,2,0.0279920101165771,6361,7025,0.01170962139168642,1.104386102814023
29402,5595.634701,2,0.0283169746398925,18575,10827,0.018046985168368522,0.5828802153432032
15231,5318.4477,2,0.0265774726867675,12713,2518,0.004197128350785253,0.19806497286242428
19258,6367.087,2,0.026360273361206,3393,15865,0.026444575569979364,4.675803124078986
11010,5261.417099,2,0.0313873291015625,9955,1055,0.001758526771278174,0.10597689603214465
13967,3669.1995,2,0.0290772914886474,15848,1881,0.003135344887937673,0.11869005552751136
39018,6315.6972,2,0.0296735763549804,21651,17367,0.02894818430027303,0.8021338506304558
16924,5517.6181,2,0.028735876083374,5593,11331,0.01888707757853364,2.0259252637225105
27556,6374.1399,2,0.0309541225433349,19499,8057,0.013429810612500708,0.4132006769577927
17298,5174.606199,2,0.0287830829620361,8610,8688,0.014481592975227275,1.0090592334494775
13365,4246.2491,2,0.0296897888183593,2586,10779,0.017966976367400415,4.1682134570765665
17473,4418.0839,2,0.0287377834320068,16893,580,0.0009667730116979535,0.034333747706150476
30800,6528.0713,2,0.0298600196838378,14465,16335,0.02722799507945874,1.129277566539924
33795,5821.7123,2,0.0289914608001709,17265,16530,0.027553030833391674,0.9574283231972198
32108,5319.100099,2,0.028764009475708,19724,12384,0.020642270649771473,0.6278645305211925
64421,8186.755,2,0.0369162559509277,35795,28626,0.04771524867735451,0.7997206313730968
23522,5586.745,2,0.0350525379180908,21243,2279,0.0037987511959648897,0.10728239890787554
56014,7408.5597,2,0.034053087234497,16400,39614,0.06603059669897023,2.415487804878049
9275,4536.3861,2,0.0328547954559326,10174,899,0.001498498168131828,0.08836249262826813
23506,5280.8992,2,0.0317239761352539,21338,2168,0.003613730843726143,0.1016027743931015
49856,7595.1097,2,0.0317218303680419,29760,20096,0.03349701800531392,0.6752688172043011
27771,5347.4102,2,0.030991792678833,11811,15960,0.02660292632189541,1.351282702565405
29782,6339.229,2,0.0284564495086669,10637,19145,0.03191184363613331,1.7998495816489612
19029,4949.816999,2,0.0289733409881591,15793,3236,0.005393926665266512,0.20490090546444628
29902,5857.786001,2,0.0291659832000732,8904,20998,0.03500051672350625,2.3582659478885892
14925,4404.6539,2,0.0301549434661865,12860,2065,0.003442045291648748,0.16057542768273717
15646,11455.518,2,0.0291659832000732,12227,3419,0.0056989602189574185,0.2796270548785475
62165,8893.0788,2,0.029860496520996,14170,47995,0.08000046671800565,3.3870853916725476
36266,7307.086101,2,0.0306479930877685,5223,31043,0.05174402517610271,5.943519050354203
20014,4879.0642,2,0.0296835899353027,21477,1463,0.002438601579507079,0.0681193835265633
25538,5571.3373,2,0.0292961597442626,20194,5344,0.008907646507782523,0.26463305932455183
20999,6841.6616,2,0.0283713340759277,10350,10649,0.017750285864778458,1.028888888888889
53950,7109.117,2,0.0276999473571777,33143,20807,0.034682148369654,0.627794707781432
9818,4616.1119,2,0.0282971858978271,4592,5226,0.008710958205402594,1.1380662020905923
31249,5939.191899,2,0.0271463394165039,30459,790,0.0013168115159334194,0.025936504809744246
22142,5594.5534,2,0.0270023345947265,11959,10183,0.016973533755379758,0.8514925997156952
32913,5965.4261,2,0.0292210578918457,9881,23032,0.03839088966452976,2.3309381641534257
16467,5828.5322,2,0.0288441181182861,8780,7687,0.01281307610503822,0.8755125284738041
48057,7031.725899,2,0.0280189514160156,4658,43399,0.07233962402530945,9.31708887934736
21824,5653.7503,2,0.0273737907409667,4448,17376,0.02896318595045455,3.906474820143885
32949,5724.9119,2,0.028855562210083,23376,9573,0.01595675524307674,0.4095225872689938
12950,5479.667701,2,0.0272831916809082,8537,4413,0.00735580913900529,0.516926320721565
10614,4976.4243,2,0.0287623405456542,15895,5281,0.008802634956511884,0.3322428436615288
36817,6626.734699,2,0.0281891822814941,9063,27754,0.04626175545976724,3.0623413880613484
14685,4349.732201,2,0.0266554355621337,3345,11340,0.01890207922871516,3.390134529147982
19261,5089.4138,2,0.0269300937652587,11401,7860,0.013101441158527438,0.6894132093675993
33673,6760.437999,2,0.0277068614959716,16020,17653,0.02942490340604133,1.1019350811485642
16646,5461.467401,2,0.0262339115142822,13331,3315,0.005525607816859854,0.24866851699047332
12320,5111.1383,2,0.0274035930633544,20619,8299,0.013833188317381579,0.40249284640380234
23266,5670.8253,2,0.0265085697174072,9231,14035,0.023394240033070304,1.5204203228252626
25937,6030.0046,2,0.0272984504699707,25375,562,0.0009367697113349136,0.022147783251231526
48511,6933.7526,2,0.0283548831939697,15674,32837,0.05473435411228569,2.0949980860022968
19189,5606.1293,2,0.027148962020874,6472,12717,0.021197331706487715,1.9649258343634117
26225,5812.1376,2,0.0282237529754638,6872,19353,0.03225854844032844,2.816210710128056
26776,6183.3352,2,0.0271861553192138,9224,17552,0.029256551554004275,1.9028620988725065
25264,6881.196499,2,0.0257525444030761,10363,14901,0.02483773215053656,1.437904081829586
19629,4854.617901,2,0.0255739688873291,23586,3957,0.006595725529808279,0.16776901551767998
24571,4693.9782,2,0.0259137153625488,22962,1609,0.0026819616824517362,0.07007229335423744
15657,5747.848,2,0.0266430377960205,15710,53,8.834305106895091e-05,0.003373647358370465
18225,5660.555899,2,0.0258522033691406,17706,519,0.0008650951604676514,0.02931209759403592
33847,6259.365101,2,0.0262348651885986,29989,3858,0.006430707377811559,0.12864717062923073
39415,6639.338401,2,0.0269889831542968,34607,4808,0.008014214896972,0.13893143005750283
24550,5761.3473,2,0.0264554023742675,18233,6317,0.010529491577406848,0.3464597158997422
16253,5364.5523,2,0.026402473449707,17786,1533,0.002555281080918901,0.08619138648375127
16159,6068.9072,2,0.0270516872406005,16863,704,0.0011734624141988951,0.04174820613176777
16582,4404.860099,2,0.0269961357116699,14705,1877,0.0031286774878569977,0.12764365861951718
34868,6846.828101,2,0.0277609825134277,15462,19406,0.032346891491397384,1.25507696287673
22179,5570.644999,2,0.0269138813018798,13168,9011,0.015019985531741826,0.6843104495747266
24620,7694.178501,2,0.0271096229553222,19386,5234,0.008724293005563946,0.2699886516042505
32693,7556.4611,2,0.0267167091369628,14503,18190,0.03032000186687202,1.2542232641522444
13680,4742.740301,2,0.0268130302429199,5696,7984,0.01330813056102838,1.401685393258427
11262,4175.0473,2,0.026841402053833,11456,194,0.00032336890391276374,0.016934357541899443
22109,6601.7044,2,0.0254487991333007,16675,5434,0.009057663009597722,0.32587706146926537
16243,4140.595699,2,0.0274393558502197,31932,15689,0.02615120996642964,0.4913253162971314
32431,6103.648301,2,0.0275797843933105,13833,18598,0.031000076675100928,1.3444661317140172
19089,6308.4589,2,0.0253858566284179,5539,13550,0.022585817773288396,2.446289944033219
31540,5869.9469,2,0.0291428565979003,26871,4669,0.0077825227441685255,0.1737560939302594
18792,5846.537,2,0.0272853374481201,6346,12446,0.020745615351021946,1.961235423889064
32773,5777.2135,2,0.0275266170501709,24330,8443,0.014073214720285897,0.3470201397451706
18468,4894.737,2,0.0299742221832275,16283,2185,0.003642067294069014,0.13418903150525088
29299,5457.2829,2,0.0284795761108398,19689,9610,0.016018428693822986,0.48808979633297783
18542,12608.1519,2,0.0254709720611572,2638,15904,0.02650958272076595,6.028809704321455
15007,5593.241999,2,0.0256438255310058,13844,1163,0.0019385465734564136,0.08400751227968795
12469,4327.927301,2,0.0287864208221435,11358,1111,0.0018518703724076315,0.09781651699242824
14913,5527.409,2,0.0250816345214843,13905,1008,0.0016801848203302364,0.07249190938511327
31275,6368.1171,2,0.024381399154663,13783,17492,0.029156540552794142,1.2690996154683305
25156,6487.6109,2,0.0246989727020263,13249,11907,0.019847183190150917,0.8987093365537022
29424,6121.7283,2,0.0265848636627197,10704,18720,0.03120343237756153,1.748878923766816
30754,5344.3381,2,0.0259861946105957,22361,8393,0.013989872219277454,0.3753409954832074
23872,5602.7839,2,0.0260894298553466,16164,7708,0.012848079955461767,0.47686216283098243
54488,7534.5756,2,0.0263514518737792,20679,33809,0.05635453233188984,1.634943662652933
16887,5599.1433,2,0.0260953903198242,12435,4452,0.007420816289791877,0.358021712907117
17770,5321.4314,2,0.0274124145507812,13118,4652,0.0077541862938256545,0.35462722976063427
17257,5589.7782,2,0.025653600692749,21336,4079,0.006799081232268883,0.19117922759655043
11540,4466.4993,2,0.0266656875610351,21748,10208,0.01701520500588398,0.4693764943902888
14986,5251.9872,2,0.0253121852874755,9454,5532,0.009221014311574273,0.5851491432198012
14582,5201.734499,2,0.0289545059204101,9034,5548,0.009247683911896976,0.6141244188620766
26493,5645.9367,2,0.0272550582885742,8859,17634,0.02939323325565812,1.9905181171689807
29193,4925.3052,2,0.0260729789733886,24574,4619,0.0076991802431600805,0.18796288760478555
37677,7058.7103,2,0.0279734134674072,22258,15419,0.025701160460984043,0.6927396891005482
15428,5893.293,2,0.0271105766296386,14660,768,0.001280140815489704,0.05238744884038199
21890,4895.712301,2,0.0264952182769775,10551,11339,0.01890041237869499,1.0746848639939341
57817,7627.3702,2,0.0262846946716308,10982,46835,0.07806692069460974,4.264705882352941
23470,6050.9876,2,0.025219440460205,12455,11015,0.018360352972160272,0.8843837816138097
9764,5021.153299,2,0.0256667137145996,4605,5159,0.00859927925405128,1.1203040173724212
26610,7097.515001,2,0.0249993801116943,10519,16091,0.02682128367453753,1.5297081471622778
32356,6750.5873,2,0.0257306098937988,11418,20938,0.03490050572229612,1.8337712383955158
30263,6297.2317,2,0.025343894958496,12549,17714,0.029526581257271634,1.4115865806040322
21918,6464.5759,2,0.026663064956665,8194,13724,0.02287584967679778,1.6748840615084208
40909,8415.988199,2,0.0268595218658447,16918,23991,0.039989398833871724,1.418075422626788
31716,6616.829301,2,0.0306951999664306,15297,16419,0.027368010481152928,1.073347715238282
16139,5616.8989,2,0.027200698852539,8575,7564,0.012608053552557449,0.8820991253644315
13168,5083.2883,2,0.0273146629333496,8556,4612,0.007687512293018899,0.53903693314633
15616,5043.455201,2,0.0283455848693847,14849,767,0.001278473965469535,0.05165330998720453
9579,4742.602299,2,0.0271551609039306,17649,8070,0.013451479662762904,0.4572497025327214
12813,5769.1732,2,0.0258800983428955,7824,4989,0.008315914750622568,0.6376533742331288
24206,5237.808701,2,0.0263922214508056,28389,4183,0.006972433634366447,0.14734580295184754
25049,6371.9403,2,0.0290400981903076,12257,12792,0.02132234545800038,1.0436485273721139
40837,6886.0755,2,0.0269653797149658,19438,21399,0.03566892358159397,1.1008848646980143
27783,6438.068299,2,0.026423692703247,20296,7487,0.012479706101004445,0.36889042175798187
20830,5741.2316,2,0.0259163379669189,7058,13772,0.02295585847776589,1.951260980447719
31719,7702.141701,2,0.0252847671508789,5626,26093,0.04349311757626672,4.637931034482759
21348,6480.4632,2,0.0263624191284179,3031,18317,0.030531691819433472,6.043220059386341
13874,4774.4475,2,0.0262148380279541,16725,2851,0.004752189407501492,0.17046337817638266
36138,6461.7007,2,0.0263493061065673,9668,26470,0.04412152003387039,2.7378982209350435
11567,4820.0389,2,0.025327444076538,14509,2942,0.00490387275933686,0.20277069405196774
11026,4939.719399,2,0.0264179706573486,7594,3432,0.005720629269219614,0.4519357387411114
55432,6089.1958,2,0.024446964263916,33883,21549,0.03591895108461931,0.6359826461647434
42425,7315.4269,2,0.0253703594207763,18643,23782,0.03964102717965643,1.2756530601298075
17355,4966.5578,2,0.0247337818145751,20910,3555,0.005925651821700387,0.17001434720229555
27912,5547.8587,2,0.0242023468017578,17945,9967,0.01661349415102328,0.5554193368626358
16942,5771.629899,2,0.0252599716186523,9628,7314,0.012191341047515227,0.7596593269630245
17589,4798.865501,2,0.0237753391265869,10149,7440,0.012401364150056507,0.7330771504581732
19721,5975.466199,2,0.0241739749908447,17669,2052,0.0034203762413865524,0.11613560473145056
