estimates,runtime,case,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
113769,3824.6404,2,0.0788774490356445,80043,33726,0.056216183780215825,0.42134852516772237
14435,1756.356201,2,0.0427777767181396,38619,24184,0.04031110088776432,0.6262202542789819
106420,3119.4721,2,0.0229365825653076,94973,11447,0.01908043218087323,0.12052899245048593
8308,4054.6309,2,0.0323741436004638,5464,2844,0.0047405214573603095,0.5204978038067349
28362,1410.7375,2,0.0292341709136962,21726,6636,0.011061216733840723,0.3054404860535764
8494,2607.0051,2,0.0329244136810302,15435,6941,0.011569605989992232,0.44969225785552314
114284,3967.123,2,0.0226013660430908,38063,76221,0.1270489753872926,2.0024958621233218
6605,3090.7943,2,0.0308823585510253,13582,6977,0.011629612590718312,0.5136945957885437
141223,3142.94,2,0.0214002132415771,133670,7553,0.01258971820233559,0.05650482531607691
209448,2080.229601,2,0.0212693214416503,150009,59439,0.09907589834881837,0.3962362258264504
138231,2124.996901,2,0.0214827060699462,151920,13689,0.02281750992609187,0.09010663507109004
6759,55.1155,1,0.0746107101440429,3927,2832,0.004720519257118283,0.721161191749427
68007,2444.430801,2,0.0232684612274169,39466,28541,0.04757356642564015,0.7231794455987433
195734,1450.0272,2,0.0225496292114257,150659,45075,0.0751332646591125,0.29918557802720047
113410,3210.229401,2,0.022364854812622,124912,11502,0.01917210893198252,0.09208082490073011
8747,3739.1597,2,0.0338678359985351,15848,7101,0.011836301993219254,0.44806915699141847
125210,3323.6941,2,0.0228347778320312,90899,34311,0.05719129104201462,0.37746289838172037
41909,2507.4739,2,0.0242993831634521,54601,12692,0.02115566045598349,0.23244995512902694
13765,559.9153,2,0.0393416881561279,11231,2534,0.004223797951107955,0.22562550084587302
16190,1855.1163,2,0.0317661762237548,21667,5477,0.009129337560464985,0.2527807264503623
50946,5188.308199,2,0.0241851806640625,17412,33534,0.055896148576343396,1.9259131633356306
111688,3114.7333,2,0.0225396156311035,119638,7950,0.013251457660342638,0.06645045888430097
52479,2713.0426,2,0.0223786830902099,89002,36523,0.0608783632866282,0.4103615649086537
13489,3162.8834,2,0.0320498943328857,11432,2057,0.003428710491487397,0.1799335199440168
122921,3485.1111,2,0.0225110054016113,78142,44779,0.07463987705314251,0.5730465050804945
69785,3614.3293,2,0.022313117980957,38678,31107,0.05185070357739351,0.8042556492062671
43270,61.9824,2,0.0398685932159423,43397,127,0.00021168995256144843,0.0029264695716293755
80136,3220.2738,2,0.0228991508483886,38578,41558,0.06927095313817853,1.0772460988127948
24972,1636.1346,2,0.0303027629852294,21459,3513,0.005855644120853294,0.16370753529987417
68483,5587.615501,2,0.0242114067077636,34073,34410,0.05735630919401134,1.0098905291579843
