estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
18576,13.9348,-1,7,7,13,13,91,56,14,28,0,14,0,0.0311269760131835,18199,377,0.0006284024576036697,0.02071542392439145
12116,10.934,-1,1,1,3,3,3,3,1,1,1,0,0,0.0311639308929443,12089,27,4.5004950544559904e-05,0.002233435354454463
10786,8.1876,-1,1,1,16,16,16,16,5,4,6,1,0,0.0320167541503906,10676,110,0.00018335350221857738,0.010303484451105283
11002,13.2462,-1,1,1,44,44,44,43,3,17,16,7,0,0.0293684005737304,10786,216,0.00036003960435647924,0.020025959577229743
10772,9.7627,-1,1,1,12,12,12,12,5,4,1,2,0,0.030160903930664,10702,70,0.00011667950141182197,0.006540833489067464
10819,10.617,-1,1,1,13,13,13,13,6,4,1,2,0,0.0318348407745361,10725,94,0.00015668390189587522,0.008764568764568765
0,8.8556,-1,21,7,17,17,119,0,0,0,0,0,0,0.0315158367156982,0,0,0.0,0.0
10793,17.6953,-1,378,252,13,13,3276,722,22,260,377,63,0,0.0472831726074218,6959,3834,0.006390702977327506,0.5509412271878144
10811,10.6575,-1,1,1,12,12,12,12,0,5,6,1,0,0.0298936367034912,10742,69,0.00011501265139165308,0.006423384844535468
11018,8.5302,-1,1,1,35,35,35,32,11,6,7,8,0,0.0283305644989013,10819,199,0.00033170315401360816,0.018393566873093632
11032,9.4093,-1,1,1,35,35,35,33,2,7,17,7,0,0.029372215270996,10889,143,0.0002383595528841506,0.013132519055928
541,8.5503,-1,7,7,9,9,63,7,0,7,0,0,0,0.0311360359191894,495,46,7.667510092776873e-05,0.09292929292929293
11209,11.9189,-1,1,1,42,42,42,40,10,16,6,8,0,0.0323858261108398,10950,259,0.0004317141552237413,0.023652968036529682
11215,9.5236,-1,1,1,35,35,35,32,11,6,7,8,0,0.0323984622955322,11009,206,0.00034337110415479035,0.01871196293941321
38971,10.793,-1,7,7,17,17,119,119,42,28,42,7,0,0.0305466651916503,38120,851,0.0014184893671637213,0.02232423924449108
10849,9.8444,-1,1,1,16,16,16,16,5,4,6,1,0,0.0304081439971923,10754,95,0.0001583507519160441,0.0088339222614841
20908,10.8988,-1,7,7,3,3,21,21,7,7,7,0,0,0.0293617248535156,20751,157,0.000261695453166515,0.007565900438533083
10939,9.3692,-1,1,1,9,9,9,9,1,5,1,2,0,0.0293142795562744,10888,51,8.500935102861314e-05,0.0046840558412931665
11003,10.7253,-1,1,1,13,13,13,13,6,4,1,2,0,0.0336077213287353,10909,94,0.00015668390189587522,0.008616738472820606
10741,11.4041,-1,1,1,5,5,5,5,1,0,2,2,0,0.0338149070739746,10722,19,3.167015038320882e-05,0.0017720574519679165
10897,9.686,-1,1,1,13,13,13,13,1,5,6,1,0,0.0325360298156738,10821,76,0.0001266806015328353,0.0070233804639127624
12047,9.4412,-1,1,1,3,3,3,3,1,1,1,0,0,0.0316932201385498,12025,22,3.667070044371547e-05,0.0018295218295218294
12070,8.7375,-1,1,1,3,3,3,3,1,1,1,0,0,0.0329549312591552,12049,21,3.500385042354659e-05,0.0017428832268238028
11512,17.8381,-1,378,252,17,17,4284,782,131,210,378,63,0,0.0755078792572021,6930,4582,0.007637506792413832,0.6611832611832612
10883,9.1028,-1,1,1,16,16,16,16,5,4,6,1,0,0.041116714477539,10779,104,0.00017335240209756406,0.009648390388718805
11182,11.1003,-1,1,1,35,35,35,35,4,7,17,7,0,0.040496826171875,11009,173,0.00028836505348921713,0.01571441547824507
40210,10.5326,-1,7,7,44,44,308,262,52,112,42,56,0,0.034287691116333,38693,1517,0.0025286114805961987,0.039206057943297234
10910,7.0333,-1,1,1,13,13,13,13,6,4,1,2,0,0.0343267917633056,10817,93,0.00015501705187570634,0.008597577886659886
0,11.3204,-1,7,7,12,12,84,0,0,0,0,0,0,0.0340561866760253,0,0,0.0,0.0
11093,10.1954,-1,1,1,13,13,13,13,6,4,1,2,0,0.0332355499267578,10988,105,0.00017501925211773294,0.009555879140880961
13767,18.015,-1,378,252,17,17,4284,1307,110,320,751,126,0,0.0531880855560302,6970,6797,0.011329579587087912,0.9751793400286944
11014,10.4955,-1,1,1,9,9,9,9,1,5,1,2,0,0.0360758304595947,10968,46,7.667510092776873e-05,0.004194018964259664
10789,11.898,-1,1,1,17,17,17,17,6,4,6,1,0,0.0336654186248779,10670,119,0.00019835515240009734,0.011152764761012183
10851,8.465,-1,1,1,13,13,13,13,6,4,1,2,0,0.0319783687591552,10761,90,0.00015001650181519966,0.008363534987454697
10816,8.8387,-1,1,1,13,13,13,13,1,5,6,1,0,0.0330438613891601,10740,76,0.0001266806015328353,0.00707635009310987
10990,9.6313,-1,1,1,13,13,13,13,6,4,1,2,0,0.0318496227264404,10902,88,0.0001466828017748619,0.008071913410383416
