estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
31824,87.3299,2,1,1,33648,1433,1433,1433,0,0,1280,153,0,0.0274124145507812,27580,4244,0.007074111485596749,0.15387962291515592
50160,96.1623,2,1,1,33072,4772,4772,4772,0,0,4619,153,0,0.0277330875396728,30601,19559,0.03260191954448323,0.6391621188850037
63525,107.1923,2,1,1,33072,6988,6988,6988,0,0,6835,153,0,0.0249414443969726,35328,28197,0.047000170018702055,0.7981487771739131
34237,91.5316,2,1,1,33072,2149,2149,2149,0,0,1996,153,0,0.026548147201538,25899,8338,0.013898195468168164,0.32194293215954284
43920,90.7205,1,1,1,109056,6326,6326,6326,0,47,6231,48,0,0.0248386859893798,18035,25885,0.043146412772071596,1.4352647629609094
41358,98.57,2,1,1,33072,4548,4548,4548,0,0,4446,102,0,0.0257346630096435,22583,18775,0.03129510912867082,0.8313775849090024
41586,114.2455,2,1,1,37632,5625,5625,5625,0,0,5577,48,0,0.0253219604492187,18748,22838,0.038067520760617,1.2181566033710263
61224,107.7709,2,1,1,37056,7692,7692,7692,0,0,7596,96,0,0.0257759094238281,28883,32341,0.05390759650228192,1.119724405359554
28064,483.3872,1,1,1,929976,4020,4020,4020,0,915,3089,16,0,0.0268020629882812,8541,19523,0.03254191294375715,2.2857979159349022
29867,90.3114,2,1,1,37056,1294,1294,1294,0,0,1150,144,0,0.0276815891265869,25613,4254,0.007090779985798438,0.166087533674306
51347,94.8523,2,1,1,33648,3937,3937,3937,0,0,3767,170,0,0.0287055969238281,35952,15395,0.025661156060499988,0.42820983533600354
10887,89.1623,2,1,1,33648,1704,1704,1704,0,0,1687,17,0,0.0299220085144042,4164,6723,0.011206232685595416,1.6145533141210375
33422,95.2257,2,1,1,37632,3366,3366,3366,0,0,3270,96,0,0.027484655380249,19908,13514,0.022525811172562315,0.678822583885875
54535,100.0173,2,1,1,33648,5623,5623,5623,0,0,5470,153,0,0.0261545181274414,33183,21352,0.03559058163064604,0.6434620136817045
37919,98.034,2,1,1,37632,2977,2977,2977,0,0,2833,144,0,0.0263710021972656,27066,10853,0.01809032326889291,0.4009827828271632
56600,109.536,2,1,1,33072,7168,7168,7168,0,0,7066,102,0,0.0263550281524658,27669,28931,0.04822363793350602,1.0456106111532761
32608,155.2725,2,1,1,33072,4374,4374,4374,0,0,4323,51,0,0.0277252197265625,14976,17632,0.029389899555617785,1.1773504273504274
41330,156.8801,2,1,1,33072,4552,4552,4552,0,0,4450,102,0,0.0271351337432861,23119,18211,0.030355005717295568,0.7877070807560881
14811,112.5896,2,1,1,33648,1043,1043,1043,0,0,992,51,0,0.0272226333618164,10530,4281,0.007135784936342998,0.40655270655270653
50362,158.348,2,1,1,37056,4709,4709,4709,0,0,4565,144,0,0.0283691883087158,32552,17810,0.029686598859207845,0.5471246006389776
52985,118.566,1,1,1,109056,6739,6739,6739,0,45,6598,96,0,0.0246295928955078,25479,27506,0.045848376654765356,1.0795557125475883
45268,130.129,2,1,1,33072,5384,5384,5384,0,0,5282,102,0,0.0251610279083251,23067,22201,0.037005737297769424,0.9624571899250011
53350,122.9606,2,1,1,37056,4587,4587,4587,0,0,4427,160,0,0.0313625335693359,35211,18139,0.03023499251584341,0.5151515151515151
40416,117.5576,2,1,1,33648,3166,3166,3166,0,0,3013,153,0,0.0272042751312255,27602,12814,0.021359016158444096,0.46424172161437577
46841,131.4888,2,1,1,33648,5474,5474,5474,0,0,5372,102,0,0.0309772491455078,24245,22596,0.03766414305573613,0.9319859764899979
