estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
11952,4.7141,-1,1,1,11,11,11,11,5,1,3,2,0,0.031177282333374,11882,70,0.00011667950141182197,0.005891264096953375
25018,3.2875,-1,21,21,9,9,189,126,28,56,42,0,0,0.0332734584808349,24102,916,0.0015268346184746989,0.038005144801261305
12194,3.6948,-1,1,1,25,25,25,25,6,15,3,1,0,0.0231328010559082,12004,190,0.0003167015038320882,0.01582805731422859
12194,2.8417,-1,1,1,9,9,9,9,4,4,1,0,0,0.0226821899414062,12121,73,0.00012168005147232862,0.006022605395594423
12417,2.5149,-1,1,1,11,11,11,11,6,4,1,0,0,0.0227077007293701,12323,94,0.00015668390189587522,0.007628012659255052
12183,2.8051,-1,1,1,13,13,13,13,5,3,3,2,0,0.0312845706939697,12106,77,0.00012834745155300417,0.006360482405418801
12301,2.7953,-1,1,1,2,2,2,2,0,0,2,0,0,0.0229883193969726,12293,8,1.3334800161351082e-05,0.0006507768648824535
17499,7.2081,-1,378,252,18,18,4536,1443,98,290,435,620,0,0.0503642559051513,12055,5444,0.00907433150979941,0.45159684778100373
12112,2.9692,-1,1,1,10,10,10,10,5,4,1,0,0,0.021552562713623,12032,80,0.00013334800161351082,0.006648936170212766
12147,2.6022,-1,1,1,8,8,8,8,3,4,1,0,0,0.0214407444000244,12083,64,0.00010667840129080866,0.005296697839940412
12352,3.019,-1,1,1,10,10,10,10,5,4,1,0,0,0.0211188793182373,12266,86,0.00014334910173452412,0.007011250611446274
10764,2.8499,-1,1,1,18,18,18,13,2,3,3,4,1,0.0385138988494873,10713,51,8.500935102861314e-05,0.004760571268552226
12068,2.4562,-1,1,1,15,15,15,15,5,6,2,2,0,0.0291545391082763,11955,113,0.00018835405227908404,0.00945211208699289
0,2.3792,-1,1,0,1,1,0,0,0,0,0,0,0,0.0457429885864257,0,0,0.0,0.0
12234,2.4139,-1,1,1,12,12,12,12,4,3,3,2,0,0.0291614532470703,12162,72,0.00012001320145215974,0.0059200789343857915
12235,2.2908,-1,1,1,10,10,10,10,5,4,1,0,0,0.0210001468658447,12145,90,0.00015001650181519966,0.007410456978180321
25477,2.5996,-1,7,7,19,19,133,133,35,56,42,0,0,0.0297646522521972,24500,977,0.001628512469705001,0.039877551020408165
9238,2.4657,-1,1,1,15,15,15,7,1,1,0,4,1,0.0374219417572021,9218,20,3.3337000403377706e-05,0.002169668040789759
12401,2.3197,-1,1,1,11,11,11,11,6,4,1,0,0,0.0212280750274658,12316,85,0.00014168225171435524,0.006901591425787593
0,2.2481,-1,1,0,1,1,0,0,0,0,0,0,0,0.0461330413818359,0,0,0.0,0.0
0,2.4067,-1,7,7,9,9,63,0,0,0,0,0,0,0.0308976173400878,0,0,0.0,0.0
12235,2.4461,-1,1,1,9,9,9,9,4,4,1,0,0,0.0204992294311523,12166,69,0.00011501265139165308,0.005671543646227191
25109,2.3852,-1,7,7,11,11,77,77,35,21,14,7,0,0.0295515060424804,24521,588,0.0009801078118593044,0.023979446188980874
12485,2.3623,-1,1,1,10,10,10,10,5,4,1,0,0,0.021636962890625,12393,92,0.00015335020185553745,0.007423545549907206
12146,2.3453,-1,1,1,13,13,13,13,6,6,1,0,0,0.0218749046325683,12038,108,0.00018001980217823962,0.008971589965110483
12200,2.3463,-1,1,1,13,13,13,13,6,2,3,2,0,0.0295252799987792,12110,90,0.00015001650181519966,0.007431874483897605
12439,2.3573,-1,1,1,10,10,10,10,5,4,1,0,0,0.0210034847259521,12349,90,0.00015001650181519966,0.007288039517369827
12209,2.402,-1,1,1,8,8,8,8,3,4,1,0,0,0.0215823650360107,12157,52,8.667620104878203e-05,0.004277371061939623
0,2.5582,-1,7,7,10,10,70,0,0,0,0,0,0,0.0296459197998046,0,0,0.0,0.0
12379,2.3382,-1,1,1,7,7,7,7,1,5,1,0,0,0.0205206871032714,12330,49,8.167565098827538e-05,0.00397404703974047
12350,2.3149,-1,1,1,9,9,9,9,4,4,1,0,0,0.0216853618621826,12270,80,0.00013334800161351082,0.006519967400162999
12088,2.3314,-1,1,1,33,33,33,30,3,11,7,9,0,0.0291435718536376,11938,150,0.0002500275030253328,0.01256491874685877
12222,2.2432,-1,1,1,28,28,28,28,7,8,13,0,0,0.020984411239624,12015,207,0.00034503795417495923,0.017228464419475654
24918,2.5219,-1,21,21,8,8,168,112,14,56,42,0,0,0.0314302444458007,24157,761,0.0012684728653485217,0.03150225607484373
13627,2.5642,-1,1,1,4,4,4,4,2,1,1,0,0,0.0302059650421142,13592,35,5.833975070591099e-05,0.0025750441436138906
12378,2.3089,-1,1,1,9,9,9,9,4,4,1,0,0,0.0224003791809082,12304,74,0.00012334690149249752,0.006014304291287386
12311,2.3111,-1,1,1,10,10,10,10,5,4,1,0,0,0.0230023860931396,12214,97,0.00016168445195638187,0.007941706238742427
12246,2.2568,-1,1,1,10,10,10,10,5,4,1,0,0,0.0229341983795166,12149,97,0.00016168445195638187,0.007984196230142399
10823,2.3172,-1,1,1,18,18,18,12,1,2,4,4,1,0.040799856185913,10789,34,5.6672900685742096e-05,0.003151357864491612
12186,2.3415,-1,1,1,13,13,13,13,6,2,3,2,0,0.0327539443969726,12095,91,0.00015168335183536857,0.007523770152955767
12294,2.1987,-1,1,1,9,9,9,9,4,4,1,0,0,0.0240070819854736,12217,77,0.00012834745155300417,0.006302692968813948
