estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
82980,56.8799,-1,1,1,8257,289,289,289,240,28,18,3,0,0.0788774490356445,80043,2937,0.004895538509236016,0.03669277763202279
39041,6.3193,-1,7,7,17,17,119,70,21,21,7,21,0,0.0427777767181396,38619,422,0.0007034107085112695,0.01092726378207618
97382,16.7983,-1,1,1,8257,233,233,233,209,7,12,5,0,0.0229365825653076,94973,2409,0.004015441698586844,0.02536510376633359
9807,100.26,-1,1,1,108065,2749,2749,874,53,196,561,64,0,0.0323741436004638,5464,4343,0.007239129637593469,0.7948389458272328
21849,5.7913,-1,1,1,17,17,17,17,6,4,3,4,0,0.0292341709136962,21726,123,0.00020502255248077287,0.005661419497376415
32009,26.3672,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,0.0329244136810302,15435,16574,0.027626372234279103,1.0737933268545514
57036,96.3752,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,0.0226013660430908,38063,18973,0.03162514543266426,0.4984630743766913
14669,8.5443,-1,7,7,2065,37,259,182,0,98,77,7,0,0.0308823585510253,13582,1087,0.0018118659719235783,0.0800323958179944
141273,11.7148,-1,1,1,5401,774,774,774,580,142,43,9,0,0.0214002132415771,133670,7603,0.012673060703344034,0.056878880825914566
150109,4.8286,-1,1,1,17,17,17,17,6,4,3,4,0,0.0212693214416503,150009,100,0.00016668500201688852,0.0006666266690665227
152214,4.9535,-1,1,1,41,41,41,41,15,4,15,6,1,0.0214827060699462,151920,294,0.0004900539059296522,0.0019352290679304897
3927,5.0734,-1,27,9,1,1,9,9,0,0,0,0,9,0.0746107101440429,3927,0,0.0,0.0
48751,9.7232,-1,1,1,937,932,932,932,668,254,6,4,0,0.0232684612274169,39466,9285,0.015476702437268099,0.23526579840875692
150726,5.6685,-1,1,1,17,17,17,17,1,5,8,3,0,0.0225496292114257,150659,67,0.00011167895135131531,0.000444712894682694
125128,8.434,-1,1,1,2065,41,41,41,0,21,15,5,0,0.022364854812622,124912,216,0.00036003960435647924,0.0017292173690277956
21119,105.4042,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,0.0338678359985351,15848,5271,0.008785966456310194,0.3325971731448763
92177,10.2103,-1,1,1,5401,140,140,140,90,35,12,3,0,0.0228347778320312,90899,1278,0.0021302343257758355,0.014059560611227847
87306,29.5165,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,0.0242993831634521,54601,32705,0.05451432990962339,0.5989817036318016
11256,4.3812,-1,3,1,4,4,4,4,1,2,0,1,0,0.0393416881561279,11231,25,4.167125050422213e-05,0.002225981657911139
