estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
0,60.3874,3,1,0,32,0,0,0,0,0,0,0,0,0.0520765781402587,0,0,0.0,0.0
0,41.132,3,22,22,54,45,990,0,0,0,0,0,0,0.0674855709075927,0,0,0.0,0.0
0,36.294,3,1,0,81,63,0,0,0,0,0,0,0,0.0532906055450439,0,0,0.0,0.0
0,36.1581,3,27,27,36,0,0,0,0,0,0,0,0,0.06941819190979,0,0,0.0,0.0
0,35.3105,3,1,1,81,9,9,0,0,0,0,0,0,0.0490353107452392,0,0,0.0,0.0
0,35.6334,3,27,27,32,0,0,0,0,0,0,0,0,0.0699477195739746,0,0,0.0,0.0
821,36.5561,3,18,18,48,40,720,52,0,0,0,52,0,0.0677473545074462,64,757,0.0012618054652678461,11.828125
0,35.1152,3,1,1,54,0,0,0,0,0,0,0,0,0.0495164394378662,0,0,0.0,0.0
0,33.5024,3,18,9,36,9,81,0,0,0,0,0,0,0.068336009979248,0,0,0.0,0.0
0,34.5353,3,18,18,36,9,162,0,0,0,0,0,0,0.0678708553314209,0,0,0.0,0.0
77,34.6896,3,18,9,32,8,72,4,0,0,0,4,0,0.0690381526947021,6,71,0.00011834635143199086,11.833333333333334
0,33.4394,3,1,1,32,8,8,0,0,0,0,0,0,0.0505592823028564,0,0,0.0,0.0
0,34.1708,3,1,0,36,27,0,0,0,0,0,0,0,0.051283836364746,0,0,0.0,0.0
0,34.958,3,1,1,32,8,8,0,0,0,0,0,0,0.0500898361206054,0,0,0.0,0.0
0,35.4485,3,1,1,54,0,0,0,0,0,0,0,0,0.0513291358947753,0,0,0.0,0.0
0,36.1037,3,1,1,36,36,36,0,0,0,0,0,0,0.0507590770721435,0,0,0.0,0.0
0,37.2153,3,1,1,36,9,9,0,0,0,0,0,0,0.0501914024353027,0,0,0.0,0.0
161,41.7207,3,1,1,54,27,27,9,0,0,0,9,0,0.0502166748046875,2,159,0.00026502915320685276,79.5
0,37.294,3,18,18,54,0,0,0,0,0,0,0,0,0.0693433284759521,0,0,0.0,0.0
0,42.831,3,1,1,48,0,0,0,0,0,0,0,0,0.057896614074707,0,0,0.0,0.0
196,41.5265,3,1,1,54,9,9,9,0,0,0,9,0,0.0532951354980468,9,187,0.00031170095377158156,20.77777777777778
0,38.3211,3,1,1,54,45,45,0,0,0,0,0,0,0.0529427528381347,0,0,0.0,0.0
0,38.3126,3,18,9,72,56,504,0,0,0,0,0,0,0.0726089477539062,0,0,0.0,0.0
51,37.474,3,18,9,36,9,81,6,0,0,0,6,0,0.0771243572235107,8,43,7.167455086726206e-05,5.375
813,38.6692,3,1,1,81,27,27,27,0,0,0,27,0,0.0538685321807861,164,649,0.0010817856630896065,3.957317073170732
665,39.1724,3,18,18,54,27,486,43,0,0,0,43,0,0.0679743289947509,44,621,0.0010351138625248777,14.113636363636363
0,39.6458,3,1,0,54,0,0,0,0,0,0,0,0,0.0515711307525634,0,0,0.0,0.0
0,35.6969,3,1,1,36,0,0,0,0,0,0,0,0,0.0530555248260498,0,0,0.0,0.0
0,36.7132,3,1,1,36,0,0,0,0,0,0,0,0,0.0499083995819091,0,0,0.0,0.0
0,35.8537,3,1,1,36,9,9,0,0,0,0,0,0,0.0513880252838134,0,0,0.0,0.0
0,34.9389,3,27,9,36,27,243,0,0,0,0,0,0,0.0687205791473388,0,0,0.0,0.0
0,35.9228,3,1,0,36,27,0,0,0,0,0,0,0,0.0526270866394043,0,0,0.0,0.0
