estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
26220,59.3472,3,1,1,425,153,153,153,0,0,0,153,0,0.0274124145507812,27580,1360,0.002266916027429684,0.049311094996374184
32639,46.6139,3,1,1,425,204,204,204,0,0,0,204,0,0.0277330875396728,30601,2038,0.0033970403411041883,0.0665991307473612
41760,40.6827,3,1,1,450,234,234,234,0,0,0,234,0,0.0249414443969726,35328,6432,0.01072117932972627,0.18206521739130435
24261,40.2629,3,1,1,340,153,153,153,0,0,0,153,0,0.026548147201538,25899,1638,0.002730300333036634,0.06324568516158925
25567,38.1454,3,1,1,450,162,162,162,0,0,0,162,0,0.0248386859893798,18035,7532,0.012554714351912044,0.4176323814804547
25577,35.5834,3,1,1,450,162,162,162,0,0,0,162,0,0.0257346630096435,22583,2994,0.004990548960385643,0.13257760262144092
27561,36.835,3,1,1,450,162,162,162,0,0,0,162,0,0.0253219604492187,18748,8813,0.014689949227748385,0.4700768081928739
36787,36.4969,3,1,1,450,216,216,216,0,0,0,216,0,0.0257759094238281,28883,7904,0.01317478255941487,0.2736557836789807
10032,35.0592,3,1,1,450,54,54,54,0,0,0,54,0,0.0268020629882812,8541,1491,0.002485273380071808,0.174569722514928
27825,35.3223,3,1,1,450,162,162,162,0,0,0,162,0,0.0276815891265869,25613,2212,0.003687072244613574,0.08636239409674774
32802,35.4392,3,1,1,340,187,187,187,0,0,0,187,0,0.0287055969238281,35952,3150,0.005250577563531989,0.08761682242990654
749,35.0987,3,1,1,340,17,17,17,0,0,0,17,0,0.0299220085144042,4164,3415,0.005692292818876743,0.8201248799231509
25730,34.6326,3,1,1,450,162,162,162,0,0,0,162,0,0.027484655380249,19908,5822,0.009704400817423249,0.2924452481414507
31519,35.3183,3,1,1,340,187,187,187,0,0,0,187,0,0.0261545181274414,33183,1664,0.002773638433561025,0.050146159177892294
25476,37.2339,3,1,1,360,162,162,162,0,0,0,162,0,0.0263710021972656,27066,1590,0.0026502915320685276,0.058745289292839724
32527,36.3986,3,1,1,425,204,204,204,0,0,0,204,0,0.0263550281524658,27669,4858,0.008097557397980444,0.17557555386895082
16650,34.8662,3,1,1,450,108,108,108,0,0,0,108,0,0.0277252197265625,14976,1674,0.002790306933762714,0.11177884615384616
24131,34.1848,3,1,1,340,153,153,153,0,0,0,153,0,0.0271351337432861,23119,1012,0.001686852220410912,0.04377351961590034
9460,34.1915,3,1,1,425,51,51,51,0,0,0,51,0,0.0272226333618164,10530,1070,0.0017835295215807073,0.10161443494776828
27842,35.0086,3,1,1,288,162,162,162,0,0,0,162,0,0.0283691883087158,32552,4710,0.00785086359499545,0.14469157041042024
33894,35.9505,3,1,1,450,216,216,216,0,0,0,216,0,0.0246295928955078,25479,8415,0.014026542919721168,0.33027198869657365
23517,35.5241,3,1,1,340,153,153,153,0,0,0,153,0,0.0251610279083251,23067,450,0.0007500825090759984,0.019508388607101055
39723,34.3168,3,1,1,201,105,105,105,0,0,0,104,1,0.0313625335693359,35211,4512,0.007520827291002011,0.12814177387748146
32698,35.1214,3,1,1,425,204,204,204,0,0,0,204,0,0.0272042751312255,27602,5096,0.008494267702780639,0.18462430258676907
32645,37.2137,3,1,1,425,204,204,204,0,0,0,204,0,0.0309772491455078,24245,8400,0.014001540169418635,0.34646318828624456
24911,38.2766,3,1,1,450,162,162,162,0,0,0,162,0,0.0270133018493652,19479,5432,0.009054329309557385,0.27886441809127777
18830,41.1784,3,1,1,360,108,108,108,0,0,0,108,0,0.0259664058685302,18360,470,0.000783419509479376,0.02559912854030501
7288,39.4986,3,1,1,340,51,51,51,0,0,0,51,0,0.025853157043457,9843,2555,0.004258801801531502,0.2595753327237631
34657,37.9293,3,1,1,360,198,198,198,0,0,0,198,0,0.0278608798980712,35163,506,0.000843426110205456,0.014390125984699827
16644,36.3038,3,1,1,450,108,108,108,0,0,0,108,0,0.0271410942077636,12707,3937,0.006562388529404902,0.3098292279845754
10021,156.0252,3,1,1,450,54,54,54,0,0,0,54,0,0.0266921520233154,5705,4316,0.007194124687048909,0.7565293602103418
25470,105.9781,3,1,1,450,162,162,162,0,0,0,162,0,0.025381326675415,19164,6306,0.01051115622718499,0.3290544771446462
27199,55.6178,3,1,1,450,162,162,162,0,0,0,162,0,0.0292925834655761,24966,2233,0.003722076095037121,0.0894416406312585
27635,49.0727,3,1,1,450,162,162,162,0,0,0,162,0,0.0282297134399414,26571,1064,0.0017735284214596939,0.0400436566181175
9469,41.893,3,1,1,425,51,51,51,0,0,0,51,0,0.0259566307067871,8683,786,0.0013101441158527437,0.09052170908672118
34379,44.1801,3,1,1,450,216,216,216,0,0,0,216,0,0.0271751880645751,32167,2212,0.003687072244613574,0.06876612677588834
16798,40.3983,3,1,1,450,108,108,108,0,0,0,108,0,0.0266170501708984,12582,4216,0.007027439685032021,0.33508186297885867
36532,38.485,3,1,1,450,216,216,216,0,0,0,216,0,0.0258295536041259,30709,5823,0.009706067667443419,0.18961867856328762
25584,39.7146,3,1,1,450,162,162,162,0,0,0,162,0,0.0264441967010498,21381,4203,0.007005770634769825,0.19657639960712783
32697,35.8123,3,1,1,340,187,187,187,0,0,0,187,0,0.0249550342559814,33199,502,0.0008367587101247804,0.015120937377631856
27591,38.6154,3,1,1,450,162,162,162,0,0,0,162,0,0.026829719543457,28639,1048,0.0017468588211369917,0.0365934564754356
32873,35.961,3,1,1,340,187,187,187,0,0,0,187,0,0.0264859199523925,35815,2942,0.00490387275933686,0.0821443529247522
19107,36.4659,3,1,1,450,108,108,108,0,0,0,108,0,0.0264716148376464,14635,4472,0.007454153290195255,0.30556884181756067
19035,87.8445,3,1,1,360,108,108,108,0,0,0,108,0,0.0261540412902832,21342,2307,0.003845422996529618,0.10809671071127354
26219,51.0549,3,1,1,425,153,153,153,0,0,0,153,0,0.0260658264160156,24304,1915,0.0031920177886234154,0.0787936142198815
32411,43.4218,3,1,1,425,204,204,204,0,0,0,204,0,0.0263280868530273,30167,2244,0.0037404114452589785,0.07438591838764212
34490,76.1274,3,1,1,450,216,216,216,0,0,0,216,0,0.0261342525482177,29244,5246,0.008744295205805972,0.17938722472985913
18874,51.4368,3,1,1,450,108,108,108,0,0,0,108,0,0.0267257690429687,14871,4003,0.006672400630736048,0.2691816286732567
39261,46.3513,3,1,1,425,221,221,221,0,0,0,221,0,0.0252981185913085,34542,4719,0.007865865245176969,0.1366162932082682
41483,47.4122,3,1,1,450,234,234,234,0,0,0,234,0,0.0257565975189209,36246,5237,0.008729293555624452,0.14448490867957844
19036,43.2586,3,1,1,360,108,108,108,0,0,0,108,0,0.0250875949859619,22049,3013,0.005022219110768851,0.13665018821715272
34516,44.0946,3,1,1,450,216,216,216,0,0,0,216,0,0.0268497467041015,32616,1900,0.003167015038320882,0.058253617856266864
7751,43.7751,3,1,1,450,54,54,54,0,0,0,54,0,0.0257022380828857,9073,1322,0.002203575726663266,0.14570704287446268
25351,43.8248,3,1,1,450,162,162,162,0,0,0,162,0,0.0239691734313964,20045,5306,0.008844306207016105,0.26470441506610126
33681,43.0384,3,1,1,360,198,198,198,0,0,0,198,0,0.0235483646392822,35472,1791,0.0029853283861224736,0.050490527740189445
24236,42.9993,3,1,1,340,153,153,153,0,0,0,153,0,0.0234975814819335,26781,2545,0.004242133301329813,0.09503005862365109
16657,42.32,3,1,1,450,108,108,108,0,0,0,108,0,0.0229554176330566,11952,4705,0.007842529344894605,0.3936579651941098
41596,47.1451,3,1,1,450,234,234,234,0,0,0,234,0,0.025792121887207,36289,5307,0.008845973057036273,0.14624266306594286
7356,44.0244,3,1,1,340,51,51,51,0,0,0,51,0,0.027602195739746,7558,202,0.0003367037040741148,0.026726647261180205
39185,43.9796,3,1,1,425,221,221,221,0,0,0,221,0,0.0264887809753417,35926,3259,0.005432264215730397,0.09071424595000835
27852,44.9446,3,1,1,360,162,162,162,0,0,0,162,0,0.0254452228546142,27430,422,0.0007034107085112695,0.015384615384615385
25494,43.2681,3,1,1,450,162,162,162,0,0,0,162,0,0.0253987312316894,20978,4516,0.007527494691082686,0.2152731432929736
7392,44.4867,3,1,1,340,51,51,51,0,0,0,51,0,0.0246884822845459,9524,2132,0.0035537242430000635,0.22385552288954222
27777,44.3452,3,1,1,288,162,162,162,0,0,0,162,0,0.0259606838226318,31201,3424,0.0057072944690582635,0.10974007243357585
36605,42.2889,3,1,1,450,216,216,216,0,0,0,216,0,0.0252416133880615,29846,6759,0.011266239286321495,0.22646250753869865
40744,47.1254,3,1,1,450,234,234,234,0,0,0,234,0,0.0242600440979003,34251,6493,0.010822857180956573,0.18957110741292224
31742,43.216,3,1,1,340,187,187,187,0,0,0,187,0,0.0242366790771484,34310,2568,0.004280470851793697,0.07484698338676771
31841,45.4121,3,1,1,425,204,204,204,0,0,0,204,0,0.0259392261505126,26933,4908,0.008180899898988889,0.1822299780937883
25701,44.956,3,1,1,360,162,162,162,0,0,0,162,0,0.0262773036956787,26145,444,0.0007400814089549851,0.016982214572576017
24220,43.1927,3,1,1,425,153,153,153,0,0,0,153,0,0.0252566337585449,22761,1459,0.0024319341794264036,0.06410087430253504
36413,42.8458,3,1,1,176,92,92,92,0,0,0,91,1,0.0257577896118164,34921,1492,0.0024869402300919767,0.04272500787491767
24305,41.7383,3,1,1,425,153,153,153,0,0,0,153,0,0.0283505916595459,23754,551,0.0009184343611130558,0.023196093289551235
18996,45.1944,3,1,1,288,108,108,108,0,0,0,108,0,0.0255153179168701,23790,4794,0.007990878996689635,0.20151324085750316
35550,44.3153,3,1,1,450,216,216,216,0,0,0,216,0,0.0270962715148925,25573,9977,0.016630162651224967,0.3901380362100653
36609,43.743,3,1,1,450,216,216,216,0,0,0,216,0,0.0257961750030517,32863,3746,0.006244020175552644,0.11398837598515048
31645,45.4728,3,1,1,340,187,187,187,0,0,0,187,0,0.0259873867034912,35262,3617,0.006028996522950858,0.10257500992569905
33997,45.6587,3,1,1,450,216,216,216,0,0,0,216,0,0.0251739025115966,27939,6058,0.010097777422183107,0.2168295214574609
17760,43.1412,3,1,1,425,102,102,102,0,0,0,102,0,0.0247502326965332,18060,300,0.0005000550060506656,0.016611295681063124
34474,45.2653,3,1,1,450,216,216,216,0,0,0,216,0,0.0234570503234863,28859,5615,0.00935936286324829,0.19456668630236668
