estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
12497,1.6217,-1,1,1,11,11,11,11,5,1,3,2,0,0.031177282333374,11882,615,0.0010251127624038643,0.05175896313751894
30893,0.832,-1,21,21,9,9,189,126,28,56,42,0,0,0.0332734584808349,24102,6791,0.0113195784869669,0.28176084972201476
13431,0.1652,-1,1,1,25,25,25,25,6,15,3,1,0,0.0231328010559082,12004,1427,0.0023785949787809993,0.11887704098633789
12676,0.0613,-1,1,1,9,9,9,9,4,4,1,0,0,0.0226821899414062,12121,555,0.0009251017611937313,0.045788301295272664
13035,0.0863,-1,1,1,11,11,11,11,6,4,1,0,0,0.0227077007293701,12323,712,0.0011867972143602462,0.05777813844031486
12785,0.0732,-1,1,1,13,13,13,13,5,3,3,2,0,0.0312845706939697,12106,679,0.001131791163694673,0.05608789030232943
12358,0.0155,-1,1,1,2,2,2,2,0,0,2,0,0,0.0229883193969726,12293,65,0.00010834525131097754,0.005287562027169934
59429,4.7325,-1,378,252,18,18,4536,1443,98,290,435,620,0,0.0503642559051513,12055,47374,0.07896535285548077,3.9298216507673165
12679,0.0718,-1,1,1,10,10,10,10,5,4,1,0,0,0.021552562713623,12032,647,0.0010784519630492688,0.053773271276595744
12600,0.0429,-1,1,1,8,8,8,8,3,4,1,0,0,0.0214407444000244,12083,517,0.0008617614604273136,0.042787387238268644
12917,0.0525,-1,1,1,10,10,10,10,5,4,1,0,0,0.0211188793182373,12266,651,0.0010851193631299444,0.053073536605250285
11208,0.1028,-1,1,1,18,18,18,13,2,3,3,4,1,0.0385138988494873,10713,495,0.0008250907599835982,0.046205544665359845
12800,0.0774,-1,1,1,15,15,15,15,5,6,2,2,0,0.0291545391082763,11955,845,0.001408488267042708,0.07068172312839816
0,0.0074,-1,1,0,1,1,0,0,0,0,0,0,0,0.0457429885864257,0,0,0.0,0.0
12757,0.0603,-1,1,1,12,12,12,12,4,3,3,2,0,0.0291614532470703,12162,595,0.0009917757620004867,0.04892287452721592
12782,0.0492,-1,1,1,10,10,10,10,5,4,1,0,0,0.0210001468658447,12145,637,0.0010617834628475799,0.05244956772334294
31840,0.3948,-1,7,7,19,19,133,133,35,56,42,0,0,0.0297646522521972,24500,7340,0.012234679148039617,0.29959183673469386
9444,0.0673,-1,1,1,15,15,15,7,1,1,0,4,1,0.0374219417572021,9218,226,0.00037670810455816807,0.024517248860924278
13082,0.1468,-1,1,1,11,11,11,11,6,4,1,0,0,0.0212280750274658,12316,766,0.001276807115449366,0.0621955180253329
0,0.0134,-1,1,0,1,1,0,0,0,0,0,0,0,0.0461330413818359,0,0,0.0,0.0
0,0.2339,-1,7,7,9,9,63,0,0,0,0,0,0,0.0308976173400878,0,0,0.0,0.0
12742,0.0575,-1,1,1,9,9,9,9,4,4,1,0,0,0.0204992294311523,12166,576,0.0009601056116172779,0.04734506000328785
28979,0.1895,-1,7,7,11,11,77,77,35,21,14,7,0,0.0295515060424804,24521,4458,0.00743081738991289,0.18180335222870192
13048,0.049,-1,1,1,10,10,10,10,5,4,1,0,0,0.021636962890625,12393,655,0.00109178676321062,0.05285241668683934
12848,0.0645,-1,1,1,13,13,13,13,6,6,1,0,0,0.0218749046325683,12038,810,0.0013501485163367971,0.06728692473832863
12827,0.0703,-1,1,1,13,13,13,13,6,2,3,2,0,0.0295252799987792,12110,717,0.0011951314644610908,0.05920726672171759
12955,0.0498,-1,1,1,10,10,10,10,5,4,1,0,0,0.0210034847259521,12349,606,0.0010101111122223444,0.04907279941695684
12623,0.0392,-1,1,1,8,8,8,8,3,4,1,0,0,0.0215823650360107,12157,466,0.0007767521093987005,0.03833182528584355
0,0.0598,-1,7,7,10,10,70,0,0,0,0,0,0,0.0296459197998046,0,0,0.0,0.0
12716,0.0362,-1,1,1,7,7,7,7,1,5,1,0,0,0.0205206871032714,12330,386,0.0006434041077851897,0.03130575831305758
12834,0.0453,-1,1,1,9,9,9,9,4,4,1,0,0,0.0216853618621826,12270,564,0.0009401034113752513,0.045965770171149146
13117,0.153,-1,1,1,33,33,33,30,3,11,7,9,0,0.0291435718536376,11938,1179,0.0019652161737791158,0.09876026135030994
13462,0.1304,-1,1,1,28,28,28,28,7,8,13,0,0,0.020984411239624,12015,1447,0.0024119319791843768,0.1204327923429047
29981,0.3256,-1,21,21,8,8,168,112,14,56,42,0,0,0.0314302444458007,24157,5824,0.009707734517463588,0.24108953926398147
13852,0.0436,-1,1,1,4,4,4,4,2,1,1,0,0,0.0302059650421142,13592,260,0.00043338100524391017,0.01912889935256033
12836,0.0508,-1,1,1,9,9,9,9,4,4,1,0,0,0.0224003791809082,12304,532,0.0008867642107298469,0.043237971391417426
12874,0.096,-1,1,1,10,10,10,10,5,4,1,0,0,0.0230023860931396,12214,660,0.0011001210133114643,0.05403635172752579
12720,0.053,-1,1,1,10,10,10,10,5,4,1,0,0,0.0229341983795166,12149,571,0.0009517713615164335,0.046999753066095974
11152,0.6647,-1,1,1,18,18,18,12,1,2,4,4,1,0.040799856185913,10789,363,0.0006050665573213053,0.03364537955324868
12761,0.0768,-1,1,1,13,13,13,13,6,2,3,2,0,0.0327539443969726,12095,666,0.0011101221134324777,0.05506407606448946
12771,0.0493,-1,1,1,9,9,9,9,4,4,1,0,0,0.0240070819854736,12217,554,0.0009234349111735624,0.04534664811328477
12734,0.041,-1,1,1,8,8,8,8,3,4,1,0,0,0.0228972434997558,12222,512,0.0008534272103264693,0.041891670757650136
12511,0.0508,-1,1,1,10,10,10,10,3,2,3,2,0,0.0314881801605224,12045,466,0.0007767521093987005,0.038688252386882525
0,0.0763,-1,7,7,12,12,84,0,0,0,0,0,0,0.0319364070892334,0,0,0.0,0.0
7897,0.1671,-1,54,36,1,1,36,36,0,0,0,0,36,0.0616395473480224,7869,28,4.667180056472879e-05,0.0035582666158342864
12602,0.0626,-1,1,1,12,12,12,12,6,1,3,2,0,0.0318243503570556,11992,610,0.00101677851230302,0.05086724482988659
