estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
100168,35.8469,-1,1,1,8257,289,289,289,240,28,18,3,0,0.0788774490356445,80043,20125,0.03354535665589881,0.2514273577951851
41832,1.1795,-1,7,7,17,17,119,70,21,21,7,21,0,0.0427777767181396,38619,3213,0.005355589114802628,0.08319738988580751
111458,13.7674,-1,1,1,8257,233,233,233,209,7,12,5,0,0.0229365825653076,94973,16485,0.027478022582484073,0.17357564781569498
41698,100.9087,-1,1,1,108065,2749,2749,874,53,196,561,64,0,0.0323741436004638,5464,36234,0.060396643630799385,6.631405563689604
22561,0.4942,-1,1,1,17,17,17,17,6,4,3,4,0,0.0292341709136962,21726,835,0.0013918197668410192,0.03843321366105128
141338,20.7315,-1,1,1,18886,2959,2959,2067,438,1583,30,16,0,0.0329244136810302,15435,125903,0.20986141808932315,8.156980887593132
189542,102.1614,-1,1,1,109356,3126,3126,3126,374,1226,1475,51,0,0.0226013660430908,38063,151479,0.2524927742051626,3.979691563986023
21747,3.1535,-1,7,7,2065,37,259,182,0,98,77,7,0,0.0308823585510253,13582,8165,0.013609830414678947,0.6011633043734355
186766,10.5479,-1,1,1,5401,774,774,774,580,142,43,9,0,0.0214002132415771,133670,53096,0.08850306867088713,0.39721702700680783
150893,0.5899,-1,1,1,17,17,17,17,6,4,3,4,0,0.0212693214416503,150009,884,0.0014734954178292946,0.005892979754548061
153924,0.4131,-1,1,1,41,41,41,41,15,4,15,6,1,0.0214827060699462,151920,2004,0.003340367440418446,0.013191153238546603
3928,0.1528,-1,27,9,1,1,9,9,0,0,0,0,9,0.0746107101440429,3927,1,1.6668500201688853e-06,0.00025464731347084286
104381,5.3508,-1,1,1,937,932,932,932,668,254,6,4,0,0.0232684612274169,39466,64915,0.10820356905926319,1.6448335275933714
151304,0.606,-1,1,1,17,17,17,17,1,5,8,3,0,0.0225496292114257,150659,645,0.001075118263008931,0.0042811912995572785
126683,2.726,-1,1,1,2065,41,41,41,0,21,15,5,0,0.022364854812622,124912,1771,0.0029519913857190957,0.01417798129883438
64706,113.6824,-1,7,7,114678,2341,16387,1452,86,180,710,476,0,0.0338678359985351,15848,48858,0.0814389582854114,3.0829126703685006
100121,7.1133,-1,1,1,5401,140,140,140,90,35,12,3,0,0.0228347778320312,90899,9222,0.01537169088599746,0.10145326131200563
288063,35.7114,-1,1,1,19738,3450,3450,3450,2133,1293,10,14,0,0.0242993831634521,54601,233462,0.38914613940866827,4.275782494826102
11457,0.3193,-1,3,1,4,4,4,4,1,2,0,1,0,0.0393416881561279,11231,226,0.00037670810455816807,0.020122874187516696
23056,0.5874,-1,1,1,32,32,32,28,11,4,5,7,1,0.0317661762237548,21667,1389,0.0023152546780145816,0.06410670605067614
16645,127.6027,3,1,1,450,108,108,108,0,0,0,108,0,0.0241851806640625,17412,767,0.001278473965469535,0.04405008040431886
153511,7.551,-1,1,1,4945,511,511,511,385,41,79,6,0,0.0225396156311035,119638,33873,0.05646121073318065,0.28312910613684616
245648,24.1492,-1,1,1,16513,2216,2216,2216,2003,48,148,17,0,0.0223786830902099,89002,156646,0.2611053882593752,1.76002786454237
29601,8.3573,-1,1,1,5401,756,756,281,159,99,17,6,0,0.0320498943328857,11432,18169,0.030284998016448475,1.5893107067879637
87765,2.8273,-1,1,1,1969,172,172,172,0,156,10,6,0,0.0225110054016113,78142,9623,0.016040097744085182,0.12314760308156945
176113,111.6935,-1,1,1,104478,2634,2634,2634,409,1336,825,64,0,0.022313117980957,38678,137435,0.22908353252191074,3.553311960287502
43397,0.1378,-1,1,1,1,1,1,1,0,0,0,0,1,0.0398685932159423,43397,0,0.0,0.0
78463,19.8903,-1,1,1,20853,1030,1030,1030,63,99,800,68,0,0.0228991508483886,38578,39885,0.06648231305443598,1.033879413137021
21753,0.3929,-1,1,1,9,9,9,9,1,0,4,4,0,0.0303027629852294,21459,294,0.0004900539059296522,0.013700545225779393
39110,54.9398,3,1,1,425,221,221,221,0,0,0,221,0,0.0242114067077636,34073,5037,0.008395923551590675,0.14782965984797347
151797,0.2191,-1,1,1,13,13,13,13,1,5,3,4,0,0.0215756893157959,151288,509,0.0008484266602659626,0.00336444397440643
151909,0.1546,-1,1,1,13,13,13,13,1,5,3,4,0,0.0212657451629638,151325,584,0.000973440411778629,0.0038592433504047578
19077,99.6694,3,1,1,360,108,108,108,0,0,0,108,0,0.025597333908081,19105,28,4.667180056472879e-05,0.0014655849254121957
85936,2.9077,-1,1,1,2521,330,330,330,128,159,40,3,0,0.0228784084320068,65807,20129,0.03355202405597949,0.3058793137508168
44157,0.4727,-1,7,7,13,13,91,63,7,14,21,21,0,0.0311286449432373,41816,2341,0.0039020958972153606,0.05598335565333844
394773,40.2756,-1,21,21,16597,2277,47817,6555,3604,72,2695,184,0,0.033947467803955,25308,369465,0.6158427427016971,14.598743480322428
18810,47.8254,3,1,1,450,108,108,108,0,0,0,108,0,0.0249264240264892,14637,4173,0.006955765134164758,0.2850994056159049
156446,0.1381,-1,1,1,4,4,4,4,1,2,0,1,0,0.0224828720092773,156211,235,0.000391709754739688,0.0015043754921228339
132312,4.9424,-1,1,1,4849,507,507,507,498,0,0,9,0,0.0234255790710449,95160,37152,0.061926811949314424,0.39041614123581336
