baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.0020160675048828125,0.004234790802001953,1748,1771.0,1,1,1026,193,193,193,94,39,35,25,0,23.0,0.0005087257525823362,0.013157894736842105,1413
0.0013272762298583984,0.0007498264312744141,9549,9550.0,1,1,10,10,10,10,5,2,2,1,0,1.0,2.2118510981840703e-05,0.00010472300764477956,31
0.0014386177062988281,0.007440328598022461,2329,2371.0,1,1,1341,505,505,505,144,247,98,16,0,42.0,0.0009289774612373095,0.018033490768570203,2352
0.0024466514587402344,0.003679990768432617,41,41.0,1,1,1026,264,264,30,7,4,7,12,0,0.0,0.0,0.0,1321
0.0020301342010498047,0.0004019737243652344,10905,10908.0,1,1,4,4,4,4,2,1,1,0,0,3.0,6.63555329455221e-05,0.0002751031636863824,13
0.002300262451171875,0.029337644577026367,106,141.0,1,1,60,46,46,46,0,0,0,46,0,35.0,0.0007741478843644246,0.330188679245283,153
0.0016908645629882812,0.0018334388732910156,1614,1621.0,1,1,104,81,81,81,9,20,52,0,0,7.0,0.00015482957687288493,0.004337050805452293,267
0.0044403076171875,0.08232259750366211,2294,2373.0,288,274,299,235,64390,1498,174,529,506,289,0,79.0,0.0017473623675654155,0.03443766346992153,66475
0.0015134811401367188,0.004564523696899414,3896,3981.0,1,1,1553,801,801,801,631,144,26,0,0,85.0,0.0018800734334564596,0.021817248459958933,3156
0.0038237571716308594,0.0005700588226318359,101,101.0,6,6,17,17,102,20,0,0,0,0,20,0.0,0.0,0.0,145
0.0019731521606445312,0.006324052810668945,1906,1925.0,1,1,4148,234,234,234,78,89,62,5,0,19.0,0.00042025170865497336,0.009968520461699895,4617
0.002881288528442383,0.00044608116149902344,2207,2208.0,1,1,4,4,4,4,2,1,1,0,0,1.0,2.2118510981840703e-05,0.00045310376076121433,13
0.0018715858459472656,0.004570960998535156,2350,2379.0,1,1,1697,328,328,328,27,240,56,5,0,29.0,0.0006414368184733803,0.012340425531914894,2354
0.0025844573974609375,0.0004849433898925781,1278,1278.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.0017125606536865234,0.0150146484375,58,63.0,1,1,50,32,32,32,0,0,0,32,0,5.0,0.00011059255490920351,0.08620689655172414,115
0.0014841556549072266,0.005252361297607422,3728,3767.0,1,1,1716,472,472,472,48,344,76,4,0,39.0,0.0008626219282917873,0.01046137339055794,2661
0.0013158321380615234,0.0003674030303955078,7494,7494.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.0018842220306396484,0.0004947185516357422,6483,6484.0,1,1,10,10,10,10,1,3,6,0,0,1.0,2.2118510981840703e-05,0.00015424957581366652,31
0.0018336772918701172,0.0006883144378662109,8965,8967.0,1,1,19,19,19,19,4,5,6,4,0,2.0,4.4237021963681406e-05,0.0002230897936419409,58
0.001941680908203125,0.0016756057739257812,3880,3891.0,1,1,250,124,124,123,33,59,26,5,0,11.0,0.00024330362080024774,0.0028350515463917525,498
0.0018143653869628906,0.0002734661102294922,8008,8008.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.002892017364501953,0.001355886459350586,5870,5881.0,12,12,19,19,228,176,15,47,66,48,0,11.0,0.00024330362080024774,0.0018739352640545145,435
0.0016362667083740234,0.010387420654296875,107,122.0,1,1,60,46,46,46,0,0,0,46,0,15.0,0.0003317776647276105,0.14018691588785046,153
0.0015246868133544922,0.0014233589172363281,6851,6851.0,48,47,17,17,799,181,0,0,0,0,181,0.0,0.0,0.0,1045
0.0022721290588378906,0.004528999328613281,7,7.0,1,1,1305,334,334,6,0,3,0,3,0,0.0,0.0,0.0,1646
0.0022306442260742188,0.0006618499755859375,11117,11117.0,1,1,10,10,10,10,5,2,2,1,0,0.0,0.0,0.0,31
0.002651691436767578,0.00044345855712890625,1638,1638.0,1,1,5,5,5,5,1,0,1,1,2,0.0,0.0,0.0,16
0.0034422874450683594,0.0003600120544433594,1029,1029.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.002110004425048828,0.00885462760925293,85,77.0,1,1,60,39,39,39,0,0,0,39,0,8.0,0.00017694808785472562,0.09411764705882353,139
0.0026400089263916016,0.03805708885192871,525,560.0,1,1,38210,473,473,398,29,252,117,0,0,35.0,0.0007741478843644246,0.06666666666666667,39082
0.0022001266479492188,0.006585359573364258,192,195.0,1,1,1341,280,280,95,0,45,34,16,0,3.0,6.63555329455221e-05,0.015625,1717
0.002370119094848633,0.043590545654296875,1457,1521.0,48,48,4775,691,33168,762,85,342,234,101,0,64.0,0.001415584702837805,0.04392587508579272,38753
0.0015075206756591797,0.1497328281402588,747,799.0,1,1,175100,540,540,540,233,176,131,0,0,52.0,0.0011501625710557165,0.06961178045515395,176181
0.0017447471618652344,0.0003905296325683594,351,351.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.0035827159881591797,0.0041120052337646484,93,94.0,1,1,1071,310,310,46,4,4,18,20,0,1.0,2.2118510981840703e-05,0.010752688172043012,1428
0.0034592151641845703,0.002833127975463867,406,411.0,1,1,327,164,164,115,4,57,54,0,0,5.0,0.00011059255490920351,0.012315270935960592,607
0.0024802684783935547,0.0004398822784423828,1439,1440.0,1,1,4,4,4,4,2,1,1,0,0,1.0,2.2118510981840703e-05,0.0006949270326615705,13
0.0029959678649902344,0.00035452842712402344,2860,2860.0,1,1,17,17,17,10,0,0,0,0,10,0.0,0.0,0.0,45
0.0012118816375732422,0.0007305145263671875,9272,9273.0,1,1,19,19,19,19,4,5,6,4,0,1.0,2.2118510981840703e-05,0.00010785159620362382,58
0.0016083717346191406,0.0007054805755615234,2185,2190.0,1,1,25,24,24,24,7,12,4,1,0,5.0,0.00011059255490920351,0.002288329519450801,74
0.002159595489501953,0.008135318756103516,211,217.0,1,1,4281,292,292,77,8,23,42,4,0,6.0,0.0001327110658910442,0.02843601895734597,4651
0.0026159286499023438,0.00033593177795410156,74,74.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.0038156509399414062,0.00038886070251464844,64,64.0,1,1,17,17,17,6,0,0,0,0,6,0.0,0.0,0.0,41
0.0020585060119628906,0.011782407760620117,58,65.0,1,1,60,39,39,39,0,0,0,39,0,7.0,0.00015482957687288493,0.1206896551724138,139
0.0017845630645751953,0.03192257881164551,1016,1045.0,1,1,32360,423,423,423,51,92,280,0,0,29.0,0.0006414368184733803,0.028543307086614175,33207
0.003506183624267578,0.0008330345153808594,874,875.0,1,1,10,10,10,10,5,2,2,1,0,1.0,2.2118510981840703e-05,0.0011441647597254005,31
0.0020711421966552734,0.0007462501525878906,8934,8936.0,1,1,10,10,10,10,5,2,2,1,0,2.0,4.4237021963681406e-05,0.00022386389075442132,31
0.0016202926635742188,0.0008740425109863281,2180,2186.0,1,1,59,38,38,38,11,20,2,5,0,6.0,0.0001327110658910442,0.0027522935779816515,136
0.0028929710388183594,0.0011649131774902344,5775,5783.0,12,12,19,19,228,174,16,44,66,48,0,8.0,0.00017694808785472562,0.0013852813852813853,433
0.003392457962036133,0.0004222393035888672,33,33.0,1,1,7,7,7,5,0,2,2,1,0,0.0,0.0,0.0,20
0.001592874526977539,0.0029001235961914062,1478,1498.0,1,1,453,198,198,198,84,82,28,4,0,20.0,0.00044237021963681403,0.013531799729364006,850
0.0015158653259277344,0.0007467269897460938,6546,6546.0,1,1,19,19,19,19,4,5,6,4,0,0.0,0.0,0.0,58
0.0018887519836425781,0.0003485679626464844,36959,36959.0,1,1,17,17,17,17,0,0,0,0,17,0.0,0.0,0.0,52
0.002942323684692383,0.0004825592041015625,2420,2420.0,4,4,17,17,68,28,0,0,0,0,28,0.0,0.0,0.0,117
0.003517627716064453,0.0010845661163330078,136,136.0,12,12,19,19,228,40,0,6,12,22,0,0.0,0.0,0.0,299
0.004294395446777344,0.0059964656829833984,780,812.0,12,12,338,305,3660,504,6,353,145,0,0,32.0,0.0007077923514189025,0.041025641025641026,4514
0.0026884078979492188,0.004250526428222656,1807,1820.0,1,1,1071,184,184,184,29,53,82,20,0,13.0,0.00028754064276392913,0.007194244604316547,1440
0.010234355926513672,0.0005831718444824219,9,9.0,24,7,5,5,35,6,0,0,0,2,4,0.0,0.0,0.0,70
0.0012729167938232422,0.0003628730773925781,10834,10834.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0032765865325927734,0.002460002899169922,2433,2447.0,1,1,285,226,226,226,107,53,66,0,0,14.0,0.00030965915374576986,0.005754212905877518,738
0.0022008419036865234,0.0013537406921386719,2902,2905.0,1,1,74,74,74,70,36,24,10,0,0,3.0,6.63555329455221e-05,0.0010337698139214334,219
0.0025873184204101562,0.002393007278442383,414,435.0,1,1,338,311,311,171,1,144,26,0,0,21.0,0.00046448873061865476,0.050724637681159424,821
0.001512289047241211,0.0047473907470703125,1941,1962.0,1,1,1697,302,302,302,26,215,56,5,0,21.0,0.00046448873061865476,0.010819165378670788,2302
0.001955747604370117,0.009317636489868164,95,51.0,1,1,30,21,21,21,0,0,0,21,0,44.0,0.000973214483200991,0.4631578947368421,73
0.004128456115722656,0.0009047985076904297,2586,2586.0,12,12,17,17,204,61,0,0,0,0,61,0.0,0.0,0.0,294
0.0016586780548095703,0.02623772621154785,909,955.0,1,1,17384,671,671,671,10,532,129,0,0,46.0,0.0010174515051646724,0.050605060506050605,18727
0.002666950225830078,0.008146047592163086,464,478.0,1,1,4262,432,432,119,26,37,51,5,0,14.0,0.00030965915374576986,0.03017241379310345,4814
0.002343416213989258,0.0005655288696289062,992,992.0,1,1,4,4,4,4,2,1,1,0,0,0.0,0.0,0.0,13
0.0014071464538574219,0.0012421607971191406,3209,3215.0,1,1,74,73,73,73,7,60,6,0,0,6.0,0.0001327110658910442,0.001869741352446245,221
0.0017650127410888672,0.0003762245178222656,9925,9929.0,1,1,4,4,4,4,2,1,1,0,0,4.0,8.847404392736281e-05,0.00040302267002518893,13
0.0013687610626220703,0.0014047622680664062,2034,2049.0,1,1,102,101,101,101,39,56,6,0,0,15.0,0.0003317776647276105,0.007374631268436578,305
0.0027132034301757812,0.05027890205383301,1265,1328.0,192,157,263,259,40663,818,323,294,201,0,0,63.0,0.0013934661918559642,0.04980237154150197,41936
0.001478433609008789,0.0027577877044677734,3041,3093.0,1,1,284,274,274,274,238,30,6,0,0,52.0,0.0011501625710557165,0.017099638276882604,833
0.0027837753295898438,0.0005896091461181641,5,5.0,4,4,6,6,24,3,0,0,0,1,2,0.0,0.0,0.0,37
0.0016186237335205078,0.002613544464111328,2186,2211.0,1,1,338,301,301,301,7,268,26,0,0,25.0,0.0005529627745460175,0.011436413540713633,941
0.0013988018035888672,0.0020380020141601562,2882,2891.0,1,1,250,122,122,122,37,54,26,5,0,9.0,0.00019906659883656632,0.003122831367106176,495
0.0023832321166992188,0.0008072853088378906,481,482.0,1,1,19,19,19,19,4,5,6,4,0,1.0,2.2118510981840703e-05,0.002079002079002079,58
0.002098560333251953,0.13260793685913086,385,418.0,1,1,159305,372,372,304,100,107,97,0,0,33.0,0.0007299108624007432,0.08571428571428572,159982
0.0015518665313720703,0.12910914421081543,706,757.0,1,1,159539,514,514,513,173,207,133,0,0,51.0,0.001128044060073876,0.07223796033994334,160567
0.003433704376220703,0.0005655288696289062,1047,1047.0,1,1,3,3,3,3,0,2,1,0,0,0.0,0.0,0.0,10
0.001617431640625,0.002286672592163086,1444,1457.0,1,1,292,148,148,148,52,71,20,5,0,13.0,0.00028754064276392913,0.009002770083102494,589
0.0014162063598632812,0.0004405975341796875,13458,13458.0,1,1,7,7,7,7,1,3,2,1,0,0.0,0.0,0.0,22
0.0016961097717285156,0.13470959663391113,633,682.0,1,1,159539,475,475,475,169,193,113,0,0,49.0,0.0010838070381101945,0.07740916271721959,160490
0.0034105777740478516,0.0006651878356933594,4083,4083.0,1,1,17,17,17,10,0,0,0,0,10,0.0,0.0,0.0,45
0.003374814987182617,0.00028514862060546875,8008,8008.0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.0,0.0,4
0.0017657279968261719,0.0022356510162353516,3315,3329.0,1,1,404,177,177,177,111,35,26,5,0,14.0,0.00030965915374576986,0.004223227752639517,759
0.0028319358825683594,0.0003571510314941406,3,3.0,1,1,17,17,17,2,0,0,0,0,2,0.0,0.0,0.0,37
0.0021507740020751953,0.0027189254760742188,1878,1900.0,1,1,439,232,232,222,122,35,65,0,0,22.0,0.0004866072416004955,0.011714589989350373,894
