baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.0015573501586914062,0.0005702972412109375,3428,3428.0,1,1,4,4,4,4,1,1,1,0,1,0.0,0.0,0.0,13
0.0013835430145263672,0.00045371055603027344,7123,7125.0,1,1,7,7,7,7,3,1,3,0,0,2.0,4.4237021963681406e-05,0.00028078056998455706,22
0.0016906261444091797,0.0006659030914306641,2651,2652.0,1,1,16,16,16,16,5,7,2,2,0,1.0,2.2118510981840703e-05,0.0003772161448509996,49
0.001416921615600586,0.0002739429473876953,4615,4615.0,1,1,1,1,1,1,0,0,1,0,0,0.0,0.0,0.0,4
0.0012958049774169922,0.0003705024719238281,2836,2836.0,1,1,5,5,5,5,1,1,1,2,0,0.0,0.0,0.0,16
0.001260995864868164,0.00034356117248535156,4228,4228.0,1,1,5,5,5,5,1,1,1,2,0,0.0,0.0,0.0,16
0.0012793540954589844,0.00034928321838378906,6710,6710.0,1,1,4,4,4,4,1,1,1,0,1,0.0,0.0,0.0,13
0.0011911392211914062,0.0003941059112548828,8792,8792.0,1,1,5,5,5,5,1,1,1,2,0,0.0,0.0,0.0,16
0.0015718936920166016,0.0004935264587402344,4712,4712.0,1,1,10,10,10,10,3,5,2,0,0,0.0,0.0,0.0,31
0.0013279914855957031,0.0008018016815185547,2716,2717.0,1,1,20,20,20,20,5,7,7,1,0,1.0,2.2118510981840703e-05,0.0003681885125184094,61
0.0013420581817626953,0.0002391338348388672,7326,7326.0,1,1,2,2,2,2,0,2,0,0,0,0.0,0.0,0.0,7
0.0012662410736083984,0.0006620883941650391,10451,10451.0,1,1,5,5,5,5,1,1,1,2,0,0.0,0.0,0.0,16
0.001270294189453125,0.0005335807800292969,5756,5757.0,1,1,10,10,10,10,3,5,2,0,0,1.0,2.2118510981840703e-05,0.00017373175816539263,31
