baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.018625497817993164,0.0003101825714111328,648,649.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0015432098765432098,4
0.018561124801635742,0.00019431114196777344,297,297.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.018012285232543945,0.0001277923583984375,1031,1033.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0019398642095053346,4
0.020464181900024414,0.002895355224609375,278,356.0,1115,59,1,1,59,59,0,0,0,0,59,78.0,0.00020658147387936173,0.2805755395683453,1234
0.01906609535217285,0.00022530555725097656,167,172.0,5,5,1,1,5,5,0,0,0,0,5,5.0,1.3242402171753956e-05,0.029940119760479042,16
0.01744532585144043,0.0001251697540283203,110,110.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.018316984176635742,0.00012969970703125,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.018442630767822266,0.00011205673217773438,1223,1225.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.001635322976287817,4
0.019013404846191406,0.00010561943054199219,7268,7269.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0001375894331315355,4
0.01761651039123535,0.00018596649169921875,6,11.0,5,3,1,1,3,3,0,0,0,0,3,5.0,1.3242402171753956e-05,0.8333333333333334,12
0.016692399978637695,0.002463817596435547,20,42.0,1115,17,1,1,17,17,0,0,0,0,17,22.0,5.826656955571741e-05,1.1,1150
0.01844644546508789,0.0001919269561767578,156,161.0,5,5,1,1,5,5,0,0,0,0,5,5.0,1.3242402171753956e-05,0.03205128205128205,16
0.019724607467651367,0.0001633167266845703,8942,8953.0,5,5,1,1,5,5,0,0,0,0,5,11.0,2.9133284777858705e-05,0.0012301498546186534,16
0.01871967315673828,0.00018143653869628906,1075,1084.0,5,5,1,1,5,5,0,0,0,0,5,9.0,2.3836323909157122e-05,0.008372093023255815,16
0.0194394588470459,0.0001201629638671875,3865,3867.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.000517464424320828,4
0.02013421058654785,0.00011277198791503906,314,315.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0031847133757961785,4
0.01900935173034668,0.00017547607421875,395,401.0,5,5,1,1,5,5,0,0,0,0,5,6.0,1.5890882606104747e-05,0.015189873417721518,16
0.017796039581298828,0.0001087188720703125,4,5.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.25,4
0.01956629753112793,0.00010085105895996094,7876,7877.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00012696800406297612,4
0.01814579963684082,0.00010061264038085938,6060,6062.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.00033003300330033004,4
0.017795324325561523,0.009830236434936523,0,0.0,11150,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,11151
0.017012834548950195,0.00022220611572265625,12,19.0,5,4,1,1,4,4,0,0,0,0,4,7.0,1.853936304045554e-05,0.5833333333333334,14
0.02038288116455078,0.00012755393981933594,3512,3513.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0002847380410022779,4
0.022123336791992188,0.00020051002502441406,619,622.0,5,5,1,1,5,5,0,0,0,0,5,3.0,7.945441303052374e-06,0.004846526655896607,16
0.02212834358215332,0.000118255615234375,110,112.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.01818181818181818,4
0.023326396942138672,0.00010657310485839844,1027,1029.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0019474196689386564,4
0.020134687423706055,0.00010848045349121094,5,6.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.2,4
0.021469593048095703,0.00010466575622558594,1757,1758.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0005691519635742744,4
0.021096229553222656,0.00010204315185546875,7876,7877.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00012696800406297612,4
0.019999980926513672,0.00018095970153808594,9522,9524.0,5,5,1,1,5,5,0,0,0,0,5,2.0,5.296960868701582e-06,0.00021003990758244065,16
0.019153356552124023,0.00010991096496582031,430,430.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.020308494567871094,0.002755880355834961,92,136.0,1115,30,1,1,30,30,0,0,0,0,30,44.0,0.00011653313911143482,0.4782608695652174,1176
0.018665313720703125,0.009526729583740234,75,0.0,11150,0,1,1,0,0,0,0,0,0,0,75.0,0.00019863603257630935,1.0,11151
0.019519567489624023,0.00017189979553222656,739,740.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0013531799729364006,4
0.02108311653137207,0.00012254714965820312,7268,7269.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0001375894331315355,4
0.01965618133544922,0.0033445358276367188,7261,7810.0,1115,381,1,1,381,381,0,0,0,0,381,549.0,0.0014540157584585845,0.07560942019005647,1878
0.019008398056030273,0.0002548694610595703,4,16.0,25,3,1,1,3,3,0,0,0,0,3,12.0,3.1781765212209494e-05,3.0,32
0.019176483154296875,0.011327505111694336,314,531.0,5575,133,1,1,133,133,0,0,0,0,133,217.0,0.0005747202542541217,0.6910828025477707,5842
0.01963520050048828,0.0003466606140136719,1477,1495.0,25,17,1,1,17,17,0,0,0,0,17,18.0,4.7672647818314245e-05,0.012186865267433988,60
0.0199429988861084,0.0002722740173339844,5310,5346.0,25,25,1,1,25,25,0,0,0,0,25,36.0,9.534529563662849e-05,0.006779661016949152,76
0.02045297622680664,0.00012636184692382812,3865,3867.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.000517464424320828,4
0.021954774856567383,0.00010848045349121094,503,504.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0019880715705765406,4
0.023219585418701172,0.0001742839813232422,8942,8953.0,5,5,1,1,5,5,0,0,0,0,5,11.0,2.9133284777858705e-05,0.0012301498546186534,16
0.02380228042602539,0.00011491775512695312,1181,1182.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.000846740050804403,4
0.022593259811401367,0.00010347366333007812,4115,4115.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.023453474044799805,9.989738464355469e-05,1133,1134.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00088261253309797,4
0.021297454833984375,9.942054748535156e-05,599,601.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.00333889816360601,4
0.022146224975585938,9.846687316894531e-05,7377,7377.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.02123880386352539,0.00011515617370605469,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.021095991134643555,0.00010323524475097656,470,472.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.00425531914893617,4
0.021313905715942383,0.00025153160095214844,7280,7317.0,25,25,1,1,25,25,0,0,0,0,25,37.0,9.799377607097927e-05,0.005082417582417583,76
0.0197296142578125,0.00013589859008789062,676,679.0,1,1,1,1,1,1,0,0,0,0,1,3.0,7.945441303052374e-06,0.004437869822485207,4
0.020448923110961914,0.000148773193359375,863,865.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.002317497103128621,4
0.0211489200592041,0.00011181831359863281,7642,7643.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00013085579691180318,4
0.020375728607177734,0.0001010894775390625,1311,1312.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0007627765064836003,4
0.018937110900878906,9.822845458984375e-05,14,15.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.07142857142857142,4
0.022168397903442383,9.679794311523438e-05,5428,5428.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.022026777267456055,0.0030896663665771484,2818,3288.0,1115,295,1,1,295,295,0,0,0,0,295,470.0,0.0012447858041448718,0.16678495386799147,1706
0.021554231643676758,0.00019407272338867188,364,371.0,5,5,1,1,5,5,0,0,0,0,5,7.0,1.853936304045554e-05,0.019230769230769232,16
0.021907806396484375,0.0001385211944580078,5051,5053.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0003959611958028113,4
0.022121667861938477,0.00011920928955078125,1237,1237.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.022738933563232422,0.00010395050048828125,1584,1586.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0012626262626262627,4
0.02255845069885254,0.00010251998901367188,6960,6961.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00014367816091954023,4
0.021070003509521484,0.00015997886657714844,6,9.0,5,2,1,1,2,2,0,0,0,0,2,3.0,7.945441303052374e-06,0.5,10
0.02073049545288086,0.009880304336547852,3,0.0,11150,0,1,1,0,0,0,0,0,0,0,3.0,7.945441303052374e-06,1.0,11151
0.023003101348876953,0.0002315044403076172,358,369.0,1,1,1,1,1,1,0,0,0,0,1,11.0,2.9133284777858705e-05,0.030726256983240222,4
0.022939443588256836,0.00021028518676757812,314,319.0,5,5,1,1,5,5,0,0,0,0,5,5.0,1.3242402171753956e-05,0.01592356687898089,16
0.022375822067260742,0.00011610984802246094,1451,1454.0,1,1,1,1,1,1,0,0,0,0,1,3.0,7.945441303052374e-06,0.002067539627842867,4
0.022893905639648438,0.00010466575622558594,4,6.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.5,4
0.024068593978881836,0.00011873245239257812,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.023436546325683594,0.00010514259338378906,538,539.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0018587360594795538,4
0.022613525390625,0.00010633468627929688,5,6.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.2,4
0.023500442504882812,0.00016355514526367188,4482,4484.0,5,5,1,1,5,5,0,0,0,0,5,2.0,5.296960868701582e-06,0.0004462293618920125,16
0.021725177764892578,0.00010442733764648438,946,947.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0010570824524312897,4
0.02239370346069336,0.00012993812561035156,6960,6961.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00014367816091954023,4
0.021281957626342773,0.00010061264038085938,1311,1312.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0007627765064836003,4
0.02237105369567871,9.894371032714844e-05,1757,1758.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0005691519635742744,4
0.020125389099121094,0.002305269241333008,9,20.0,1115,6,1,1,6,6,0,0,0,0,6,11.0,2.9133284777858705e-05,1.2222222222222223,1128
0.020321130752563477,0.00013327598571777344,215,217.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.009302325581395349,4
0.020821332931518555,0.0001087188720703125,1780,1781.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0005617977528089888,4
0.0204465389251709,0.00010204315185546875,1,3.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,2.0,4
0.021915674209594727,0.00016570091247558594,635,642.0,5,5,1,1,5,5,0,0,0,0,5,7.0,1.853936304045554e-05,0.011023622047244094,16
0.0211026668548584,0.00010347366333007812,460,461.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.002173913043478261,4
0.02135181427001953,0.00015234947204589844,8942,8953.0,5,5,1,1,5,5,0,0,0,0,5,11.0,2.9133284777858705e-05,0.0012301498546186534,16
0.020930051803588867,0.00010275840759277344,1302,1302.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.02198195457458496,0.0002560615539550781,39177,39211.0,25,25,1,1,25,25,0,0,0,0,25,34.0,9.00483347679269e-05,0.000867856140082191,76
0.022190332412719727,0.00011515617370605469,2195,2196.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00045558086560364467,4
0.0227663516998291,0.0030660629272460938,2480,2920.0,1115,291,1,1,291,291,0,0,0,0,291,440.0,0.001165331391114348,0.1774193548387097,1698
0.024425745010375977,0.0001442432403564453,503,504.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0019880715705765406,4
0.02353048324584961,0.000110626220703125,4594,4594.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.02097773551940918,0.00010251998901367188,195,195.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.020804166793823242,0.009937524795532227,1,0.0,11150,0,1,1,0,0,0,0,0,0,0,1.0,2.648480434350791e-06,1.0,11151
0.03445768356323242,0.0026483535766601562,1384,1497.0,1115,84,1,1,84,84,0,0,0,0,84,113.0,0.0002992782890816394,0.08164739884393063,1284
0.04870271682739258,0.00015234947204589844,259,261.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.007722007722007722,4
0.026135683059692383,0.00011324882507324219,1472,1474.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.001358695652173913,4
0.026593446731567383,0.0001277923583984375,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.025831222534179688,0.00017070770263671875,1787,1787.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.02512645721435547,0.00011610984802246094,1126,1127.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0008880994671403197,4
0.022344350814819336,0.00012445449829101562,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.02355360984802246,0.00010633468627929688,2164,2164.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
0.022049665451049805,0.00010037422180175781,2333,2336.0,1,1,1,1,1,1,0,0,0,0,1,3.0,7.945441303052374e-06,0.0012858979854264896,4
0.021828889846801758,0.0002644062042236328,305,339.0,25,22,1,1,22,22,0,0,0,0,22,34.0,9.00483347679269e-05,0.11147540983606558,70
0.021422863006591797,0.00013017654418945312,0,0.0,5,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,6
0.024843215942382812,0.00011157989501953125,6960,6961.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.00014367816091954023,4
0.02120351791381836,0.0001316070556640625,554,555.0,1,1,1,1,1,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0018050541516245488,4
0.022406816482543945,0.00010943412780761719,6060,6062.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.00033003300330033004,4
0.021796703338623047,0.000164031982421875,1130,1134.0,5,4,1,1,4,4,0,0,0,0,4,4.0,1.0593921737403165e-05,0.0035398230088495575,14
0.020686864852905273,0.00010466575622558594,1492,1494.0,1,1,1,1,1,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0013404825737265416,4
0.020581722259521484,9.894371032714844e-05,125,125.0,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4
