baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.028968095779418945,0.04003024101257324,2,11.0,1,1,35216,808,808,2,0,0,1,1,0,9.0,2.3836323909157122e-05,4.5,36027
0.025622129440307617,0.021395444869995117,0,0.0,223,23,109784,0,0,0,0,0,0,0,0,0.0,0.0,0.0,110007
0.024880647659301758,0.031915903091430664,0,0.0,2230,0,4,4,0,0,0,0,0,0,0,0.0,0.0,0.0,2234
0.037052154541015625,0.03381013870239258,64,0.0,223,117,111656,0,0,0,0,0,0,0,0,64.0,0.00016950274779845064,1.0,111879
0.02347874641418457,0.017701387405395508,4,3.0,1,1,4,4,4,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.25,10
0.024302244186401367,0.03180885314941406,7,7.0,1,1,4,4,4,3,0,0,0,0,3,0.0,0.0,0.0,12
0.026894569396972656,0.027486085891723633,1,2.0,223,12,6,6,72,1,0,0,0,0,1,1.0,2.648480434350791e-06,1.0,302
0.022427797317504883,0.021804332733154297,0,0.0,1,1,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,9
0.02278423309326172,0.03488969802856445,21,19.0,1,1,4,4,4,4,0,0,0,0,4,2.0,5.296960868701582e-06,0.09523809523809523,13
0.023072004318237305,0.033200740814208984,2,20.0,223,35,8,8,280,7,0,0,0,0,7,18.0,4.7672647818314245e-05,9.0,518
0.02227044105529785,0.02277207374572754,0,2.0,1,1,12,12,12,1,0,0,0,0,1,2.0,5.296960868701582e-06,0.0,26
0.024206876754760742,0.025358915328979492,142,79.0,1,1,6,6,6,6,0,0,0,0,6,63.0,0.00016685426736409985,0.44366197183098594,19
0.02542853355407715,0.18811392784118652,3,5.0,1,1,109862,1473,1473,3,0,1,0,2,0,2.0,5.296960868701582e-06,0.6666666666666666,111339
0.02596139907836914,0.023598909378051758,0,0.0,1,1,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,9
0.024087905883789062,0.035212039947509766,12,8.0,1,1,4,4,4,3,0,0,0,0,3,4.0,1.0593921737403165e-05,0.3333333333333333,12
0.023737668991088867,0.028856754302978516,2,9.0,223,40,6,6,240,3,0,0,0,0,3,7.0,1.853936304045554e-05,3.5,472
0.02601790428161621,0.032590389251708984,1,3.0,1,1,12,12,12,2,0,0,0,0,2,2.0,5.296960868701582e-06,2.0,27
0.025592565536499023,0.11014032363891602,16,48.0,1,1,109784,1330,1330,10,0,6,0,2,2,32.0,8.475137389922532e-05,2.0,111125
0.02594161033630371,0.04154491424560547,23,38.0,1,1,4,4,4,4,0,0,0,0,4,15.0,3.972720651526187e-05,0.6521739130434783,13
0.022705078125,0.04224419593811035,0,2.0,223,5,6,6,30,2,0,0,0,0,2,2.0,5.296960868701582e-06,0.0,261
0.02503228187561035,0.13955235481262207,21,100.0,1,1,111656,1324,1324,21,0,4,7,10,0,79.0,0.0002092299543137125,3.761904761904762,113002
0.023030757904052734,0.03423738479614258,0,0.0,223,16,12,12,192,0,0,0,0,0,0,0.0,0.0,0.0,427
0.023834228515625,0.043587684631347656,0,0.0,1,0,35294,1094,0,0,0,0,0,0,0,0.0,0.0,0.0,35295
0.024155855178833008,0.10759115219116211,5,0.0,223,27,972659,0,0,0,0,0,0,0,0,5.0,1.3242402171753956e-05,1.0,972882
0.024617671966552734,0.02202463150024414,0,0.0,1,1,6,6,6,0,0,0,0,0,0,0.0,0.0,0.0,13
0.023958683013916016,0.025128602981567383,0,0.0,1,0,12,12,0,0,0,0,0,0,0,0.0,0.0,0.0,13
0.022311925888061523,0.021325111389160156,0,1.0,1,1,12,12,12,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.0,26
0.02351999282836914,0.03942584991455078,1,4.0,1,1,8,8,8,1,0,0,0,0,1,3.0,7.945441303052374e-06,3.0,18
0.024201154708862305,0.14021921157836914,0,0.0,1,0,106820,2444,0,0,0,0,0,0,0,0.0,0.0,0.0,106821
0.023336172103881836,0.044878482818603516,60,63.0,223,118,6,6,708,17,0,0,0,0,17,3.0,7.945441303052374e-06,0.05,954
0.023954153060913086,0.025325536727905273,32,117.0,1,1,12,12,12,12,0,0,0,0,12,85.0,0.00022512083691981726,2.65625,37
0.02426910400390625,0.0417172908782959,34,25.0,1,1,6,6,6,5,0,0,0,0,5,9.0,2.3836323909157122e-05,0.2647058823529412,18
0.02499699592590332,0.03694796562194824,0,0.0,1,1,8,8,8,0,0,0,0,0,0,0.0,0.0,0.0,17
0.025603771209716797,0.03574514389038086,1,10.0,1,1,12,12,12,3,0,0,0,0,3,9.0,2.3836323909157122e-05,9.0,28
0.026693344116210938,0.05917954444885254,0,0.0,1,0,35294,526,0,0,0,0,0,0,0,0.0,0.0,0.0,35295
0.025542497634887695,0.027989625930786133,4,3.0,1,1,6,6,6,1,0,0,0,0,1,1.0,2.648480434350791e-06,0.25,14
0.026759624481201172,0.05519914627075195,6,17.0,1,1,6,6,6,5,0,0,0,0,5,11.0,2.9133284777858705e-05,1.8333333333333333,18
0.022841215133666992,0.15488433837890625,0,0.0,1,1,109862,1083,1083,0,0,0,0,0,0,0.0,0.0,0.0,110946
0.023527145385742188,0.046387434005737305,0,0.0,223,2,6,6,12,0,0,0,0,0,0,0.0,0.0,0.0,241
0.02760171890258789,0.05433154106140137,0,0.0,1,0,6,6,0,0,0,0,0,0,0,0.0,0.0,0.0,7
0.02678704261779785,0.10934019088745117,1,8.0,1,1,35294,1211,1211,1,0,1,0,0,0,7.0,1.853936304045554e-05,7.0,36507
0.025995254516601562,0.060659170150756836,0,0.0,1,0,4,4,0,0,0,0,0,0,0,0.0,0.0,0.0,5
0.026979923248291016,0.06305766105651855,5,13.0,1,1,28625,825,825,4,0,0,0,3,1,8.0,2.118784347480633e-05,1.6,29455
0.03269505500793457,0.10645008087158203,0,0.0,1,1,35294,1308,1308,0,0,0,0,0,0,0.0,0.0,0.0,36603
0.027663230895996094,0.04793286323547363,0,0.0,1,1,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,9
0.02574300765991211,0.2357349395751953,0,0.0,1,1,109862,1130,1130,0,0,0,0,0,0,0.0,0.0,0.0,110993
0.02587604522705078,0.24908852577209473,0,0.0,1,0,111617,1528,0,0,0,0,0,0,0,0.0,0.0,0.0,111618
0.029186725616455078,0.10105323791503906,0,0.0,1,1,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,9
0.029775619506835938,0.049683332443237305,0,0.0,1,1,6,6,6,0,0,0,0,0,0,0.0,0.0,0.0,13
0.029371023178100586,0.08365964889526367,3,12.0,1,1,12,12,12,4,0,0,0,0,4,9.0,2.3836323909157122e-05,3.0,29
