true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122103,29,5.405465857959269e-05,0.0002375608237626358
6933,7040,107,0.00019944305062125577,0.015433434299725948
2748,2828,80,0.00014911629952991086,0.02911208151382824
454,327,127,0.0002367221255037335,0.27973568281938327
4729,4639,90,0.00016775583697114973,0.019031507718333687
5387,5323,64,0.00011929303962392869,0.011880452942268424
6241,6156,85,0.0001584360682505303,0.013619612241627945
122527,122560,33,6.151047355608824e-05,0.00026932839292564086
119674,119691,17,3.168721365010606e-05,0.00014205257616524894
373,455,82,0.00015284420701815863,0.21983914209115282
6933,7094,161,0.0003000965528039456,0.0232222703014568
48691,48974,283,0.0005274989095870597,0.005812162411944713
6487,6428,59,0.00010997327090330926,0.009095113303530137
5970,5932,38,7.083024227670766e-05,0.006365159128978224
9877,9940,63,0.0001174290858798048,0.0063784549964564135
1174,1177,3,5.5918612323716575e-06,0.002555366269165247
2097,2034,63,0.0001174290858798048,0.030042918454935622
10194,10152,42,7.82860572532032e-05,0.004120070629782225
9369,9321,48,8.946977971794652e-05,0.005123278898495036
123955,123832,123,0.00022926631052723795,0.0009922955911419466
2597,2699,102,0.00019012328190063635,0.03927608779360801
3635,3490,145,0.00027027329289796344,0.039889958734525444
3771,3731,40,7.455814976495543e-05,0.010607265977194379
6741,6590,151,0.00028145701536270675,0.022400237353508382
114847,114742,105,0.000195715143133008,0.0009142598413541494
1987,1877,110,0.00020503491185362745,0.055359838953195774
216243,216341,98,0.0001826674669241408,0.0004531938606105169
2814,3072,258,0.0004809000659839625,0.09168443496801706
83310,83311,1,1.8639537441238858e-06,1.2003360941063498e-05
1019,1091,72,0.00013420466957691978,0.07065750736015702
123898,123872,26,4.846279734722103e-05,0.00020985003793442994
2413,2424,11,2.0503491185362745e-05,0.0045586406962287605
4811,4821,10,1.8639537441238857e-05,0.0020785699438786117
11358,11194,164,0.00030568841403631725,0.014439161824264836
6570,6518,52,9.692559469444206e-05,0.007914764079147641
1538,1524,14,2.6095352417734403e-05,0.009102730819245773
2997,3122,125,0.00023299421801548572,0.04170837504170837
218507,218554,47,8.760582597382263e-05,0.0002150960838783197
216243,216273,30,5.5918612323716575e-05,0.0001387328144726072
49377,49499,122,0.00022740235678311407,0.002470785993478745
3024,2916,108,0.00020130700436537966,0.03571428571428571
9853,9966,113,0.0002106267730859991,0.011468588247234344
121831,122039,208,0.00038770237877776823,0.001707283039620458
6733,6716,17,3.168721365010606e-05,0.0025248774691816428
5046,5169,123,0.00022926631052723795,0.02437574316290131
4752,4871,119,0.00022181049555074241,0.025042087542087543
4838,4856,18,3.3551167394229945e-05,0.0037205456800330715
119049,119023,26,4.846279734722103e-05,0.00021839746658938757
5740,5726,14,2.6095352417734403e-05,0.0024390243902439024
5139,5031,108,0.00020130700436537966,0.021015761821366025
2879,2869,10,1.8639537441238857e-05,0.0034734282737061478
3137,3033,104,0.00019385118938888412,0.03315269365635958
5478,5521,43,8.01500109973271e-05,0.007849580138736765
3810,3777,33,6.151047355608824e-05,0.008661417322834646
6620,6549,71,0.0001323407158327959,0.010725075528700907
135494,135494,0,0.0,0.0
123948,123862,86,0.0001603000219946542,0.0006938393519863169
121500,121701,201,0.00037465470256890104,0.0016543209876543209
2142,2347,205,0.0003821105175453966,0.09570494864612512
80500,80476,24,4.473488985897326e-05,0.0002981366459627329
121025,121024,1,1.8639537441238858e-06,8.262755629002272e-06
124767,124803,36,6.710233478845989e-05,0.0002885378345235519
79597,79610,13,2.4231398673610515e-05,0.00016332273829415683
