true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122437,363,0.0006766152091169706,0.0029736061733047167
6933,6602,331,0.0006169686893050062,0.04774267993653541
2748,3182,434,0.0008089559249497665,0.1579330422125182
454,2236,1782,0.0033215655720287645,3.9251101321585904
4729,5433,704,0.0013122234358632157,0.1488686825967435
5387,5852,465,0.0008667384910176069,0.08631891590866901
6241,5729,512,0.0009543443169914295,0.08203813491427656
122527,122309,218,0.00040634191621900713,0.0017791996865996883
119674,120099,425,0.0007921803412526514,0.003551314404131223
373,130,243,0.00045294075982210425,0.6514745308310992
6933,7560,627,0.0011686989975656765,0.09043704024231934
48691,48306,385,0.000717622191487696,0.007907005401408885
6487,6763,276,0.0005144512333781925,0.04254663172498844
5970,4945,1025,0.001910552587726983,0.17169179229480738
9877,10187,310,0.0005778256606784046,0.03138604839526172
1174,0,1174,0.002188281695601442,1.0
2097,1988,109,0.00020317095810950357,0.051979017644253694
10194,10530,336,0.0006262884580256256,0.0329605650382578
9369,9025,344,0.0006412000879786168,0.0367168321058811
123955,123560,395,0.0007362617289289349,0.0031866403130168205
2597,2359,238,0.00044362099110148483,0.09164420485175202
3635,4022,387,0.0007213500989759438,0.10646492434662999
3771,4115,344,0.0006412000879786168,0.09122248740387165
6741,6160,581,0.0010829571253359778,0.08618899273104881
114847,115227,380,0.0007083024227670766,0.0033087499020435884
1987,1773,214,0.00039888610124251154,0.10770005032712632
216243,217151,908,0.0016924699996644884,0.0041989798513709115
2814,3620,806,0.001502346717763852,0.28642501776830137
83310,84211,901,0.001679422323455621,0.010815028207898212
1019,810,209,0.0003895663325218921,0.20510304219823355
123898,124163,265,0.0004939477421928298,0.002138856155870151
2413,3236,823,0.001534033931413958,0.3410692084542064
4811,5160,349,0.0006505198566992362,0.07254209104136354
11358,11651,293,0.0005461384470282985,0.02579679521042437
6570,4848,1722,0.0032097283473813314,0.26210045662100456
1538,2025,487,0.0009077454733883324,0.3166449934980494
2997,2565,432,0.0008052280174615186,0.14414414414414414
218507,218782,275,0.0005125872796340686,0.0012585409163093173
216243,216365,122,0.00022740235678311407,0.0005641801121886027
49377,48135,1242,0.0023150305502018663,0.02515341150738198
3024,3287,263,0.000490219834704582,0.08697089947089948
9853,9736,117,0.00021808258806249465,0.011874555972800162
121831,122155,324,0.000603921013096139,0.0026594216578703284
6733,7111,378,0.0007045745152788288,0.056141393138274175
5046,4978,68,0.00012674885460042424,0.013476020610384463
4752,4291,461,0.0008592826760411114,0.09701178451178451
4838,4122,716,0.0013345908807927023,0.14799503927242663
119049,118665,384,0.0007157582377435722,0.0032255625834740316
5740,5287,453,0.0008443710460881203,0.07891986062717771
5139,4049,1090,0.0020317095810950354,0.21210352208600894
2879,3461,582,0.0010848210790801015,0.20215352552969781
3137,3276,139,0.00025908957043322014,0.044309850175326744
5478,5757,279,0.0005200430946105642,0.05093099671412924
3810,3912,102,0.00019012328190063635,0.026771653543307086
6620,7057,437,0.0008145477861821382,0.06601208459214501
135494,135745,251,0.00046785238977509533,0.0018524805526443976
123948,123184,764,0.0014240606605106488,0.006163875173459838
121500,121681,181,0.00033737562768642335,0.0014897119341563787
2142,2200,58,0.00010810931715918538,0.02707749766573296
80500,80489,11,2.0503491185362745e-05,0.00013664596273291925
121025,120465,560,0.001043814096709376,0.004627143152241273
124767,124553,214,0.00039888610124251154,0.0017151971274455586
79597,80358,761,0.001418468799278277,0.009560661833988718
119538,118256,1282,0.0023895886999668217,0.010724623132393047
123624,123513,111,0.00020689886559775134,0.0008978839060376626
5045,4040,1005,0.0018732735128445053,0.199207135777998
118038,118740,702,0.001308495528374968,0.005947237330351243
1796,1,1795,0.003345796970702375,0.9994432071269488
184124,183961,163,0.00030382446029219337,0.0008852729682170711
5389,5140,249,0.00046412448228684756,0.04620523288179625
1996,1708,288,0.0005368186783076791,0.14428857715430862
6588,7076,488,0.0009096094271324563,0.07407407407407407
495,301,194,0.00036160702636003385,0.39191919191919194
83453,82709,744,0.001386781585628171,0.008915197775993674
5207,4474,733,0.0013662780944428082,0.14077203764163626
123863,123848,15,2.7959306161858287e-05,0.00012110153960424017
120740,120312,428,0.0007977722024850231,0.0035448070233559713
7304,8433,1129,0.0021044037771158672,0.15457283680175246
77066,75925,1141,0.002126771222045354,0.014805491396984402
184124,183496,628,0.0011705629513098002,0.0034107449327627033
11398,11608,210,0.000391430286266016,0.018424284962274082
80556,80419,137,0.00025536166294497237,0.0017006802721088435
1691,2030,339,0.0006318803192579973,0.20047309284447073
5763,5021,742,0.0013830536781399233,0.12875238591011626
182814,182627,187,0.00034855935015116666,0.001022897589900117
2693,3198,505,0.0009412966407825623,0.18752320831786112
9965,9601,364,0.0006784791628610945,0.03652784746613146
122955,122764,191,0.0003560151651276622,0.0015534138505957464
83511,83547,36,6.710233478845989e-05,0.0004310809354456299
122543,121900,643,0.0011985222574716586,0.0052471377394057595
10149,9462,687,0.0012805362222131095,0.06769139816730713
184922,184920,2,3.7279074882477715e-06,1.0815370804988049e-05
9369,9520,151,0.00028145701536270675,0.01611698153484897
2898,2910,12,2.236744492948663e-05,0.004140786749482402
7009,6866,143,0.0002665453854097157,0.020402339848765872
5871,5963,92,0.0001714837444593975,0.015670243570090274
3055,2740,315,0.000587145429399024,0.10310965630114566
83511,84035,524,0.0009767117619209162,0.006274622504819725
2467,2156,311,0.0005796896144225285,0.12606404539927038
2936,2379,557,0.0010382222354770043,0.18971389645776568
123898,124131,233,0.0004343012223808654,0.001880579186104699
964,1573,609,0.0011351478301714465,0.6317427385892116
2106,1836,270,0.0005032675109134492,0.1282051282051282
215329,215079,250,0.00046598843603097145,0.001161014076134659
77389,77329,60,0.00011183722464743315,0.0007753039837703033
2952,3147,195,0.00036347098010415773,0.06605691056910569
2690,1927,763,0.0014221967067665248,0.28364312267657993
184124,185165,1041,0.0019403758476329652,0.005653798527079577
670,548,122,0.00022740235678311407,0.18208955223880596
9537,7255,2282,0.004253542444090708,0.23927859914019084
5053,4129,924,0.0017222932595704705,0.1828616663368296
79294,79002,292,0.0005442744932841747,0.0036824980452493253
7495,7634,139,0.00025908957043322014,0.018545697131420947
3144,3454,310,0.0005778256606784046,0.09860050890585242
10131,9646,485,0.0009040175659000846,0.04787286546244201
2045,1118,927,0.001727885120802842,0.45330073349633254
3229,2194,1035,0.0019291921251682219,0.3205326726540725
215329,215734,405,0.0007549012663701737,0.0018808428033381477
120769,120653,116,0.00021621863431837076,0.0009605113895122092
4780,4918,138,0.00025722561668909625,0.02887029288702929
216243,216637,394,0.000734397775184811,0.0018220242967402413
5158,4836,322,0.0006001931056078912,0.06242729740209384
3063,3547,484,0.0009021536121559607,0.15801501795625203
5826,6499,673,0.0012544408697953752,0.11551664950223138
81149,81381,232,0.0004324372686367415,0.002858938495853307
123530,123188,342,0.000637472180490369,0.0027685582449607383
10171,9978,193,0.00035974307261590996,0.01897551863140301
5033,5137,104,0.00019385118938888412,0.020663620107291874
83453,83569,116,0.00021621863431837076,0.001390003954321594
218507,218283,224,0.00041752563868375044,0.0010251387827392257
3804,3529,275,0.0005125872796340686,0.07229232386961093
939,2187,1248,0.0023262142726666094,1.329073482428115
183568,183678,110,0.00020503491185362745,0.0005992329817833174
5589,5940,351,0.000654247764187484,0.06280193236714976
184922,185692,770,0.001435244382975392,0.004163917759920399
117183,117111,72,0.00013420466957691978,0.0006144235938660045
562,652,90,0.00016775583697114973,0.1601423487544484
5395,6878,1483,0.0027642434025357226,0.2748841519925857
3746,3969,223,0.00041566168493962656,0.0595301655098772
7161,6011,1150,0.0021435468057424685,0.16059209607596706
2727,2502,225,0.00041938959242787433,0.08250825082508251
5712,5531,181,0.00033737562768642335,0.03168767507002801
7277,7024,253,0.0004715802972633431,0.03476707434382301
4052,5086,1034,0.0019273281714240979,0.255182625863771
7146,7370,224,0.00041752563868375044,0.0313462076686258
123046,122607,439,0.0008182756936703859,0.0035677714025648946
39785,40494,709,0.001321543204583835,0.017820786728666584
4722,5011,289,0.000538682632051803,0.06120288013553579
1994,2066,72,0.00013420466957691978,0.03610832497492478
6945,7378,433,0.0008070919712056425,0.06234701223902088
6033,7020,987,0.0018397223454502754,0.1636001989060169
4043,3794,249,0.00046412448228684756,0.061587929755132324
1663,1731,68,0.00012674885460042424,0.040889957907396274
4253,3684,569,0.001060589680406491,0.13378791441335527
3130,3039,91,0.00016961979071527362,0.029073482428115017
114847,115482,635,0.0011836106275186675,0.0055290952310465226
39785,39602,183,0.0003411035351746711,0.004599723513887144
79315,79656,341,0.0006356082267462451,0.00429931286641871
120457,120364,93,0.00017334769820352139,0.0007720597391600322
4157,4650,493,0.0009189291958530757,0.11859514072648544
5469,5500,31,5.778256606784046e-05,0.005668312305723167
1950,1557,393,0.0007325338214406871,0.20153846153846153
4825,4486,339,0.0006318803192579973,0.07025906735751296
1159,1537,378,0.0007045745152788288,0.3261432269197584
77921,78048,127,0.0002367221255037335,0.0016298558796730021
7648,7370,278,0.0005181791408664403,0.03634937238493724
215329,215523,194,0.00036160702636003385,0.0009009469230804954
82939,82976,37,6.896628853258377e-05,0.00044611099723893466
3905,4404,499,0.000930112918317819,0.12778489116517286
6290,6318,28,5.2190704835468805e-05,0.004451510333863275
2897,2947,50,9.319768720619429e-05,0.01725923369002416
3698,3486,212,0.00039515819375426377,0.057328285559762035
5804,5621,183,0.0003411035351746711,0.03152997932460372
5120,4471,649,0.001209705979936402,0.1267578125
5139,4910,229,0.00042684540740436987,0.04456119867678537
1663,1945,282,0.0005256349558429358,0.16957306073361395
1356,1201,155,0.0002889128303392023,0.11430678466076696
124795,125632,837,0.0015601292838316925,0.006706999479145799
2971,2812,159,0.00029636864531569783,0.05351733423089869
83179,83145,34,6.337442730021212e-05,0.00040875701799733105
118495,118741,246,0.0004585326210544759,0.0020760369635849612
4261,3274,987,0.0018397223454502754,0.2316357662520535
120200,119672,528,0.0009841675768974118,0.004392678868552413
2874,2714,160,0.0002982325990598217,0.055671537926235214
39785,40350,565,0.0010531338654299954,0.014201332160361945
122543,122990,447,0.000833187323623377,0.003647699174983475
118808,119291,483,0.0009002896584118369,0.004065382802504882
5069,4196,873,0.0016272316186201523,0.17222331820871967
673,573,100,0.00018639537441238858,0.1485884101040119
114847,115288,441,0.0008220036011586337,0.0038398913336874277
1132,296,836,0.0015582653300875685,0.7385159010600707
6735,7384,649,0.001209705979936402,0.09636228656273199
5771,5456,315,0.000587145429399024,0.05458326113325247
123530,123871,341,0.0006356082267462451,0.0027604630454140695
6523,5518,1005,0.0018732735128445053,0.15407021309213553
3522,3625,103,0.00019198723564476023,0.029244747302668937
6554,8235,1681,0.003133306243872252,0.25648458956362524
6231,6863,632,0.0011780187662862958,0.10142834216016691
2971,2643,328,0.0006113768280726345,0.11040053853921239
5624,5895,271,0.0005051314646575731,0.04818634423897582
