true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122332,258,0.0004809000659839625,0.0021134721562331045
6933,7313,380,0.0007083024227670766,0.05481032741958748
2748,3466,718,0.00133831878828095,0.2612809315866084
454,266,188,0.00035042330389529054,0.41409691629955947
4729,4941,212,0.00039515819375426377,0.04482977373651935
5387,5217,170,0.0003168721365010606,0.0315574531279005
6241,7469,1228,0.0022889351977841317,0.19676333920846018
122527,122405,122,0.00022740235678311407,0.0009956989071796421
119674,120335,661,0.0012320734248658885,0.005523338402660561
373,0,373,0.0006952547465582094,1.0
6933,7971,1038,0.0019347839864005934,0.14971873647771528
48691,48226,465,0.0008667384910176069,0.009550019510792549
6487,6844,357,0.0006654314866522273,0.05503314320949591
5970,5158,812,0.0015135304402285952,0.1360134003350084
9877,9311,566,0.0010549978191741194,0.057304849650703656
1174,0,1174,0.002188281695601442,1.0
2097,3091,994,0.0018527700216591425,0.47401049117787314
10194,9983,211,0.0003932942400101399,0.020698450068667842
9369,8805,564,0.0010512699116858716,0.06019852705731668
123955,124746,791,0.0014743874116019938,0.0063813480698640635
2597,1750,847,0.0015787688212729313,0.3261455525606469
3635,4131,496,0.0009245210570854474,0.13645116918844566
3771,2417,1354,0.0025237933695437414,0.3590559533280297
6741,5273,1468,0.0027362840963738645,0.21777184394006824
114847,114455,392,0.0007306698676965632,0.0034132367410554913
1987,1042,945,0.001761436288197072,0.47559134373427275
216243,216971,728,0.001356958325722189,0.0033665829645352684
2814,3500,686,0.0012786722684689858,0.24378109452736318
83310,83370,60,0.00011183722464743315,0.0007202016564638099
1019,1339,320,0.0005964651981196434,0.3140333660451423
123898,124491,593,0.0011053245702654644,0.004786195095966036
2413,3097,684,0.001274944360980738,0.28346456692913385
4811,5818,1007,0.001877001420332753,0.20931199334857617
11358,11137,221,0.0004119337774513788,0.019457650994893466
6570,6373,197,0.0003671988875924055,0.029984779299847792
1538,2471,933,0.0017390688432675854,0.606631989596879
2997,3517,520,0.0009692559469444206,0.17350684017350684
218507,217823,684,0.001274944360980738,0.003130334497292993
216243,214957,1286,0.0023970445149433172,0.0059470133137257625
49377,49269,108,0.00020130700436537966,0.002187253174554955
3024,3223,199,0.00037092679508065327,0.06580687830687831
9853,9211,642,0.0011966583037275346,0.06515781995331371
121831,123392,1561,0.002909631794577386,0.01281283088869007
6733,5702,1031,0.0019217363101917263,0.15312639239566314
5046,3431,1615,0.0030102852967600754,0.320055489496631
4752,5235,483,0.0009002896584118369,0.10164141414141414
4838,6091,1253,0.002335534041387229,0.2589913187267466
119049,119330,281,0.0005237710020988119,0.0023603726196776116
5740,3967,1773,0.0033047899883316494,0.3088850174216028
5139,3920,1219,0.0022721596140870166,0.23720568203930725
