true_counts,estimates,absolute_error,normalized_error,relative_error
122074,121730,344,0.0006412000879786168,0.0028179628749774727
6933,6975,42,7.82860572532032e-05,0.006057983556901774
2748,2898,150,0.00027959306161858287,0.05458515283842795
454,261,193,0.00035974307261590996,0.4251101321585903
4729,4574,155,0.0002889128303392023,0.03277648551490801
5387,5673,286,0.0005330907708194313,0.05309077408576202
6241,6187,54,0.00010065350218268983,0.008652459541740105
122527,122667,140,0.000260953524177344,0.0011426053033209006
119674,119498,176,0.0003280558589658039,0.00147066196500493
373,222,151,0.00028145701536270675,0.40482573726541554
6933,6831,102,0.00019012328190063635,0.014712245781047165
48691,48862,171,0.0003187360902451845,0.0035119426588075824
6487,6529,42,7.82860572532032e-05,0.006474487436411284
5970,5764,206,0.00038397447128952046,0.03450586264656617
9877,10058,181,0.00033737562768642335,0.018325402450136682
1174,1486,312,0.0005815535681666524,0.2657580919931857
2097,1915,182,0.00033923958143054723,0.08679065331425846
10194,10165,29,5.405465857959269e-05,0.0028448106729448697
9369,9264,105,0.000195715143133008,0.011207172590457892
123955,123867,88,0.00016402792948290196,0.0007099350570771651
2597,2508,89,0.00016589188322702585,0.034270311898344244
3635,3448,187,0.00034855935015116666,0.05144429160935351
3771,3443,328,0.0006113768280726345,0.0869795810129939
6741,6948,207,0.00038583842503364435,0.030707610146862484
114847,114930,83,0.0001547081607622825,0.0007227006364989943
1987,1932,55,0.00010251745592681373,0.027679919476597887
216243,216088,155,0.0002889128303392023,0.0007167862081084705
2814,2911,97,0.00018080351318001692,0.03447050461975835
83310,83340,30,5.5918612323716575e-05,0.00036010082823190496
1019,854,165,0.00030755236778044114,0.1619234543670265
123898,123601,297,0.0005535942620047941,0.0023971331256356036
2413,2364,49,9.13337334620704e-05,0.020306672192291753
4811,4845,34,6.337442730021212e-05,0.007067137809187279
11358,11299,59,0.00010997327090330926,0.005194576509948935
6570,6436,134,0.0002497698017126007,0.020395738203957382
1538,1366,172,0.0003206000439893084,0.11183355006501951
2997,2730,267,0.0004976756496810775,0.0890890890890891
218507,218329,178,0.0003317837664540517,0.0008146192112838491
216243,215874,369,0.0006877989315817139,0.0017064136180130686
49377,49469,92,0.0001714837444593975,0.0018632156672134799
3024,3127,103,0.00019198723564476023,0.03406084656084656
9853,9955,102,0.00019012328190063635,0.010352177001928347
121831,121744,87,0.00016216397573877808,0.000714103963687403
6733,6614,119,0.00022181049555074241,0.0176741422842715
5046,5061,15,2.7959306161858287e-05,0.002972651605231867
4752,4971,219,0.000408205869963131,0.046085858585858584
4838,4918,80,0.00014911629952991086,0.01653575857792476
119049,119439,390,0.0007269419602083155,0.0032759619988408134
5740,5671,69,0.00012861280834454813,0.012020905923344948
5139,5108,31,5.778256606784046e-05,0.0060323020042809886
2879,2879,0,0.0,0.0
3137,3439,302,0.0005629140307254135,0.09627032196365955
5478,5786,308,0.0005740977531901568,0.05622489959839357
3810,3878,68,0.00012674885460042424,0.01784776902887139
6620,6972,352,0.0006561117179316078,0.053172205438066465
135494,135544,50,9.319768720619429e-05,0.0003690200304072505
123948,123980,32,5.9646519811964344e-05,0.00025817278213444345
121500,122065,565,0.0010531338654299954,0.0046502057613168725
2142,1582,560,0.001043814096709376,0.26143790849673204
80500,80440,60,0.00011183722464743315,0.0007453416149068323
121025,120965,60,0.00011183722464743315,0.0004957653377401363
124767,124664,103,0.00019198723564476023,0.0008255388043312735
79597,79592,5,9.319768720619429e-06,6.281643780544492e-05
119538,119569,31,5.778256606784046e-05,0.00025933176061168834
123624,123637,13,2.4231398673610515e-05,0.00010515757458098751
5045,4923,122,0.00022740235678311407,0.024182358771060456
118038,118162,124,0.00023113026427136184,0.0010505091580677408
1796,1364,432,0.0008052280174615186,0.24053452115812918
184124,183711,413,0.0007698128963231648,0.0022430535943168736
5389,5456,67,0.00012488490085630036,0.012432733345704213
1996,1799,197,0.0003671988875924055,0.09869739478957916
6588,6550,38,7.083024227670766e-05,0.005768063145112325
495,483,12,2.236744492948663e-05,0.024242424242424242
83453,83483,30,5.5918612323716575e-05,0.0003594837812900675
5207,5465,258,0.0004809000659839625,0.04954868446322259
123863,123870,7,1.3047676208867201e-05,5.651405181531208e-05
120740,120575,165,0.00030755236778044114,0.0013665728010601292
7304,7623,319,0.0005946012443755195,0.043674698795180725
77066,76986,80,0.00014911629952991086,0.0010380712635922457
184124,184187,63,0.0001174290858798048,0.0003421607177771502
11398,11241,157,0.00029264073782745006,0.01377434637655729
80556,80590,34,6.337442730021212e-05,0.0004220666368737276
1691,1814,123,0.00022926631052723795,0.07273802483737433
5763,5868,105,0.000195715143133008,0.018219677251431546
182814,182783,31,5.778256606784046e-05,0.00016957125821873598
2693,2595,98,0.0001826674669241408,0.0363906424062384
9965,9958,7,1.3047676208867201e-05,0.0007024586051179127
122955,123078,123,0.00022926631052723795,0.0010003659875564232
83511,83588,77,0.0001435244382975392,0.0009220342230364862
122543,122546,3,5.5918612323716575e-06,2.448120251666762e-05
10149,10269,120,0.0002236744492948663,0.01182382500738989
184922,184742,180,0.00033551167394229946,0.0009733833724489244
9369,9378,9,1.6775583697114972e-05,0.0009606147934678194
2898,2687,211,0.0003932942400101399,0.0728088336783989
7009,6906,103,0.00019198723564476023,0.014695391639320873
5871,5580,291,0.0005424105395400508,0.049565661727133364
3055,2911,144,0.00026840933915383956,0.047135842880523734
83511,83424,87,0.00016216397573877808,0.001041778927326939
2467,2205,262,0.0004883558809604581,0.10620186461289015
2936,3279,343,0.0006393361342344929,0.11682561307901908
123898,123922,24,4.473488985897326e-05,0.00019370772732408916
964,1218,254,0.000473444251007467,0.26348547717842324
2106,2065,41,7.642210350907931e-05,0.0194681861348528
215329,215473,144,0.00026840933915383956,0.0006687441078535636
77389,77456,67,0.00012488490085630036,0.000865756115210172
2952,3044,92,0.0001714837444593975,0.03116531165311653
2690,2852,162,0.0003019605065480695,0.06022304832713755
184124,184215,91,0.00016961979071527362,0.000494232147900328
670,457,213,0.00039702214749838766,0.31791044776119404
9537,9475,62,0.00011556513213568092,0.006500996120373283
5053,5377,324,0.000603921013096139,0.06412032455966753
79294,79289,5,9.319768720619429e-06,6.305647337755693e-05
7495,7642,147,0.0002740012003862112,0.01961307538358906
3144,3212,68,0.00012674885460042424,0.021628498727735368
10131,9983,148,0.0002758651541303351,0.01460862698647715
2045,1567,478,0.0008909698896912174,0.23374083129584353
3229,2943,286,0.0005330907708194313,0.08857231340972438
215329,215118,211,0.0003932942400101399,0.0009798958802576523
120769,120796,27,5.0326751091344914e-05,0.00022356730617956595
4780,4631,149,0.000277729107874459,0.03117154811715481
216243,216212,31,5.778256606784046e-05,0.0001433572416216941
5158,5338,180,0.00033551167394229946,0.03489724699495929
3063,2748,315,0.000587145429399024,0.10284035259549461
5826,5832,6,1.1183722464743315e-05,0.0010298661174047373
81149,81425,276,0.0005144512333781925,0.003401150969204796
123530,123409,121,0.00022553840303899018,0.0009795191451469278
10171,10223,52,9.692559469444206e-05,0.005112574968046407
5033,4851,182,0.00033923958143054723,0.03616133518776078
83453,83621,168,0.0003131442290128128,0.002013109175224378
218507,218524,17,3.168721365010606e-05,7.780071119003053e-05
3804,3994,190,0.0003541512113835383,0.049947423764458466
939,719,220,0.0004100698237072549,0.23429179978700745
183568,183285,283,0.0005274989095870597,0.0015416630349516256
5589,5531,58,0.00010810931715918538,0.010377527285739846
184922,184704,218,0.00040634191621900713,0.0011788754177436973
117183,117137,46,8.574187222969875e-05,0.0003925484071921695
562,457,105,0.000195715143133008,0.18683274021352314
5395,5321,74,0.00013793257706516755,0.013716404077849862
3746,3663,83,0.0001547081607622825,0.02215696743192739
7161,6854,307,0.0005722337994460329,0.04287110738723642
2727,2674,53,9.878954843856594e-05,0.019435276861019434
5712,5728,16,2.9823259905982172e-05,0.0028011204481792717
7277,7373,96,0.00017893955943589304,0.013192249553387384
4052,3890,162,0.0003019605065480695,0.03998025666337611
7146,7039,107,0.00019944305062125577,0.014973411698852504
123046,122527,519,0.0009673919932002967,0.004217934756107472
39785,39764,21,3.91430286266016e-05,0.0005278371245444263
4722,4543,179,0.0003336477201981756,0.037907666243117324
1994,2013,19,3.541512113835383e-05,0.009528585757271816
6945,6762,183,0.0003411035351746711,0.026349892008639308
6033,5870,163,0.00030382446029219337,0.02701806729653572
4043,3829,214,0.00039888610124251154,0.05293099183774425
1663,1620,43,8.01500109973271e-05,0.025856885147324114
4253,4362,109,0.00020317095810950357,0.025628967787444158
3130,3244,114,0.000212490726830123,0.03642172523961661
114847,114686,161,0.0003000965528039456,0.0014018650900763626
39785,39624,161,0.0003000965528039456,0.004046751288173935
79315,79261,54,0.00010065350218268983,0.0006808296034797957
120457,120381,76,0.00014166048455341532,0.0006309305395286285
