true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,47115.0,125,123,1396,947,116481,15635,527,2010,3141,9957,0,0,74959.0,0.13972010870578236,0.6140455789111523,133637
6933,3790.0,1,1,33606,3001,3001,678,106,308,119,133,0,12,3143.0,0.005858406617781373,0.45333910284148277,37286
2748,1366.0,1,1,12246,1902,1902,280,0,76,111,83,0,10,1382.0,0.00257598407437921,0.5029112081513828,14429
454,-73.0,1,1,12246,2070,2070,102,0,19,32,44,0,7,527.0,0.0009823036231532878,1.1607929515418502,14419
4729,2065.0,1,1,33648,3203,3203,575,74,272,73,117,33,6,2664.0,0.0049655727743460314,0.5633326284626771,37427
5387,3366.0,1,1,33648,2845,2845,449,61,163,72,123,24,6,2021.0,0.0037670505168743732,0.37516242806757005,36943
6241,-5063.0,1,1,90037,15915,15915,2578,430,2148,0,0,0,0,11304.0,0.021070133123576404,1.8112481974042622,108531
122527,31809.0,125,123,34656,3633,446859,19620,3145,5714,6374,2616,1412,359,90718.0,0.16909415575943068,0.7403919136190391,501260
119674,-142851.0,125,123,9908,6594,811062,58275,495,39316,18464,0,0,0,262525.0,0.48933445667612313,2.1936677975165866,879370
373,-17.0,1,1,34656,3399,3399,97,13,19,27,24,11,3,390.0,0.0007269419602083155,1.0455764075067024,38153
6933,3441.0,1,1,33648,3407,3407,768,204,278,109,134,37,6,3492.0,0.006508926474480609,0.5036780614452618,37824
48691,-21392.0,4750,1383,12246,1953,2700999,14746,7,3690,3934,5410,0,1705,70083.0,0.13063147024943428,1.4393419728491919,2732741
6487,4298.0,1,1,29238,2056,2056,480,73,89,184,122,0,12,2189.0,0.004080194745887186,0.33744411900724525,31775
5970,3523.0,1,1,12288,1992,1992,547,0,201,182,126,32,6,2447.0,0.004561094811871148,0.4098827470686767,14828
9877,2794.0,1,1,64501,8076,8076,1595,564,0,1031,0,0,0,7083.0,0.013202384369629483,0.7171205831730283,74173
1174,-2330.0,1,1,90037,15915,15915,791,113,678,0,0,0,0,3504.0,0.006531293919410096,2.9846678023850086,106744
2097,-5058.0,125,95,33648,2845,270275,1482,88,314,48,820,149,63,7155.0,0.013336589039206403,3.412017167381974,305530
10194,2707.0,1,1,64501,8483,8483,1697,775,0,922,0,0,0,7487.0,0.013955421682255532,0.73445163821856,74682
9369,-4228.0,1,1,36812,12449,12449,2997,1509,959,529,0,0,0,13597.0,0.025344179058852476,1.4512754829757712,52259
123955,56282.0,125,123,12246,2101,258423,14318,0,4323,5032,4233,0,730,67673.0,0.12613934172609573,0.5459481263361704,285112
2597,1122.0,1,1,33606,2804,2804,322,57,101,60,94,0,10,1475.0,0.0027493317725827316,0.5679630342703119,36733
3635,2319.0,1,1,12246,1953,1953,283,0,65,115,91,0,12,1316.0,0.0024529631272670336,0.36203576341127924,14483
3771,1524.0,1,1,34824,3822,3822,536,59,181,166,113,12,5,2247.0,0.004188304063046371,0.5958631662688942,39183
6741,4386.0,1,1,29280,2079,2079,500,38,81,204,134,37,6,2355.0,0.004389611067411751,0.3493546951490877,31860
114847,-153324.0,125,123,36812,12126,1491498,60332,22656,19212,18464,0,0,0,268171.0,0.49985833951544656,2.335028342055082,1588767
1987,990.0,1,1,12246,1814,1814,222,1,70,66,74,0,11,997.0,0.0018583618828915142,0.501761449421238,14283
216243,-177960.0,125,123,90037,15247,1875381,89666,12577,77089,0,0,0,0,394203.0,0.7347761577948682,1.822963055451506,2055209
2814,1266.0,1,1,12288,1905,1905,314,0,74,123,89,23,5,1548.0,0.0028854003959037752,0.5501066098081023,14508
83310,4957.0,4750,1226,33648,2845,3487970,16854,2275,5524,2256,4277,1812,710,78353.0,0.14604636771333881,0.9404993398151482,3543222
1019,-21.0,1,1,12288,2178,2178,227,0,55,81,62,23,6,1040.0,0.0019385118938888412,1.0206084396467126,14694
123898,58612.0,125,123,12288,1964,241572,13766,2,3176,4598,4216,1403,371,65286.0,0.12169008413887202,0.5269334452533536,267751
2413,852.0,1,1,29280,2600,2600,332,62,41,109,89,25,6,1561.0,0.002909631794577386,0.6469125569830088,32213
4811,2559.0,1,1,34824,3217,3217,513,46,164,174,110,13,6,2252.0,0.0041976238317669905,0.4680939513614633,38555
11358,3944.0,1,1,64501,8076,8076,1652,651,0,1001,0,0,0,7414.0,0.013819353058934489,0.6527557668603627,74230
6570,-1491.0,1,1,9908,6222,6222,1806,26,1170,610,0,0,0,8061.0,0.015025331131382644,1.2269406392694064,17937
1538,472.0,1,1,29238,2491,2491,212,23,26,84,70,0,9,1066.0,0.001986974691236062,0.6931079323797139,31942
2997,-2626.0,1,1,9908,6222,6222,1275,14,810,451,0,0,0,5623.0,0.01048101190320861,1.8762095428762096,17406
218507,-184755.0,125,123,90037,15915,1957545,92047,14958,77089,0,0,0,0,403262.0,0.7516617147628865,1.8455335527008287,2139754
216243,-177960.0,125,123,90037,15247,1875381,89666,12577,77089,0,0,0,0,394203.0,0.7347761577948682,1.822963055451506,2055209
49377,-32625.0,4750,1383,33648,2905,4017615,17424,2224,4756,2289,5489,1840,826,82002.0,0.15284793492564688,1.660732729813476,4073437
3024,1346.0,1,1,12288,2113,2113,342,0,112,112,88,25,5,1678.0,0.0031277143826398805,0.5548941798941799,14744
9853,-4220.0,1,1,90037,15247,15247,3165,561,2604,0,0,0,0,14073.0,0.026231421041055445,1.4282959504719375,108450
121831,40924.0,125,123,33648,3407,419061,17446,3664,5072,2626,4313,1412,359,80907.0,0.15080690557583123,0.664092061954675,470280
6733,4092.0,1,1,12246,2111,2111,569,0,228,181,148,0,12,2641.0,0.004922701838231182,0.3922471409475717,14927
5046,-2829.0,1,1,36812,12103,12103,1782,829,504,449,0,0,0,7875.0,0.0146786357349756,1.5606420927467302,50698
4752,-3798.0,1,1,9908,6594,6594,1862,18,1304,540,0,0,0,8550.0,0.015936804512259223,1.7992424242424243,18365
4838,-2924.0,1,1,36812,11130,11130,1724,659,616,449,0,0,0,7762.0,0.014468008961889602,1.6043819760231501,49667
119049,52973.0,125,123,29238,2587,318201,14041,2278,1713,5124,4196,0,730,66076.0,0.12316260759672988,0.5550319616292451,361605
5740,-3536.0,1,1,36812,11130,11130,2106,1106,391,609,0,0,0,9276.0,0.017290034930493164,1.6160278745644598,50049
5139,-4872.0,1,1,90037,15915,15915,2267,336,1931,0,0,0,0,10011.0,0.01866004093242422,1.9480443666082896,108220
2879,1363.0,1,1,33606,3190,3190,328,62,104,52,98,0,12,1516.0,0.002825753876091811,0.5265717262938521,37125
3137,1731.0,1,1,12246,1988,1988,298,0,78,111,98,0,11,1406.0,0.0026207189642381834,0.44819891616193813,14533
5478,3528.0,1,1,12288,2103,2103,412,0,125,134,123,24,6,1950.0,0.0036347098010415775,0.3559693318729463,14804
3810,1720.0,1,1,12288,2002,2002,445,1,140,153,113,32,6,2090.0,0.0038956633252189214,0.5485564304461942,14736
6620,2527.0,1,1,34656,3633,3633,873,177,310,264,80,36,6,4093.0,0.007629162674699065,0.6182779456193354,39163
135494,-158868.0,125,123,36812,12103,1488669,66356,28172,18716,19468,0,0,0,294362.0,0.5486771520277953,2.1725094838147814,1591962
123948,60049.0,125,123,12246,2033,250059,13541,6,3965,4870,3973,0,727,63899.0,0.11910478029577218,0.5155307064252751,275971
121500,61925.0,125,123,12246,1901,233823,12600,14,3278,4521,4051,0,736,59575.0,0.1110450443061805,0.49032921810699587,258794
2142,-2055.0,1,1,9908,6594,6594,937,20,602,315,0,0,0,4197.0,0.007823013864087949,1.9593837535014005,17440
80500,-8098.0,4750,1226,33648,3407,4176982,19056,4609,5376,2193,4443,1773,662,88598.0,0.16514257382188804,1.1005962732919254,4234436
121025,61958.0,125,123,12246,1938,238374,12538,14,3376,4361,4051,0,736,59067.0,0.11009815580416557,0.4880561867382772,263283
124767,55467.0,125,123,12288,2190,269370,14679,0,4471,4218,4216,1403,371,69300.0,0.1291719944677853,0.5554353314578374,296462
79597,-131500.0,4750,1226,9908,6222,7628172,47065,562,30253,16250,0,0,0,211097.0,0.3934750435233199,2.6520723142832017,7689895
119538,59572.0,125,123,12246,1983,243909,12618,6,3458,4454,3973,0,727,59966.0,0.11177385022013293,0.5016480115109839,268898
123624,54219.0,125,123,29280,2743,337389,14890,2915,1767,4218,4216,1403,371,69405.0,0.12936770961091829,0.5614201125994952,381684
5045,3200.0,1,1,12288,1942,1942,392,0,126,131,96,33,6,1845.0,0.0034389946579085695,0.3657086223984143,14623
118038,31820.0,125,123,34824,3121,383883,18422,1680,4354,6159,5177,693,359,86218.0,0.1607063639108732,0.7304257950829394,437254
1796,-1847.0,1,1,90037,15247,15247,837,79,758,0,0,0,0,3643.0,0.006790383489843316,2.0283964365256124,106122
184124,-67179.0,4750,1226,64501,8076,9901176,55226,15636,0,39590,0,0,0,251303.0,0.4684171677595649,1.3648573787230345,10025653
5389,-5125.0,1,1,36812,11130,11130,2359,710,1046,603,0,0,0,10514.0,0.019597609665718534,1.9510113193542402,50302
1996,-1976.0,1,1,36812,12449,12449,873,464,71,338,0,0,0,3972.0,0.007403624271660075,1.9899799599198398,50135
6588,4157.0,1,1,12246,1936,1936,529,0,182,187,148,0,12,2431.0,0.004531271551965166,0.3690042501517911,14712
495,-706.0,1,1,36812,12103,12103,288,107,87,94,0,0,0,1201.0,0.002238608446692787,2.426262626262626,49204
83453,13725.0,4750,1226,29280,2188,2682488,14810,1898,2092,4021,4277,1812,710,69728.0,0.1299697666702703,0.8355361700597941,2731328
5207,3399.0,1,1,29238,2587,2587,394,71,58,146,107,0,12,1808.0,0.0033700283693759857,0.34722488957173037,32220
123863,53522.0,125,123,12288,2113,259899,14781,5,4340,4619,4046,1412,359,70341.0,0.13111237031541825,0.5678935598201238,287093
120740,45904.0,125,123,33606,3001,369123,16140,2069,6539,2606,4196,0,730,74836.0,0.1394908423952551,0.6198111644856716,418994
7304,5143.0,1,1,1396,947,947,452,33,97,132,190,0,0,2161.0,0.0040280040410517175,0.29586527929901424,2796
77066,15708.0,4750,1226,12246,1874,2297524,12930,5,3385,3955,4213,0,1372,61358.0,0.11436847383195338,0.7961747073936626,2327450
184124,-67179.0,4750,1226,64501,8076,9901176,55226,15636,0,39590,0,0,0,251303.0,0.4684171677595649,1.3648573787230345,10025653
11398,-4003.0,1,1,90037,15247,15247,3533,671,2862,0,0,0,0,15401.0,0.028706751613251966,1.3512019652570626,108818
80556,18253.0,4750,1226,12246,1804,2211704,13111,18,3439,3958,4257,0,1439,62303.0,0.11612991012015046,0.7734122846218779,2241811
1691,579.0,1,1,33606,3190,3190,232,32,72,40,79,0,9,1112.0,0.002072716563465761,0.657599053814311,37029
5763,-5308.0,1,1,36812,12126,12126,2507,1188,736,583,0,0,0,11071.0,0.02063583190119554,1.9210480652437967,51446
182814,-252912.0,4750,1226,90037,15915,19511790,99015,16414,82601,0,0,0,0,435726.0,0.8121731091121243,2.3834389051166758,19705592
2693,1361.0,1,1,12246,1804,1804,267,0,77,95,85,0,10,1332.0,0.0024827863871730157,0.49461567025621983,14318
9965,-4737.0,1,1,90037,15915,15915,3286,682,2604,0,0,0,0,14702.0,0.02740384794610937,1.4753637732062217,109239
122955,56874.0,125,123,12288,2059,253257,13963,2,3753,4218,4216,1403,371,66081.0,0.1231719273654505,0.5374405270220812,279633
83511,-95821.0,125,123,64501,8610,1059030,40257,20148,0,20109,0,0,0,179332.0,0.3342665528412247,2.1474057309815473,1163913
122543,56196.0,125,123,12288,1900,233700,13907,3,2812,5008,4313,1412,359,66347.0,0.12366773906138745,0.5414181144577822,260020
10149,2907.0,1,1,64501,8076,8076,1624,702,0,922,0,0,0,7242.0,0.013498753014945181,0.7135678391959799,74202
184922,-154594.0,125,123,36812,12449,1531227,76967,34725,20700,21542,0,0,0,339516.0,0.6328421193899653,1.8359957171131611,1645131
9369,-4228.0,1,1,36812,12449,12449,2997,1509,959,529,0,0,0,13597.0,0.025344179058852476,1.4512754829757712,52259
2898,638.0,1,1,64501,8076,8076,469,104,0,365,0,0,0,2260.0,0.004212535461719982,0.779848171152519,73047
