true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,143362.33333333334,125,123,1396,947,116481,15659,539,2008,3154,9958,0,0,21288.333333333343,0.039680468622824004,0.174388758731043,133661
6933,7943.333333333334,1,1,33606,3001,3001,676,106,307,118,133,0,12,1010.3333333333339,0.0018832145994798339,0.14572816000769276,37284
2748,3204.6666666666665,1,1,12246,1902,1902,277,0,75,111,81,0,10,456.6666666666665,0.0008512055431499076,0.1661814653081028,14426
454,539.6666666666666,1,1,12246,2070,2070,101,0,18,32,44,0,7,85.66666666666663,0.00015967870407994616,0.18869309838472825,14418
4729,5662.0,1,1,33648,3203,3203,575,71,275,73,117,33,6,933.0,0.0017390688432675854,0.1972932966800592,37427
5387,5889.0,1,1,33648,2845,2845,447,60,162,72,123,24,6,502.0,0.0009357047795501907,0.09318730276591795,36941
6241,9953.333333333334,1,1,90037,15915,15915,2578,431,2147,0,0,0,0,3712.333333333334,0.006919617616102573,0.59482988837259,108531
122527,150885.3333333333,125,123,34656,3633,446859,19623,3143,5689,6390,2633,1409,359,28358.333333333314,0.052858621593779825,0.231445586142918,501263
119674,206229.33333333334,125,123,9908,6594,811062,58334,504,39351,18479,0,0,0,86555.33333333334,0.16133513764055765,0.7232592988730496,879429
373,489.99999999999994,1,1,34656,3399,3399,97,14,19,26,24,11,3,116.99999999999994,0.00021808258806249454,0.31367292225201054,38153
6933,7936.333333333334,1,1,33648,3407,3407,767,206,276,108,134,37,6,1003.3333333333339,0.0018701669232709666,0.14471849608154247,37823
48691,69657.33333333334,4750,1383,12246,1953,2700999,14778,9,3759,3952,5355,0,1703,20966.333333333343,0.039080275517216115,0.43059976860884647,2732773
6487,7100.999999999999,1,1,29238,2056,2056,479,72,90,183,122,0,12,613.9999999999991,0.0011444675988920641,0.09465084014182197,31774
5970,6697.666666666667,1,1,12288,1992,1992,547,0,199,184,126,32,6,727.666666666667,0.0013563370078074814,0.1218872138470129,14828
9877,12200.000000000002,1,1,64501,8076,8076,1593,562,0,1031,0,0,0,2323.000000000002,0.0043299645475997905,0.23519287232965494,74171
1174,2242.666666666667,1,1,90037,15915,15915,791,115,676,0,0,0,0,1068.666666666667,0.0019919452345537264,0.9102782509937538,106744
2097,4006.666666666667,125,95,33648,2845,270275,1439,87,292,47,802,147,64,1909.666666666667,0.0035595303333619144,0.9106660308377048,305487
10194,12600.333333333334,1,1,64501,8483,8483,1698,776,0,922,0,0,0,2406.333333333334,0.004485294026276778,0.23605388790791976,74683
9369,13755.666666666666,1,1,36812,12449,12449,3001,1516,955,530,0,0,0,4386.666666666666,0.008176543757556777,0.4682107660013519,52263
123955,146641.0,125,123,12246,2101,258423,14315,0,4309,5036,4239,0,731,22686.0,0.042285654639194474,0.183018030736961,285109
2597,2966.0,1,1,33606,2804,2804,319,55,100,60,94,0,10,369.0,0.0006877989315817139,0.14208702348864075,36730
3635,4091.666666666667,1,1,12246,1953,1953,281,0,63,115,91,0,12,456.66666666666697,0.0008512055431499085,0.1256304447501147,14481
