true_counts,estimates,absolute_error,normalized_error,relative_error
183,1,182,0.00033923958143054723,0.994535519125683
27,0,27,5.0326751091344914e-05,1.0
1750,0,1750,0.0032619190522168,1.0
2250,0,2250,0.004193895924278743,1.0
858,1,857,0.0015974083587141702,0.9988344988344988
240,1,239,0.0004454849448456087,0.9958333333333333
639,1,638,0.001189202488751039,0.9984350547730829
1373,0,1373,0.002559208490682095,1.0
614,0,614,0.0011444675988920659,1.0
2707,0,2707,0.005045722785343359,1.0
1294,0,1294,0.0024119561448963083,1.0
363,1,362,0.0006747512553728467,0.9972451790633609
2070,1,2069,0.0038565202965923197,0.9995169082125603
549,0,549,0.0010233106055240132,1.0
776,6,770,0.001435244382975392,0.9922680412371134
63,0,63,0.0001174290858798048,1.0
937,0,937,0.001746524658244081,1.0
2218,0,2218,0.004134249404466779,1.0
38866,5,38861,0.07243510645039833,0.9998713528533937
410,4,406,0.0007567652201142976,0.9902439024390244
1182,1,1181,0.0022013293718103092,0.9991539763113367
838,0,838,0.0015619932375758162,1.0
180,1,179,0.0003336477201981756,0.9944444444444445
132,0,132,0.00024604189422435294,1.0
647,0,647,0.0012059780724481542,1.0
677,0,677,0.0012618966847718707,1.0
27,1,26,4.846279734722103e-05,0.9629629629629629
368,0,368,0.00068593497783759,1.0
1347,1,1346,0.0025088817395907503,0.9992576095025983
1317,3,1314,0.002449235219778786,0.9977220956719818
1287,1,1286,0.0023970445149433172,0.9992229992229992
1112,2,1110,0.002068988655977513,0.9982014388489209
2979,0,2979,0.0055527182037450554,1.0
2102,0,2102,0.003918030770148408,1.0
775,1,774,0.0014427001979518876,0.9987096774193548
804,1,803,0.0014967548565314804,0.9987562189054726
1281,1,1280,0.0023858607924785737,0.9992193598750976
469,1,468,0.0008723303522499786,0.997867803837953
506,0,506,0.0009431605945266862,1.0
1483,0,1483,0.0027642434025357226,1.0
1557,5,1552,0.002892856210880271,0.9967886962106616
1742,1,1741,0.003245143468519685,0.9994259471871412
1262,0,1262,0.002352309625084344,1.0
86,0,86,0.0001603000219946542,1.0
772,0,772,0.0014389722904636399,1.0
133,0,133,0.00024790584796847683,1.0
1282,0,1282,0.0023895886999668217,1.0
1302,0,1302,0.0024268677748492994,1.0
0,0,0,0.0,
145,3,142,0.0002646814316655918,0.9793103448275862
1565,0,1565,0.0029170876095538814,1.0
2055,2,2053,0.0038266970366863376,0.9990267639902677
272,1,271,0.0005051314646575731,0.9963235294117647
16835,14,16821,0.03135356592990789,0.9991683991683992
389,0,389,0.0007250780064641916,1.0
1226,0,1226,0.002285207290295884,1.0
993,2,991,0.001847178160426771,0.9979859013091642
1575,0,1575,0.00293572714699512,1.0
509,0,509,0.0009487524557590579,1.0
532,1,531,0.0009897594381297833,0.9981203007518797
259,0,259,0.0004827640197280864,1.0
387,0,387,0.0007213500989759438,1.0
1732,0,1732,0.00322836788482257,1.0
746,1,745,0.0013886455393722949,0.9986595174262735
1234,1,1233,0.0022982549665047512,0.9991896272285251
1234,0,1234,0.0023001189202488752,1.0
1586,1,1585,0.002954366684436359,0.9993694829760403
2166,0,2166,0.004037323809772337,1.0
26892,7,26885,0.05011239641077067,0.9997396995388963
14019,6,14013,0.026119583816408012,0.9995720094157928
1721,0,1721,0.0032078643936372074,1.0
1,0,1,1.8639537441238858e-06,1.0
1115,2,1113,0.002074580517209885,0.9982062780269059
254,1,253,0.0004715802972633431,0.9960629921259843
2628,0,2628,0.004898470439557572,1.0
415,3,412,0.0007679489425790409,0.9927710843373494
488,0,488,0.0009096094271324563,1.0
505,2,503,0.0009375687332943145,0.996039603960396
1526,0,1526,0.0028443934135330496,1.0
2469,1,2468,0.0046002378404977505,0.9995949777237748
151,0,151,0.00028145701536270675,1.0
1395,0,1395,0.0026002154730528208,1.0
992,1,991,0.001847178160426771,0.998991935483871
385,0,385,0.000717622191487696,1.0
0,0,0,0.0,
481,0,481,0.0008965617509235891,1.0
17148,14,17134,0.03193698345181866,0.9991835782598554
1,0,1,1.8639537441238858e-06,1.0
18360,7,18353,0.034209143065905674,0.9996187363834422
1126,1,1125,0.0020969479621393717,0.9991119005328597
28,0,28,5.2190704835468805e-05,1.0
232,1,231,0.00043057331489261764,0.9956896551724138
1492,0,1492,0.0027810189862328377,1.0
23005,5,23000,0.04287093611484937,0.9997826559443599
0,1,1,1.8639537441238858e-06,inf
1844,0,1844,0.0034371307041644455,1.0
873,2,871,0.0016235037111319045,0.997709049255441
996,1,995,0.0018546339754032665,0.998995983935743
623,5,618,0.0011519234138685614,0.9919743178170144
2159,0,2159,0.0040242761335634696,1.0
1620,1,1619,0.003017741111736571,0.9993827160493827
435,3,432,0.0008052280174615186,0.993103448275862
817,0,817,0.0015228502089492148,1.0
2196,0,2196,0.004093242422096053,1.0
43263,26,43237,0.08059176803468446,0.9993990245706493
2325,1,2324,0.004331828501343911,0.9995698924731182
449,2,447,0.000833187323623377,0.9955456570155902
162,3,159,0.00029636864531569783,0.9814814814814815
743,0,743,0.001384917631884047,1.0
2181,0,2181,0.004065283115934195,1.0
1819,0,1819,0.0033905318605613483,1.0
1175,1,1174,0.002188281695601442,0.9991489361702127
1051,0,1051,0.001959015385074204,1.0
855,0,855,0.0015936804512259224,1.0
617,0,617,0.0011500594601244376,1.0
1234,1,1233,0.0022982549665047512,0.9991896272285251
1513,5,1508,0.00281084224613882,0.9966953073364178
497,0,497,0.0009263850108295712,1.0
770,0,770,0.001435244382975392,1.0
43485,23,43462,0.08101115762711232,0.9994710819822927
