true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,185.0,1,1,16470,2222,2222,73,18,1,54,0,0,0,2.0,3.7279074882477715e-06,0.01092896174863388,18766
27,28.0,1,1,24198,3934,3934,28,6,22,0,0,0,0,1.0,1.8639537441238858e-06,0.037037037037037035,28161
1750,1781.0,1,1,9386,3094,3094,667,352,163,152,0,0,0,31.0,5.778256606784046e-05,0.017714285714285714,13148
2250,2257.0,1,1,18150,2484,2484,365,128,26,211,0,0,0,7.0,1.3047676208867201e-05,0.003111111111111111,21000
858,874.0,1,1,24198,4105,4105,432,82,350,0,0,0,0,16.0,2.9823259905982172e-05,0.018648018648018648,28736
240,246.0,38,25,3156,2254,56350,226,81,91,54,0,0,0,6.0,1.1183722464743315e-05,0.025,59770
639,643.0,38,21,16470,2041,42861,222,60,10,152,0,0,0,4.0,7.455814976495543e-06,0.006259780907668232,59591
1373,1379.0,1,1,16470,2185,2185,295,86,14,195,0,0,0,6.0,1.1183722464743315e-05,0.004369992716678805,18951
614,626.0,1,1,9386,3079,3079,342,167,97,78,0,0,0,12.0,2.236744492948663e-05,0.019543973941368076,12808
2707,2726.0,1,1,17814,2419,2419,425,188,0,237,0,0,0,19.0,3.541512113835383e-05,0.007018840044329516,20659
1294,1295.0,1,1,376,290,290,107,0,32,35,40,0,0,1.0,1.8639537441238858e-06,0.0007727975270479134,774
363,373.0,38,24,9386,3024,72576,337,119,106,112,0,0,0,10.0,1.8639537441238857e-05,0.027548209366391185,82337
2070,2107.0,1,1,24198,4072,4072,885,180,705,0,0,0,0,37.0,6.896628853258377e-05,0.017874396135265702,29156
549,558.0,1,1,10008,2932,2932,311,66,175,70,0,0,0,9.0,1.6775583697114972e-05,0.01639344262295082,13252
776,777.0,38,21,754,566,11886,252,0,18,234,0,0,0,1.0,1.8639537441238858e-06,0.001288659793814433,12930
63,66.0,1,1,24198,3994,3994,58,9,49,0,0,0,0,3.0,5.5918612323716575e-06,0.047619047619047616,28251
937,950.0,1,1,16470,2222,2222,300,154,15,131,0,0,0,13.0,2.4231398673610515e-05,0.013874066168623266,18993
2218,2244.0,1,1,24198,4142,4142,628,125,503,0,0,0,0,26.0,4.846279734722103e-05,0.011722272317403066,28969
38866,39452.0,125,123,5284,3102,381546,14744,7468,3441,3835,0,0,0,586.0,0.001092276894056597,0.015077445582256986,401699
410,427.0,38,28,22854,3879,108612,448,116,332,0,0,0,0,17.0,3.168721365010606e-05,0.041463414634146344,131952
1182,1198.0,1,1,22854,3967,3967,554,81,473,0,0,0,0,16.0,2.9823259905982172e-05,0.01353637901861252,27376
838,844.0,1,1,3191,1885,1885,344,20,190,134,0,0,0,6.0,1.1183722464743315e-05,0.007159904534606206,5421
180,186.0,38,22,9386,3047,67034,193,109,36,48,0,0,0,6.0,1.1183722464743315e-05,0.03333333333333333,76651
132,137.0,38,16,5284,3233,51728,148,93,39,16,0,0,0,5.0,9.319768720619429e-06,0.03787878787878788,57198
647,647.0,38,23,376,304,6992,101,0,14,26,61,0,0,0.0,0.0,0.0,7507
677,687.0,1,1,2483,1579,1579,313,0,173,140,0,0,0,10.0,1.8639537441238857e-05,0.014771048744460856,4376
27,27.0,38,4,18150,2259,9036,26,14,0,12,0,0,0,0.0,0.0,0.0,27250
368,373.0,1,1,22854,3930,3930,161,25,136,0,0,0,0,5.0,9.319768720619429e-06,0.01358695652173913,26946
1347,1360.0,1,1,22854,3948,3948,445,55,390,0,0,0,0,13.0,2.4231398673610515e-05,0.009651076466221232,27248
1317,1332.0,38,23,10008,3277,75371,585,371,115,99,0,0,0,15.0,2.7959306161858287e-05,0.011389521640091117,86002
1287,1296.0,1,1,17814,2229,2229,210,62,0,148,0,0,0,9.0,1.6775583697114972e-05,0.006993006993006993,20254
1112,1125.0,1,1,17814,2289,2289,385,227,0,158,0,0,0,13.0,2.4231398673610515e-05,0.011690647482014389,20489
2979,3007.0,1,1,5284,3233,3233,672,453,143,76,0,0,0,28.0,5.2190704835468805e-05,0.009399127223900638,9190
2102,2152.0,38,28,5816,3588,100464,1000,580,420,0,0,0,0,50.0,9.319768720619429e-05,0.023786869647954328,107318
775,786.0,1,1,24198,4017,4017,351,54,297,0,0,0,0,11.0,2.0503491185362745e-05,0.014193548387096775,28567
804,809.0,1,1,17814,2342,2342,211,76,0,135,0,0,0,5.0,9.319768720619429e-06,0.006218905472636816,20368
1281,1283.0,1,1,754,568,568,282,0,26,256,0,0,0,2.0,3.7279074882477715e-06,0.00156128024980484,1605
469,479.0,1,1,18150,2377,2377,241,111,10,120,0,0,0,10.0,1.8639537441238857e-05,0.021321961620469083,20769
506,511.0,38,28,3282,1809,50652,319,22,171,126,0,0,0,5.0,9.319768720619429e-06,0.009881422924901186,54291
1483,1502.0,1,1,22854,3997,3997,634,57,577,0,0,0,0,19.0,3.541512113835383e-05,0.012811867835468645,27486
1557,1573.0,38,23,24198,3901,89723,614,104,510,0,0,0,0,16.0,2.9823259905982172e-05,0.010276172125883108,114573
1742,1755.0,38,28,16470,2290,64120,409,114,13,282,0,0,0,13.0,2.4231398673610515e-05,0.007462686567164179,81037
1262,1270.0,1,1,22854,3866,3866,436,70,366,0,0,0,0,8.0,1.4911629952991086e-05,0.006339144215530904,27157
86,87.0,1,1,24198,4112,4112,76,11,65,0,0,0,0,1.0,1.8639537441238858e-06,0.011627906976744186,28387
772,790.0,1,1,9386,2955,2955,415,295,28,92,0,0,0,18.0,3.3551167394229945e-05,0.023316062176165803,12757
133,138.0,38,22,5284,2968,65296,202,146,32,24,0,0,0,5.0,9.319768720619429e-06,0.03759398496240601,70820
1282,1297.0,1,1,3688,2483,2483,609,99,510,0,0,0,0,15.0,2.7959306161858287e-05,0.01170046801872075,6781
1302,1323.0,1,1,9386,2999,2999,580,274,166,140,0,0,0,21.0,3.91430286266016e-05,0.016129032258064516,12966
0,0.0,1,1,16470,2144,2144,2,1,1,0,0,0,0,0.0,0.0,0.0,18617
145,149.0,1,1,18150,2259,2259,118,48,5,65,0,0,0,4.0,7.455814976495543e-06,0.027586206896551724,20528
1565,1580.0,1,1,16470,2336,2336,311,109,17,185,0,0,0,15.0,2.7959306161858287e-05,0.009584664536741214,19118
2055,2066.0,38,28,16470,2282,63896,439,134,23,282,0,0,0,11.0,2.0503491185362745e-05,0.00535279805352798,80843
272,275.0,1,1,3156,2147,2147,150,30,61,59,0,0,0,3.0,5.5918612323716575e-06,0.011029411764705883,5454
