true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,179.0,1,1,16470,2222,2222,73,18,1,54,0,0,0,4.0,7.455814976495543e-06,0.02185792349726776,18766
27,29.0,1,1,24198,3934,3934,28,6,22,0,0,0,0,2.0,3.7279074882477715e-06,0.07407407407407407,28161
1750,1792.0,1,1,9386,3094,3094,667,352,163,152,0,0,0,42.0,7.82860572532032e-05,0.024,13148
2250,2241.0,1,1,18150,2484,2484,365,128,26,211,0,0,0,9.0,1.6775583697114972e-05,0.004,21000
858,902.0,1,1,24198,4105,4105,432,82,350,0,0,0,0,44.0,8.201396474145098e-05,0.05128205128205128,28736
240,255.0,38,25,3156,2254,56350,226,81,91,54,0,0,0,15.0,2.7959306161858287e-05,0.0625,59770
639,637.0,38,21,16470,2041,42861,222,60,10,152,0,0,0,2.0,3.7279074882477715e-06,0.003129890453834116,59591
1373,1382.0,1,1,16470,2185,2185,295,86,14,195,0,0,0,9.0,1.6775583697114972e-05,0.0065549890750182084,18951
614,631.0,1,1,9386,3079,3079,342,167,97,78,0,0,0,17.0,3.168721365010606e-05,0.02768729641693811,12808
2707,2728.0,1,1,17814,2419,2419,425,188,0,237,0,0,0,21.0,3.91430286266016e-05,0.007757665312153676,20659
1294,1283.0,1,1,376,290,290,107,0,32,35,40,0,0,11.0,2.0503491185362745e-05,0.008500772797527048,774
363,381.0,38,24,9386,3024,72576,337,119,106,112,0,0,0,18.0,3.3551167394229945e-05,0.049586776859504134,82337
2070,2128.0,1,1,24198,4072,4072,885,180,705,0,0,0,0,58.0,0.00010810931715918538,0.028019323671497585,29156
549,560.0,1,1,10008,2932,2932,311,66,175,70,0,0,0,11.0,2.0503491185362745e-05,0.020036429872495445,13252
776,747.0,38,21,754,566,11886,252,0,18,234,0,0,0,29.0,5.405465857959269e-05,0.037371134020618556,12930
63,72.0,1,1,24198,3994,3994,58,9,49,0,0,0,0,9.0,1.6775583697114972e-05,0.14285714285714285,28251
937,963.0,1,1,16470,2222,2222,300,154,15,131,0,0,0,26.0,4.846279734722103e-05,0.02774813233724653,18993
2218,2250.0,1,1,24198,4142,4142,628,125,503,0,0,0,0,32.0,5.9646519811964344e-05,0.014427412082957619,28969
38866,39938.0,125,123,5284,3102,381546,14744,7468,3441,3835,0,0,0,1072.0,0.0019981584137008057,0.027581948232388204,401699
410,433.0,38,28,22854,3879,108612,448,116,332,0,0,0,0,23.0,4.2870936114849375e-05,0.05609756097560976,131952
1182,1197.0,1,1,22854,3967,3967,554,81,473,0,0,0,0,15.0,2.7959306161858287e-05,0.012690355329949238,27376
838,830.0,1,1,3191,1885,1885,344,20,190,134,0,0,0,8.0,1.4911629952991086e-05,0.00954653937947494,5421
180,200.0,38,22,9386,3047,67034,193,109,36,48,0,0,0,20.0,3.7279074882477714e-05,0.1111111111111111,76651
