true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122098,24,4.428787859216215e-05,0.00019660206104493995
7023,6984,39,7.19678027122635e-05,0.005553182400683468
2774,2834,60,0.00011071969648040538,0.021629416005767843
455,459,4,7.381313098693692e-06,0.008791208791208791
4794,4772,22,4.0597222042815305e-05,0.00458906967042136
5431,5448,17,3.137058066944819e-05,0.0031301786043085988
6262,6321,59,0.00010887436820573196,0.009421909932928777
123604,123531,73,0.00013470896405115988,0.0005905957735995599
119674,119734,60,0.00011071969648040538,0.000501362033524408
378,314,64,0.00011810100957909907,0.1693121693121693
7027,7045,18,3.3215908944121615e-05,0.00256154831364736
49453,49460,7,1.2917297922713961e-05,0.00014154854103896628
6564,6641,77,0.00014209027714985357,0.011730652041438147
6013,6017,4,7.381313098693692e-06,0.0006652253450856477
9915,9975,60,0.00011071969648040538,0.006051437216338881
1192,1194,2,3.690656549346846e-06,0.0016778523489932886
2167,2198,31,5.720517651487611e-05,0.01430549146285187
10270,10298,28,5.1669191690855846e-05,0.002726387536514119
9369,9556,187,0.0003450763873639301,0.019959440708720248
124981,124941,40,7.381313098693692e-05,0.00032004864739440395
2633,2607,26,4.7978535141509e-05,0.009874667679453095
3651,3647,4,7.381313098693692e-06,0.0010955902492467817
3802,3831,29,5.351451996552927e-05,0.007627564439768543
6828,6742,86,0.0001586982316219144,0.012595196250732278
114847,114830,17,3.137058066944819e-05,0.00014802302193352894
1996,2046,50,9.226641373367116e-05,0.025050100200400802
218046,218046,0,0.0,0.0
2842,2834,8,1.4762626197387384e-05,0.0028149190710767065
83957,84138,181,0.00033400441771588954,0.002155865502578701
1043,1130,87,0.0001605435598965878,0.08341323106423777
124895,124896,1,1.845328274673423e-06,8.006725649545619e-06
2443,2349,94,0.00017346085781930177,0.038477282030290626
4836,4819,17,3.137058066944819e-05,0.003515301902398677
11409,11490,81,0.00014947159024854726,0.007099658164606889
6570,6547,23,4.244255031748873e-05,0.0035007610350076103
1542,1584,42,7.750378753628376e-05,0.027237354085603113
2997,2986,11,2.0298611021407652e-05,0.003670337003670337
220209,220224,15,2.7679924120101345e-05,6.811710693023445e-05
218046,218031,15,2.7679924120101345e-05,6.879282353264907e-05
50189,50121,68,0.00012548232267779277,0.001354878559046803
3049,2996,53,9.780239855769142e-05,0.017382748442112166
9927,9945,18,3.3215908944121615e-05,0.001813236627379873
122908,122902,6,1.1071969648040537e-05,4.881700133433137e-05
6829,6816,13,2.39892675707545e-05,0.0019036462146727192
5046,5080,34,6.274116133889639e-05,0.006738010305192232
4752,4754,2,3.690656549346846e-06,0.00042087542087542086
4838,4835,3,5.535984824020269e-06,0.0006200909466721786
120095,120156,61,0.00011256502475507881,0.000507931221116616
5740,5728,12,2.2143939296081075e-05,0.0020905923344947735
5163,5180,17,3.137058066944819e-05,0.0032926593066046872
2910,2844,66,0.00012179166612844591,0.02268041237113402
