true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,93045.0,125,123,1396,947,116481,15647,535,2008,3152,9952,0,0,29029.0,0.05410871323817228,0.2377983845863984,133649
6933,5814.0,1,1,33606,3001,3001,680,105,311,118,134,0,12,1119.0,0.002085764239674628,0.16140199048031156,37288
2748,2199.0,1,1,12246,1902,1902,278,0,76,111,81,0,10,549.0,0.0010233106055240132,0.19978165938864628,14427
454,234.0,1,1,12246,2070,2070,106,0,21,32,46,0,7,220.0,0.0004100698237072549,0.4845814977973568,14423
4729,3832.0,1,1,33648,3203,3203,574,72,273,73,117,33,6,897.0,0.0016719665084791255,0.18968069359272574,37426
5387,4559.0,1,1,33648,2845,2845,447,62,159,72,124,24,6,828.0,0.0015433537001345774,0.15370335994059772,36941
6241,2382.0,1,1,90037,15915,15915,2580,432,2148,0,0,0,0,3859.0,0.007192997498574076,0.6183303957699087,108533
122527,90126.0,125,123,34656,3633,446859,19623,3147,5693,6388,2628,1408,359,32401.0,0.060393965263358024,0.26443967452071787,501263
119674,29435.0,125,123,9908,6594,811062,58268,498,39264,18506,0,0,0,90239.0,0.16820132191599532,0.7540401423868175,879363
373,222.0,1,1,34656,3399,3399,100,14,18,29,25,11,3,151.0,0.00028145701536270675,0.40482573726541554,38156
6933,5638.0,1,1,33648,3407,3407,770,205,279,108,135,37,6,1295.0,0.0024138200986404323,0.1867878263378047,37826
48691,22031.0,4750,1383,12246,1953,2700999,14751,18,3683,3951,5384,0,1715,26660.0,0.049693006818342794,0.5475344519521061,2732746
6487,5666.0,1,1,29238,2056,2056,480,73,89,183,123,0,12,821.0,0.0015303060239257103,0.12656081393556343,31775
5970,4953.0,1,1,12288,1992,1992,547,0,200,182,127,32,6,1017.0,0.001895640957773992,0.17035175879396985,14828
9877,7467.0,1,1,64501,8076,8076,1596,567,0,1029,0,0,0,2410.0,0.004492128523338565,0.24400121494380886,74174
1174,67.0,1,1,90037,15915,15915,797,114,683,0,0,0,0,1107.0,0.0020633967947451416,0.9429301533219762,106750
2097,-403.0,125,95,33648,2845,270275,1477,86,330,48,804,146,63,2500.0,0.004659884360309715,1.1921793037672865,305525
10194,7497.0,1,1,64501,8483,8483,1695,773,0,922,0,0,0,2697.0,0.00502708324790212,0.26456739258387285,74680
9369,5116.0,1,1,36812,12449,12449,2998,1513,956,529,0,0,0,4253.0,0.007927395273758886,0.45394385740207066,52260
123955,99351.0,125,123,12246,2101,258423,14320,0,4306,5043,4240,0,731,24604.0,0.045860717920424086,0.19849138800371102,285114
2597,2124.0,1,1,33606,2804,2804,322,58,100,60,94,0,10,473.0,0.000881650120970598,0.18213323065075088,36733
3635,3131.0,1,1,12246,1953,1953,283,0,63,117,91,0,12,504.0,0.0009394326870384384,0.13865199449793672,14483
3771,2802.0,1,1,34824,3822,3822,536,59,181,166,113,12,5,969.0,0.0018061711780560455,0.2569610182975338,39183
6741,5823.0,1,1,29280,2079,2079,499,37,81,203,135,37,6,918.0,0.0017111095371057272,0.13618157543391188,31859
