true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,190.0,1,1,16470,2222,2222,81,24,1,56,0,0,0,7.0,1.3047676208867201e-05,0.03825136612021858,18774
27,30.0,1,1,24198,3934,3934,24,4,20,0,0,0,0,3.0,5.5918612323716575e-06,0.1111111111111111,28157
1750,1861.0,1,1,9386,3094,3094,669,354,163,152,0,0,0,111.0,0.00020689886559775134,0.06342857142857143,13150
2250,2292.0,1,1,18150,2484,2484,364,127,26,211,0,0,0,42.0,7.82860572532032e-05,0.018666666666666668,20999
858,929.0,1,1,24198,4105,4105,437,86,351,0,0,0,0,71.0,0.0001323407158327959,0.08275058275058275,28741
240,265.0,38,25,3156,2254,56350,240,96,93,51,0,0,0,25.0,4.6598843603097145e-05,0.10416666666666667,59784
639,660.0,38,21,16470,2041,42861,202,52,6,144,0,0,0,21.0,3.91430286266016e-05,0.03286384976525822,59571
1373,1405.0,1,1,16470,2185,2185,294,86,14,194,0,0,0,32.0,5.9646519811964344e-05,0.023306627822286964,18950
614,668.0,1,1,9386,3079,3079,343,168,97,78,0,0,0,54.0,0.00010065350218268983,0.08794788273615635,12809
2707,2753.0,1,1,17814,2419,2419,425,187,0,238,0,0,0,46.0,8.574187222969875e-05,0.01699298115995567,20659
1294,1299.0,1,1,376,290,290,107,0,32,35,40,0,0,5.0,9.319768720619429e-06,0.0038639876352395673,774
363,411.0,38,24,9386,3024,72576,345,123,115,107,0,0,0,48.0,8.946977971794652e-05,0.1322314049586777,82345
2070,2201.0,1,1,24198,4072,4072,886,181,705,0,0,0,0,131.0,0.00024417794048022906,0.06328502415458938,29157
549,596.0,1,1,10008,2932,2932,309,64,175,70,0,0,0,47.0,8.760582597382263e-05,0.08561020036429873,13250
776,781.0,38,21,754,566,11886,252,0,17,235,0,0,0,5.0,9.319768720619429e-06,0.006443298969072165,12930
63,70.0,1,1,24198,3994,3994,59,10,49,0,0,0,0,7.0,1.3047676208867201e-05,0.1111111111111111,28252
937,980.0,1,1,16470,2222,2222,302,155,15,132,0,0,0,43.0,8.01500109973271e-05,0.04589114194236926,18995
2218,2318.0,1,1,24198,4142,4142,634,127,507,0,0,0,0,100.0,0.00018639537441238858,0.04508566275924256,28975
38866,41208.0,125,123,5284,3102,381546,14742,7462,3452,3828,0,0,0,2342.0,0.00436537966873814,0.06025832347038543,401697
410,477.0,38,28,22854,3879,108612,460,133,327,0,0,0,0,67.0,0.00012488490085630036,0.16341463414634147,131964
1182,1264.0,1,1,22854,3967,3967,554,80,474,0,0,0,0,82.0,0.00015284420701815863,0.06937394247038917,27376
838,880.0,1,1,3191,1885,1885,342,21,187,134,0,0,0,42.0,7.82860572532032e-05,0.050119331742243436,5419
180,220.0,38,22,9386,3047,67034,193,112,31,50,0,0,0,40.0,7.455814976495543e-05,0.2222222222222222,76651
132,161.0,38,16,5284,3233,51728,146,97,40,9,0,0,0,29.0,5.405465857959269e-05,0.2196969696969697,57196
647,650.0,38,23,376,304,6992,114,0,20,30,64,0,0,3.0,5.5918612323716575e-06,0.00463678516228748,7520
677,707.0,1,1,2483,1579,1579,312,0,173,139,0,0,0,30.0,5.5918612323716575e-05,0.04431314623338257,4375
27,29.0,38,4,18150,2259,9036,21,10,0,11,0,0,0,2.0,3.7279074882477715e-06,0.07407407407407407,27245
368,382.0,1,1,22854,3930,3930,155,22,133,0,0,0,0,14.0,2.6095352417734403e-05,0.03804347826086957,26940
