true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,-213.0,1,1,16470,2222,2222,81,24,1,56,0,0,0,396.0,0.0007381256826730588,2.1639344262295084,18774
27,-124.0,1,1,24198,3934,3934,24,4,20,0,0,0,0,151.0,0.00028145701536270675,5.592592592592593,28157
1750,-2679.0,1,1,9386,3094,3094,669,354,163,152,0,0,0,4429.0,0.008255451132724691,2.5308571428571427,13150
2250,-115.0,1,1,18150,2484,2484,364,127,26,211,0,0,0,2365.0,0.00440825060485299,1.051111111111111,20999
858,-1577.0,1,1,24198,4105,4105,437,86,351,0,0,0,0,2435.0,0.004538727366941662,2.837995337995338,28741
240,-1273.0,38,25,3156,2254,56350,240,96,93,51,0,0,0,1513.0,0.0028201620148594394,6.304166666666666,59784
639,-847.0,38,21,16470,2041,42861,202,52,6,144,0,0,0,1486.0,0.002769835263768094,2.325508607198748,59571
1373,-729.0,1,1,16470,2185,2185,294,86,14,194,0,0,0,2102.0,0.003918030770148408,1.530954115076475,18950
614,-1427.0,1,1,9386,3079,3079,343,168,97,78,0,0,0,2041.0,0.003804329591756851,3.324104234527687,12809
2707,-152.0,1,1,17814,2419,2419,425,187,0,238,0,0,0,2859.0,0.005329043754450189,1.056150720354636,20659
1294,611.0,1,1,376,290,290,107,0,32,35,40,0,0,683.0,0.001273080407236614,0.5278207109737248,774
363,-1902.0,38,24,9386,3024,72576,345,123,115,107,0,0,0,2265.0,0.0042218552304406015,6.239669421487603,82345
2070,-3915.0,1,1,24198,4072,4072,886,181,705,0,0,0,0,5985.0,0.011155763158581456,2.891304347826087,29157
549,-1101.0,1,1,10008,2932,2932,309,64,175,70,0,0,0,1650.0,0.0030755236778044117,3.0054644808743167,13250
776,-939.0,38,21,754,566,11886,252,0,17,235,0,0,0,1715.0,0.0031966806711724643,2.2100515463917527,12930
63,-323.0,1,1,24198,3994,3994,59,10,49,0,0,0,0,386.0,0.0007194861452318199,6.126984126984127,28252
937,-882.0,1,1,16470,2222,2222,302,155,15,132,0,0,0,1819.0,0.0033905318605613483,1.9413020277481323,18995
2218,-1603.0,1,1,24198,4142,4142,634,127,507,0,0,0,0,3821.0,0.0071221672562973674,1.7227231740306583,28975
38866,-56697.0,125,123,5284,3102,381546,14742,7462,3452,3828,0,0,0,95563.0,0.1781250116497109,2.458781454227345,401697
410,-2590.0,38,28,22854,3879,108612,460,133,327,0,0,0,0,3000.0,0.0055918612323716576,7.317073170731708,131964
1182,-2400.0,1,1,22854,3967,3967,554,80,474,0,0,0,0,3582.0,0.006676682311451759,3.030456852791878,27376
838,-1305.0,1,1,3191,1885,1885,342,21,187,134,0,0,0,2143.0,0.003994452873657487,2.5572792362768495,5419
180,-1137.0,38,22,9386,3047,67034,193,112,31,50,0,0,0,1317.0,0.0024548270810111576,7.316666666666666,76651
132,-740.0,38,16,5284,3233,51728,146,97,40,9,0,0,0,872.0,0.0016253676648760285,6.606060606060606,57196
647,-173.0,38,23,376,304,6992,114,0,20,30,64,0,0,820.0,0.0015284420701815863,1.267387944358578,7520
677,-1166.0,1,1,2483,1579,1579,312,0,173,139,0,0,0,1843.0,0.0034352667504203216,2.722304283604136,4375
27,-88.0,38,4,18150,2259,9036,21,10,0,11,0,0,0,115.0,0.00021435468057424688,4.2592592592592595,27245
368,-500.0,1,1,22854,3930,3930,155,22,133,0,0,0,0,868.0,0.001617911849899533,2.358695652173913,26940
1347,-1597.0,1,1,22854,3948,3948,438,53,385,0,0,0,0,2944.0,0.00548747982270072,2.1855976243504083,27241
1317,-2395.0,38,23,10008,3277,75371,565,352,115,98,0,0,0,3712.0,0.006918996298187864,2.818526955201215,85982
1287,-82.0,1,1,17814,2229,2229,207,61,0,146,0,0,0,1369.0,0.0025517526757055996,1.0637140637140636,20251
1112,-1590.0,1,1,17814,2289,2289,384,226,0,158,0,0,0,2702.0,0.00503640301662274,2.429856115107914,20488
2979,-1541.0,1,1,5284,3233,3233,674,455,143,76,0,0,0,4520.0,0.008425070923439963,1.5172876804296744,9192
2102,-4450.0,38,28,5816,3588,100464,1000,572,428,0,0,0,0,6552.0,0.0122126249314997,3.1170313986679354,107318
775,-1310.0,1,1,24198,4017,4017,348,52,296,0,0,0,0,2085.0,0.003886343556498302,2.6903225806451614,28564
804,-593.0,1,1,17814,2342,2342,209,75,0,134,0,0,0,1397.0,0.0026039433805410683,1.7375621890547264,20366
1281,-788.0,1,1,754,568,568,281,0,25,256,0,0,0,2069.0,0.0038565202965923197,1.615144418423107,1604
469,-1109.0,1,1,18150,2377,2377,242,113,10,119,0,0,0,1578.0,0.002941319008227492,3.3646055437100215,20770
506,-1634.0,38,28,3282,1809,50652,316,23,164,129,0,0,0,2140.0,0.003988861012425115,4.229249011857707,54288
1483,-2381.0,1,1,22854,3997,3997,636,60,576,0,0,0,0,3864.0,0.007202317267294695,2.605529332434255,27488
1557,-2624.0,38,23,24198,3901,89723,634,97,537,0,0,0,0,4181.0,0.007793190604181967,2.6852922286448297,114593
1742,-912.0,38,28,16470,2290,64120,390,105,11,274,0,0,0,2654.0,0.004946933236904793,1.5235361653272101,81018
1262,-1528.0,1,1,22854,3866,3866,435,73,362,0,0,0,0,2790.0,0.0052004309461056416,2.2107765451664023,27156
86,-333.0,1,1,24198,4112,4112,72,10,62,0,0,0,0,419.0,0.0007809966187879081,4.872093023255814,28383
772,-1967.0,1,1,9386,2955,2955,416,297,27,92,0,0,0,2739.0,0.005105369305155323,3.5479274611398965,12758
133,-946.0,38,22,5284,2968,65296,190,139,27,24,0,0,0,1079.0,0.0020112060899096728,8.112781954887218,70808
1282,-2600.0,1,1,3688,2483,2483,611,100,511,0,0,0,0,3882.0,0.007235868434688925,3.0280811232449296,6783
1302,-2638.0,1,1,9386,2999,2999,582,276,166,140,0,0,0,3940.0,0.0073439777518481105,3.0261136712749614,12968
0,-14.0,1,1,16470,2144,2144,2,0,0,2,0,0,0,14.0,2.6095352417734403e-05,0.0,18617
145,-555.0,1,1,18150,2259,2259,115,45,5,65,0,0,0,700.0,0.0013047676208867202,4.827586206896552,20525
1565,-396.0,1,1,16470,2336,2336,312,110,17,185,0,0,0,1961.0,0.00365521329222694,1.253035143769968,19119
2055,-707.0,38,28,16470,2282,63896,433,132,18,283,0,0,0,2762.0,0.005148240241270172,1.3440389294403894,80837
272,-660.0,1,1,3156,2147,2147,149,30,60,59,0,0,0,932.0,0.0017372048895234616,3.426470588235294,5453
16835,-46434.0,125,123,9386,2986,367278,9742,3655,2904,3183,0,0,0,63269.0,0.11793048943697414,3.758182358182358,386531
389,-578.0,1,1,24198,3882,3882,173,40,133,0,0,0,0,967.0,0.0018024432705677977,2.48586118251928,28254
1226,-2208.0,38,22,24198,4125,90750,528,98,430,0,0,0,0,3434.0,0.006400817157321424,2.800978792822186,115514
993,-2555.0,38,28,3191,1765,49420,516,20,335,161,0,0,0,3548.0,0.006613307884151547,3.5730110775427995,53165
1575,-2014.0,1,1,24198,3932,3932,615,98,517,0,0,0,0,3589.0,0.006689729987660626,2.2787301587301587,28746
509,-1437.0,1,1,9386,3018,3018,325,87,162,76,0,0,0,1946.0,0.003627253986065082,3.8231827111984282,12730
532,-1635.0,38,23,9386,3099,71277,335,128,119,88,0,0,0,2167.0,0.004039187763516461,4.073308270676692,81036
259,-1145.0,1,1,9386,3033,3033,172,39,90,43,0,0,0,1404.0,0.002616991056749936,5.420849420849421,12592
387,-371.0,1,1,16470,1941,1941,105,25,1,79,0,0,0,758.0,0.0014128769380459055,1.958656330749354,18517
1732,-2657.0,1,1,9917,3245,3245,667,286,230,151,0,0,0,4389.0,0.008180892982959735,2.534064665127021,13830
746,-1282.0,1,1,24198,4051,4051,356,39,317,0,0,0,0,2028.0,0.0037800981930832403,2.7184986595174263,28606
1234,-1638.0,1,1,17814,2269,2269,435,266,0,169,0,0,0,2872.0,0.0053532751531238,2.327390599675851,20519
1234,-1575.0,1,1,17814,2346,2346,450,265,0,185,0,0,0,2809.0,0.005235846067243996,2.2763371150729337,20611
1586,-2250.0,1,1,22854,3864,3864,588,91,497,0,0,0,0,3836.0,0.007150126562459226,2.4186633039092054,27307
2166,-2680.0,38,23,3688,2428,55844,750,147,603,0,0,0,0,4846.0,0.00903271984402435,2.2373037857802403,60320
26892,-23408.0,125,123,754,560,68880,7656,0,600,7056,0,0,0,50300.0,0.09375687332943146,1.8704447419306858,77415
14019,-44125.0,125,114,9917,3335,380190,8972,3726,2132,3114,0,0,0,58144.0,0.10837772649833921,4.147514088023397,399204
1721,-440.0,1,1,1644,836,836,310,21,31,258,0,0,0,2161.0,0.0040280040410517175,1.2556653108657758,2791
1,-54.0,1,1,18150,2574,2574,5,2,1,2,0,0,0,55.0,0.00010251745592681373,55.0,20730
1115,-2339.0,38,23,22854,3818,87814,538,71,467,0,0,0,0,3454.0,0.006438096232203902,3.0977578475336323,111244
254,-633.0,1,1,3282,1797,1797,143,3,85,55,0,0,0,887.0,0.0016533269710378867,3.4921259842519685,5223
2628,-3481.0,1,1,3688,2424,2424,952,181,771,0,0,0,0,6109.0,0.011386893422852819,2.3245814307458144,7065
415,-1244.0,38,29,16470,2287,66323,265,122,5,138,0,0,0,1659.0,0.0030922992615015268,3.9975903614457833,83096
488,-1153.0,1,1,17814,2226,2226,253,118,0,135,0,0,0,1641.0,0.0030587480941072966,3.362704918032787,20294
505,-2482.0,38,29,9917,3198,92742,470,198,122,150,0,0,0,2987.0,0.0055676298336980465,5.914851485148515,103167
1526,-1946.0,1,1,9386,3175,3175,521,280,107,134,0,0,0,3472.0,0.006471647399598132,2.2752293577981653,13083
2469,-3374.0,1,1,24198,4017,4017,916,192,724,0,0,0,0,5843.0,0.010891081726915865,2.366545159983799,29132
151,-1002.0,38,19,3156,2254,42826,181,84,66,31,0,0,0,1153.0,0.0021491386669748405,7.635761589403973,46201
1395,-245.0,1,1,18150,2264,2264,267,53,24,190,0,0,0,1640.0,0.0030568841403631726,1.1756272401433692,20682
992,-1453.0,1,1,22854,3948,3948,363,41,322,0,0,0,0,2445.0,0.004557366904382901,2.464717741935484,27166
385,-966.0,1,1,9386,2787,2787,207,84,68,55,0,0,0,1351.0,0.00251820150831137,3.5090909090909093,12381
0,-9.0,1,1,754,587,587,1,0,0,1,0,0,0,9.0,1.6775583697114972e-05,0.0,1343
481,-1162.0,1,1,9917,2836,2836,255,108,49,98,0,0,0,1643.0,0.0030624760015955446,3.415800415800416,13009
17148,-46961.0,125,123,9386,3087,379701,9872,3722,3031,3119,0,0,0,64109.0,0.1194962105820382,3.7385700956379755,399084
1,-23.0,1,1,9917,3083,3083,4,2,1,1,0,0,0,24.0,4.473488985897326e-05,24.0,13005
18360,-40513.0,125,123,9386,2797,344031,9150,3257,2578,3315,0,0,0,58873.0,0.10973654877780553,3.206590413943355,362692
1126,-2173.0,1,1,24198,4089,4089,516,100,416,0,0,0,0,3299.0,0.006149183401864699,2.9298401420959146,28804
28,-119.0,1,1,22854,3766,3766,24,2,22,0,0,0,0,147.0,0.0002740012003862112,5.25,26645
232,-1231.0,38,26,9917,2867,74542,251,104,48,99,0,0,0,1463.0,0.002726964327653245,6.306034482758621,84748
1492,-712.0,1,1,18150,2347,2347,318,98,31,189,0,0,0,2204.0,0.004108154052049044,1.477211796246649,20816
23005,-49094.0,125,123,9386,3101,381423,11166,4543,3308,3315,0,0,0,72099.0,0.13438920099758805,3.1340578135188,402100
0,-16.0,1,1,16470,1936,1936,4,1,0,3,0,0,0,16.0,2.9823259905982172e-05,0.0,18411
1844,-2291.0,1,1,24198,4048,4048,645,123,522,0,0,0,0,4135.0,0.0077074487319522674,2.242407809110629,28892
873,-1555.0,1,1,16470,2216,2216,388,212,7,169,0,0,0,2428.0,0.004525679690732795,2.781214203894616,19075
996,-1969.0,38,25,9386,3058,76450,474,176,155,143,0,0,0,2965.0,0.005526622851327321,2.9769076305220885,86348
623,-1988.0,38,30,18150,2281,68430,379,137,34,208,0,0,0,2611.0,0.004866783225907466,4.191011235955056,86997
2159,-3167.0,1,1,9386,3183,3183,811,480,183,148,0,0,0,5326.0,0.009927417641203817,2.4668828161185736,13381
