baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.27644944190979004,0.03450417518615723,240217,249825.0,1,1,8257,289,289,289,240,28,18,3,0,9608.0,0.005337777777777778,0.039997169226158015,8836
0.3078157901763916,0.002695798873901367,115242,116617.0,7,7,17,17,119,70,21,21,7,21,0,1375.0,0.0007638888888888889,0.011931413894239948,213
0.2740764617919922,0.03053569793701172,284167,292293.0,1,1,8257,234,234,234,210,7,12,5,0,8126.0,0.004514444444444444,0.028595860884620662,8726
0.33390069007873535,0.24467682838439941,15744,47080.0,1,1,118085,5434,5434,1594,146,609,775,64,0,31336.0,0.01740888888888889,1.9903455284552845,125114
0.3288085460662842,0.002048015594482422,64345,64692.0,1,1,17,17,17,17,6,4,3,4,0,347.0,0.00019277777777777777,0.0053928044137073585,52
0.3302614688873291,0.07112812995910645,46652,142562.0,1,1,21028,4381,4381,3385,1188,2151,30,16,0,95910.0,0.053283333333333335,2.0558604132727427,28795
0.27361369132995605,0.250823974609375,109723,247340.0,1,1,117883,5677,5677,5677,1138,3013,1475,51,0,137617.0,0.07645388888888889,1.254221995388387,129238
0.3149549961090088,0.014178991317749023,40886,44466.0,7,7,2065,37,259,183,0,98,77,8,0,3580.0,0.001988888888888889,0.08756053416817493,2514
0.27382898330688477,0.026989459991455078,402362,434875.0,1,1,5401,975,975,975,778,144,44,9,0,32513.0,0.01806277777777778,0.08080534444107546,7352
0.26802778244018555,0.0017175674438476562,451543,451904.0,1,1,17,17,17,17,6,4,3,4,0,361.0,0.00020055555555555555,0.0007994808910779262,52
0.2673909664154053,0.003482341766357422,439417,440232.0,1,1,42,42,42,42,16,4,15,6,1,815.0,0.0004527777777777778,0.0018547302448471497,127
0.44963693618774414,0.001125335693359375,11841,11841.0,27,9,5,5,45,27,0,0,0,0,27,0.0,0.0,0.0,104
0.27272987365722656,0.011128902435302734,118159,149086.0,1,1,937,937,937,937,673,254,6,4,0,30927.0,0.017181666666666668,0.2617405360573465,2812
0.26862049102783203,0.0018398761749267578,452274,452545.0,1,1,17,17,17,17,1,5,8,3,0,271.0,0.00015055555555555555,0.0005991942937246006,52
0.2740974426269531,0.012944936752319336,375968,376705.0,1,1,2065,41,41,41,0,21,15,5,0,737.0,0.00040944444444444443,0.00196027321474168,2148
0.31571435928344727,0.2961146831512451,45744,91713.0,7,7,122857,4799,33593,2855,263,509,1607,476,0,45969.0,0.025538333333333333,1.0049186778593915,159312
0.27475786209106445,0.022664546966552734,273856,278238.0,1,1,5401,140,140,140,90,35,12,3,0,4382.0,0.0024344444444444444,0.016001110072446832,5682
0.2707045078277588,0.06964588165283203,179173,385164.0,1,1,21158,6207,6207,6207,4655,1525,10,17,0,205991.0,0.11443944444444444,1.1496765695724245,33573
0.3878214359283447,0.0009779930114746094,33557,33647.0,3,1,4,4,4,4,1,2,0,1,0,90.0,5e-05,0.0026820037548052566,15
0.3226318359375,0.0028014183044433594,62691,63401.0,1,1,33,33,33,32,15,4,5,7,1,710.0,0.00039444444444444444,0.011325389609353814,99
0.28048086166381836,0.03719735145568848,50138,44424.0,1,1,450,108,108,108,0,0,0,108,0,5714.0,0.0031744444444444446,0.11396545534325263,667
0.2843286991119385,0.021611928939819336,357176,378451.0,1,1,4945,651,651,651,524,41,80,6,0,21275.0,0.011819444444444445,0.0595644724169597,6248
0.273540735244751,0.05469918251037598,274650,436969.0,1,1,17891,4617,4617,4617,4361,68,171,17,0,162319.0,0.09017722222222223,0.5910030948479883,27126
0.32992029190063477,0.023802757263183594,34534,51337.0,1,1,5401,934,934,508,378,106,18,6,0,16803.0,0.009335,0.48656396594660334,6844
0.26701831817626953,0.01140594482421875,235196,239381.0,1,1,1969,181,181,181,0,165,10,6,0,4185.0,0.002325,0.017793669960373477,2332
0.2694666385650635,0.24519109725952148,110865,241018.0,1,1,116538,5140,5140,5136,1130,3117,825,64,0,130153.0,0.07230722222222222,1.1739773598520724,126815
0.36631250381469727,0.0008301734924316406,130452,130452.0,1,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,15
0.27347278594970703,0.054651737213134766,110416,135755.0,1,1,22548,1310,1310,1310,212,230,800,68,0,25339.0,0.014077222222222222,0.2294866685987538,25169
0.3228757381439209,0.0013976097106933594,64665,64774.0,1,1,9,9,9,9,1,0,4,4,0,109.0,6.055555555555556e-05,0.0016856104538776773,28
0.2797245979309082,0.05183744430541992,98115,105187.0,1,1,425,221,221,221,0,0,0,221,0,7072.0,0.003928888888888889,0.07207868317790347,868
0.2652292251586914,0.0015943050384521484,452445,452659.0,1,1,13,13,13,13,1,5,3,4,0,214.0,0.00011888888888888889,0.0004729856667661263,40
0.25429439544677734,0.0014452934265136719,452516,452759.0,1,1,13,13,13,13,1,5,3,4,0,243.0,0.000135,0.0005369975868256592,40
0.2687990665435791,0.045188188552856445,54792,50620.0,1,1,360,108,108,108,0,0,0,108,0,4172.0,0.002317777777777778,0.07614250255511754,577
0.2679259777069092,0.0157473087310791,198181,208892.0,1,1,2521,377,377,377,170,164,40,3,0,10711.0,0.005950555555555555,0.05404655340320212,3276
0.30705785751342773,0.0021555423736572266,125273,126238.0,7,7,13,13,91,63,7,14,21,21,0,965.0,0.0005361111111111111,0.007703176263041517,174
0.34156227111816406,0.24796342849731445,83373,512722.0,21,21,17854,4846,101766,13919,10446,158,3072,243,0,429349.0,0.23852722222222222,5.149736725318748,133560
0.27831268310546875,0.03428387641906738,42158,50763.0,1,1,450,108,108,108,0,0,0,108,0,8605.0,0.004780555555555555,0.20411309834432373,667
0.2665872573852539,0.0008308887481689453,469159,469256.0,1,1,4,4,4,4,1,2,0,1,0,97.0,5.388888888888889e-05,0.00020675293450621218,13
0.26518750190734863,0.01934027671813965,285564,309536.0,1,1,4849,662,662,662,653,0,0,9,0,23972.0,0.013317777777777777,0.08394615567788657,6174
0.2607903480529785,0.015626192092895508,258023,269751.0,1,1,2521,400,400,400,172,202,20,6,0,11728.0,0.006515555555555556,0.04545331230161652,3322
0.25577235221862793,0.009989738464355469,117931,148953.0,1,1,937,937,937,937,673,254,6,4,0,31022.0,0.017234444444444445,0.26305212369945136,2812
0.2711780071258545,0.0489957332611084,37216,41937.0,1,1,425,102,102,102,0,0,0,102,0,4721.0,0.0026227777777777777,0.12685404127257094,630
0.28882646560668945,0.0010993480682373047,115987,116553.0,7,7,4,4,28,28,7,14,0,7,0,566.0,0.00031444444444444445,0.004879857225378707,67
0.2633333206176758,0.010040998458862305,117388,148149.0,1,1,937,937,937,937,673,254,6,4,0,30761.0,0.017089444444444445,0.26204552424438615,2812
0.3082919120788574,0.001556396484375,64739,64960.0,1,1,13,13,13,13,1,5,3,4,0,221.0,0.00012277777777777778,0.0034137073479664497,40
0.2624516487121582,0.2600820064544678,110490,259383.0,1,1,118707,6226,6226,6226,1108,3468,1602,48,0,148893.0,0.08271833333333334,1.347569915829487,131160
0.25060462951660156,0.0018398761749267578,452341,452721.0,1,1,17,17,17,17,6,4,3,4,0,380.0,0.0002111111111111111,0.0008400741918154666,52
0.25743627548217773,0.01728367805480957,377289,380209.0,1,1,4849,101,101,101,60,21,15,5,0,2920.0,0.0016222222222222222,0.00773942521515337,5052
0.2558588981628418,0.020893573760986328,285140,320004.0,1,1,4849,1022,1022,1022,843,123,50,6,0,34864.0,0.01936888888888889,0.12226976222206636,6894
0.26938915252685547,0.02863144874572754,74141,64268.0,1,1,340,153,153,153,0,0,0,153,0,9873.0,0.005485,0.133165185255122,647
0.3259603977203369,0.017235994338989258,50353,73995.0,462,308,13,13,4004,1641,59,579,386,617,0,23642.0,0.013134444444444445,0.46952515242388737,6120
0.26624536514282227,0.03702855110168457,271375,318753.0,1,1,8353,1374,1374,1374,1166,162,40,6,0,47378.0,0.02632111111111111,0.17458498387839705,11102
0.2653491497039795,0.01108551025390625,117778,148870.0,1,1,973,973,973,973,673,254,46,0,0,31092.0,0.017273333333333335,0.26398818115437517,2920
0.2628958225250244,0.06634783744812012,109512,136900.0,1,1,28481,1347,1347,1346,287,191,800,68,0,27388.0,0.015215555555555555,0.2500913141938783,31175
0.2515547275543213,0.0016705989837646484,452086,452482.0,1,1,17,17,17,17,6,4,3,4,0,396.0,0.00022,0.0008759395336285574,52
0.2546114921569824,0.029114246368408203,332337,340806.0,1,1,8257,248,248,248,210,28,3,7,0,8469.0,0.004705,0.02548316919271703,8754
0.25586771965026855,0.027796506881713867,111150,143415.0,1,1,5497,992,992,992,672,284,35,1,0,32265.0,0.017925,0.2902834008097166,7482
0.26277589797973633,0.028636693954467773,66429,50446.0,1,1,288,108,108,108,0,0,0,108,0,15983.0,0.008879444444444445,0.2406027487994701,505
0.29630351066589355,0.001971006393432617,231474,231910.0,7,7,13,13,91,42,0,7,14,21,0,436.0,0.00024222222222222223,0.0018835808773339554,153
0.3467116355895996,0.003993034362792969,5690,9497.0,54,36,17,17,612,227,44,70,27,86,0,3807.0,0.002115,0.6690685413005273,910
0.25604701042175293,0.11727738380432129,110363,236872.0,1,1,38344,5313,5313,5312,278,4168,802,64,0,126509.0,0.07028277777777778,1.14629903137827,48970
0.2923610210418701,0.024375438690185547,41346,56949.0,1,1,5401,867,867,443,399,35,0,9,0,15603.0,0.008668333333333333,0.37737628791176897,6712
0.3076210021972656,0.0008044242858886719,66691,66745.0,1,1,3,3,3,3,1,0,1,1,0,54.0,3e-05,0.0008097044578728764,10
0.2569265365600586,0.0841209888458252,110525,219056.0,1,1,31093,4655,4655,4655,228,3734,625,68,0,108531.0,0.060295,0.9819588328432481,40404
0.28887367248535156,0.0023441314697265625,64337,65932.0,7,7,17,17,119,70,21,28,7,14,0,1595.0,0.0008861111111111111,0.02479133313645336,213
0.2520575523376465,0.0015895366668701172,451170,451410.0,1,1,13,13,13,13,1,5,3,4,0,240.0,0.00013333333333333334,0.0005319502626504422,40
0.31537938117980957,0.011709213256835938,41349,50068.0,378,252,9,9,2268,1087,44,0,378,665,0,8719.0,0.004843888888888889,0.2108636242714455,3742
0.3037726879119873,0.0010366439819335938,66783,66866.0,1,1,4,4,4,4,1,2,0,1,0,83.0,4.611111111111111e-05,0.001242831259452256,13
0.27858901023864746,0.0006566047668457031,257252,257252.0,1,1,5,5,5,5,0,0,0,0,5,0.0,0.0,0.0,16
0.2561838626861572,0.011436700820922852,117340,146875.0,1,1,919,919,919,919,613,260,46,0,0,29535.0,0.016408333333333334,0.2517044486108744,2758
0.25484395027160645,0.007291078567504883,118089,141824.0,1,1,676,676,676,676,613,30,29,4,0,23735.0,0.01318611111111111,0.20099247177975935,2029
0.2494499683380127,0.003344297409057617,439893,440855.0,1,1,42,42,42,42,16,14,4,7,1,962.0,0.0005344444444444445,0.0021868954495752376,127
0.3719921112060547,0.0017213821411132812,15869,16071.0,3,1,17,17,17,8,4,1,1,2,0,202.0,0.00011222222222222223,0.012729220492784675,45
0.33840036392211914,0.001432657241821289,9542,9619.0,1,1,13,13,13,6,0,3,1,2,0,77.0,4.277777777777778e-05,0.008069587088660658,33
0.24922966957092285,0.0034422874450683594,439270,439817.0,1,1,42,42,42,42,6,5,15,16,0,547.0,0.0003038888888888889,0.0012452477974821863,127
0.29817700386047363,0.04188179969787598,38079,60195.0,7,7,17889,245,1715,1537,6,177,1260,94,0,22116.0,0.012286666666666666,0.5807925628299062,21148
0.2677133083343506,0.019171476364135742,402394,414550.0,1,1,2617,442,442,442,164,206,64,8,0,12156.0,0.006753333333333333,0.03020919795026765,3502
0.26033830642700195,0.0017383098602294922,451536,451877.0,1,1,17,17,17,17,6,4,3,4,0,341.0,0.00018944444444444445,0.0007552000283476844,52
0.31154465675354004,0.0006375312805175781,257942,257942.0,1,1,5,5,5,5,0,0,0,0,5,0.0,0.0,0.0,16
0.263608455657959,0.0011239051818847656,452285,452386.0,1,1,9,9,9,9,1,0,4,4,0,101.0,5.6111111111111114e-05,0.0002233105232320329,28
0.2696802616119385,0.025958776473999023,226660,242379.0,1,1,5497,523,523,523,328,122,70,3,0,15719.0,0.008732777777777779,0.06935056913438631,6544
0.27481508255004883,0.041739702224731445,94225,104930.0,1,1,425,221,221,221,0,0,0,221,0,10705.0,0.005947222222222222,0.1136110374104537,868
0.36203980445861816,0.0006515979766845703,130217,130217.0,1,1,5,5,5,4,0,0,0,0,4,0.0,0.0,0.0,15
0.32039976119995117,0.0009019374847412109,901072,901072.0,21,7,5,5,35,21,0,0,0,0,21,0.0,0.0,0.0,82
0.3544437885284424,0.0016360282897949219,44603,44708.0,1,1,17,17,17,7,2,0,2,3,0,105.0,5.833333333333333e-05,0.002354101742035289,42
0.2608222961425781,0.0016205310821533203,452487,452819.0,1,1,17,17,17,17,6,4,3,4,0,332.0,0.00018444444444444443,0.0007337227367858082,52
0.3700695037841797,0.001741647720336914,26209,26374.0,1,1,17,17,17,10,1,3,4,2,0,165.0,9.166666666666667e-05,0.00629554733106948,45
0.3264744281768799,0.027010679244995117,41846,54902.0,1,1,5497,767,767,460,217,190,47,6,0,13056.0,0.007253333333333333,0.31200114706304066,6725
0.27002620697021484,0.06357693672180176,235296,375096.0,1,1,21248,4651,4651,4650,2128,2486,20,16,0,139800.0,0.07766666666666666,0.5941452468380253,30550
0.2621004581451416,0.008355379104614258,117881,143592.0,1,1,730,730,730,730,673,24,29,4,0,25711.0,0.01428388888888889,0.21810978868519948,2191
0.3077280521392822,0.033536672592163086,39661,66476.0,1,1,8257,1540,1540,802,616,152,28,6,0,26815.0,0.014897222222222221,0.6761049897884571,10600
0.26007628440856934,0.03251194953918457,103359,93075.0,1,1,360,198,198,198,0,0,0,198,0,10284.0,0.005713333333333333,0.09949786665892665,757
0.30048060417175293,0.11182308197021484,140572,504247.0,7,7,21135,2904,20328,14312,1679,12388,133,112,0,363675.0,0.20204166666666667,2.5871083857382695,55782
0.3577156066894531,0.0017883777618408203,6165,6345.0,1,1,17,17,17,7,4,0,2,1,0,180.0,0.0001,0.029197080291970802,42
0.340104341506958,0.0014190673828125,13459,13491.0,1,1,13,13,13,4,0,1,0,3,0,32.0,1.7777777777777777e-05,0.0023775912029125493,31
0.2647569179534912,0.0016252994537353516,452073,452466.0,1,1,17,17,17,17,6,4,3,4,0,393.0,0.00021833333333333335,0.0008693286261289659,52
0.3782041072845459,0.006727933883666992,4929,16572.0,154,77,17,17,1309,655,0,288,308,59,0,11643.0,0.006468333333333334,2.3621424223980525,2135
0.3176753520965576,0.04375791549682617,248681,310118.0,7,7,8257,892,6244,1862,1617,0,189,56,0,61437.0,0.034131666666666664,0.24705144341545995,16370
0.30591392517089844,0.0018355846405029297,64232,64495.0,1,1,17,17,17,17,1,5,8,3,0,263.0,0.0001461111111111111,0.004094532320338772,52
