baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.04269981384277344,0.024248123168945312,80043,81891.0,1,1,8257,289,289,289,240,28,18,3,0,0,0,1848.0,0.0030803388372721,0.02308759042014917,8836
0.035997629165649414,0.001417398452758789,38619,38854.0,7,7,17,17,119,70,21,21,7,21,0,0,0,235.0,0.000391709754739688,0.006085087651156167,213
0.025121450424194336,0.017500638961791992,94973,96514.0,1,1,8257,233,233,233,209,7,12,5,0,0,0,1541.0,0.002568615881080252,0.0162256641361229,8724
0.032218217849731445,0.12332653999328613,5464,8111.0,1,1,108065,2749,2749,875,53,197,561,64,0,0,0,2647.0,0.004412152003387039,0.4844436310395315,111690
0.036743879318237305,0.0010647773742675781,21726,21786.0,1,1,17,17,17,17,6,4,3,4,0,0,0,60.0,0.00010001100121013311,0.0027616680475006906,52
0.031113147735595703,0.03017139434814453,15435,25979.0,1,1,18886,2959,2959,2067,438,1583,30,16,0,0,0,10544.0,0.017575266612660727,0.6831227729186913,23913
0.02436995506286621,0.11692547798156738,38063,50144.0,1,1,109356,3126,3126,3126,374,1226,1475,51,0,0,0,12081.0,0.0201372150936603,0.3173948453879095,115609
0.032608985900878906,0.006992340087890625,13582,14216.0,7,7,2065,37,259,182,0,98,77,7,0,0,0,634.0,0.0010567829127870732,0.046679428655573556,2513
0.0238649845123291,0.012283086776733398,133670,138468.0,1,1,5401,774,774,774,580,142,43,9,0,0,0,4798.0,0.007997546396770312,0.035894366724021846,6950
0.021384239196777344,0.0008382797241210938,150009,150081.0,1,1,17,17,17,17,6,4,3,4,0,0,0,72.0,0.00012001320145215974,0.0004799712017278963,52
0.021291494369506836,0.0014061927795410156,151920,152083.0,1,1,41,41,41,41,15,4,15,6,1,0,0,163.0,0.0002716965532875283,0.0010729331226961558,124
0.0603032112121582,0.0005960464477539062,3927,3927.0,27,9,1,1,9,9,0,0,0,0,0,0,9,0.0,0.0,0.0,46
0.0208737850189209,0.0051419734954833984,39466,45336.0,1,1,937,932,932,932,668,254,6,4,0,0,0,5870.0,0.009784409618391356,0.14873562053413064,2802
0.02000570297241211,0.0007817745208740234,150659,150707.0,1,1,17,17,17,17,1,5,8,3,0,0,0,48.0,8.00088009681065e-05,0.00031860028275775096,52
0.024840593338012695,0.006072282791137695,124912,125042.0,1,1,2065,41,41,41,0,21,15,5,0,0,0,130.0,0.00021669050262195508,0.0010407326758037658,2148
0.041204214096069336,0.13185429573059082,15848,19179.0,7,7,114678,2341,16387,1452,86,180,710,476,0,0,0,3331.0,0.005552277417182557,0.21018425037859667,132524
0.02553558349609375,0.012012004852294922,90899,91755.0,1,1,5401,140,140,140,90,35,12,3,0,0,0,856.0,0.0014268236172645659,0.009417045292027415,5682
0.026394128799438477,0.0304720401763916,54601,75755.0,1,1,19738,3450,3450,3450,2133,1293,10,14,0,0,0,21154.0,0.0352605453266526,0.3874288016702991,26639
0.03904390335083008,0.0007212162017822266,11231,11244.0,3,1,4,4,4,4,1,2,0,1,0,0,0,13.0,2.1669050262195507e-05,0.0011575104621137922,15
0.031191110610961914,0.0016644001007080078,21667,21786.0,1,1,32,32,32,28,11,4,5,7,1,0,0,119.0,0.00019835515240009734,0.005492223196566207,93
0.027637004852294922,0.04116487503051758,17412,15323.0,1,1,450,108,108,108,0,0,0,108,0,0,0,2089.0,0.0034820496921328012,0.11997473007121526,667
0.028252363204956055,0.011330366134643555,119638,122797.0,1,1,4945,511,511,511,385,41,79,6,0,0,0,3159.0,0.005265579213713508,0.026404654039686386,5968
0.02880549430847168,0.02468419075012207,89002,103512.0,1,1,16513,2216,2216,2216,2003,48,148,17,0,0,0,14510.0,0.024185993792650524,0.16303004426866813,20946
0.0464625358581543,0.01273345947265625,11432,13055.0,1,1,5401,756,756,281,159,99,17,6,0,0,0,1623.0,0.0027052975827341007,0.1419699090272918,6439
0.02686333656311035,0.006021976470947266,78142,78883.0,1,1,1969,172,172,172,0,156,10,6,0,0,0,741.0,0.001235135864945144,0.0094827365565253,2314
0.029421567916870117,0.1218569278717041,38678,49847.0,1,1,104478,2634,2634,2634,409,1336,825,64,0,0,0,11169.0,0.01861704787526628,0.288768809142148,109747
0.0497744083404541,0.0009093284606933594,43397,43397.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.027436256408691406,0.034357309341430664,38578,41471.0,1,1,20853,1030,1030,1030,63,99,800,68,0,0,0,2893.0,0.004822197108348585,0.07499092747161595,22914
0.03395485877990723,0.0010690689086914062,21459,21476.0,1,1,9,9,9,9,1,0,4,4,0,0,0,17.0,2.8336450342871048e-05,0.0007922083974090126,28
0.03500485420227051,0.03261566162109375,34073,36311.0,1,1,425,221,221,221,0,0,0,221,0,0,0,2238.0,0.003730410345137965,0.06568250520940334,868
0.029714345932006836,0.0009100437164306641,151288,151325.0,1,1,13,13,13,13,1,5,3,4,0,0,0,37.0,6.167345074624876e-05,0.0002445666543281688,40
0.027437448501586914,0.0007443428039550781,151325,151368.0,1,1,13,13,13,13,1,5,3,4,0,0,0,43.0,7.167455086726206e-05,0.000284156616553775,40
0.0326693058013916,0.02680659294128418,19105,17640.0,1,1,360,108,108,108,0,0,0,108,0,0,0,1465.0,0.002441935279547417,0.07668149699031668,577
0.02859210968017578,0.010159492492675781,65807,67551.0,1,1,2521,330,330,330,128,159,40,3,0,0,0,1744.0,0.002906986435174536,0.02650173993648092,3182
0.04255414009094238,0.0013458728790283203,41816,41997.0,7,7,13,13,91,63,7,14,21,21,0,0,0,181.0,0.00030169985365056826,0.004328486703654104,174
0.03838086128234863,0.07985877990722656,25308,58119.0,21,21,16597,2277,47817,6555,3604,72,2695,184,0,0,0,32811.0,0.054691016011761295,1.2964675201517306,70990
0.03240847587585449,0.025002241134643555,14637,17464.0,1,1,450,108,108,108,0,0,0,108,0,0,0,2827.0,0.0047121850070174385,0.19314067090250733,667
0.026025772094726562,0.0004322528839111328,156211,156233.0,1,1,4,4,4,4,1,2,0,1,0,0,0,22.0,3.667070044371547e-05,0.00014083515245405255,13
0.026736974716186523,0.009954452514648438,95160,98703.0,1,1,4849,507,507,507,498,0,0,9,0,0,0,3543.0,0.00590564962145836,0.03723203026481715,5864
0.027253389358520508,0.008664131164550781,86194,88081.0,1,1,2521,349,349,349,125,198,20,6,0,0,0,1887.0,0.0031453459880586864,0.021892475114277096,3220
0.026279687881469727,0.005890369415283203,39576,45581.0,1,1,937,937,937,937,673,254,6,4,0,0,0,6005.0,0.010009434371114156,0.15173337376187587,2812
0.026587963104248047,0.024956226348876953,12997,14600.0,1,1,425,102,102,102,0,0,0,102,0,0,0,1603.0,0.002671960582330723,0.12333615449719167,630
0.03359079360961914,0.0006146430969238281,38586,38693.0,7,7,4,4,28,28,7,14,0,7,0,0,0,107.0,0.00017835295215807073,0.0027730264862903644,67
0.0234372615814209,0.005126237869262695,39056,45012.0,1,1,937,932,932,932,668,254,6,4,0,0,0,5956.0,0.009927758720125881,0.15249897582957805,2802
0.036054372787475586,0.0007140636444091797,21558,21599.0,1,1,13,13,13,13,1,5,3,4,0,0,0,41.0,6.83408508269243e-05,0.0019018461823916875,40
0.028400897979736328,0.12148094177246094,38358,51398.0,1,1,107198,3454,3454,3454,392,1412,1602,48,0,0,0,13040.0,0.021735724263002264,0.3399551592888055,114107
0.025356531143188477,0.0009601116180419922,150317,150367.0,1,1,17,17,17,17,6,4,3,4,0,0,0,50.0,8.334250100844426e-05,0.0003326303744752756,52
0.025969743728637695,0.009012699127197266,126254,126836.0,1,1,4849,101,101,101,60,21,15,5,0,0,0,582.0,0.0009701067117382912,0.004609754938457396,5052
0.02547287940979004,0.010810613632202148,95333,100435.0,1,1,4849,799,799,799,623,121,49,6,0,0,0,5102.0,0.008504268802901652,0.053517669642201546,6448
0.025128602981567383,0.017489194869995117,25915,22373.0,1,1,340,153,153,153,0,0,0,153,0,0,0,3542.0,0.005903982771438191,0.13667759984564923,647
0.05038642883300781,0.008318185806274414,16997,20113.0,462,308,13,13,4004,1408,24,404,377,603,0,0,0,3116.0,0.005193904662846247,0.18332646937694888,5887
0.022213220596313477,0.018878459930419922,90678,97713.0,1,1,8353,1077,1077,1077,875,156,40,6,0,0,0,7035.0,0.011726289891888108,0.0775822139879574,10508
0.022663593292236328,0.005867481231689453,39443,45412.0,1,1,973,972,972,972,672,254,46,0,0,0,0,5969.0,0.009949427770388077,0.15133230230966205,2918
0.024021387100219727,0.03282928466796875,37405,40619.0,1,1,26570,1049,1049,1049,87,94,800,68,0,0,0,3214.0,0.005357255964822797,0.08592434166555274,28669
0.02196335792541504,0.0009431838989257812,150079,150131.0,1,1,17,17,17,17,6,4,3,4,0,0,0,52.0,8.667620104878203e-05,0.00034648418499590215,52
