runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.03565526008605957,398930,415450.0,1,1,8257,289,289,289,240,28,18,3,0,16520.0,0.005507270630679164,0.04141077381996842,8836
0.0027086734771728516,191701,194126.0,7,7,17,17,119,70,21,21,7,21,0,2425.0,0.0008084219902782672,0.012649907929536101,213
0.028429031372070312,472429,486053.0,1,1,8257,234,234,234,210,7,12,5,0,13624.0,0.00454183142084582,0.028838195792383618,8726
0.23257184028625488,27013,104662.0,1,1,111005,7914,7914,2121,266,990,801,64,0,77649.0,0.025885838813656564,2.8745048680265057,121041
0.0019154548645019531,107352,108019.0,1,1,17,17,17,17,6,4,3,4,0,667.0,0.00022235771856313576,0.006213205156867129,52
0.05196809768676758,77182,214107.0,1,1,19392,3085,3085,2897,829,2022,30,16,0,136925.0,0.0456466725850935,1.7740535357985023,25375
0.2267622947692871,188215,528980.0,1,1,111900,7828,7828,7828,1908,4394,1475,51,0,340765.0,0.1136007915534737,1.8105092580293813,127557
0.013442516326904297,68110,74090.0,7,7,2065,37,259,182,0,98,77,7,0,5980.0,0.001993551959531562,0.08779914843635296,2513
0.02376389503479004,668624,726884.0,1,1,5401,1012,1012,1012,813,146,44,9,0,58260.0,0.019422129960252308,0.08713417406494532,7426
0.001560211181640625,751362,752095.0,1,1,17,17,17,17,6,4,3,4,0,733.0,0.00024436013149442055,0.0009755617132620495,52
0.0030519962310791016,760068,761571.0,1,1,41,41,41,41,15,4,15,6,1,1503.0,0.0005010549490260765,0.0019774546487945814,124
0.0010178089141845703,19822,19822.0,27,9,5,5,45,27,0,0,0,0,27,0.0,0.0,0.0,104
0.009451866149902344,195922,248445.0,1,1,937,937,937,937,673,254,6,4,0,52523.0,0.017509586884695023,0.2680811751615439,2812
0.0016014575958251953,750992,751504.0,1,1,17,17,17,17,1,5,8,3,0,512.0,0.0001706853851639063,0.0006817649189338901,52
0.011728048324584961,624650,625936.0,1,1,2065,41,41,41,0,21,15,5,0,1286.0,0.0004287136822671553,0.0020587529016249098,2148
0.299039363861084,78299,201468.0,7,7,117228,7028,49196,4040,456,929,2179,476,0,123169.0,0.04106083633838511,1.5730596814774136,170471
0.021242380142211914,454920,462269.0,1,1,5401,140,140,140,90,35,12,3,0,7349.0,0.0024499353429092725,0.01615448870131012,5682
0.052062273025512695,271714,471436.0,1,1,20181,3692,3692,3692,2351,1317,10,14,0,199722.0,0.06658130174942518,0.7350449369557697,27566
0.0009021759033203125,55911,56070.0,3,1,4,4,4,4,1,2,0,1,0,159.0,5.300581297082247e-05,0.002843805333476418,15
0.002519845962524414,108628,109854.0,1,1,32,32,32,32,15,4,5,7,1,1226.0,0.00040871148869326004,0.011286224546157528,97
0.040653228759765625,86554,76525.0,1,1,450,108,108,108,0,0,0,108,0,10029.0,0.0033433666558765943,0.11586986158929685,667
0.02019667625427246,593621,631460.0,1,1,4945,673,673,673,545,42,80,6,0,37839.0,0.012614383377377053,0.06374269104361201,6292
0.043164968490600586,443815,590283.0,1,1,16949,2477,2477,2477,2262,50,148,17,0,146468.0,0.048828021473021545,0.3300203913792909,21904
0.02364206314086914,57503,94582.0,1,1,5401,978,978,649,517,108,18,6,0,37079.0,0.01236102225877438,0.6448185312070674,7029
0.010877609252929688,390805,397714.0,1,1,1969,181,181,181,0,165,10,6,0,6909.0,0.0023032525900340403,0.017678893565844858,2332
