runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.038045644760131836,80043,151911.0,1,1,8257,301,301,289,240,28,18,3,0,71868.0,0.11979317724949745,0.8978673962745024,8848
0.0037343502044677734,38619,51485.0,7,7,17,17,119,70,21,21,7,21,0,12866.0,0.02144569235949288,0.3331520754032989,213
0.03415632247924805,94973,153646.0,1,1,8257,243,243,233,209,7,12,5,0,58673.0,0.09779909123336901,0.6177861076305897,8734
0.31117844581604004,5464,154508.0,1,1,108065,2898,2898,892,59,207,562,64,0,149044.0,0.24843399440605132,27.27745241581259,111856
0.0013263225555419922,21726,25003.0,1,1,17,17,17,17,6,4,3,4,0,3277.0,0.005462267516093437,0.15083310319432938,52
0.07268786430358887,15435,485334.0,1,1,18886,2980,2980,2073,442,1585,30,16,0,469899.0,0.783251157627339,30.443731778425654,23940
0.31496095657348633,38063,625277.0,1,1,109356,3261,3261,3127,375,1226,1475,51,0,587214.0,0.9787976677434518,15.427422956677088,115745
0.012967109680175781,13582,47075.0,7,7,2065,40,280,183,0,98,78,7,0,33493.0,0.05582780772551647,2.4659843911058754,2535
0.025965213775634766,133670,325193.0,1,1,5401,779,779,774,580,142,43,9,0,191523.0,0.3192401164128054,1.4328046682127629,6955
0.0011229515075683594,150009,153162.0,1,1,17,17,17,17,6,4,3,4,0,3153.0,0.005255578113592495,0.02101873887566746,52
0.001986265182495117,151920,159432.0,1,1,41,41,41,41,15,4,15,6,1,7512.0,0.012521377351508666,0.04944707740916272,124
0.0008833408355712891,3927,4269.0,27,9,5,5,45,25,0,0,0,0,25,342.0,0.0005700627068977587,0.08708938120702826,102
0.011581897735595703,39466,273105.0,1,1,937,932,932,932,668,254,6,4,0,233639.0,0.3894411718622382,5.920007094714438,2802
0.001028299331665039,150659,153450.0,1,1,17,17,17,17,1,5,8,3,0,2791.0,0.004652178406291359,0.01852527894118506,52
0.011188268661499023,124912,131819.0,1,1,2065,43,43,41,0,21,15,5,0,6907.0,0.01151293308930649,0.055294927629050854,2150
0.37922191619873047,15848,246066.0,7,7,114678,2474,17318,1573,125,235,737,476,0,230218.0,0.3837388779432404,14.526627965673901,133576
0.02444171905517578,90899,124099.0,1,1,5401,150,150,140,90,35,12,3,0,33200.0,0.05533942066960699,0.3652405417001287,5692
0.07767677307128906,54601,904575.0,1,1,19738,3465,3465,3450,2133,1293,10,14,0,849974.0,1.416779179043028,15.567004267321112,26654
0.0008351802825927734,11231,12028.0,3,1,4,4,4,4,1,2,0,1,0,797.0,0.0013284794660746015,0.07096429525420711,15
0.0023632049560546875,21667,26711.0,1,1,32,32,32,28,11,4,5,7,1,5044.0,0.008407591501731856,0.2327964185166382,93
0.026881694793701172,17412,24164.0,1,1,450,109,109,108,0,0,0,108,0,6752.0,0.011254571336180312,0.3877785435331955,668
0.023215532302856445,119638,243080.0,1,1,4945,520,520,511,385,41,79,6,0,123442.0,0.20575930018968752,1.0317959176850164,5977
0.06309008598327637,89002,652084.0,1,1,16513,2232,2232,2216,2003,48,148,17,0,563082.0,0.9385732430567363,6.3266218736657605,20962
0.02519822120666504,11432,79915.0,1,1,5401,762,762,283,161,99,17,6,0,68483.0,0.11415088993122577,5.990465360391882,6447
0.010595560073852539,78142,114515.0,1,1,1969,174,174,172,0,156,10,6,0,36373.0,0.06062833578360286,0.4654731130506002,2316
0.308992862701416,38678,567040.0,1,1,104478,2742,2742,2635,410,1336,825,64,0,528362.0,0.8807002103564725,13.660530534153782,109856
0.0006895065307617188,43397,43493.0,1,1,5,5,5,4,0,0,0,0,4,96.0,0.000160017601936213,0.00221213447934189,15
0.06812286376953125,38578,201098.0,1,1,20853,1053,1053,1031,64,99,800,68,0,162520.0,0.2708964652778472,4.212763751360879,22938
0.0011348724365234375,21459,22642.0,1,1,9,9,9,9,1,0,4,4,0,1183.0,0.001971883573859791,0.05512838436087422,28
0.03620767593383789,34073,53668.0,1,1,425,221,221,221,0,0,0,221,0,19595.0,0.032661926145209304,0.5750887799724121,868
0.005510807037353516,151288,153391.0,1,1,13,13,13,13,1,5,3,4,0,2103.0,0.0035053855924151657,0.013900639839247,40
0.0011856555938720703,151325,153448.0,1,1,13,13,13,13,1,5,3,4,0,2123.0,0.003538722592818543,0.014029406905666612,40
0.02797865867614746,19105,26366.0,1,1,360,110,110,108,0,0,0,108,0,7261.0,0.012102997996446275,0.3800575765506412,579
0.014938116073608398,65807,140803.0,1,1,2521,330,330,330,128,159,40,3,0,74996.0,0.1250070841125857,1.1396356010758735,3182
0.0016465187072753906,41816,51405.0,7,7,13,13,91,63,7,14,21,21,0,9589.0,0.01598342484339944,0.22931413812894585,174
0.23619842529296875,25308,1481770.0,21,21,16597,2298,48258,6862,3888,77,2712,185,0,1456462.0,2.427703714075215,57.54947052315473,71738
0.03205108642578125,14637,25816.0,1,1,450,109,109,108,0,0,0,108,0,11179.0,0.018633716375467967,0.7637494021999044,668
0.0007874965667724609,156211,157060.0,1,1,4,4,4,4,1,2,0,1,0,849.0,0.0014151556671233836,0.005434956565158663,13
0.02337360382080078,95160,228384.0,1,1,4849,514,514,507,498,0,0,9,0,133224.0,0.22206442708697957,1.4,5871
0.015996456146240234,86194,166415.0,1,1,2521,355,355,349,125,198,20,6,0,80221.0,0.13371637546796813,0.9307028331438383,3226
0.011556148529052734,39576,274143.0,1,1,937,937,937,937,673,254,6,4,0,234567.0,0.3909880086809549,5.927001212856276,2812
0.03253746032714844,12997,22504.0,1,1,425,103,103,102,0,0,0,102,0,9507.0,0.01584674314174559,0.7314764945756713,631
0.0009999275207519531,38586,44176.0,7,7,4,4,28,28,7,14,0,7,0,5590.0,0.009317691612744068,0.14487119680713212,67
0.044824838638305664,39056,272823.0,1,1,937,932,932,932,668,254,6,4,0,233767.0,0.3896545286648198,5.985431175747644,2802
0.0012745857238769531,21558,23662.0,1,1,13,13,13,13,1,5,3,4,0,2104.0,0.0035070524424353345,0.09759717970127099,40
0.34209656715393066,38358,689540.0,1,1,107198,3584,3584,3454,392,1412,1602,48,0,651182.0,1.085422729833615,16.976432556441942,114237
0.0011494159698486328,150317,153578.0,1,1,17,17,17,17,6,4,3,4,0,3261.0,0.005435597915770735,0.021694153023277474,52
0.0188596248626709,126254,148830.0,1,1,4849,106,106,101,60,21,15,5,0,22576.0,0.037630806055332755,0.17881413658181128,5057
0.02283787727355957,95333,294009.0,1,1,4849,803,803,799,623,121,49,6,0,198676.0,0.33116309460707344,2.084021272801653,6452
0.020125865936279297,25915,34091.0,1,1,340,153,153,153,0,0,0,153,0,8176.0,0.013628165764900805,0.3154929577464789,647
0.02033257484436035,16997,216039.0,462,308,13,13,4004,1424,26,414,377,607,0,199042.0,0.33177316171445526,11.71041948579161,5903
0.0389096736907959,90678,364152.0,1,1,8353,1085,1085,1077,875,156,40,6,0,273474.0,0.45584014241566573,3.0158803678951895,10516
0.012563943862915039,39443,280904.0,1,1,973,972,972,972,672,254,46,0,0,241461.0,0.4024792727199992,6.121770656390234,2918
0.08797883987426758,37405,203328.0,1,1,26570,1083,1083,1049,87,94,800,68,0,165923.0,0.27656875589648194,4.435850822082609,28703
0.0012443065643310547,150079,153233.0,1,1,17,17,17,17,6,4,3,4,0,3154.0,0.005257244963612664,0.02101559845148222,52
