baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.07887744903564453,0.09073448181152344,80043,82835.0,1,1,8257,289,289,289,240,28,18,3,0,2792.0,0.004653845256311528,0.03488125132741152,8836
0.04277777671813965,0.0019450187683105469,38619,39051.0,7,7,17,17,119,70,21,21,7,21,0,432.0,0.0007200792087129585,0.01118620368212538,213
0.022936582565307617,0.020688772201538086,94973,97268.0,1,1,8257,233,233,233,209,7,12,5,0,2295.0,0.003825420796287592,0.024164762616743708,8724
0.03237414360046387,0.154280424118042,5464,9790.0,1,1,108065,2749,2749,874,53,196,561,64,0,4326.0,0.007210793187250598,0.791727672035139,111689
0.02923417091369629,0.0014955997467041016,21726,21844.0,1,1,17,17,17,17,6,4,3,4,0,118.0,0.00019668830237992845,0.0054312804934180245,52
0.03292441368103027,0.03319859504699707,15435,32550.0,1,1,18886,2959,2959,2067,438,1583,30,16,0,17115.0,0.02852813809519047,1.1088435374149659,23913
0.02260136604309082,0.12812209129333496,38063,57044.0,1,1,109356,3126,3126,3126,374,1226,1475,51,0,18981.0,0.03163848023282561,0.4986732522397079,115609
0.03088235855102539,0.010782718658447266,13582,14631.0,7,7,2065,37,259,182,0,98,77,7,0,1049.0,0.0017485256711571606,0.07723457517302312,2513
0.02140021324157715,0.015685319900512695,133670,141253.0,1,1,5401,774,774,774,580,142,43,9,0,7583.0,0.012639723702940657,0.0567292586219795,6950
0.02126932144165039,0.0016117095947265625,150009,150122.0,1,1,17,17,17,17,6,4,3,4,0,113.0,0.00018835405227908404,0.0007532881360451706,52
0.02148270606994629,0.002695322036743164,151920,152174.0,1,1,41,41,41,41,15,4,15,6,1,254.0,0.00042337990512289687,0.0016719325961032123,124
0.07461071014404297,0.0033588409423828125,3927,3927.0,27,9,5,5,45,25,0,0,0,0,25,0.0,0.0,0.0,102
0.023268461227416992,0.0066831111907958984,39466,48452.0,1,1,937,932,932,932,668,254,6,4,0,8986.0,0.014978314281237602,0.2276896569198804,2802
0.02254962921142578,0.0008919239044189453,150659,150740.0,1,1,17,17,17,17,1,5,8,3,0,81.0,0.0001350148516336797,0.0005376379771537047,52
0.02236485481262207,0.007109642028808594,124912,125104.0,1,1,2065,41,41,41,0,21,15,5,0,192.0,0.000320035203872426,0.001537082105802485,2148
0.033867835998535156,0.1478590965270996,15848,21413.0,7,7,114678,2341,16387,1452,86,180,710,476,0,5565.0,0.009276020362239847,0.35114840989399293,132524
0.02283477783203125,0.013010501861572266,90899,92219.0,1,1,5401,140,140,140,90,35,12,3,0,1320.0,0.0022002420266229285,0.01452161189892078,5682
0.02429938316345215,0.03274250030517578,54601,87048.0,1,1,19738,3450,3450,3450,2133,1293,10,14,0,32447.0,0.05408428260441982,0.594256515448435,26639
0.03934168815612793,0.002496957778930664,11231,11255.0,3,1,4,4,4,4,1,2,0,1,0,24.0,4.000440048405325e-05,0.002136942391594693,15
0.03176617622375488,0.002518892288208008,21667,21851.0,1,1,32,32,32,28,11,4,5,7,1,184.0,0.0003067004037110749,0.008492177043430102,93
0.0241851806640625,0.028964519500732422,17412,15349.0,1,1,450,108,108,108,0,0,0,108,0,2063.0,0.0034387115916084104,0.11848150700666207,667
0.022539615631103516,0.01228642463684082,119638,124536.0,1,1,4945,511,511,511,385,41,79,6,0,4898.0,0.0081642313987872,0.040940169511359266,5968
0.02237868309020996,0.02777862548828125,89002,111487.0,1,1,16513,2216,2216,2216,2003,48,148,17,0,22485.0,0.03747912270349738,0.25263477225230896,20946
0.03204989433288574,0.01549077033996582,11432,13971.0,1,1,5401,756,756,281,159,99,17,6,0,2539.0,0.0042321322012088,0.22209587123862842,6439
