true_counts,estimates,absolute_error,normalized_error,relative_error
122074,49531,72543,0.13386564902963413,0.5942543047659616
7023,203,6820,0.012585138833272745,0.9710949736579809
2774,113,2661,0.004910418538905979,0.9592645998558039
455,21,434,0.0008008724712082655,0.9538461538461539
4794,85,4709,0.00868965084543715,0.9822695035460993
5431,101,5330,0.009835599704009344,0.981403056527343
6262,821,5441,0.010040431142498094,0.8688917278824657
123604,4209,119395,0.22032296935463333,0.9659477039578007
119674,39613,80061,0.14773882699862892,0.6689924294332937
378,11,367,0.0006772354768051462,0.9708994708994709
7027,357,6670,0.012308339592071732,0.949195958445994
49453,941,48512,0.0895205652609571,0.9809718318403332
6564,107,6457,0.011915284669566293,0.9836989640463132
6013,192,5821,0.010741655886873995,0.9680691834358889
9915,1579,8336,0.015382656497677654,0.8407463439233485
1192,154,1038,0.0019154507491110132,0.8708053691275168
2167,0,2167,0.003998826371217307,1.0
10270,2448,7822,0.014434157764495515,0.7616358325219085
9369,2591,6778,0.012507635045736461,0.72344967445832
124981,2124,122857,0.22671149584155273,0.9830054168233572
2633,48,2585,0.0047701735900307985,0.9817698442840866
3651,81,3570,0.00658782194058412,0.9778142974527527
3802,113,3689,0.0068074160052702575,0.9702788006312467
6828,55,6773,0.012498408404363094,0.9919449326303457
114847,29384,85463,0.15770729033841474,0.7441465602061874
1996,28,1968,0.0036316060445572966,0.9859719438877755
218046,163815,54231,0.1000739976638144,0.24871357419993947
2842,111,2731,0.005039591518133118,0.9609429978888107
83957,1475,82482,0.15220636675161328,0.9824314827828531
1043,109,934,0.0017235366085449771,0.8954937679769894
124895,2943,121952,0.2250414737529733,0.9764362064133872
2443,70,2373,0.004378963995800033,0.9713467048710601
4836,62,4774,0.008809597183290921,0.9871794871794872
11409,1563,9846,0.018169102192434523,0.8630028924533263
6570,1651,4919,0.009077169783118568,0.7487062404870624
1542,13,1529,0.002821506931975664,0.9915693904020753
2997,362,2635,0.00486244000376447,0.8792125458792125
220209,28541,191668,0.35369037975010564,0.8703913100736119
218046,163875,54171,0.099963277967334,0.24843840290580887
50189,884,49305,0.09098391058277312,0.9823865787323915
3049,100,2949,0.005441873082011925,0.9672023614299771
9927,6854,3073,0.005670693788071429,0.30955978644101945
122908,5479,117429,0.2166950539666254,0.9554219416148664
6829,164,6665,0.012299112950698365,0.9759847708302826
5046,1164,3882,0.007163564362282228,0.7693222354340071
4752,2350,2402,0.004432478515765562,0.5054713804713805
4838,896,3942,0.007274284058762633,0.8147995039272427
120095,2724,117371,0.21658802492669432,0.9773179566176776
5740,1366,4374,0.008071465873421552,0.7620209059233449
5163,635,4528,0.008355646427721259,0.8770094906062367
2910,38,2872,0.005299782804862071,0.9869415807560138
3167,47,3120,0.0057574242169810795,0.9851594568992738
5522,129,5393,0.009951855385313771,0.9766388989496559
3848,180,3668,0.0067686641115021155,0.9532224532224532
6719,268,6451,0.011904212699918253,0.9601131120702485
135494,38687,96807,0.17864069428631008,0.714474441672694
124987,3499,121488,0.2241852414335248,0.9720050885292071
122516,3574,118942,0.21948703564620628,0.9708282999771458
2142,455,1687,0.003113068799374065,0.7875816993464052
81200,3767,77433,0.14288930429278718,0.9536083743842364
122039,3213,118826,0.21927297756634417,0.9736723506420079
125805,4617,121188,0.22363164295112278,0.9633003457732204
79597,16397,63200,0.11662474695936033,0.7939997738608239
120505,3668,116837,0.21560261962801872,0.9695614289863491
124647,4211,120436,0.22224395608856837,0.9662165956661612
5085,149,4936,0.009108540363788015,0.9706981317600787
119070,2567,116503,0.2149862799842778,0.9784412530444276
