true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122080,6,1.1183722464743315e-05,4.915051526123499e-05
6933,6531,402,0.0007493094051378021,0.057983556901774126
2748,2735,13,2.4231398673610515e-05,0.004730713245997089
454,169,285,0.0005312268170753075,0.6277533039647577
4729,4745,16,2.9823259905982172e-05,0.0033833791499259885
5387,5010,377,0.000702710561534705,0.06998329311304993
6241,6239,2,3.7279074882477715e-06,0.0003204614645088928
122527,122525,2,3.7279074882477715e-06,1.6322932904584296e-05
119674,120057,383,0.0007138942839994483,0.0032003609806641378
373,6,367,0.0006840710240934661,0.9839142091152815
6933,6997,64,0.00011929303962392869,0.009231213039088419
48691,48811,120,0.0002236744492948663,0.0024645211640754966
6487,5991,496,0.0009245210570854474,0.07646061353476183
5970,5870,100,0.00018639537441238858,0.01675041876046901
9877,10135,258,0.0004809000659839625,0.026121291890250076
1174,1219,45,8.387791848557487e-05,0.03833049403747871
2097,2068,29,5.405465857959269e-05,0.013829279923700524
10194,10088,106,0.00019757909687713189,0.010398273494212282
9369,9420,51,9.506164095031817e-05,0.005443483829650976
123955,123692,263,0.000490219834704582,0.002121737727401073
2597,3007,410,0.0007642210350907932,0.15787447054293416
3635,3523,112,0.00020876281934187522,0.030811554332874826
3771,3703,68,0.00012674885460042424,0.018032352161230444
6741,6724,17,3.168721365010606e-05,0.0025218810265539237
114847,114794,53,9.878954843856594e-05,0.00046148353896923735
1987,2098,111,0.00020689886559775134,0.05586311021640664
216243,216328,85,0.0001584360682505303,0.0003930763076723871
2814,2828,14,2.6095352417734403e-05,0.004975124378109453
83310,83737,427,0.0007959082487408992,0.005125435121834113
1019,971,48,8.946977971794652e-05,0.047105004906771344
123898,123371,527,0.0009823036231532878,0.004253498845824791
2413,2374,39,7.269419602083154e-05,0.016162453377538334
4811,4862,51,9.506164095031817e-05,0.01060070671378092
11358,11098,260,0.0004846279734722103,0.022891354111639374
6570,6532,38,7.083024227670766e-05,0.00578386605783866
1538,1878,340,0.0006337442730021212,0.22106631989596878
2997,3018,21,3.91430286266016e-05,0.007007007007007007
218507,218915,408,0.0007604931276025454,0.0018672170685607326
216243,216252,9,1.6775583697114972e-05,4.161984434178216e-05
49377,50227,850,0.0015843606825053029,0.01721449257751585
3024,2844,180,0.00033551167394229946,0.05952380952380952
9853,9812,41,7.642210350907931e-05,0.004161169187049629
121831,121722,109,0.00020317095810950357,0.000894681977493413
6733,6500,233,0.0004343012223808654,0.03460567354819546
5046,5070,24,4.473488985897326e-05,0.0047562425683709865
4752,4784,32,5.9646519811964344e-05,0.006734006734006734
4838,4819,19,3.541512113835383e-05,0.003927242662257131
119049,118709,340,0.0006337442730021212,0.002855966870784299
