true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
122074,121465,125,947,15645,532,2017,3148,9948,0,609,0.0011238049192761146,0.004988777299015351
7023,7029,1,3701,798,106,313,120,152,107,6,1.1071969648040537e-05,0.0008543357539513029
2774,2770,1,2618,340,0,80,111,87,62,4,7.381313098693692e-06,0.0014419610670511895
455,451,1,2786,130,0,20,34,47,29,4,7.381313098693692e-06,0.008791208791208791
4794,4808,1,3893,651,77,282,73,123,96,14,2.5834595845427923e-05,0.002920317062995411
5431,5419,1,3515,508,61,161,73,131,82,12,2.2143939296081075e-05,0.0022095378383354815
6262,6505,1,17493,2602,434,2168,0,0,0,243,0.0004484147707456418,0.03880549345257106
123604,124037,125,4387,21675,3207,5791,6583,2740,3354,433,0.0007990271429335922,0.003503122876282321
119674,122696,125,6594,58387,500,39383,18504,0,0,3022,0.005576582046063084,0.025251934421846017
378,377,1,4122,113,12,21,28,28,24,1,1.845328274673423e-06,0.0026455026455026454
7027,7055,1,4119,872,212,294,108,150,108,28,5.1669191690855846e-05,0.003984630710118116
49453,48691,4750,2633,19340,0,4230,4320,5996,4794,762,0.0014061401453011485,0.015408569753098901
6564,6561,1,2696,599,76,96,184,133,110,3,5.535984824020269e-06,0.0004570383912248629
6013,6001,1,2685,615,0,205,184,137,89,12,2.2143939296081075e-05,0.0019956760352569432
9915,9983,1,9511,1644,586,0,1058,0,0,68,0.00012548232267779277,0.0068582955118507314
1192,1270,1,17493,809,115,694,0,0,0,78,0.000143935605424527,0.06543624161073826
2167,2155,125,3515,1706,121,346,63,864,312,12,2.2143939296081075e-05,0.0055376095985233045
10270,10388,1,9798,1779,794,0,985,0,0,118,0.00021774873641146393,0.011489776046738072
9369,9724,1,12449,3000,1514,957,529,0,0,355,0.0006550915375090652,0.037890916853452875
124981,124485,125,2795,17313,0,4371,5149,4484,3309,496,0.0009152828242380178,0.003968603227690609
2633,2637,1,3456,387,55,101,64,102,65,4,7.381313098693692e-06,0.0015191796429927839
3651,3633,1,2633,345,0,65,118,94,68,18,3.3215908944121615e-05,0.0049301561216105174
3802,3811,1,4594,591,61,184,172,128,46,9,1.6607954472060808e-05,0.002367175170962651
6828,6795,1,2782,596,37,88,213,150,108,33,6.089583306422296e-05,0.0048330404217926184
114847,120281,125,12126,60660,22923,19233,18504,0,0,5434,0.01002751384457538,0.04731512359922332
1996,1987,1,2469,267,0,71,66,74,56,9,1.6607954472060808e-05,0.0045090180360721445
218046,227265,125,16881,91838,12829,79009,0,0,0,9219,0.017012081364214286,0.042280069343166124
2842,2828,1,2612,355,0,79,122,93,61,14,2.5834595845427923e-05,0.0049261083743842365
83957,84052,4750,3515,20048,2425,5883,2359,4975,4406,95,0.00017530618609397518,0.0011315316173755613
1043,1022,1,2897,265,0,59,83,64,59,21,3.875189376814188e-05,0.020134228187919462
124895,124315,125,2634,15773,0,3222,4685,4546,3320,580,0.0010702903993105852,0.004643900876736459
2443,2434,1,3305,384,64,46,117,94,63,9,1.6607954472060808e-05,0.0036839950880065493
4836,4828,1,3982,560,47,171,179,112,51,8,1.4762626197387384e-05,0.0016542597187758478
11409,11586,1,9511,1699,660,0,1039,0,0,177,0.0003266231046171959,0.015514067841178017
6570,6632,1,6222,1803,26,1165,612,0,0,62,0.00011441035302975222,0.009436834094368341
1542,1540,1,3188,243,22,26,84,72,39,2,3.690656549346846e-06,0.0012970168612191958
2997,3040,1,6222,1274,14,809,451,0,0,43,7.93491158109572e-05,0.01434768101434768
220209,229997,125,17493,94130,15121,79009,0,0,0,9788,0.018062073152503466,0.04444868284220899
218046,227265,125,16881,91838,12829,79009,0,0,0,9219,0.017012081364214286,0.042280069343166124
