true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
122074,14644.0,125,123,1396,947,116481,15647,535,2008,3152,9952,0,0,107430.0,0.20024455073122904,0.8800399757524124,133649
6933,2467.0,1,1,33606,3001,3001,680,105,311,118,134,0,12,4466.0,0.008324417421257274,0.6441655848838886,37288
2748,823.0,1,1,12246,1902,1902,278,0,76,111,81,0,10,1925.0,0.0035881109574384803,0.700509461426492,14427
454,-350.0,1,1,12246,2070,2070,106,0,21,32,46,0,7,804.0,0.0014986188102756042,1.7709251101321586,14423
4729,1009.0,1,1,33648,3203,3203,574,72,273,73,117,33,6,3720.0,0.006933907928140855,0.7866356523577923,37426
5387,2397.0,1,1,33648,2845,2845,447,62,159,72,124,24,6,2990.0,0.0055732216949304185,0.555039910896603,36941
6241,-10532.0,1,1,90037,15915,15915,2580,432,2148,0,0,0,0,16773.0,0.031264096150189935,2.6875500721038295,108533
122527,-8228.0,125,123,34656,3633,446859,19623,3147,5693,6388,2628,1408,359,130755.0,0.2437212718129187,1.0671525459694597,501263
119674,-260678.0,125,123,9908,6594,811062,58268,498,39264,18506,0,0,0,380352.0,0.7089585344850082,3.178234202917927,879363
373,-488.0,1,1,34656,3399,3399,100,14,18,29,25,11,3,861.0,0.0016048641736906657,2.3083109919571045,38156
6933,1910.0,1,1,33648,3407,3407,770,205,279,108,135,37,6,5023.0,0.009362639656734279,0.724505985864705,37826
48691,-51730.0,4750,1383,12246,1953,2700999,14751,18,3683,3951,5384,0,1715,100421.0,0.18718009893866475,2.062413998480212,2732746
6487,3406.0,1,1,29238,2056,2056,480,73,89,183,123,0,12,3081.0,0.005742841485645692,0.4749498997995992,31775
5970,2411.0,1,1,12288,1992,1992,547,0,200,182,127,32,6,3559.0,0.00663381137533691,0.5961474036850921,14828
9877,-405.0,1,1,64501,8076,8076,1596,567,0,1029,0,0,0,10282.0,0.019165172397081796,1.0410043535486484,74174
1174,-3876.0,1,1,90037,15915,15915,797,114,683,0,0,0,0,5050.0,0.009412966407825624,4.301533219761499,106750
2097,-8165.0,125,95,33648,2845,270275,1477,86,330,48,804,146,63,10262.0,0.019127893322199316,4.893657606103958,305525
10194,-1311.0,1,1,64501,8483,8483,1695,773,0,922,0,0,0,11505.0,0.021444787826145305,1.1286050618010595,74680
9369,-9925.0,1,1,36812,12449,12449,2998,1513,956,529,0,0,0,19294.0,0.03596312353912625,2.0593446472409007,52260
123955,26973.0,125,123,12246,2101,258423,14320,0,4306,5043,4240,0,731,96982.0,0.1807699620126227,0.7823968375620185,285114
2597,435.0,1,1,33606,2804,2804,322,58,100,60,94,0,10,2162.0,0.0040298679947958415,0.8324990373507893,36733
3635,1734.0,1,1,12246,1953,1953,283,0,63,117,91,0,12,1901.0,0.003543376067579507,0.522971114167813,14483
3771,55.0,1,1,34824,3822,3822,536,59,181,166,113,12,5,3716.0,0.0069264521131643594,0.9854150092813577,39183
6741,3158.0,1,1,29280,2079,2079,499,37,81,203,135,37,6,3583.0,0.006678546265195883,0.531523512831924,31859
114847,-277459.0,125,123,36812,12126,1491498,60347,22649,19192,18506,0,0,0,392306.0,0.7312402375422652,3.4159011554502947,1588782
1987,433.0,1,1,12246,1814,1814,222,0,71,66,74,0,11,1554.0,0.0028965841183685188,0.782083543029693,14283
216243,-362069.0,125,123,90037,15247,1875381,89657,12569,77088,0,0,0,0,578312.0,1.0779468176717726,2.6743617134427473,2055200
2814,848.0,1,1,12288,1905,1905,312,0,73,124,87,23,5,1966.0,0.0036645330609475597,0.6986496090973703,14506
83310,-27149.0,4750,1226,33648,2845,3487970,16743,2252,5460,2206,4299,1816,710,110459.0,0.2058904666221803,1.3258792461889328,3543111
1019,-367.0,1,1,12288,2178,2178,223,0,53,81,60,23,6,1386.0,0.0025834398893557057,1.3601570166830226,14690
123898,29713.0,125,123,12288,1964,241572,13760,3,3145,4610,4223,1407,372,94185.0,0.1755564833903082,0.7601817624174725,267745
2413,504.0,1,1,29280,2600,2600,332,63,40,109,89,25,6,1909.0,0.003558287697532498,0.7911313717364277,32213
4811,1444.0,1,1,34824,3217,3217,515,47,165,174,110,13,6,3367.0,0.006275932256465123,0.6998545001039285,38557
11358,306.0,1,1,64501,8076,8076,1649,649,0,1000,0,0,0,11052.0,0.020600416780057185,0.9730586370839936,74227
6570,-5011.0,1,1,9908,6222,6222,1811,26,1175,610,0,0,0,11581.0,0.02158644831069872,1.7627092846270929,17942
1538,197.0,1,1,29238,2491,2491,212,24,26,84,69,0,9,1341.0,0.002499561970870131,0.8719115734720416,31942
2997,-5742.0,1,1,9908,6222,6222,1275,15,808,452,0,0,0,8739.0,0.016289091769898636,2.915915915915916,17406
218507,-372656.0,125,123,90037,15915,1957545,92032,14944,77088,0,0,0,0,591163.0,1.1019004872375087,2.705464813484236,2139739
216243,-362069.0,125,123,90037,15247,1875381,89657,12569,77088,0,0,0,0,578312.0,1.0779468176717726,2.6743617134427473,2055200
49377,-69361.0,4750,1383,33648,2905,4017615,17472,2266,4745,2324,5472,1838,827,118738.0,0.22132213966978195,2.404722846669502,4073485
3024,840.0,1,1,12288,2113,2113,344,0,114,113,87,25,5,2184.0,0.004070874977166567,0.7222222222222222,14746
9853,-10661.0,1,1,90037,15247,15247,3164,562,2602,0,0,0,0,20514.0,0.03823714710695739,2.082005480564295,108449
121831,4615.0,125,123,33648,3407,419061,17468,3656,5069,2641,4335,1408,359,117216.0,0.2184852020712254,0.9621196575584211,470302
6733,2953.0,1,1,12246,2111,2111,568,0,228,180,148,0,12,3780.0,0.007045745152788288,0.5614139313827418,14926
5046,-6190.0,1,1,36812,12103,12103,1778,824,504,450,0,0,0,11236.0,0.020943384268975983,2.2267142290923503,50694
4752,-7731.0,1,1,9908,6594,6594,1864,18,1305,541,0,0,0,12483.0,0.023267734587898468,2.6268939393939394,18367
4838,-6229.0,1,1,36812,11130,11130,1723,657,616,450,0,0,0,11067.0,0.020628376086219043,2.2875155022736666,49666
119049,23813.0,125,123,29238,2587,318201,14066,2291,1696,5153,4195,0,731,95236.0,0.1775154987753824,0.7999731203118043,361630
5740,-8422.0,1,1,36812,11130,11130,2100,1103,389,608,0,0,0,14162.0,0.026397312924282473,2.4672473867595817,50043
5139,-9959.0,1,1,90037,15915,15915,2271,340,1931,0,0,0,0,15098.0,0.02814197362878243,2.937925666472076,108224
2879,692.0,1,1,33606,3190,3190,328,60,106,52,98,0,12,2187.0,0.004076466838398938,0.7596387634595345,37125
3137,1028.0,1,1,12246,1988,1988,294,0,75,111,97,0,11,2109.0,0.003931078446357275,0.6722983742429073,14529
5478,2594.0,1,1,12288,2103,2103,415,0,126,135,124,24,6,2884.0,0.0053756425980532865,0.5264695144213216,14807
3810,628.0,1,1,12288,2002,2002,444,1,139,153,113,32,6,3182.0,0.005931100813802204,0.8351706036745407,14735
6620,631.0,1,1,34656,3633,3633,877,179,310,266,80,36,6,5989.0,0.011163218973557952,0.9046827794561934,39167
135494,-291866.0,125,123,36812,12103,1488669,66288,28136,18679,19473,0,0,0,427360.0,0.7965792720887839,3.1540880038968515,1591894
123948,32409.0,125,123,12246,2033,250059,13547,5,3966,4865,3986,0,725,91539.0,0.17062446178335638,0.7385274469939007,275977
121500,36158.0,125,123,12246,1901,233823,12597,11,3271,4517,4062,0,736,85342.0,0.15907354043102068,0.70240329218107,258791
2142,-3990.0,1,1,9908,6594,6594,940,20,605,315,0,0,0,6132.0,0.011429764358967668,2.8627450980392157,17443
80500,-46640.0,4750,1226,33648,3407,4176982,18934,4590,5339,2148,4416,1783,658,127140.0,0.23698307902791085,1.5793788819875776,4234314
