true_counts,estimates,absolute_error,normalized_error,relative_error
183,0,183,0.00033769507426523643,1.0
27,0,27,4.982386341618242e-05,1.0
1750,0,1750,0.0032293244806784905,1.0
2270,0,2270,0.004188895183508671,1.0
863,1,862,0.0015906729727684905,0.9988412514484357
240,0,240,0.0004428787859216215,1.0
639,4,635,0.0011717834544176236,0.9937402190923318
1380,3,1377,0.0025410170342253036,0.9978260869565218
614,0,614,0.0011330315606494818,1.0
2721,0,2721,0.005021138235386384,1.0
1294,0,1294,0.0023878547874274093,1.0
363,0,363,0.0006698541637064526,1.0
2092,2,2090,0.0038567360940674543,0.9990439770554493
549,0,549,0.0010130852227957093,1.0
776,0,776,0.0014319747411465763,1.0
63,1,62,0.00011441035302975222,0.9841269841269841
941,2,939,0.0017327632499183443,0.997874601487779
2224,1,2223,0.00410216475459902,0.9995503597122302
38866,0,38866,0.07172052872345726,1.0
417,2,415,0.0007658112339894705,0.9952038369304557
1199,0,1199,0.0022125486013334344,1.0
838,0,838,0.0015463850941763286,1.0
180,0,180,0.00033215908944121615,1.0
132,0,132,0.00024358333225689183,1.0
647,0,647,0.0011939273937137047,1.0
677,0,677,0.0012492872419539074,1.0
27,3,24,4.428787859216215e-05,0.8888888888888888
377,1,376,0.0006938434312772071,0.9973474801061007
1350,0,1350,0.0024911931708091212,1.0
1317,0,1317,0.002430297337744898,1.0
1288,2,1286,0.002373092161230022,0.9984472049689441
1133,2,1131,0.0020870662786556414,0.9982347749338041
2979,0,2979,0.005497232930252127,1.0
2102,0,2102,0.0038788800333635354,1.0
776,0,776,0.0014319747411465763,1.0
805,0,805,0.0014854892611121055,1.0
1281,0,1281,0.002363865519856655,1.0
481,0,481,0.0008876029001179164,1.0
506,0,506,0.000933736106984752,1.0
1496,3,1493,0.0027550751140874206,0.9979946524064172
1565,3,1562,0.002882402765039887,0.9980830670926517
1747,4,1743,0.0032164071827557763,0.9977103606182026
1265,0,1265,0.00233434026746188,1.0
87,2,85,0.00015685290334724095,0.9770114942528736
772,0,772,0.0014245934280478826,1.0
133,0,133,0.00024542866053156527,1.0
1282,0,1282,0.0023657108481313282,1.0
1302,0,1302,0.002402617413624797,1.0
0,0,0,0.0,
145,1,144,0.0002657272715529729,0.993103448275862
1571,0,1571,0.0028990107195119475,1.0
2076,4,2072,0.0038235201851233324,0.9980732177263969
272,0,272,0.0005019292907111711,1.0
16835,0,16835,0.031066101504127076,1.0
398,1,397,0.000732595325045349,0.9974874371859297
1227,9,1218,0.002247609838552229,0.9926650366748166
993,0,993,0.001832410976750709,1.0
1583,2,1581,0.0029174640022586818,0.9987365761212887
509,0,509,0.0009392720918087723,1.0
532,0,532,0.000981714642126261,1.0
259,0,259,0.00047794002314041655,1.0
396,1,395,0.0007289046684960021,0.9974747474747475
1732,0,1732,0.0031961085717343686,1.0
748,2,746,0.0013766148929063736,0.9973262032085561
1239,0,1239,0.0022863617323203712,1.0
1249,0,1249,0.0023048150150671055,1.0
1595,0,1595,0.0029432985981041097,1.0
2166,0,2166,0.003996981042942634,1.0
26892,0,26892,0.04962456796251769,1.0
14019,0,14019,0.025869657082646717,1.0
1721,0,1721,0.003175809960712961,1.0
1,1,0,0.0,0.0
1117,2,1115,0.0020575410262608667,0.9982094897045658
254,0,254,0.00046871338176704945,1.0
2628,0,2628,0.004849522705841756,1.0
415,7,408,0.0007528939360667566,0.983132530120482
493,2,491,0.0009060561828646507,0.9959432048681541
505,0,505,0.0009318907787100786,1.0
1526,0,1526,0.0028159709471516437,1.0
2491,1,2490,0.004594867403936823,0.9995985547972702
151,0,151,0.00027864456947568686,1.0
1402,1,1401,0.002585304912817466,0.9992867332382311
992,0,992,0.0018305656484760356,1.0
385,0,385,0.0007104513857492679,1.0
0,0,0,0.0,
481,0,481,0.0008876029001179164,1.0
17148,0,17148,0.031643689254099855,1.0
1,0,1,1.845328274673423e-06,1.0
18360,0,18360,0.03388022712300405,1.0
1130,0,1130,0.002085220950380968,1.0
28,0,28,5.1669191690855846e-05,1.0
232,0,232,0.00042811615972423414,1.0
1498,3,1495,0.0027587657706367673,0.9979973297730307
23005,0,23005,0.0424517769588621,1.0
0,1,1,1.845328274673423e-06,inf
1869,1,1868,0.0034470732170899542,0.9994649545211343
886,0,886,0.0016349608513606527,1.0
996,0,996,0.0018379469615747294,1.0
637,6,631,0.00116440214131893,0.9905808477237049
2159,0,2159,0.00398406374501992,1.0
1637,0,1637,0.0030208023856403937,1.0
435,7,428,0.0007898005015602251,0.9839080459770115
817,0,817,0.0015076332004081866,1.0
2201,0,2201,0.004061567532556204,1.0
43596,31,43565,0.08039172628614767,0.9992889255895037
2343,1,2342,0.004321758819285156,0.9995731967562953
455,5,450,0.0008303977236030404,0.989010989010989
165,0,165,0.0003044791653211148,1.0
743,0,743,0.0013710789080823532,1.0
2192,0,2192,0.004044959578084143,1.0
1819,0,1819,0.0033566521316309565,1.0
1192,0,1192,0.0021996313034107202,1.0
1051,0,1051,0.0019394400166817677,1.0
859,1,858,0.001583291659669797,0.9988358556461001
617,0,617,0.001138567545473502,1.0
1234,0,1234,0.002277135090947004,1.0
1525,4,1521,0.0028067443057782763,0.9973770491803279
506,1,505,0.0009318907787100786,0.9980237154150198
770,0,770,0.0014209027714985358,1.0
43829,29,43800,0.08082537843069593,0.9993383376303361
151,0,151,0.00027864456947568686,1.0
1244,0,1244,0.002295588373693738,1.0
18,0,18,3.3215908944121615e-05,1.0
406,0,406,0.0007492032795174097,1.0
1880,5,1875,0.0034599905150126684,0.9973404255319149
803,1,802,0.0014799532762880853,0.9987546699875467
1460,0,1460,0.0026941792810231974,1.0
192,1,191,0.0003524577004626238,0.9947916666666666
2041,8,2033,0.003751552382411069,0.9960803527682509
1018,0,1018,0.0018785441836175446,1.0
2353,2,2351,0.004338366773757218,0.9991500212494687
2428,1,2427,0.004478611722632398,0.9995881383855024
0,0,0,0.0,
1832,0,1832,0.003380641399201711,1.0
1548,1,1547,0.0028547228409197853,0.9993540051679587
1120,7,1113,0.00205385036971152,0.99375
1126,0,1126,0.0020778396372822744,1.0
43428,31,43397,0.08008171113600254,0.9992861748180897
540,5,535,0.0009872506269502813,0.9907407407407407
3494,0,3494,0.00644757699170894,1.0
578,0,578,0.0010665997427612385,1.0
262,8,254,0.00046871338176704945,0.9694656488549618
2065,0,2065,0.0038106028872006187,1.0
2590,0,2590,0.004779400231404165,1.0
544,0,544,0.0010038585814223422,1.0
1796,0,1796,0.0033142095813134677,1.0
1699,5,1694,0.0031259860972967786,0.9970570924072985
2519,0,2519,0.004648381923902352,1.0
94,0,94,0.00017346085781930177,1.0
758,0,758,0.0013987588322024547,1.0
501,1,500,0.0009226641373367115,0.998003992015968
370,0,370,0.0006827714616291665,1.0
358,0,358,0.0006606275223330854,1.0
1581,2,1579,0.002913773345709335,0.9987349778621126
44070,33,44037,0.08126272123179352,0.9992511912865896
1439,0,1439,0.002655427387255056,1.0
119,4,115,0.00021221275158744366,0.9663865546218487
0,0,0,0.0,
0,18,18,3.3215908944121615e-05,inf
114,1,113,0.0002085220950380968,0.9912280701754386
1323,0,1323,0.0024413693073929385,1.0
45607,35,45572,0.08409530013341723,0.9992325739469818
1788,0,1788,0.0032994469551160806,1.0
1289,0,1289,0.0023786281460540424,1.0
2204,0,2204,0.0040671035173802245,1.0
8422,29,8393,0.015487840209334039,0.9965566373782949
826,1,825,0.001522395826605574,0.9987893462469734
1080,4,1076,0.0019855732235486033,0.9962962962962963
988,0,988,0.001823184335377342,1.0
10970,0,10970,0.02024325117316745,1.0
1226,0,1226,0.0022623724647496167,1.0
8106,23,8083,0.014915788444185278,0.9971625956081914
829,1,828,0.0015279318114295943,0.9987937273823885
736,0,736,0.0013581616101596393,1.0
11,0,11,2.0298611021407652e-05,1.0
1524,1,1523,0.002810434962327623,0.9993438320209974
186,0,186,0.0003432310590892567,1.0
